date,newCases,rollingAvg
2020-03-23,6,2.4286
2020-03-24,4,2.5714
2020-03-25,2,2.8571
2020-03-26,1,2.8571
2020-03-27,1,2.5714
2020-03-28,0,2.0
2020-03-29,9,3.2857
2020-03-30,8,3.5714
2020-03-31,0,3.0
2020-04-01,1,2.8571
2020-04-02,2,3.0
2020-04-03,1,3.0
2020-04-04,0,3.0
2020-04-05,2,2.0
2020-04-06,2,1.1429
2020-04-07,0,1.1429
2020-04-08,8,2.1429
2020-04-09,4,2.4286
2020-04-10,8,3.4286
2020-04-11,2,3.7143
2020-04-12,5,4.1429
2020-04-13,13,5.7143
2020-04-14,9,7.0
2020-04-15,2,6.1429
2020-04-16,14,7.5714
2020-04-17,20,9.2857
2020-04-18,7,10.0
2020-04-19,21,12.2857
2020-04-20,13,12.2857
2020-04-21,19,13.7143
2020-04-22,19,16.1429
2020-04-23,13,16.0
2020-04-24,7,14.1429
2020-04-25,24,16.5714
2020-04-26,21,16.5714
2020-04-27,22,17.8571
2020-04-28,16,17.4286
2020-04-29,37,20.0
2020-04-30,50,25.2857
2020-05-01,83,36.1429
2020-05-02,66,42.1429
2020-05-03,105,54.1429
2020-05-04,75,61.7143
2020-05-05,84,71.4286
2020-05-06,126,84.1429
2020-05-07,71,87.1429
2020-05-08,163,98.5714
2020-05-09,158,111.7143
2020-05-10,112,112.7143
2020-05-11,13,103.8571
2020-05-12,130,110.4286
2020-05-13,104,107.2857
2020-05-14,46,103.7143
2020-05-15,45,86.8571
2020-05-16,82,76.0
2020-05-17,130,78.5714
2020-05-18,237,110.5714
2020-05-19,248,127.4286
2020-05-20,335,160.4286
2020-05-21,286,194.7143
2020-05-22,240,222.5714
2020-05-23,524,285.7143
2020-05-24,293,309.0
2020-05-25,341,323.8571
2020-05-26,280,328.4286
2020-05-27,470,347.7143
2020-05-28,349,356.7143
2020-05-29,241,356.8571
2020-05-30,231,315.0
2020-05-31,147,294.1429
2020-06-01,107,260.7143
2020-06-02,139,240.5714
2020-06-03,214,204.0
2020-06-04,342,203.0
2020-06-05,263,206.1429
2020-06-06,241,207.5714
2020-06-07,458,252.0
2020-06-08,145,257.4286
2020-06-09,329,284.5714
2020-06-10,289,295.2857
2020-06-11,345,295.7143
2020-06-12,204,287.2857
2020-06-13,239,287.0
2020-06-14,108,237.0
2020-06-15,129,234.7143
2020-06-16,232,220.8571
2020-06-17,336,227.5714
2020-06-18,325,224.7143
2020-06-19,323,241.7143
2020-06-20,276,247.0
