date,newCases,rollingAvg
2020-03-14,0,0.1429
2020-03-15,0,0.0
2020-03-16,0,0.0
2020-03-17,0,0.0
2020-03-18,0,0.0
2020-03-19,3,0.4286
2020-03-20,2,0.7143
2020-03-21,1,0.8571
2020-03-22,0,0.8571
2020-03-23,1,1.0
2020-03-24,2,1.2857
2020-03-25,1,1.4286
2020-03-26,0,1.0
2020-03-27,1,0.8571
2020-03-28,2,1.0
2020-03-29,3,1.4286
2020-03-30,0,1.2857
2020-03-31,1,1.1429
2020-04-01,0,1.0
2020-04-02,0,1.0
2020-04-03,5,1.5714
2020-04-04,0,1.2857
2020-04-05,5,1.5714
2020-04-06,3,2.0
2020-04-07,3,2.2857
2020-04-08,3,2.7143
2020-04-09,0,2.7143
2020-04-10,8,3.1429
2020-04-11,3,3.5714
2020-04-12,0,2.8571
2020-04-13,10,3.8571
2020-04-14,14,5.4286
2020-04-15,11,6.5714
2020-04-16,6,7.4286
2020-04-17,21,9.2857
2020-04-18,22,12.0
2020-04-19,27,15.8571
2020-04-20,12,16.1429
2020-04-21,39,19.7143
2020-04-22,33,22.8571
2020-04-23,81,33.5714
2020-04-24,89,43.2857
2020-04-25,88,52.7143
2020-04-26,59,57.2857
2020-04-27,83,67.4286
2020-04-28,134,81.0
2020-04-29,180,102.0
2020-04-30,88,103.0
2020-05-01,181,116.1429
2020-05-02,146,124.4286
2020-05-03,69,125.8571
2020-05-04,97,127.8571
2020-05-05,68,118.4286
2020-05-06,97,106.5714
2020-05-07,164,117.4286
2020-05-08,166,115.2857
2020-05-09,139,114.2857
2020-05-10,86,116.7143
2020-05-11,85,115.0
2020-05-12,237,139.1429
2020-05-13,181,151.1429
2020-05-14,211,157.8571
2020-05-15,240,168.4286
2020-05-16,381,203.0
2020-05-17,223,222.5714
2020-05-18,215,241.1429
2020-05-19,288,248.4286
2020-05-20,118,239.4286
2020-05-21,479,277.7143
2020-05-22,386,298.5714
2020-05-23,328,291.0
2020-05-24,584,342.5714
2020-05-25,468,378.7143
2020-05-26,376,391.2857
2020-05-27,522,449.0
2020-05-28,476,448.5714
2020-05-29,563,473.8571
