date,newCases,rollingAvg
2020-03-19,1,0.4286
2020-03-20,4,0.7143
2020-03-21,4,1.2857
2020-03-22,15,3.4286
2020-03-23,6,4.2857
2020-03-24,15,6.4286
2020-03-25,7,7.4286
2020-03-26,13,9.1429
2020-03-27,14,10.5714
2020-03-28,30,14.2857
2020-03-29,29,16.2857
2020-03-30,11,17.0
2020-03-31,24,18.2857
2020-04-01,25,20.8571
2020-04-02,29,23.1429
2020-04-03,31,25.5714
2020-04-04,51,28.5714
2020-04-05,106,39.5714
2020-04-06,115,54.4286
2020-04-07,104,65.8571
2020-04-08,168,86.2857
2020-04-09,95,95.7143
2020-04-10,82,103.0
2020-04-11,69,105.5714
2020-04-12,156,112.7143
2020-04-13,69,106.1429
2020-04-14,209,121.1429
2020-04-15,70,107.1429
2020-04-16,165,117.1429
2020-04-17,90,118.2857
2020-04-18,88,121.0
2020-04-19,147,119.7143
2020-04-20,116,126.4286
2020-04-21,110,112.2857
2020-04-22,209,132.1429
2020-04-23,409,167.0
2020-04-24,306,197.8571
2020-04-25,441,248.2857
2020-04-26,198,255.5714
2020-04-27,95,252.5714
2020-04-28,409,295.2857
2020-04-29,464,331.7143
2020-04-30,453,338.0
2020-05-01,469,361.2857
2020-05-02,339,346.7143
2020-05-03,621,407.1429
2020-05-04,630,483.5714
2020-05-05,796,538.8571
2020-05-06,1134,634.5714
2020-05-07,856,692.1429
2020-05-08,628,714.8571
2020-05-09,1198,837.5714
2020-05-10,674,845.1429
2020-05-11,320,800.8571
2020-05-12,1249,865.5714
2020-05-13,1648,939.0
2020-05-14,1365,1011.7143
2020-05-15,1211,1095.0
2020-05-16,1285,1107.4286
2020-05-17,651,1104.1429
2020-05-18,585,1142.0
2020-05-19,1219,1137.7143
2020-05-20,1572,1126.8571
2020-05-21,1663,1169.4286
2020-05-22,1671,1235.1429
2020-05-23,1764,1303.5714
2020-05-24,1065,1362.7143
2020-05-25,415,1338.4286
2020-05-26,1667,1402.4286
2020-05-27,1559,1400.5714
2020-05-28,2638,1539.8571
2020-05-29,2763,1695.8571
2020-05-30,1651,1679.7143
2020-05-31,818,1644.4286
2020-06-01,396,1641.7143
2020-06-02,1421,1606.5714
2020-06-03,1152,1548.4286
2020-06-04,2126,1475.2857
2020-06-05,1193,1251.0
2020-06-06,1119,1175.0
2020-06-07,484,1127.2857
2020-06-08,548,1149.0
2020-06-09,1417,1148.4286
2020-06-10,1615,1214.5714
2020-06-11,1140,1073.7143
2020-06-12,1122,1063.5714
2020-06-13,915,1034.4286
2020-06-14,480,1033.8571
2020-06-15,271,994.2857
2020-06-16,1241,969.1429
2020-06-17,1529,956.8571
2020-06-18,1189,963.8571
2020-06-19,947,938.8571
2020-06-20,1219,982.2857
2020-06-21,508,986.2857
2020-06-22,321,993.4286
2020-06-23,1342,1007.8571
2020-06-24,1691,1031.0
2020-06-25,503,933.0
2020-06-26,953,933.8571
2020-06-27,802,874.2857
2020-06-28,627,891.2857
2020-06-29,244,880.2857
2020-06-30,930,821.4286
2020-07-01,1461,788.5714
2020-07-02,1246,894.7143
2020-07-03,1007,902.4286
2020-07-04,1408,989.0
2020-07-05,69,909.2857
2020-07-06,413,933.4286
2020-07-07,2740,1192.0
2020-07-08,915,1114.0
2020-07-09,1236,1112.5714
2020-07-10,1189,1138.5714
2020-07-11,723,1040.7143
2020-07-12,296,1073.1429
2020-07-13,886,1140.7143
2020-07-14,1388,947.5714
2020-07-15,1144,980.2857
2020-07-16,1081,958.1429
2020-07-17,797,902.1429
2020-07-18,1712,1043.4286
2020-07-19,379,1055.2857
2020-07-20,476,996.7143
2020-07-21,775,909.1429
2020-07-22,557,825.2857
2020-07-23,1498,884.8571
2020-07-24,1205,943.1429
2020-07-25,670,794.2857
2020-07-26,369,792.8571
2020-07-27,616,812.8571
2020-07-28,1039,850.5714
2020-07-29,975,910.2857
2020-07-30,1047,845.8571
2020-07-31,800,788.0
2020-08-01,837,811.8571
2020-08-02,347,808.7143
2020-08-03,262,758.1429
2020-08-04,883,735.8571
2020-08-05,981,736.7143
2020-08-06,804,702.0
2020-08-07,803,702.4286
2020-08-08,571,664.4286
2020-08-09,522,689.4286
2020-08-10,247,687.2857
2020-08-11,908,690.8571
2020-08-12,815,667.1429
2020-08-13,882,678.2857
2020-08-14,975,702.8571
2020-08-15,464,687.5714
2020-08-16,671,708.8571
2020-08-17,351,723.7143
2020-08-18,618,682.2857
2020-08-19,711,667.4286
2020-08-20,743,647.5714
2020-08-21,457,573.5714
2020-08-22,577,589.7143
2020-08-23,246,529.0
2020-08-24,177,504.1429
2020-08-25,787,528.2857
2020-08-26,833,545.7143
2020-08-27,671,535.4286
2020-08-28,761,578.8571
2020-08-29,1015,641.4286
2020-08-30,201,635.0
2020-08-31,236,643.4286
2020-09-01,623,620.0
2020-09-02,874,625.8571
2020-09-03,727,633.8571
2020-09-04,667,620.4286
2020-09-05,539,552.4286
2020-09-06,85,535.8571
2020-09-07,94,515.5714
2020-09-08,318,472.0
2020-09-09,736,452.2857
2020-09-10,701,448.5714
2020-09-11,763,462.2857
2020-09-12,516,459.0
2020-09-13,193,474.4286
2020-09-14,275,500.2857
2020-09-15,743,561.0
2020-09-16,701,556.0
2020-09-17,650,548.7143
2020-09-18,858,562.2857
2020-09-19,1214,662.0
2020-09-20,184,660.7143
2020-09-21,163,644.7143
2020-09-22,767,648.1429
2020-09-23,726,651.7143
2020-09-24,876,684.0
2020-09-25,916,692.2857
2020-09-26,964,656.5714
2020-09-27,247,665.5714
2020-09-28,292,684.0
2020-09-29,1256,753.8571
2020-09-30,1362,844.7143
2020-10-01,914,850.1429
2020-10-02,959,856.2857
2020-10-03,938,852.5714
2020-10-04,245,852.2857
2020-10-05,191,837.8571
2020-10-06,998,801.0
2020-10-07,921,738.0
2020-10-08,875,732.4286
2020-10-09,866,719.1429
2020-10-10,805,700.1429
2020-10-11,419,725.0
2020-10-12,8,698.8571
2020-10-13,399,613.2857
2020-10-14,654,575.1429
2020-10-15,848,571.2857
2020-10-16,418,507.2857
2020-10-17,1402,592.5714
2020-10-18,411,591.4286
2020-10-19,261,627.5714
2020-10-20,938,704.5714
2020-10-21,1669,849.5714
2020-10-22,765,837.7143
2020-10-23,966,916.0
2020-10-24,779,827.0
2020-10-25,349,818.1429
2020-10-26,344,830.0
2020-10-27,1050,846.0
2020-10-28,865,731.1429
2020-10-29,1013,766.5714
2020-10-30,838,748.2857
2020-10-31,249,672.5714
2020-11-01,291,664.2857
2020-11-02,165,638.7143
2020-11-03,421,548.8571
2020-11-04,839,545.1429
2020-11-05,671,496.2857
2020-11-06,0,376.5714
2020-11-07,1324,530.1429
2020-11-08,270,527.1429
2020-11-09,305,547.1429
2020-11-10,802,601.5714
2020-11-11,715,583.8571
2020-11-12,603,574.1429
2020-11-13,507,646.5714
2020-11-14,569,538.7143
2020-11-15,168,524.1429
2020-11-16,219,511.8571
2020-11-17,906,526.7143
2020-11-18,703,525.0
2020-11-19,957,575.5714
2020-11-20,740,608.8571
2020-11-21,488,597.2857
2020-11-22,131,592.0
2020-11-23,303,604.0
2020-11-24,799,588.7143
2020-11-25,719,591.0
2020-11-26,916,585.1429
2020-11-27,928,612.0
2020-11-28,658,636.2857
2020-11-29,191,644.8571
2020-11-30,209,631.4286
2020-12-01,1065,669.4286
2020-12-02,698,666.4286
2020-12-03,879,661.1429
2020-12-04,789,641.2857
2020-12-05,706,648.1429
2020-12-06,331,668.1429
2020-12-07,207,667.8571
2020-12-08,955,652.1429
2020-12-09,438,615.0
2020-12-10,821,606.7143
