date,newCases,rollingAvg
2020-03-26,0,0.2857
2020-03-27,1,0.2857
2020-03-28,1,0.4286
2020-03-29,4,1.0
2020-03-30,0,1.0
2020-03-31,2,1.2857
2020-04-01,1,1.2857
2020-04-02,1,1.4286
2020-04-03,7,2.2857
2020-04-04,10,3.5714
2020-04-05,3,3.4286
2020-04-06,7,4.4286
2020-04-07,12,5.8571
2020-04-08,56,13.7143
2020-04-09,21,16.5714
2020-04-10,38,21.0
2020-04-11,27,23.4286
2020-04-12,44,29.2857
2020-04-13,7,29.2857
2020-04-14,64,36.7143
2020-04-15,34,33.5714
2020-04-16,20,33.4286
2020-04-17,13,29.8571
2020-04-18,25,29.5714
2020-04-19,16,25.5714
2020-04-20,19,27.2857
2020-04-21,31,22.5714
2020-04-22,26,21.4286
2020-04-23,63,27.5714
2020-04-24,93,39.0
2020-04-25,41,41.2857
2020-04-26,132,57.8571
2020-04-27,21,58.1429
2020-04-28,76,64.5714
2020-04-29,98,74.8571
2020-04-30,64,75.0
2020-05-01,41,67.5714
2020-05-02,66,71.1429
2020-05-03,295,94.4286
2020-05-04,251,127.2857
2020-05-05,198,144.7143
2020-05-06,115,147.1429
2020-05-07,153,159.8571
2020-05-08,123,171.5714
2020-05-09,171,186.5714
2020-05-10,120,161.5714
2020-05-11,58,134.0
2020-05-12,239,139.8571
2020-05-13,95,137.0
2020-05-14,423,175.5714
2020-05-15,202,186.8571
2020-05-16,204,191.5714
2020-05-17,118,191.2857
2020-05-18,71,193.1429
2020-05-19,287,200.0
2020-05-20,239,220.5714
2020-05-21,639,251.4286
2020-05-22,467,289.2857
2020-05-23,436,322.4286
2020-05-24,262,343.0
2020-05-25,231,365.8571
2020-05-26,383,379.5714
2020-05-27,652,438.5714
2020-05-28,533,423.4286
2020-05-29,317,402.0
2020-05-30,844,460.2857
2020-05-31,289,464.1429
2020-06-01,288,472.2857
2020-06-02,621,506.2857
2020-06-03,596,498.2857
2020-06-04,444,485.5714
2020-06-05,776,551.1429
2020-06-06,446,494.2857
2020-06-07,272,491.8571
2020-06-08,249,486.2857
2020-06-09,477,465.7143
2020-06-10,852,502.2857
2020-06-11,543,516.4286
2020-06-12,517,479.4286
2020-06-13,639,507.0
2020-06-14,190,495.2857
2020-06-15,301,502.7143
2020-06-16,1211,607.5714
2020-06-17,594,570.7143
2020-06-18,769,603.0
2020-06-19,535,605.5714
2020-06-20,1652,750.2857
2020-06-21,266,761.1429
2020-06-22,3022,1149.8571
2020-06-23,1575,1201.8571
2020-06-24,482,1185.8571
2020-06-25,496,1146.8571
2020-06-26,247,1105.7143
2020-06-27,239,903.8571
2020-06-28,84,877.8571
2020-06-29,268,484.4286
2020-06-30,239,293.5714
2020-07-01,435,286.8571
2020-07-02,226,248.2857
2020-07-03,421,273.1429
2020-07-04,235,272.5714
2020-07-05,74,271.1429
2020-07-06,121,250.1429
2020-07-07,290,257.4286
2020-07-08,230,228.1429
2020-07-09,239,230.0
2020-07-10,317,215.1429
2020-07-11,199,210.0
2020-07-12,85,211.5714
2020-07-13,188,221.1429
2020-07-14,333,227.2857
2020-07-15,523,269.1429
2020-07-16,596,320.1429
2020-07-17,432,336.5714
2020-07-18,149,329.4286
2020-07-19,120,334.4286
2020-07-20,440,370.4286
2020-07-21,260,360.0
2020-07-22,255,321.7143
2020-07-23,178,262.0
2020-07-24,188,227.1429
2020-07-25,136,225.2857
2020-07-26,58,216.4286
2020-07-27,144,174.1429
2020-07-28,333,184.5714
2020-07-29,276,187.5714
2020-07-30,299,204.8571
2020-07-31,196,206.0
2020-08-01,127,204.7143
2020-08-02,44,202.7143
2020-08-03,165,205.7143
2020-08-04,195,186.0
2020-08-05,319,192.1429
2020-08-06,417,209.0
2020-08-07,229,213.7143
2020-08-08,175,220.5714
2020-08-09,69,224.1429
2020-08-10,191,227.8571
2020-08-11,237,233.8571
2020-08-12,165,211.8571
2020-08-13,214,182.8571
2020-08-14,229,182.8571
2020-08-15,187,184.5714
2020-08-16,87,187.1429
2020-08-17,185,186.2857
2020-08-18,254,188.7143
2020-08-19,254,201.4286
2020-08-20,392,226.8571
2020-08-21,272,233.0
2020-08-22,156,228.5714
2020-08-23,89,228.8571
2020-08-24,134,221.5714
2020-08-25,299,228.0
2020-08-26,428,252.8571
2020-08-27,304,240.2857
2020-08-28,340,250.0
2020-08-29,146,248.5714
2020-08-30,121,253.1429
2020-08-31,301,277.0
2020-09-01,321,280.1429
2020-09-02,286,259.8571
2020-09-03,264,254.1429
2020-09-04,390,261.2857
2020-09-05,228,273.0
2020-09-06,88,268.2857
2020-09-07,93,238.5714
2020-09-08,136,212.1429
2020-09-09,252,207.2857
2020-09-10,278,209.2857
2020-09-11,136,173.0
2020-09-12,124,158.1429
2020-09-13,64,154.7143
2020-09-14,102,156.0
2020-09-15,162,159.7143
2020-09-16,149,145.0
2020-09-17,106,120.4286
2020-09-18,229,133.7143
2020-09-19,137,135.5714
2020-09-20,125,144.2857
2020-09-21,83,141.5714
2020-09-22,189,145.4286
2020-09-23,229,156.8571
2020-09-24,152,163.4286
2020-09-25,141,150.8571
2020-09-26,88,143.8571
2020-09-27,50,133.1429
2020-09-28,140,141.2857
2020-09-29,119,131.2857
2020-09-30,200,127.1429
2020-10-01,131,124.1429
2020-10-02,144,124.5714
2020-10-03,73,122.4286
2020-10-04,26,119.0
2020-10-05,73,109.4286
2020-10-06,113,108.5714
2020-10-07,149,101.2857
2020-10-08,122,100.0
2020-10-09,130,98.0
2020-10-10,88,100.1429
2020-10-11,83,108.2857
2020-10-12,38,103.2857
2020-10-13,169,111.2857
2020-10-14,152,111.7143
2020-10-15,145,115.0
2020-10-16,182,122.4286
2020-10-17,78,121.0
2020-10-18,41,115.0
2020-10-19,72,119.8571
2020-10-20,119,112.7143
2020-10-21,212,121.2857
2020-10-22,228,133.1429
2020-10-23,146,128.0
2020-10-24,106,132.0
2020-10-25,53,133.7143
2020-10-26,65,132.7143
2020-10-27,235,149.2857
2020-10-28,96,132.7143
2020-10-29,352,150.4286
2020-10-30,155,151.7143
2020-10-31,145,157.2857
2020-11-01,325,196.1429
2020-11-02,153,208.7143
2020-11-03,179,200.7143
2020-11-04,0,187.0
2020-11-05,0,136.7143
2020-11-06,0,114.5714
2020-11-07,0,93.8571
2020-11-08,178,72.8571
2020-11-09,320,96.7143
2020-11-10,244,106.0
2020-11-11,216,136.8571
2020-11-12,266,174.8571
2020-11-13,361,226.4286
2020-11-14,421,286.5714
2020-11-15,141,281.2857
2020-11-16,177,260.8571
2020-11-17,226,258.2857
2020-11-18,270,266.0
2020-11-19,233,261.2857
2020-11-20,200,238.2857
2020-11-21,151,199.7143
2020-11-22,312,224.1429
2020-11-23,374,252.2857
2020-11-24,421,280.1429
2020-11-25,355,292.2857
2020-11-26,345,308.2857
2020-11-27,257,316.4286
2020-11-28,535,371.2857
2020-11-29,121,344.0
2020-11-30,175,315.5714
2020-12-01,292,297.1429
2020-12-02,427,307.4286
2020-12-03,541,335.4286
2020-12-04,360,350.1429
2020-12-05,302,316.8571
2020-12-06,124,317.2857
2020-12-07,216,323.1429
2020-12-08,214,312.0
2020-12-09,318,296.4286
2020-12-10,296,261.4286
2020-12-11,543,287.5714
2020-12-12,278,284.1429
2020-12-13,271,305.1429
2020-12-14,288,315.4286
2020-12-15,388,340.2857
2020-12-16,314,339.7143
2020-12-17,246,332.5714
2020-12-18,203,284.0
2020-12-19,357,295.2857
2020-12-20,106,271.7143
2020-12-21,207,260.1429
2020-12-22,290,246.1429
2020-12-23,226,233.5714
2020-12-24,194,226.1429
2020-12-25,89,209.8571
2020-12-26,72,169.1429
2020-12-27,431,215.5714
2020-12-28,425,246.7143
2020-12-29,256,241.8571
2020-12-30,297,252.0
2020-12-31,499,295.5714
2021-01-01,160,305.7143
2021-01-02,80,306.8571
2021-01-03,127,263.4286
2021-01-04,207,232.2857
2021-01-05,321,241.5714
2021-01-06,373,252.4286
2021-01-07,405,239.0
2021-01-08,470,283.2857
2021-01-09,332,319.2857
2021-01-10,226,333.4286
2021-01-11,385,358.8571
2021-01-12,402,370.4286
2021-01-13,360,368.5714
2021-01-14,373,364.0
2021-01-15,402,354.2857
2021-01-16,389,362.4286
2021-01-17,204,359.2857
2021-01-18,209,334.1429
2021-01-19,419,336.5714
2021-01-20,265,323.0
2021-01-21,225,301.8571
2021-01-22,339,292.8571
2021-01-23,180,263.0
2021-01-24,195,261.7143
2021-01-25,151,253.4286
2021-01-26,241,228.0
2021-01-27,299,232.8571
2021-01-28,371,253.7143
2021-01-29,377,259.1429
2021-01-30,196,261.4286
2021-01-31,157,256.0
2021-02-01,363,286.2857
2021-02-02,325,298.2857
2021-02-03,260,292.7143
2021-02-04,224,271.7143
2021-02-05,210,247.8571
2021-02-06,223,251.7143
2021-02-07,153,251.1429
2021-02-08,191,226.5714
2021-02-09,284,220.7143
2021-02-10,230,216.4286
2021-02-11,331,231.7143
2021-02-12,356,252.5714
2021-02-13,183,246.8571
2021-02-14,154,247.0
2021-02-15,135,239.0
2021-02-16,277,238.0
2021-02-17,271,243.8571
2021-02-18,259,233.5714
2021-02-19,219,214.0
2021-02-20,185,214.2857
2021-02-21,144,212.8571
2021-02-22,360,245.0
2021-02-23,228,238.0
2021-02-24,262,236.7143
2021-02-25,194,227.4286
2021-02-26,217,227.1429
2021-02-27,226,233.0
2021-02-28,158,235.0
2021-03-01,222,215.2857
2021-03-02,292,224.4286
2021-03-03,306,230.7143
2021-03-04,325,249.4286
2021-03-05,257,255.1429
2021-03-06,310,267.1429
2021-03-07,203,273.5714
2021-03-08,301,284.8571
2021-03-09,467,309.8571
2021-03-10,328,313.0
2021-03-11,421,326.7143
