date,newCases,rollingAvg
2020-03-12,0,0.4286
2020-03-13,4,0.8571
2020-03-14,0,0.7143
2020-03-15,2,1.0
2020-03-16,1,1.1429
2020-03-17,4,1.7143
2020-03-18,13,3.4286
2020-03-19,4,4.0
2020-03-20,3,3.8571
2020-03-21,7,4.8571
2020-03-22,14,6.5714
2020-03-23,8,7.5714
2020-03-24,16,9.2857
2020-03-25,12,9.1429
2020-03-26,17,11.0
2020-03-27,15,12.7143
2020-03-28,4,12.2857
2020-03-29,29,14.4286
2020-03-30,20,16.1429
2020-03-31,41,19.7143
2020-04-01,29,22.1429
2020-04-02,21,22.7143
2020-04-03,23,23.8571
2020-04-04,46,29.8571
2020-04-05,65,35.0
2020-04-06,36,37.2857
2020-04-07,25,35.0
2020-04-08,53,38.4286
2020-04-09,53,43.0
2020-04-10,48,46.5714
2020-04-11,24,43.4286
2020-04-12,34,39.0
2020-04-13,49,40.8571
2020-04-14,53,44.8571
2020-04-15,108,52.7143
2020-04-16,83,57.0
2020-04-17,97,64.0
2020-04-18,136,80.0
2020-04-19,49,82.1429
2020-04-20,128,93.4286
2020-04-21,127,104.0
2020-04-22,141,108.7143
2020-04-23,200,125.4286
2020-04-24,134,130.7143
2020-04-25,137,130.8571
2020-04-26,132,142.7143
2020-04-27,108,139.8571
2020-04-28,208,151.4286
2020-04-29,112,147.2857
2020-04-30,191,146.0
2020-05-01,273,165.8571
2020-05-02,175,171.2857
2020-05-03,251,188.2857
2020-05-04,168,196.8571
2020-05-05,306,210.8571
2020-05-06,261,232.1429
2020-05-07,227,237.2857
2020-05-08,291,239.8571
2020-05-09,356,265.7143
2020-05-10,384,284.7143
2020-05-11,249,296.2857
2020-05-12,397,309.2857
2020-05-13,344,321.1429
2020-05-14,407,346.8571
2020-05-15,1174,473.0
2020-05-16,186,448.7143
2020-05-17,128,412.1429
2020-05-18,438,439.1429
2020-05-19,2132,687.0
2020-05-20,184,664.1429
2020-05-21,744,712.2857
2020-05-22,616,632.5714
2020-05-23,443,669.2857
2020-05-24,899,779.4286
2020-05-25,305,760.4286
2020-05-26,362,507.5714
2020-05-27,503,553.1429
2020-05-28,893,574.4286
2020-05-29,954,622.7143
2020-05-30,709,660.7143
2020-05-31,766,641.7143
2020-06-01,506,670.4286
2020-06-02,2532,980.4286
2020-06-03,1021,1054.4286
2020-06-04,1012,1071.4286
2020-06-05,2956,1357.4286
2020-06-06,977,1395.7143
2020-06-07,854,1408.2857
2020-06-08,465,1402.4286
2020-06-09,1766,1293.0
2020-06-10,2204,1462.0
2020-06-11,1206,1489.7143
2020-06-12,774,1178.0
2020-06-13,1123,1198.8571
2020-06-14,614,1164.5714
2020-06-15,1219,1272.2857
2020-06-16,1586,1246.5714
2020-06-17,1720,1177.4286
2020-06-18,651,1098.1429
2020-06-19,2345,1322.5714
2020-06-20,1382,1359.5714
2020-06-21,975,1411.1429
2020-06-22,807,1352.2857
2020-06-23,1998,1411.1429
2020-06-24,2847,1572.1429
2020-06-25,2360,1816.2857
2020-06-26,2130,1785.5714
2020-06-27,8822,2848.4286
2020-06-28,3251,3173.5714
2020-06-29,972,3197.1429
2020-06-30,3840,3460.2857
2020-07-01,3178,3507.5714
2020-07-02,2864,3579.5714
2020-07-03,2965,3698.8571
2020-07-04,3171,2891.5714
2020-07-05,1563,2650.4286
2020-07-06,1231,2687.4286
2020-07-07,3675,2663.8571
2020-07-08,3582,2721.5714
2020-07-09,2783,2710.0
2020-07-10,2867,2696.0
2020-07-11,3002,2671.8571
2020-07-12,1575,2673.5714
2020-07-13,1128,2658.8571
2020-07-14,3138,2582.1429
2020-07-15,2964,2493.8571
2020-07-16,3380,2579.1429
2020-07-17,2284,2495.8571
2020-07-18,1581,2292.8571
2020-07-19,1931,2343.7143
2020-07-20,1123,2343.0
2020-07-21,3552,2402.1429
2020-07-22,6401,2893.1429
2020-07-23,5113,3140.7143
2020-07-24,4409,3444.2857
2020-07-25,3632,3737.2857
2020-07-26,1780,3715.7143
2020-07-27,930,3688.1429
2020-07-28,4204,3781.2857
2020-07-29,4021,3441.2857
2020-07-30,4296,3324.5714
2020-07-31,4524,3341.0
2020-08-01,2772,3218.1429
2020-08-02,1550,3185.2857
2020-08-03,915,3183.1429
2020-08-04,3999,3153.8571
2020-08-05,4348,3200.5714
2020-08-06,3953,3151.5714
2020-08-07,4202,3105.5714
2020-08-08,3508,3210.7143
2020-08-09,1628,3221.8571
2020-08-10,1068,3243.7143
2020-08-11,4670,3339.5714
2020-08-12,4253,3326.0
2020-08-13,3935,3323.4286
