date,newCases,rollingAvg
2020-03-22,41,17.8571
2020-03-23,39,22.1429
2020-03-24,21,25.0
2020-03-25,26,27.4286
2020-03-26,26,30.4286
2020-03-27,45,30.5714
2020-03-28,40,34.0
2020-03-29,37,33.4286
2020-03-30,23,31.1429
2020-03-31,19,30.8571
2020-04-01,44,33.4286
2020-04-02,120,46.8571
2020-04-03,93,53.7143
2020-04-04,87,60.4286
2020-04-05,218,86.2857
2020-04-06,83,94.8571
2020-04-07,143,112.5714
2020-04-08,205,135.5714
2020-04-09,51,125.7143
2020-04-10,113,128.5714
2020-04-11,110,131.8571
2020-04-12,79,112.0
2020-04-13,189,127.1429
2020-04-14,136,126.1429
2020-04-15,220,128.2857
2020-04-16,120,138.1429
2020-04-17,335,169.8571
2020-04-18,315,199.1429
2020-04-19,246,223.0
2020-04-20,179,221.5714
2020-04-21,229,234.8571
2020-04-22,400,260.5714
2020-04-23,586,327.1429
2020-04-24,419,339.1429
2020-04-25,546,372.1429
2020-04-26,593,421.7143
2020-04-27,523,470.8571
2020-04-28,202,467.0
2020-04-29,426,470.7143
2020-04-30,450,451.2857
2020-05-01,139,411.2857
2020-05-02,309,377.4286
2020-05-03,70,302.7143
2020-05-04,2661,608.1429
2020-05-05,430,640.7143
2020-05-06,840,699.8571
2020-05-07,1578,861.0
2020-05-08,1246,1019.1429
2020-05-09,745,1081.4286
2020-05-10,813,1187.5714
2020-05-11,907,937.0
2020-05-12,813,991.7143
2020-05-13,744,978.0
2020-05-14,1921,1027.0
2020-05-15,1982,1132.1429
2020-05-16,736,1130.8571
2020-05-17,460,1080.4286
2020-05-18,2108,1252.0
2020-05-19,1749,1385.7143
2020-05-20,2448,1629.1429
2020-05-21,853,1476.5714
2020-05-22,3160,1644.8571
2020-05-23,549,1618.1429
2020-05-24,473,1620.0
2020-05-25,590,1403.1429
2020-05-26,836,1272.7143
2020-05-27,254,959.2857
2020-05-28,546,915.4286
2020-05-29,574,546.0
2020-05-30,9427,1814.2857
2020-05-31,667,1842.0
2020-06-01,2015,2045.5714
2020-06-02,4179,2523.1429
2020-06-03,1373,2683.0
2020-06-04,3739,3139.1429
2020-06-05,2381,3397.2857
2020-06-06,1399,2250.4286
2020-06-07,696,2254.5714
2020-06-08,1947,2244.8571
2020-06-09,2805,2048.5714
2020-06-10,2924,2270.1429
2020-06-11,2745,2128.1429
2020-06-12,1092,1944.0
2020-06-13,645,1836.2857
2020-06-14,404,1794.5714
2020-06-15,3020,1947.8571
2020-06-16,2316,1878.0
2020-06-17,3437,1951.2857
2020-06-18,2526,1920.0
2020-06-19,2309,2093.8571
2020-06-20,1956,2281.1429
2020-06-21,469,2290.4286
2020-06-22,1842,2122.1429
2020-06-23,3347,2269.4286
2020-06-24,1523,1996.0
2020-06-25,3540,2140.8571
2020-06-26,2152,2118.4286
2020-06-27,1794,2095.2857
2020-06-28,529,2103.8571
