date,newCases,rollingAvg
2020-03-13,0,0.2857
2020-03-14,6,1.0
2020-03-15,6,1.8571
2020-03-16,5,2.5714
2020-03-17,3,3.0
2020-03-18,12,4.5714
2020-03-19,8,5.7143
2020-03-20,45,12.1429
2020-03-21,21,14.2857
2020-03-22,9,14.7143
2020-03-23,21,17.0
2020-03-24,23,19.8571
2020-03-25,34,23.0
2020-03-26,6,22.7143
2020-03-27,40,22.0
2020-03-28,19,21.7143
2020-03-29,38,25.8571
2020-03-30,14,24.8571
2020-03-31,21,24.5714
2020-04-01,37,25.0
2020-04-02,30,28.4286
2020-04-03,19,25.4286
2020-04-04,37,28.0
2020-04-05,12,24.2857
2020-04-06,17,24.7143
2020-04-07,18,24.2857
2020-04-08,6,19.8571
2020-04-09,18,18.1429
2020-04-10,29,19.5714
2020-04-11,36,19.4286
2020-04-12,26,21.4286
2020-04-13,23,22.2857
2020-04-14,10,21.1429
2020-04-15,37,25.5714
2020-04-16,39,28.5714
2020-04-17,29,28.5714
2020-04-18,40,29.1429
2020-04-19,64,34.5714
2020-04-20,15,33.4286
2020-04-21,38,37.4286
2020-04-22,46,38.7143
2020-04-23,9,34.4286
2020-04-24,44,36.5714
2020-04-25,8,32.0
2020-04-26,105,37.8571
2020-04-27,64,44.8571
2020-04-28,41,45.2857
2020-04-29,83,50.5714
2020-04-30,110,65.0
2020-05-01,123,76.2857
2020-05-02,59,83.5714
2020-05-03,115,85.0
2020-05-04,73,86.2857
2020-05-05,44,86.7143
2020-05-06,209,104.7143
2020-05-07,212,119.2857
2020-05-08,184,128.0
2020-05-09,134,138.7143
2020-05-10,106,137.4286
2020-05-11,117,143.7143
2020-05-12,180,163.1429
2020-05-13,213,163.7143
2020-05-14,224,165.4286
2020-05-15,371,192.1429
2020-05-16,353,223.4286
2020-05-17,228,240.8571
2020-05-18,251,260.0
2020-05-19,234,267.7143
2020-05-20,418,297.0
2020-05-21,271,303.7143
2020-05-22,406,308.7143
2020-05-23,303,301.5714
2020-05-24,387,324.2857
2020-05-25,292,330.1429
2020-05-26,280,336.7143
2020-05-27,551,355.7143
2020-05-28,539,394.0
2020-05-29,422,396.2857
2020-05-30,752,460.4286
2020-05-31,306,448.8571
2020-06-01,730,511.4286
2020-06-02,746,578.0
2020-06-03,764,608.4286
2020-06-04,903,660.4286
2020-06-05,1285,783.7143
2020-06-06,1642,910.8571
2020-06-07,773,977.5714
2020-06-08,325,919.7143
2020-06-09,1142,976.2857
2020-06-10,1343,1059.0
2020-06-11,1074,1083.4286
2020-06-12,889,1026.8571
2020-06-13,563,872.7143
2020-06-14,912,892.5714
2020-06-15,813,962.2857
2020-06-16,1696,1041.4286
2020-06-17,1760,1101.0
2020-06-18,1381,1144.8571
2020-06-19,2381,1358.0
2020-06-20,1336,1468.4286
2020-06-21,989,1479.4286
2020-06-22,921,1494.8571
2020-06-23,1220,1426.8571
2020-06-24,1886,1444.8571
2020-06-25,1617,1478.5714
2020-06-26,2455,1489.1429
2020-06-27,1440,1504.0
2020-06-28,2139,1668.2857
2020-06-29,2166,1846.1429
2020-06-30,2147,1978.5714
2020-07-01,1458,1917.4286
2020-07-02,1605,1915.7143
2020-07-03,1715,1810.0
2020-07-04,1764,1856.2857
2020-07-05,2094,1849.8571
2020-07-06,2529,1901.7143
2020-07-07,2311,1925.1429
2020-07-08,1620,1948.2857
2020-07-09,1363,1913.7143
2020-07-10,1620,1900.1429
2020-07-11,1109,1806.5714
2020-07-12,2306,1836.8571
2020-07-13,1572,1700.1429
2020-07-14,1370,1565.7143
2020-07-15,1725,1580.7143
2020-07-16,2242,1706.2857
2020-07-17,1779,1729.0
2020-07-18,1763,1822.4286
2020-07-19,1249,1671.4286
2020-07-20,1875,1714.7143
2020-07-21,1789,1774.5714
2020-07-22,1725,1774.5714
2020-07-23,2222,1771.7143
2020-07-24,2391,1859.1429
2020-07-25,1773,1860.5714
2020-07-26,2145,1988.5714
2020-07-27,2148,2027.5714
2020-07-28,2246,2092.8571
2020-07-29,1616,2077.2857
2020-07-30,2100,2059.8571
2020-07-31,1850,1982.5714
2020-08-01,1630,1962.1429
2020-08-02,2106,1956.5714
2020-08-03,2016,1937.7143
2020-08-04,1880,1885.4286
2020-08-05,2042,1946.2857
2020-08-06,2034,1936.8571
2020-08-07,1903,1944.4286
2020-08-08,1921,1986.0
2020-08-09,1233,1861.2857
2020-08-10,3012,2003.5714
2020-08-11,1415,1937.1429
2020-08-12,1700,1888.2857
2020-08-13,1986,1881.4286
2020-08-14,1996,1894.7143
2020-08-15,1848,1884.2857
2020-08-16,1453,1915.7143
2020-08-17,2268,1809.4286
2020-08-18,1435,1812.2857
2020-08-19,1592,1796.8571
2020-08-20,1997,1798.4286
2020-08-21,1693,1755.1429
2020-08-22,1675,1730.4286
2020-08-23,1871,1790.1429
2020-08-24,1521,1683.4286
2020-08-25,3171,1931.4286
2020-08-26,1563,1927.2857
2020-08-27,1610,1872.0
2020-08-28,1317,1818.2857
2020-08-29,1346,1771.2857
2020-08-30,1270,1685.4286
2020-08-31,1246,1646.1429
2020-09-01,1456,1401.1429
2020-09-02,1151,1342.2857
2020-09-03,1254,1291.4286
2020-09-04,1297,1288.5714
2020-09-05,1405,1297.0
2020-09-06,1012,1260.1429
2020-09-07,1189,1252.0
2020-09-08,933,1177.2857
2020-09-09,969,1151.2857
2020-09-10,923,1104.0
2020-09-11,918,1049.8571
2020-09-12,1097,1005.8571
2020-09-13,1191,1031.4286
2020-09-14,1084,1016.4286
2020-09-15,826,1001.1429
2020-09-16,1076,1016.4286
2020-09-17,1021,1030.4286
2020-09-18,1075,1052.8571
2020-09-19,1177,1064.2857
2020-09-20,653,987.4286
2020-09-21,806,947.7143
2020-09-22,794,943.1429
2020-09-23,705,890.1429
2020-09-24,891,871.5714
2020-09-25,950,853.7143
2020-09-26,713,787.4286
2020-09-27,905,823.4286
2020-09-28,992,850.0
2020-09-29,812,852.5714
2020-09-30,928,884.4286
2020-10-01,882,883.1429
2020-10-02,915,878.1429
2020-10-03,741,882.1429
2020-10-04,630,842.8571
2020-10-05,554,780.2857
2020-10-06,820,781.4286
2020-10-07,582,732.0
2020-10-08,823,723.5714
2020-10-09,615,680.7143
2020-10-10,762,683.7143
2020-10-11,466,660.2857
2020-10-12,377,635.0
2020-10-13,818,634.7143
2020-10-14,828,669.8571
2020-10-15,728,656.2857
2020-10-16,790,681.2857
2020-10-17,728,676.4286
2020-10-18,653,703.1429
2020-10-19,752,756.7143
2020-10-20,556,719.2857
2020-10-21,815,717.4286
2020-10-22,590,697.7143
2020-10-23,565,665.5714
2020-10-24,526,636.7143
2020-10-25,608,630.2857
2020-10-26,776,633.7143
2020-10-27,629,644.1429
2020-10-28,668,623.1429
2020-10-29,698,638.5714
2020-10-30,622,646.7143
2020-10-31,483,640.5714
2020-11-01,211,583.8571
2020-11-02,180,498.7143
2020-11-03,566,489.7143
2020-11-04,453,459.0
2020-11-05,300,402.1429
2020-11-06,471,380.5714
2020-11-07,424,372.1429
2020-11-08,539,419.0
2020-11-09,472,460.7143
2020-11-10,509,452.5714
2020-11-11,423,448.2857
2020-11-12,686,503.4286
2020-11-13,533,512.2857
2020-11-14,700,551.7143
2020-11-15,280,514.7143
2020-11-16,411,506.0
2020-11-17,628,523.0
2020-11-18,495,533.2857
2020-11-19,756,543.2857
2020-11-20,554,546.2857
2020-11-21,542,523.7143
2020-11-22,280,523.7143
2020-11-23,859,587.7143
2020-11-24,496,568.8571
2020-11-25,860,621.0
2020-11-26,824,630.7143
2020-11-27,884,677.8571
2020-11-28,494,671.0
2020-11-29,627,720.5714
2020-11-30,444,661.2857
2020-12-01,976,729.8571
2020-12-02,783,718.8571
2020-12-03,521,675.5714
2020-12-04,1355,742.8571
2020-12-05,595,757.2857
2020-12-06,355,718.4286
2020-12-07,645,747.1429
2020-12-08,1104,765.4286
2020-12-09,842,773.8571
2020-12-10,792,812.5714
2020-12-11,831,737.7143
2020-12-12,689,751.1429
2020-12-13,462,766.4286
2020-12-14,1036,822.2857
2020-12-15,737,769.8571
2020-12-16,531,725.4286
2020-12-17,899,740.7143
2020-12-18,913,752.4286
2020-12-19,622,742.8571
2020-12-20,409,735.2857
2020-12-21,1000,730.1429
2020-12-22,629,714.7143
2020-12-23,525,713.8571
2020-12-24,552,664.2857
2020-12-25,329,580.8571
2020-12-26,650,584.8571
2020-12-27,615,614.2857
2020-12-28,1193,641.8571
2020-12-29,721,655.0
2020-12-30,678,676.8571
2020-12-31,566,678.8571
2021-01-01,376,685.5714
2021-01-02,797,706.5714
2021-01-03,481,687.4286
2021-01-04,955,653.4286
2021-01-05,1565,774.0
2021-01-06,0,677.1429
2021-01-07,807,711.5714
2021-01-08,673,754.0
2021-01-09,798,754.1429
2021-01-10,658,779.4286
2021-01-11,986,783.8571
2021-01-12,1000,703.1429
2021-01-13,659,797.2857
2021-01-14,766,791.4286
2021-01-15,706,796.1429
2021-01-16,828,800.4286
2021-01-17,471,773.7143
2021-01-18,1047,782.4286
2021-01-19,612,727.0
2021-01-20,620,721.4286
2021-01-21,834,731.1429
2021-01-22,1054,780.8571
2021-01-23,956,799.1429
2021-01-24,821,849.1429
2021-01-25,1148,863.5714
2021-01-26,1056,927.0
2021-01-27,1052,988.7143
2021-01-28,1174,1037.2857
2021-01-29,1087,1042.0
2021-01-30,884,1031.7143
2021-01-31,538,991.2857
2021-02-01,797,941.1429
2021-02-02,409,848.7143
2021-02-03,656,792.1429
2021-02-04,430,685.8571
2021-02-05,624,619.7143
2021-02-06,573,575.2857
2021-02-07,403,556.0
2021-02-08,544,519.8571
2021-02-09,525,536.4286
2021-02-10,578,525.2857
2021-02-11,545,541.7143
2021-02-12,512,525.7143
2021-02-13,595,528.8571
2021-02-14,537,548.0
2021-02-15,738,575.7143
2021-02-16,561,580.8571
2021-02-17,583,581.5714
2021-02-18,645,595.8571
2021-02-19,864,646.1429
2021-02-20,748,668.0
2021-02-21,843,711.7143
2021-02-22,951,742.1429
2021-02-23,582,745.1429
2021-02-24,1361,856.2857
2021-02-25,1068,916.7143
2021-02-26,1129,954.5714
2021-02-27,704,948.2857
2021-02-28,1079,982.0
2021-03-01,2142,1152.1429
2021-03-02,563,1149.4286
2021-03-03,1520,1172.1429
2021-03-04,1266,1200.4286
2021-03-05,1500,1253.4286
2021-03-06,1692,1394.5714
2021-03-07,874,1365.2857
2021-03-08,2288,1386.1429
2021-03-09,1008,1449.7143
2021-03-10,1551,1454.1429
2021-03-11,1858,1538.7143
2021-03-12,1565,1548.0
2021-03-13,1660,1543.4286
2021-03-14,1699,1661.2857
2021-03-15,2056,1628.1429
2021-03-16,1429,1688.2857
2021-03-17,1321,1655.4286
2021-03-18,1890,1660.0
2021-03-19,1507,1651.7143
2021-03-20,1739,1663.0
2021-03-21,1080,1574.5714
2021-03-22,1854,1545.7143
2021-03-23,1397,1541.1429
2021-03-24,1195,1523.1429
2021-03-25,1805,1511.0
2021-03-26,2141,1601.5714
2021-03-27,1636,1586.8571
2021-03-28,1236,1609.1429
2021-03-29,1592,1571.7143
2021-03-30,1353,1565.4286
2021-03-31,1253,1573.7143
2021-04-01,1318,1504.1429
2021-04-02,1191,1368.4286
2021-04-03,1814,1393.8571
2021-04-04,1088,1372.7143
2021-04-05,1388,1343.5714
2021-04-06,904,1279.4286
2021-04-07,1139,1263.1429
2021-04-08,1610,1304.8571
2021-04-09,1742,1383.5714
2021-04-10,1203,1296.2857
2021-04-11,1361,1335.2857
2021-04-12,1002,1280.1429
2021-04-13,899,1279.4286
2021-04-14,1356,1310.4286
2021-04-15,965,1218.2857
2021-04-16,1108,1127.7143
2021-04-17,1194,1126.4286
2021-04-18,1062,1083.7143
2021-04-19,1261,1120.7143
2021-04-20,955,1128.7143
2021-04-21,884,1061.2857
2021-04-22,878,1048.8571
2021-04-23,1033,1038.1429
2021-04-24,844,988.1429
2021-04-25,938,970.4286
2021-04-26,1087,945.5714
2021-04-27,918,940.2857
2021-04-28,1221,988.4286
2021-04-29,929,995.7143
2021-04-30,1127,1009.1429
2021-05-01,969,1027.0
2021-05-02,887,1019.7143
2021-05-03,829,982.8571
2021-05-04,763,960.7143
2021-05-05,799,900.4286
2021-05-06,1001,910.7143
2021-05-07,820,866.8571
2021-05-08,912,858.7143
2021-05-09,925,864.1429
2021-05-10,832,864.5714
2021-05-11,766,865.0
2021-05-12,892,878.2857
2021-05-13,939,869.4286
2021-05-14,688,850.5714
2021-05-15,883,846.4286
2021-05-16,894,842.0
2021-05-17,1049,873.0
2021-05-18,592,848.1429
2021-05-19,990,862.1429
2021-05-20,874,852.8571
2021-05-21,898,882.8571
2021-05-22,730,861.0
2021-05-23,735,838.2857
2021-05-24,899,816.8571
2021-05-25,839,852.1429
2021-05-26,789,823.4286
2021-05-27,1205,870.7143
2021-05-28,993,884.2857
2021-05-29,1015,925.0
2021-05-30,811,935.8571
2021-05-31,902,936.2857
2021-06-01,836,935.8571
2021-06-02,801,937.5714
2021-06-03,487,835.0
2021-06-04,1120,853.1429
2021-06-05,912,838.4286
2021-06-06,1028,869.4286
2021-06-07,877,865.8571
2021-06-08,744,852.7143
2021-06-09,714,840.2857
2021-06-10,631,860.8571
2021-06-11,822,818.2857
2021-06-12,1254,867.1429
2021-06-13,1150,884.5714
2021-06-14,810,875.0
2021-06-15,570,850.1429
2021-06-16,889,875.1429
2021-06-17,800,899.2857
2021-06-18,771,892.0
2021-06-19,1014,857.7143
2021-06-20,905,822.7143
2021-06-21,795,820.5714
2021-06-22,690,837.7143
2021-06-23,602,796.7143
2021-06-24,665,777.4286
2021-06-25,856,789.5714
2021-06-26,786,757.0
2021-06-27,920,759.1429
2021-06-28,666,740.7143
2021-06-29,618,730.4286
2021-06-30,825,762.2857
2021-07-01,690,765.8571
2021-07-02,620,732.1429
2021-07-03,721,722.8571
2021-07-04,1013,736.1429
2021-07-05,609,728.0
2021-07-06,594,724.5714
