date,newCases,rollingAvg
2020-03-12,0,0.1429
2020-03-13,0,0.0
2020-03-14,0,0.0
2020-03-15,0,0.0
2020-03-16,0,0.0
2020-03-17,0,0.0
2020-03-18,8,1.1429
2020-03-19,4,1.7143
2020-03-20,3,2.1429
2020-03-21,10,3.5714
2020-03-22,0,3.5714
2020-03-23,7,4.5714
2020-03-24,7,5.5714
2020-03-25,0,4.4286
2020-03-26,8,5.0
2020-03-27,6,5.4286
2020-03-28,7,5.0
2020-03-29,11,6.5714
2020-03-30,13,7.4286
2020-03-31,12,8.1429
2020-04-01,23,11.4286
2020-04-02,19,13.0
2020-04-03,14,14.1429
2020-04-04,13,15.0
2020-04-05,28,17.4286
2020-04-06,15,17.7143
2020-04-07,18,18.5714
2020-04-08,46,21.8571
2020-04-09,27,23.0
2020-04-10,49,28.0
2020-04-11,34,31.0
2020-04-12,47,33.7143
2020-04-13,33,36.2857
2020-04-14,94,47.1429
2020-04-15,177,65.8571
2020-04-16,201,90.7143
2020-04-17,17,86.1429
2020-04-18,147,102.2857
2020-04-19,96,109.2857
2020-04-20,17,107.0
2020-04-21,101,108.0
2020-04-22,38,88.1429
2020-04-23,102,74.0
2020-04-24,212,101.8571
2020-04-25,46,87.4286
2020-04-26,108,89.1429
2020-04-27,125,104.5714
2020-04-28,220,121.5714
2020-04-29,374,169.5714
2020-04-30,150,176.4286
2020-05-01,225,178.2857
2020-05-02,191,199.0
2020-05-03,104,198.4286
2020-05-04,143,201.0
2020-05-05,189,196.5714
2020-05-06,174,168.0
2020-05-07,274,185.7143
2020-05-08,254,189.8571
2020-05-09,170,186.8571
2020-05-10,187,198.7143
2020-05-11,220,209.7143
2020-05-12,268,221.0
2020-05-13,314,241.0
2020-05-14,412,260.7143
2020-05-15,385,279.4286
2020-05-16,397,311.8571
2020-05-17,149,306.4286
2020-05-18,413,334.0
2020-05-19,536,372.2857
2020-05-20,802,442.0
2020-05-21,383,437.8571
2020-05-22,642,474.5714
2020-05-23,398,474.7143
2020-05-24,89,466.1429
2020-05-25,358,458.2857
2020-05-26,524,456.5714
2020-05-27,595,427.0
2020-05-28,719,475.0
2020-05-29,700,483.2857
2020-05-30,534,502.7143
2020-05-31,253,526.1429
2020-06-01,595,560.0
2020-06-02,866,608.8571
2020-06-03,970,662.4286
2020-06-04,773,670.1429
2020-06-05,1215,743.7143
2020-06-06,841,787.5714
2020-06-07,669,847.0
2020-06-08,1040,910.5714
2020-06-09,1305,973.2857
2020-06-10,1427,1038.5714
2020-06-11,1037,1076.2857
2020-06-12,1074,1056.1429
2020-06-13,509,1008.7143
2020-06-14,458,978.5714
2020-06-15,1183,999.0
2020-06-16,1378,1009.4286
2020-06-17,1477,1016.5714
2020-06-18,1265,1049.1429
2020-06-19,1460,1104.2857
2020-06-20,1006,1175.2857
2020-06-21,628,1199.5714
2020-06-22,1281,1213.5714
2020-06-23,680,1113.8571
2020-06-24,1656,1139.4286
2020-06-25,1923,1233.4286
2020-06-26,1246,1202.8571
2020-06-27,0,1059.1429
2020-06-28,2031,1259.5714
2020-06-29,1414,1278.5714
2020-06-30,1796,1438.0
2020-07-01,1928,1476.8571
2020-07-02,1421,1405.1429
2020-07-03,1447,1433.8571
2020-07-04,1135,1596.0
2020-07-05,569,1387.1429
2020-07-06,1154,1350.0
2020-07-07,2156,1401.4286
2020-07-08,2138,1431.4286
2020-07-09,1168,1395.2857
2020-07-10,1352,1381.7143
2020-07-11,1032,1367.0
2020-07-12,480,1354.2857
2020-07-13,1008,1333.4286
2020-07-14,1332,1215.7143
2020-07-15,1139,1073.0
2020-07-16,1766,1158.4286
2020-07-17,1345,1157.4286
2020-07-18,668,1105.4286
2020-07-19,478,1105.1429
2020-07-20,1094,1117.4286
2020-07-21,902,1056.0
2020-07-22,1150,1057.5714
2020-07-23,855,927.4286
2020-07-24,1244,913.0
2020-07-25,744,923.8571
2020-07-26,603,941.7143
2020-07-27,979,925.2857
2020-07-28,1288,980.4286
2020-07-29,1179,984.5714
2020-07-30,1239,1039.4286
2020-07-31,1406,1062.5714
2020-08-01,522,1030.8571
2020-08-02,441,1007.7143
2020-08-03,960,1005.0
2020-08-04,994,963.0
2020-08-05,1034,942.2857
2020-08-06,1300,951.0
2020-08-07,1380,947.2857
2020-08-08,1223,1047.4286
2020-08-09,645,1076.5714
2020-08-10,1278,1122.0
2020-08-11,1409,1181.2857
2020-08-12,1275,1215.7143
2020-08-13,1196,1200.8571
2020-08-14,1157,1169.0
2020-08-15,659,1088.4286
2020-08-16,815,1112.7143
2020-08-17,1279,1112.8571
2020-08-18,1015,1056.5714
2020-08-19,1216,1048.1429
2020-08-20,1079,1031.4286
2020-08-21,819,983.1429
2020-08-22,645,981.1429
2020-08-23,259,901.7143
2020-08-24,602,805.0
2020-08-25,697,759.5714
2020-08-26,718,688.4286
2020-08-27,753,641.8571
2020-08-28,831,643.5714
2020-08-29,532,627.4286
2020-08-30,326,637.0
2020-08-31,912,681.2857
2020-09-01,809,697.2857
2020-09-02,755,702.5714
2020-09-03,932,728.1429
2020-09-04,941,743.8571
2020-09-05,472,735.2857
2020-09-06,333,736.2857
2020-09-07,288,647.1429
2020-09-08,785,643.7143
2020-09-09,692,634.7143
2020-09-10,868,625.5714
2020-09-11,676,587.7143
2020-09-12,540,597.4286
2020-09-13,194,577.5714
2020-09-14,704,637.0
2020-09-15,722,628.0
2020-09-16,736,634.2857
2020-09-17,761,619.0
2020-09-18,802,637.0
2020-09-19,447,623.7143
2020-09-20,571,677.5714
2020-09-21,894,704.7143
2020-09-22,686,699.5714
2020-09-23,735,699.4286
2020-09-24,762,699.5714
2020-09-25,897,713.1429
2020-09-26,457,714.5714
2020-09-27,470,700.1429
2020-09-28,604,658.7143
2020-09-29,918,691.8571
2020-09-30,776,697.7143
2020-10-01,860,711.7143
2020-10-02,675,680.0
2020-10-03,719,717.4286
2020-10-04,552,729.1429
2020-10-05,705,743.5714
2020-10-06,849,733.7143
2020-10-07,740,728.5714
2020-10-08,740,711.4286
2020-10-09,769,724.8571
2020-10-10,363,674.0
2020-10-11,471,662.4286
2020-10-12,822,679.1429
2020-10-13,946,693.0
2020-10-14,847,708.2857
2020-10-15,871,727.0
2020-10-16,674,713.4286
2020-10-17,861,784.5714
2020-10-18,461,783.1429
2020-10-19,1000,808.5714
2020-10-20,818,790.2857
2020-10-21,1162,835.2857
2020-10-22,660,805.1429
2020-10-23,1094,865.1429
2020-10-24,505,814.2857
2020-10-25,663,843.1429
2020-10-26,959,837.2857
2020-10-27,940,854.7143
2020-10-28,788,801.2857
2020-10-29,1127,868.0
2020-10-30,605,798.1429
2020-10-31,985,866.7143
2020-11-01,297,814.4286
2020-11-02,663,772.1429
2020-11-03,1069,790.5714
2020-11-04,1018,823.4286
2020-11-05,1045,811.7143
2020-11-06,1077,879.1429
2020-11-07,318,783.8571
2020-11-08,1220,915.7143
2020-11-09,644,913.0
2020-11-10,1587,987.0
2020-11-11,1029,988.5714
2020-11-12,1311,1026.5714
2020-11-13,1359,1066.8571
2020-11-14,481,1090.1429
2020-11-15,1089,1071.4286
2020-11-16,1309,1166.4286
2020-11-17,1687,1180.7143
2020-11-18,1314,1221.4286
2020-11-19,1062,1185.8571
2020-11-20,1603,1220.7143
2020-11-21,583,1235.2857
2020-11-22,673,1175.8571
2020-11-23,1358,1182.8571
2020-11-24,1789,1197.4286
2020-11-25,1549,1231.0
2020-11-26,1946,1357.2857
2020-11-27,1773,1381.5714
2020-11-28,1768,1550.8571
2020-11-29,587,1538.5714
2020-11-30,1072,1497.7143
2020-12-01,1972,1523.8571
2020-12-02,1852,1567.1429
2020-12-03,1612,1519.4286
2020-12-04,1667,1504.2857
2020-12-05,1843,1515.0
2020-12-06,1310,1618.2857
2020-12-07,1890,1735.1429
2020-12-08,2418,1798.8571
2020-12-09,2419,1879.8571
2020-12-10,1524,1867.2857
2020-12-11,2076,1925.7143
2020-12-12,1720,1908.1429
2020-12-13,820,1838.1429
2020-12-14,2414,1913.0
2020-12-15,2400,1910.4286
2020-12-16,2989,1991.8571
2020-12-17,2292,2101.5714
2020-12-18,2139,2110.5714
2020-12-19,1887,2134.4286
2020-12-20,1496,2231.0
2020-12-21,1679,2126.0
2020-12-22,2340,2117.4286
2020-12-23,1734,1938.1429
2020-12-24,1744,1859.8571
2020-12-25,740,1660.0
2020-12-26,1448,1597.2857
2020-12-27,610,1470.7143
2020-12-28,3517,1733.2857
2020-12-29,1698,1641.5714
2020-12-30,2676,1776.1429
2020-12-31,1324,1716.1429
2021-01-01,1020,1756.1429
2021-01-02,973,1688.2857
2021-01-03,1405,1801.8571
2021-01-04,1466,1508.8571
2021-01-05,2496,1622.8571
2021-01-06,1684,1481.1429
2021-01-07,1646,1527.1429
2021-01-08,2029,1671.2857
2021-01-09,1187,1701.8571
2021-01-10,1347,1693.5714
2021-01-11,2052,1777.2857
2021-01-12,1895,1691.4286
2021-01-13,1772,1704.0
2021-01-14,1818,1728.5714
2021-01-15,1990,1723.0
2021-01-16,1478,1764.5714
2021-01-17,995,1714.2857
2021-01-18,1853,1685.8571
2021-01-19,1682,1655.4286
2021-01-20,1387,1600.4286
2021-01-21,1618,1571.8571
2021-01-22,1952,1566.4286
2021-01-23,858,1477.8571
2021-01-24,800,1450.0
2021-01-25,1551,1406.8571
2021-01-26,1155,1331.5714
2021-01-27,1246,1311.4286
2021-01-28,1169,1247.2857
2021-01-29,1613,1198.8571
2021-01-30,642,1168.0
2021-01-31,1099,1210.7143
2021-02-01,1230,1164.8571
2021-02-02,1282,1183.0
2021-02-03,1120,1165.0
2021-02-04,1463,1207.0
2021-02-05,1505,1191.5714
2021-02-06,1132,1261.5714
2021-02-07,993,1246.4286
2021-02-08,886,1197.2857
2021-02-09,1119,1174.0
2021-02-10,1570,1238.2857
2021-02-11,1534,1248.4286
2021-02-12,1436,1238.5714
2021-02-13,776,1187.7143
2021-02-14,588,1129.8571
2021-02-15,515,1076.8571
2021-02-16,407,975.1429
2021-02-17,929,883.5714
2021-02-18,1062,816.1429
2021-02-19,1634,844.4286
2021-02-20,1254,912.7143
2021-02-21,1175,996.5714
2021-02-22,1073,1076.2857
2021-02-23,1371,1214.0
2021-02-24,1447,1288.0
2021-02-25,1413,1338.1429
