date,newCases,rollingAvg
2020-03-18,2,1.7143
2020-03-19,3,1.7143
2020-03-20,3,2.1429
2020-03-21,2,2.2857
2020-03-22,1,2.4286
2020-03-23,2,2.0
2020-03-24,6,2.7143
2020-03-25,6,3.2857
2020-03-26,4,3.4286
2020-03-27,10,4.4286
2020-03-28,7,5.1429
2020-03-29,2,5.2857
2020-03-30,3,5.4286
2020-03-31,4,5.1429
2020-04-01,8,5.4286
2020-04-02,0,4.8571
2020-04-03,15,5.5714
2020-04-04,15,6.7143
2020-04-05,12,8.1429
2020-04-06,4,8.2857
2020-04-07,14,9.7143
2020-04-08,26,12.2857
2020-04-09,20,15.1429
2020-04-10,12,14.7143
2020-04-11,18,15.1429
2020-04-12,20,16.2857
2020-04-13,4,16.2857
2020-04-14,51,21.5714
2020-04-15,20,20.7143
2020-04-16,14,19.8571
2020-04-17,17,20.5714
2020-04-18,43,24.1429
2020-04-19,15,23.4286
2020-04-20,10,24.2857
2020-04-21,18,19.5714
2020-04-22,17,19.1429
2020-04-23,15,19.2857
2020-04-24,33,21.5714
2020-04-25,20,18.2857
2020-04-26,67,25.7143
2020-04-27,43,30.4286
2020-04-28,45,34.2857
2020-04-29,44,38.1429
2020-04-30,76,46.8571
2020-05-01,27,46.0
2020-05-02,17,45.5714
2020-05-03,25,39.5714
2020-05-04,11,35.0
2020-05-05,61,37.2857
2020-05-06,102,45.5714
2020-05-07,3,35.1429
2020-05-08,26,35.0
2020-05-09,16,34.8571
2020-05-10,24,34.7143
2020-05-11,7,34.1429
2020-05-12,15,27.5714
2020-05-13,110,28.7143
2020-05-14,235,61.8571
2020-05-15,145,78.8571
2020-05-16,47,83.2857
2020-05-17,40,85.5714
2020-05-18,89,97.2857
2020-05-19,99,109.2857
2020-05-20,169,117.7143
2020-05-21,106,99.2857
2020-05-22,189,105.5714
2020-05-23,91,111.8571
2020-05-24,53,113.7143
2020-05-25,27,104.8571
2020-05-26,191,118.0
2020-05-27,200,122.4286
2020-05-28,195,135.1429
2020-05-29,420,168.1429
