date,newCases,rollingAvg
2020-03-26,2,1.4286
2020-03-27,3,1.7143
2020-03-28,2,1.8571
2020-03-29,6,2.7143
2020-03-30,9,3.1429
2020-03-31,21,6.1429
2020-04-01,19,8.8571
2020-04-02,10,10.0
2020-04-03,7,10.5714
2020-04-04,8,11.4286
2020-04-05,37,15.8571
2020-04-06,39,20.1429
2020-04-07,58,25.4286
2020-04-08,43,28.8571
2020-04-09,21,30.4286
2020-04-10,51,36.7143
2020-04-11,54,43.2857
2020-04-12,47,44.7143
2020-04-13,33,43.8571
2020-04-14,152,57.2857
2020-04-15,65,60.4286
2020-04-16,102,72.0
2020-04-17,243,99.4286
2020-04-18,165,115.2857
2020-04-19,115,125.0
2020-04-20,90,133.1429
2020-04-21,194,139.1429
2020-04-22,153,151.7143
2020-04-23,194,164.8571
2020-04-24,154,152.1429
2020-04-25,118,145.4286
2020-04-26,187,155.7143
2020-04-27,118,159.7143
2020-04-28,276,171.4286
2020-04-29,386,204.7143
2020-04-30,316,222.1429
2020-05-01,299,242.8571
2020-05-02,235,259.5714
2020-05-03,187,259.5714
2020-05-04,303,286.0
2020-05-05,498,317.7143
2020-05-06,361,314.1429
2020-05-07,520,343.2857
2020-05-08,856,422.8571
2020-05-09,834,508.4286
2020-05-10,545,559.5714
2020-05-11,382,570.8571
2020-05-12,586,583.4286
2020-05-13,689,630.2857
2020-05-14,938,690.0
2020-05-15,853,689.5714
2020-05-16,900,699.0
2020-05-17,746,727.7143
2020-05-18,960,810.2857
2020-05-19,916,857.4286
2020-05-20,944,893.8571
2020-05-21,1154,924.7143
2020-05-22,1555,1025.0
2020-05-23,2424,1242.7143
2020-05-24,1595,1364.0
2020-05-25,1492,1440.0
2020-05-26,1867,1575.8571
2020-05-27,1834,1703.0
2020-05-28,2503,1895.7143
2020-05-29,2138,1979.0
2020-05-30,2019,1921.1429
2020-05-31,658,1787.2857
2020-06-01,1328,1763.8571
2020-06-02,1549,1718.4286
2020-06-03,2455,1807.1429
2020-06-04,2684,1833.0
2020-06-05,2157,1835.7143
2020-06-06,2123,1850.5714
2020-06-07,944,1891.4286
2020-06-08,834,1820.8571
2020-06-09,2698,1985.0
2020-06-10,1439,1839.8571
2020-06-11,2172,1766.7143
2020-06-12,1925,1733.5714
2020-06-13,1254,1609.4286
2020-06-14,991,1616.1429
2020-06-15,742,1603.0
2020-06-16,2119,1520.2857
2020-06-17,2024,1603.8571
2020-06-18,1356,1487.2857
2020-06-19,2409,1556.4286
2020-06-20,1173,1544.8571
2020-06-21,386,1458.4286
2020-06-22,630,1442.4286
2020-06-23,1332,1330.0
2020-06-24,1293,1225.5714
2020-06-25,1611,1262.0
2020-06-26,1773,1171.1429
2020-06-27,1417,1206.0
2020-06-28,397,1207.5714
2020-06-29,457,1182.8571
2020-06-30,1482,1204.2857
2020-07-01,2805,1420.2857
2020-07-02,2769,1585.7143
2020-07-03,2189,1645.1429
2020-07-04,843,1563.1429
2020-07-05,657,1600.2857
2020-07-06,537,1611.7143
2020-07-07,1837,1662.4286
2020-07-08,851,1383.2857
2020-07-09,2384,1328.2857
2020-07-10,1395,1214.8571
2020-07-11,1680,1334.4286
2020-07-12,554,1319.7143
2020-07-13,878,1368.4286
2020-07-14,1637,1339.8571
2020-07-15,1002,1361.4286
2020-07-16,1657,1257.5714
2020-07-17,1057,1209.2857
2020-07-18,909,1099.1429
2020-07-19,233,1053.2857
2020-07-20,581,1010.8571
2020-07-21,1248,955.2857
2020-07-22,1577,1037.4286
2020-07-23,1757,1051.7143
2020-07-24,1195,1071.4286
2020-07-25,880,1067.2857
2020-07-26,328,1080.8571
2020-07-27,694,1097.0
2020-07-28,1403,1119.1429
2020-07-29,1706,1137.5714
2020-07-30,1568,1110.5714
2020-07-31,1399,1139.7143
2020-08-01,920,1145.4286
2020-08-02,372,1151.7143
2020-08-03,529,1128.1429
2020-08-04,1405,1128.4286
2020-08-05,1572,1109.2857
2020-08-06,1606,1114.7143
2020-08-07,1781,1169.2857
2020-08-08,854,1159.8571
2020-08-09,436,1169.0
2020-08-10,430,1154.8571
2020-08-11,1494,1167.5714
2020-08-12,1205,1115.1429
2020-08-13,928,1018.2857
2020-08-14,1131,925.4286
2020-08-15,956,940.0
2020-08-16,573,959.5714
2020-08-17,555,977.4286
2020-08-18,1777,1017.8571
2020-08-19,1386,1043.7143
2020-08-20,1289,1095.2857
2020-08-21,1243,1111.2857
2020-08-22,770,1084.7143
2020-08-23,527,1078.1429
2020-08-24,495,1069.5714
2020-08-25,1026,962.2857
2020-08-26,1755,1015.0
2020-08-27,1247,1009.0
2020-08-28,1221,1005.8571
2020-08-29,751,1003.1429
2020-08-30,317,973.1429
2020-08-31,403,960.0
2020-09-01,1066,965.7143
2020-09-02,1787,970.2857
2020-09-03,1249,970.5714
2020-09-04,1335,986.8571
2020-09-05,792,992.7143
2020-09-06,206,976.8571
2020-09-07,260,956.4286
2020-09-08,853,926.0
2020-09-09,1076,824.4286
2020-09-10,729,750.1429
2020-09-11,1026,706.0
2020-09-12,482,661.7143
2020-09-13,107,647.5714
2020-09-14,415,669.7143
2020-09-15,804,662.7143
2020-09-16,968,647.2857
2020-09-17,729,647.2857
2020-09-18,1081,655.1429
2020-09-19,753,693.8571
2020-09-20,324,724.8571
2020-09-21,291,707.1429
2020-09-22,965,730.1429
2020-09-23,777,702.8571
2020-09-24,496,669.5714
2020-09-25,737,620.4286
2020-09-26,557,592.4286
2020-09-27,275,585.4286
2020-09-28,421,604.0
2020-09-29,669,561.7143
2020-09-30,719,553.4286
2020-10-01,631,572.7143
2020-10-02,593,552.1429
2020-10-03,430,534.0
2020-10-04,170,519.0
2020-10-05,365,511.0
2020-10-06,530,491.1429
2020-10-07,712,490.1429
2020-10-08,589,484.1429
2020-10-09,608,486.2857
2020-10-10,357,475.8571
2020-10-11,216,482.4286
2020-10-12,125,448.1429
2020-10-13,280,412.4286
2020-10-14,484,379.8571
2020-10-15,500,367.1429
2020-10-16,406,338.2857
2020-10-17,327,334.0
2020-10-18,164,326.5714
2020-10-19,494,379.2857
2020-10-20,475,407.1429
2020-10-21,463,404.1429
2020-10-22,461,398.5714
2020-10-23,517,414.4286
2020-10-24,302,410.8571
2020-10-25,175,412.4286
2020-10-26,184,368.1429
2020-10-27,546,378.2857
2020-10-28,332,359.5714
2020-10-29,341,342.4286
2020-10-30,373,321.8571
2020-10-31,113,294.8571
2020-11-01,90,282.7143
2020-11-02,69,266.2857
2020-11-03,223,220.1429
2020-11-04,363,224.5714
2020-11-05,332,223.2857
2020-11-06,390,225.7143
2020-11-07,261,246.8571
2020-11-08,97,247.8571
