date,newCases,rollingAvg
2020-03-14,2,0.5714
2020-03-15,0,0.4286
2020-03-16,2,0.7143
2020-03-17,8,1.8571
2020-03-18,5,2.5714
2020-03-19,10,3.8571
2020-03-20,9,5.1429
2020-03-21,17,7.2857
2020-03-22,28,11.2857
2020-03-23,45,17.4286
2020-03-24,2,16.5714
2020-03-25,3,16.2857
2020-03-26,20,17.7143
2020-03-27,36,21.5714
2020-03-28,16,21.4286
2020-03-29,26,21.1429
2020-03-30,30,19.0
2020-03-31,14,20.7143
2020-04-01,39,25.8571
2020-04-02,56,31.0
2020-04-03,27,29.7143
2020-04-04,33,32.1429
2020-04-05,68,38.1429
2020-04-06,27,37.7143
2020-04-07,34,40.5714
2020-04-08,55,42.8571
2020-04-09,41,40.7143
2020-04-10,43,43.0
2020-04-11,52,45.7143
2020-04-12,56,44.0
2020-04-13,9,41.4286
2020-04-14,69,46.4286
2020-04-15,19,41.2857
2020-04-16,55,43.2857
2020-04-17,63,46.1429
2020-04-18,56,46.7143
2020-04-19,77,49.7143
2020-04-20,35,53.4286
2020-04-21,41,49.4286
2020-04-22,53,54.2857
2020-04-23,25,50.0
2020-04-24,111,56.8571
2020-04-25,62,57.7143
2020-04-26,67,56.2857
2020-04-27,38,56.7143
2020-04-28,63,59.8571
2020-04-29,109,67.8571
2020-04-30,69,74.1429
2020-05-01,108,73.7143
2020-05-02,88,77.4286
2020-05-03,95,81.4286
2020-05-04,229,108.7143
2020-05-05,105,114.7143
2020-05-06,153,121.0
2020-05-07,165,134.7143
2020-05-08,173,144.0
2020-05-09,180,157.1429
2020-05-10,114,159.8571
2020-05-11,83,139.0
2020-05-12,115,140.4286
2020-05-13,298,161.1429
2020-05-14,217,168.5714
2020-05-15,246,179.0
2020-05-16,278,193.0
2020-05-17,137,196.2857
2020-05-18,84,196.4286
2020-05-19,282,220.2857
2020-05-20,309,221.8571
2020-05-21,310,235.1429
2020-05-22,399,257.0
2020-05-23,343,266.2857
2020-05-24,330,293.8571
2020-05-25,294,323.8571
2020-05-26,554,362.7143
2020-05-27,495,389.2857
2020-05-28,675,441.4286
2020-05-29,546,462.4286
2020-05-30,398,470.2857
2020-05-31,834,542.2857
2020-06-01,206,529.7143
2020-06-02,269,489.0
2020-06-03,1071,571.2857
2020-06-04,1024,621.1429
2020-06-05,961,680.4286
2020-06-06,944,758.4286
2020-06-07,764,748.4286
2020-06-08,180,744.7143
2020-06-09,219,737.5714
2020-06-10,1399,784.4286
2020-06-11,947,773.4286
2020-06-12,1658,873.0
2020-06-13,508,810.7143
2020-06-14,767,811.1429
2020-06-15,347,835.0
2020-06-16,296,846.0
2020-06-17,1323,835.1429
2020-06-18,1559,922.5714
2020-06-19,1146,849.4286
2020-06-20,1253,955.8571
2020-06-21,336,894.2857
2020-06-22,1277,1027.1429
2020-06-23,979,1124.7143
2020-06-24,1446,1142.2857
2020-06-25,1426,1123.2857
2020-06-26,6122,1834.1429
2020-06-27,2075,1951.5714
2020-06-28,1775,2157.1429
2020-06-29,1123,2135.1429
2020-06-30,1137,2157.7143
2020-07-01,2583,2320.1429
2020-07-02,3123,2562.5714
2020-07-03,2644,2065.7143
2020-07-04,2607,2141.7143
2020-07-05,2325,2220.2857
2020-07-06,1343,2251.7143
2020-07-07,1271,2270.8571
2020-07-08,3138,2350.1429
2020-07-09,2829,2308.1429
2020-07-10,3222,2390.7143
2020-07-11,3727,2550.7143
2020-07-12,2038,2509.7143
2020-07-13,971,2456.5714
2020-07-14,1821,2535.1429
2020-07-15,3367,2567.8571
2020-07-16,2460,2515.1429
2020-07-17,2801,2455.0
2020-07-18,3604,2437.4286
2020-07-19,2097,2445.8571
2020-07-20,1160,2472.8571
2020-07-21,1434,2417.5714
2020-07-22,3175,2390.1429
2020-07-23,3827,2585.4286
2020-07-24,4244,2791.5714
2020-07-25,3281,2745.4286
2020-07-26,2478,2799.8571
2020-07-27,1147,2798.0
2020-07-28,2927,3011.2857
2020-07-29,2749,2950.4286
2020-07-30,4021,2978.1429
2020-07-31,3691,2899.1429
2020-08-01,2879,2841.7143
2020-08-02,2816,2890.0
2020-08-03,942,2860.7143
2020-08-04,1985,2726.1429
2020-08-05,3933,2895.2857
2020-08-06,3167,2773.2857
2020-08-07,4495,2888.1429
2020-08-08,3400,2962.5714
2020-08-09,3204,3018.0
2020-08-10,1148,3047.4286
2020-08-11,1476,2974.7143
2020-08-12,3934,2974.8571
2020-08-13,4430,3155.2857
2020-08-14,3513,3015.0
2020-08-15,3086,2970.1429
2020-08-16,2888,2925.0
2020-08-17,1313,2948.5714
2020-08-18,2072,3033.7143
2020-08-19,3371,2953.2857
2020-08-20,3904,2878.1429
2020-08-21,3561,2885.0
2020-08-22,2884,2856.1429
2020-08-23,3107,2887.4286
2020-08-24,1306,2886.4286
2020-08-25,2816,2992.7143
2020-08-26,3237,2973.5714
2020-08-27,3969,2982.8571
2020-08-28,3523,2977.4286
2020-08-29,3100,3008.2857
2020-08-30,2485,2919.4286
2020-08-31,1507,2948.1429
2020-09-01,2224,2863.5714
2020-09-02,3267,2867.8571
2020-09-03,2939,2720.7143
2020-09-04,3026,2649.7143
2020-09-05,3865,2759.0
2020-09-06,2926,2822.0
2020-09-07,1208,2779.2857
2020-09-08,651,2554.5714
2020-09-09,1852,2352.4286
2020-09-10,4018,2506.5714
2020-09-11,3616,2590.8571
2020-09-12,4041,2616.0
2020-09-13,2073,2494.1429
2020-09-14,1734,2569.2857
2020-09-15,1609,2706.1429
2020-09-16,2989,2868.5714
2020-09-17,3406,2781.1429
2020-09-18,3184,2719.4286
2020-09-19,2824,2545.5714
2020-09-20,2044,2541.4286
2020-09-21,1141,2456.7143
2020-09-22,2039,2518.1429
2020-09-23,3081,2531.2857
2020-09-24,2587,2414.2857
2020-09-25,4578,2613.4286
2020-09-26,2871,2620.1429
2020-09-27,2269,2652.2857
2020-09-28,1518,2706.1429
2020-09-29,2154,2722.5714
2020-09-30,2878,2693.5714
2020-10-01,3438,2815.1429
2020-10-02,3475,2657.5714
2020-10-03,3445,2739.5714
2020-10-04,1672,2654.2857
2020-10-05,1267,2618.4286
2020-10-06,1658,2547.5714
2020-10-07,2908,2551.8571
2020-10-08,2009,2347.7143
2020-10-09,3049,2286.8571
2020-10-10,3050,2230.4286
2020-10-11,1796,2248.1429
2020-10-12,1031,2214.4286
2020-10-13,659,2071.7143
2020-10-14,1346,1848.5714
2020-10-15,2430,1908.7143
2020-10-16,3031,1906.1429
2020-10-17,2565,1836.8571
2020-10-18,1685,1821.0
2020-10-19,965,1811.5714
2020-10-20,1459,1925.8571
2020-10-21,2395,2075.7143
2020-10-22,2657,2108.1429
2020-10-23,2029,1965.0
2020-10-24,1818,1858.2857
2020-10-25,1798,1874.4286
2020-10-26,708,1837.7143
2020-10-27,1521,1846.5714
2020-10-28,2278,1829.8571
2020-10-29,1915,1723.8571
2020-10-30,3745,1969.0
2020-10-31,0,1709.2857
2020-11-01,1020,1598.1429
2020-11-02,839,1616.8571
2020-11-03,326,1446.1429
2020-11-04,1184,1289.8571
2020-11-05,2201,1330.7143
2020-11-06,1762,1047.4286
2020-11-07,2306,1376.8571
2020-11-08,1347,1423.5714
2020-11-09,1035,1451.5714
2020-11-10,1491,1618.0
2020-11-11,2169,1758.7143
2020-11-12,1886,1713.7143
2020-11-13,2737,1853.0
2020-11-14,2036,1814.4286
2020-11-15,1572,1846.5714
2020-11-16,591,1783.1429
2020-11-17,1954,1849.2857
2020-11-18,2324,1871.4286
2020-11-19,2586,1971.4286
2020-11-20,2773,1976.5714
2020-11-21,2424,2032.0
2020-11-22,1399,2007.2857
2020-11-23,1081,2077.2857
2020-11-24,1522,2015.5714
2020-11-25,4006,2255.8571
2020-11-26,3338,2363.2857
2020-11-27,2851,2374.4286
2020-11-28,3265,2494.5714
2020-11-29,2251,2616.2857
2020-11-30,1088,2617.2857
2020-12-01,3320,2874.1429
2020-12-02,4500,2944.7143
2020-12-03,4635,3130.0
2020-12-04,4291,3335.7143
2020-12-05,5223,3615.4286
2020-12-06,3011,3724.0
2020-12-07,871,3693.0
2020-12-08,2614,3592.1429
2020-12-09,4080,3532.1429
2020-12-10,4484,3510.5714
2020-12-11,6173,3779.4286
2020-12-12,5008,3748.7143
2020-12-13,3478,3815.4286
2020-12-14,980,3831.0
2020-12-15,4222,4060.7143
2020-12-16,4472,4116.7143
2020-12-17,5672,4286.4286
2020-12-18,5565,4199.5714
2020-12-19,5253,4234.5714
2020-12-20,3485,4235.5714
2020-12-21,1827,4356.5714
2020-12-22,4201,4353.5714
2020-12-23,6519,4646.0
2020-12-24,5969,4688.4286
2020-12-25,4030,4469.1429
2020-12-26,2113,4020.5714
2020-12-27,1217,3696.5714
2020-12-28,1110,3594.1429
2020-12-29,4995,3707.5714
2020-12-30,6391,3689.2857
2020-12-31,6865,3817.2857
2021-01-01,3975,3809.4286
2021-01-02,2418,3853.0
2021-01-03,1370,3874.8571
2021-01-04,1432,3920.8571
2021-01-05,4588,3862.7143
2021-01-06,9515,4309.0
2021-01-07,5450,4106.8571
2021-01-08,7812,4655.0
2021-01-09,8399,5509.4286
2021-01-10,4443,5948.4286
2021-01-11,2696,6129.0
2021-01-12,7826,6591.5714
2021-01-13,8319,6420.7143
2021-01-14,8694,6884.1429
2021-01-15,9120,7071.0
2021-01-16,7831,6989.8571
2021-01-17,6812,7328.2857
2021-01-18,2482,7297.7143
2021-01-19,5865,7017.5714
2021-01-20,7429,6890.4286
2021-01-21,8831,6910.0
2021-01-22,9593,6977.5714
2021-01-23,8873,7126.4286
2021-01-24,4171,6749.1429
2021-01-25,2697,6779.8571
2021-01-26,5707,6757.2857
2021-01-27,8392,6894.8571
2021-01-28,8318,6821.5714
2021-01-29,6000,6308.2857
2021-01-30,8001,6183.7143
2021-01-31,4518,6233.2857
