date,newCases,rollingAvg
2020-03-20,3,1.7143
2020-03-21,4,2.0
2020-03-22,5,2.7143
2020-03-23,0,2.4286
2020-03-24,3,2.5714
2020-03-25,0,2.4286
2020-03-26,1,2.2857
2020-03-27,3,2.2857
2020-03-28,3,2.1429
2020-03-29,5,2.1429
2020-03-30,8,3.2857
2020-03-31,4,3.4286
2020-04-01,3,3.8571
2020-04-02,2,4.0
2020-04-03,7,4.5714
2020-04-04,2,4.4286
2020-04-05,3,4.1429
2020-04-06,1,3.1429
2020-04-07,14,4.5714
2020-04-08,5,4.8571
2020-04-09,4,5.1429
2020-04-10,8,5.2857
2020-04-11,3,5.4286
2020-04-12,1,5.1429
2020-04-13,12,6.7143
2020-04-14,2,5.0
2020-04-15,6,5.1429
2020-04-16,10,6.0
2020-04-17,12,6.5714
2020-04-18,18,8.7143
2020-04-19,7,9.5714
2020-04-20,3,8.2857
2020-04-21,2,8.2857
2020-04-22,2,7.7143
2020-04-23,11,7.8571
2020-04-24,27,10.0
2020-04-25,4,8.0
2020-04-26,17,9.4286
2020-04-27,4,9.5714
2020-04-28,2,9.5714
2020-04-29,9,10.5714
2020-04-30,6,9.8571
2020-05-01,6,6.8571
2020-05-02,5,7.0
2020-05-03,6,5.4286
2020-05-04,2,5.1429
2020-05-05,9,6.1429
2020-05-06,5,5.5714
2020-05-07,23,8.0
2020-05-08,15,9.2857
2020-05-09,20,11.4286
2020-05-10,16,12.8571
2020-05-11,23,15.8571
2020-05-12,20,17.4286
2020-05-13,25,20.2857
2020-05-14,22,20.1429
2020-05-15,27,21.8571
2020-05-16,29,23.1429
2020-05-17,62,29.7143
2020-05-18,43,32.5714
2020-05-19,29,33.8571
2020-05-20,51,37.5714
2020-05-21,53,42.0
2020-05-22,59,46.5714
2020-05-23,53,50.0
2020-05-24,165,64.7143
2020-05-25,77,69.5714
2020-05-26,86,77.7143
2020-05-27,76,81.2857
2020-05-28,94,87.1429
2020-05-29,62,87.5714
2020-05-30,71,90.1429
2020-05-31,79,77.8571
2020-06-01,78,78.0
2020-06-02,156,88.0
2020-06-03,123,94.7143
2020-06-04,72,91.5714
2020-06-05,135,102.0
2020-06-06,121,109.1429
2020-06-07,71,108.0
2020-06-08,131,115.5714
2020-06-09,142,113.5714
2020-06-10,256,132.5714
2020-06-11,148,143.4286
2020-06-12,234,157.5714
2020-06-13,198,168.5714
2020-06-14,118,175.2857
2020-06-15,234,190.0
2020-06-16,379,223.8571
2020-06-17,110,203.0
2020-06-18,392,237.8571
2020-06-19,324,250.7143
2020-06-20,247,257.7143
2020-06-21,154,262.8571
2020-06-22,393,285.5714
2020-06-23,417,291.0
2020-06-24,322,321.2857
2020-06-25,390,321.0
2020-06-26,394,331.0
2020-06-27,220,327.1429
2020-06-28,149,326.4286
2020-06-29,289,311.5714
2020-06-30,711,353.5714
2020-07-01,386,362.7143
2020-07-02,326,353.5714
2020-07-03,522,371.8571
2020-07-04,179,366.0
2020-07-05,164,368.1429
2020-07-06,434,388.8571
2020-07-07,376,341.0
2020-07-08,608,372.7143
2020-07-09,590,410.4286
2020-07-10,708,437.0
2020-07-11,228,444.0
2020-07-12,264,458.2857
2020-07-13,473,463.8571
2020-07-14,697,509.7143
2020-07-15,699,522.7143
2020-07-16,475,506.2857
2020-07-17,201,433.8571
2020-07-18,397,458.0
2020-07-19,234,453.7143
2020-07-20,749,493.1429
2020-07-21,1503,608.2857
2020-07-22,782,620.1429
2020-07-23,632,642.5714
2020-07-24,712,715.5714
2020-07-25,499,730.1429
2020-07-26,288,737.8571
2020-07-27,641,722.4286
2020-07-28,968,646.0
2020-07-29,876,659.4286
2020-07-30,649,661.8571
2020-07-31,803,674.8571
2020-08-01,264,641.2857
2020-08-02,642,691.8571
2020-08-03,1033,747.8571
2020-08-04,637,700.5714
2020-08-05,786,687.7143
2020-08-06,887,721.7143
2020-08-07,719,709.7143
2020-08-08,637,763.0
2020-08-09,395,727.7143
2020-08-10,823,697.7143
2020-08-11,947,742.0
2020-08-12,1050,779.7143
2020-08-13,875,778.0
2020-08-14,1108,833.5714
2020-08-15,294,784.5714
2020-08-16,589,812.2857
2020-08-17,968,833.0
2020-08-18,988,838.8571
2020-08-19,820,806.0
2020-08-20,510,753.8571
2020-08-21,1177,763.7143
2020-08-22,610,808.8571
2020-08-23,567,805.7143
2020-08-24,1259,847.2857
2020-08-25,1035,854.0
2020-08-26,902,865.7143
2020-08-27,891,920.1429
2020-08-28,871,876.4286
2020-08-29,499,860.5714
2020-08-30,415,838.8571
2020-08-31,883,785.1429
2020-09-01,825,755.1429
2020-09-02,930,759.1429
2020-09-03,831,750.5714
2020-09-04,922,757.8571
2020-09-05,163,709.8571
2020-09-06,634,741.1429
2020-09-07,238,649.0
2020-09-08,982,671.4286
2020-09-09,701,638.7143
2020-09-10,2258,842.5714
2020-09-11,367,763.2857
2020-09-12,406,798.0
2020-09-13,331,754.7143
2020-09-14,889,847.7143
2020-09-15,666,802.5714
2020-09-16,831,821.1429
2020-09-17,1023,644.7143
2020-09-18,649,685.0
2020-09-19,382,681.5714
2020-09-20,185,660.7143
2020-09-21,926,666.0
2020-09-22,652,664.0
2020-09-23,815,661.7143
2020-09-24,770,625.5714
2020-09-25,638,624.0
2020-09-26,258,606.2857
2020-09-27,233,613.1429
2020-09-28,638,572.0
2020-09-29,743,585.0
2020-09-30,533,544.7143
2020-10-01,589,518.8571
2020-10-02,648,520.2857
2020-10-03,247,518.7143
2020-10-04,270,524.0
2020-10-05,553,511.8571
2020-10-06,481,474.4286
2020-10-07,521,472.7143
2020-10-08,544,466.2857
2020-10-09,475,441.5714
2020-10-10,108,421.7143
2020-10-11,164,406.5714
2020-10-12,237,361.4286
2020-10-13,485,362.0
2020-10-14,440,350.4286
2020-10-15,546,350.7143
2020-10-16,464,349.1429
2020-10-17,112,349.7143
2020-10-18,367,378.7143
2020-10-19,453,409.5714
2020-10-20,417,399.8571
2020-10-21,350,387.0
2020-10-22,410,367.5714
2020-10-23,479,369.7143
2020-10-24,302,396.8571
2020-10-25,163,367.7143
2020-10-26,474,370.7143
2020-10-27,495,381.8571
2020-10-28,410,390.4286
2020-10-29,555,411.1429
2020-10-30,346,392.1429
2020-10-31,274,388.1429
2020-11-01,266,402.8571
2020-11-02,138,354.8571
2020-11-03,417,343.7143
2020-11-04,177,310.4286
2020-11-05,543,308.7143
2020-11-06,561,339.4286
2020-11-07,210,330.2857
2020-11-08,196,320.2857
2020-11-09,381,355.0
2020-11-10,483,364.4286
2020-11-11,438,401.7143
2020-11-12,653,417.4286
2020-11-13,521,411.7143
2020-11-14,333,429.2857
2020-11-15,176,426.4286
2020-11-16,854,494.0
2020-11-17,689,523.4286
2020-11-18,575,543.0
2020-11-19,536,526.2857
2020-11-20,917,582.8571
2020-11-21,785,647.4286
2020-11-22,503,694.1429
2020-11-23,777,683.1429
2020-11-24,905,714.0
2020-11-25,541,709.1429
2020-11-26,528,708.0
2020-11-27,1884,846.1429
2020-11-28,758,842.2857
2020-11-29,698,870.1429
2020-11-30,1090,914.8571
2020-12-01,951,921.4286
2020-12-02,1134,1006.1429
2020-12-03,1197,1101.7143
2020-12-04,1294,1017.4286
2020-12-05,496,980.0
2020-12-06,23,883.5714
2020-12-07,1989,1012.0
2020-12-08,1314,1063.8571
2020-12-09,1236,1078.4286
2020-12-10,1550,1128.8571
2020-12-11,1541,1164.1429
2020-12-12,422,1153.5714
2020-12-13,683,1247.8571
2020-12-14,650,1056.5714
2020-12-15,1981,1151.8571
2020-12-16,1391,1174.0
2020-12-17,1076,1106.2857
2020-12-18,1316,1074.1429
2020-12-19,1066,1166.1429
2020-12-20,726,1172.2857
2020-12-21,1342,1271.1429
2020-12-22,1652,1224.1429
2020-12-23,1402,1225.7143
2020-12-24,1291,1256.4286
2020-12-25,290,1109.8571
2020-12-26,1097,1114.2857
2020-12-27,223,1042.4286
2020-12-28,1366,1045.8571
2020-12-29,1581,1035.7143
2020-12-30,1330,1025.4286
2020-12-31,989,982.2857
2021-01-01,611,1028.1429
2021-01-02,556,950.8571
2021-01-03,333,966.5714
2021-01-04,1320,960.0
2021-01-05,1582,960.1429
2021-01-06,1311,957.4286
2021-01-07,1186,985.5714
2021-01-08,1116,1057.7143
2021-01-09,831,1097.0
2021-01-10,455,1114.4286
2021-01-11,997,1068.2857
2021-01-12,1095,998.7143
2021-01-13,1106,969.4286
2021-01-14,1166,966.5714
2021-01-15,1316,995.1429
2021-01-16,767,986.0
2021-01-17,446,984.7143
2021-01-18,1082,996.8571
2021-01-19,1031,987.7143
2021-01-20,1064,981.7143
2021-01-21,889,942.1429
2021-01-22,962,891.5714
2021-01-23,487,851.5714
2021-01-24,252,823.8571
2021-01-25,1047,818.8571
2021-01-26,582,754.7143
2021-01-27,791,715.7143
2021-01-28,750,695.8571
2021-01-29,742,664.4286
2021-01-30,398,651.7143
2021-01-31,350,665.7143
2021-02-01,849,637.4286
2021-02-02,783,666.1429
2021-02-03,689,651.5714
2021-02-04,622,633.2857
2021-02-05,827,645.4286
2021-02-06,412,647.4286
2021-02-07,350,647.4286
2021-02-08,1037,674.2857
2021-02-09,846,683.2857
2021-02-10,822,702.2857
2021-02-11,700,713.4286
2021-02-12,818,712.1429
2021-02-13,396,709.8571
2021-02-14,395,716.2857
2021-02-15,911,698.2857
2021-02-16,574,659.4286
2021-02-17,833,661.0
2021-02-18,871,685.4286
2021-02-19,1007,712.4286
2021-02-20,431,717.4286
2021-02-21,429,722.2857
2021-02-22,1185,761.4286
2021-02-23,1092,835.4286
2021-02-24,894,844.1429
2021-02-25,914,850.2857
2021-02-26,928,839.0
2021-02-27,542,854.8571
2021-02-28,453,858.2857
2021-03-01,1124,849.5714
2021-03-02,1012,838.1429
2021-03-03,995,852.5714
2021-03-04,771,832.1429
2021-03-05,1190,869.5714
2021-03-06,542,869.5714
2021-03-07,652,898.0
2021-03-08,888,864.2857
2021-03-09,1237,896.4286
2021-03-10,934,887.7143
2021-03-11,1104,935.2857
2021-03-12,1199,936.5714
2021-03-13,717,961.5714
2021-03-14,536,945.0
2021-03-15,1212,991.2857
2021-03-16,1447,1021.2857
2021-03-17,1254,1067.0
2021-03-18,1222,1083.8571
2021-03-19,1108,1070.8571
2021-03-20,1043,1117.4286
2021-03-21,663,1135.5714
2021-03-22,1265,1143.1429
2021-03-23,1616,1167.2857
2021-03-24,1256,1167.5714
2021-03-25,1527,1211.1429
2021-03-26,1507,1268.1429
2021-03-27,1280,1302.0
2021-03-28,1137,1369.7143
2021-03-29,1450,1396.1429
2021-03-30,1729,1412.2857
2021-03-31,1859,1498.4286
2021-04-01,1502,1494.8571
2021-04-02,898,1407.8571
2021-04-03,1037,1373.1429
2021-04-04,831,1329.4286
2021-04-05,1484,1334.2857
2021-04-06,1488,1299.8571
2021-04-07,1295,1219.2857
2021-04-08,1234,1181.0
2021-04-09,1201,1224.2857
2021-04-10,992,1217.8571
2021-04-11,770,1209.1429
2021-04-12,1322,1186.0
2021-04-13,1338,1164.5714
2021-04-14,1099,1136.5714
2021-04-15,1062,1112.0
2021-04-16,1077,1094.2857
2021-04-17,928,1085.1429
2021-04-18,699,1075.0
2021-04-19,1092,1042.1429
2021-04-20,1112,1009.8571
2021-04-21,749,959.8571
2021-04-22,1006,951.8571
2021-04-23,985,938.7143
2021-04-24,895,934.0
2021-04-25,647,926.5714
2021-04-26,1038,918.8571
2021-04-27,1088,915.4286
2021-04-28,910,938.4286
2021-04-29,949,930.2857
2021-04-30,848,910.7143
2021-05-01,925,915.0
2021-05-02,407,880.7143
2021-05-03,1004,875.8571
2021-05-04,1080,874.7143
2021-05-05,1151,909.1429
2021-05-06,1115,932.8571
2021-05-07,1002,954.8571
2021-05-08,999,965.4286
2021-05-09,653,1000.5714
2021-05-10,1293,1041.8571
2021-05-11,1386,1085.5714
2021-05-12,1162,1087.1429
2021-05-13,1341,1119.4286
2021-05-14,1394,1175.4286
2021-05-15,1291,1217.1429
2021-05-16,903,1252.8571
2021-05-17,1522,1285.5714
2021-05-18,1896,1358.4286
2021-05-19,1762,1444.1429
2021-05-20,1942,1530.0
2021-05-21,1954,1610.0
2021-05-22,1662,1663.0
2021-05-23,1175,1701.8571
2021-05-24,1815,1743.7143
2021-05-25,1721,1718.7143
2021-05-26,1714,1711.8571
2021-05-27,857,1556.8571
2021-05-28,2998,1706.0
2021-05-29,1949,1747.0
2021-05-30,1619,1810.4286
2021-05-31,1952,1830.0
2021-06-01,2176,1895.0
2021-06-02,2470,2003.0
2021-06-03,768,1990.2857
2021-06-04,2152,1869.4286
2021-06-05,1316,1779.0
2021-06-06,1650,1783.4286
2021-06-07,1106,1662.5714
2021-06-08,3034,1785.1429
2021-06-09,1025,1578.7143
2021-06-10,2252,1790.7143
2021-06-11,1766,1735.5714
2021-06-12,1138,1710.1429
2021-06-13,915,1605.1429
2021-06-14,1387,1645.2857
2021-06-15,1789,1467.4286
2021-06-16,1869,1588.0
2021-06-17,1715,1511.2857
2021-06-18,1240,1436.1429
2021-06-19,1248,1451.8571
2021-06-20,606,1407.7143
2021-06-21,1206,1381.8571
2021-06-22,1711,1370.7143
2021-06-23,1190,1273.7143
2021-06-24,2130,1333.0
2021-06-25,1582,1381.8571
2021-06-26,932,1336.7143
2021-06-27,531,1326.0
2021-06-28,1100,1310.8571
2021-06-29,730,1170.7143
2021-06-30,676,1097.2857
2021-07-01,916,923.8571
2021-07-02,663,792.5714
2021-07-03,662,754.0
2021-07-04,317,723.4286
2021-07-05,678,663.1429
2021-07-06,0,558.8571
