date,newCases,rollingAvg
2020-03-26,2,1.5714
2020-03-27,0,1.4286
2020-03-28,2,1.5714
2020-03-29,3,2.0
2020-03-30,2,1.7143
2020-03-31,7,2.5714
2020-04-01,3,2.7143
2020-04-02,13,4.2857
2020-04-03,3,4.7143
2020-04-04,16,6.7143
2020-04-05,0,6.2857
2020-04-06,16,8.2857
2020-04-07,2,7.5714
2020-04-08,12,8.8571
2020-04-09,18,9.5714
2020-04-10,4,9.7143
2020-04-11,9,8.7143
2020-04-12,2,9.0
2020-04-13,11,8.2857
2020-04-14,4,8.5714
2020-04-15,13,8.7143
2020-04-16,5,6.8571
2020-04-17,6,7.1429
2020-04-18,9,7.1429
2020-04-19,3,7.2857
2020-04-20,7,6.7143
2020-04-21,0,6.1429
2020-04-22,24,7.7143
2020-04-23,16,9.2857
2020-04-24,20,11.2857
2020-04-25,6,10.8571
2020-04-26,3,10.8571
2020-04-27,7,10.8571
2020-04-28,6,11.7143
2020-04-29,29,12.4286
2020-04-30,10,11.5714
2020-05-01,18,11.2857
2020-05-02,13,12.2857
2020-05-03,4,12.4286
2020-05-04,7,12.4286
2020-05-05,22,14.7143
2020-05-06,19,13.2857
2020-05-07,34,16.7143
2020-05-08,45,20.5714
2020-05-09,38,24.1429
2020-05-10,17,26.0
2020-05-11,26,28.7143
2020-05-12,59,34.0
2020-05-13,69,41.1429
2020-05-14,61,45.0
2020-05-15,58,46.8571
2020-05-16,65,50.7143
2020-05-17,44,54.5714
2020-05-18,40,56.5714
2020-05-19,64,57.2857
2020-05-20,85,59.5714
2020-05-21,97,64.7143
2020-05-22,84,68.4286
2020-05-23,92,72.2857
2020-05-24,101,80.4286
2020-05-25,130,93.2857
2020-05-26,150,105.5714
2020-05-27,165,117.0
2020-05-28,176,128.2857
2020-05-29,177,141.5714
2020-05-30,151,150.0
2020-05-31,72,145.8571
2020-06-01,151,148.8571
2020-06-02,181,153.2857
2020-06-03,212,160.0
2020-06-04,359,186.1429
2020-06-05,205,190.1429
2020-06-06,195,196.4286
2020-06-07,245,221.1429
2020-06-08,210,229.5714
2020-06-09,261,241.0
2020-06-10,258,247.5714
2020-06-11,330,243.4286
2020-06-12,298,256.7143
2020-06-13,349,278.7143
2020-06-14,369,296.4286
2020-06-15,282,306.7143
2020-06-16,487,339.0
2020-06-17,484,371.2857
2020-06-18,805,439.1429
2020-06-19,559,476.4286
2020-06-20,537,503.2857
2020-06-21,514,524.0
2020-06-22,494,554.2857
2020-06-23,747,591.4286
2020-06-24,554,601.4286
2020-06-25,1030,633.5714
2020-06-26,805,668.7143
2020-06-27,722,695.1429
2020-06-28,559,701.5714
2020-06-29,641,722.5714
2020-06-30,976,755.2857
2020-07-01,1097,832.8571
2020-07-02,955,822.1429
2020-07-03,1184,876.2857
2020-07-04,793,886.4286
2020-07-05,748,913.4286
2020-07-06,997,964.2857
2020-07-07,1428,1028.8571
2020-07-08,1298,1057.5714
2020-07-09,1592,1148.5714
2020-07-10,1240,1156.5714
2020-07-11,890,1170.4286
2020-07-12,265,1101.4286
2020-07-13,488,1028.7143
2020-07-14,639,916.0
2020-07-15,618,818.8571
2020-07-16,1181,760.1429
2020-07-17,604,669.2857
2020-07-18,445,605.7143
2020-07-19,1838,830.4286
2020-07-20,1069,913.4286
2020-07-21,1756,1073.0
2020-07-22,1502,1199.2857
2020-07-23,2085,1328.4286
2020-07-24,1570,1466.4286
2020-07-25,667,1498.1429
2020-07-26,384,1290.4286
2020-07-27,1518,1354.5714
