date,newCases,rollingAvg
2020-03-24,0,0.7143
2020-03-25,2,0.8571
2020-03-26,6,1.7143
2020-03-27,3,2.0
2020-03-28,2,2.2857
2020-03-29,2,2.2857
2020-03-30,6,3.0
2020-03-31,8,4.1429
2020-04-01,7,4.8571
2020-04-02,8,5.1429
2020-04-03,26,8.4286
2020-04-04,7,9.1429
2020-04-05,4,9.4286
2020-04-06,37,13.8571
2020-04-07,31,17.1429
2020-04-08,13,18.0
2020-04-09,2,17.1429
2020-04-10,48,20.2857
2020-04-11,20,22.1429
2020-04-12,22,24.7143
2020-04-13,51,26.7143
2020-04-14,74,32.8571
2020-04-15,103,45.7143
2020-04-16,70,55.4286
2020-04-17,70,58.5714
2020-04-18,14,57.7143
2020-04-19,44,60.8571
2020-04-20,217,84.5714
2020-04-21,124,91.7143
2020-04-22,169,101.1429
2020-04-23,72,101.4286
2020-04-24,312,136.0
2020-04-25,166,157.7143
2020-04-26,325,197.8571
2020-04-27,149,188.1429
2020-04-28,100,184.7143
2020-04-29,267,198.7143
2020-04-30,413,247.4286
2020-05-01,360,254.2857
2020-05-02,368,283.1429
2020-05-03,193,264.2857
2020-05-04,342,291.8571
2020-05-05,494,348.1429
2020-05-06,768,419.7143
2020-05-07,411,419.4286
2020-05-08,584,451.4286
2020-05-09,499,470.1429
2020-05-10,330,489.7143
2020-05-11,721,543.8571
2020-05-12,990,614.7143
2020-05-13,1285,688.5714
2020-05-14,1135,792.0
2020-05-15,1159,874.1429
2020-05-16,826,920.8571
2020-05-17,737,979.0
2020-05-18,1266,1056.8571
2020-05-19,1710,1159.7143
2020-05-20,1752,1226.4286
2020-05-21,1603,1293.2857
2020-05-22,2165,1437.0
2020-05-23,1428,1523.0
2020-05-24,690,1516.2857
2020-05-25,2551,1699.8571
2020-05-26,2516,1815.0
2020-05-27,1789,1820.2857
2020-05-28,3461,2085.7143
2020-05-29,2164,2085.5714
2020-05-30,563,1962.0
2020-05-31,102,1878.0
2020-06-01,2053,1806.8571
2020-06-02,3638,1967.1429
2020-06-03,2821,2114.5714
2020-06-04,3000,2048.7143
2020-06-05,4387,2366.2857
2020-06-06,0,2285.8571
2020-06-07,411,2330.0
2020-06-08,3299,2508.0
2020-06-09,3066,2426.2857
2020-06-10,2769,2418.8571
2020-06-11,1746,2239.7143
2020-06-12,1177,1781.1429
2020-06-13,2182,2092.8571
2020-06-14,714,2136.1429
2020-06-15,2019,1953.2857
2020-06-16,2949,1936.5714
2020-06-17,2431,1888.2857
2020-06-18,3449,2131.5714
2020-06-19,2809,2364.7143
2020-06-20,1773,2306.2857
2020-06-21,1366,2399.4286
2020-06-22,2616,2484.7143
2020-06-23,3072,2502.2857
2020-06-24,2328,2487.5714
2020-06-25,2436,2342.8571
2020-06-26,2841,2347.4286
2020-06-27,1130,2255.5714
2020-06-28,764,2169.5714
2020-06-29,1999,2081.4286
2020-06-30,2647,2020.7143
2020-07-01,2214,2004.4286
2020-07-02,2344,1991.2857
2020-07-03,2120,1888.2857
2020-07-04,1280,1909.7143
2020-07-05,724,1904.0
2020-07-06,1617,1849.4286
2020-07-07,2592,1841.5714
2020-07-08,1987,1809.1429
2020-07-09,1943,1751.8571
2020-07-10,2260,1771.8571
2020-07-11,780,1700.4286
2020-07-12,795,1710.5714
2020-07-13,2061,1774.0
2020-07-14,2264,1727.1429
2020-07-15,2205,1758.2857
2020-07-16,2125,1784.2857
2020-07-17,1783,1716.1429
2020-07-18,537,1681.4286
2020-07-19,912,1698.1429
2020-07-20,1997,1689.0
2020-07-21,1965,1646.2857
2020-07-22,2109,1632.5714
2020-07-23,1785,1584.0
2020-07-24,1671,1568.0
2020-07-25,540,1568.4286
2020-07-26,360,1489.5714
2020-07-27,1793,1460.4286
2020-07-28,1233,1355.8571
2020-07-29,1501,1269.0
2020-07-30,1335,1204.7143
2020-07-31,1368,1161.4286
2020-08-01,232,1117.4286
2020-08-02,220,1097.4286
2020-08-03,1772,1094.4286
2020-08-04,2418,1263.7143
2020-08-05,2127,1353.1429
2020-08-06,1937,1439.1429
2020-08-07,2340,1578.0
2020-08-08,543,1622.4286
2020-08-09,509,1663.7143
2020-08-10,1462,1619.4286
2020-08-11,2265,1597.5714
2020-08-12,1747,1543.2857
2020-08-13,1983,1549.8571
2020-08-14,1402,1415.8571
2020-08-15,959,1475.2857
2020-08-16,406,1460.5714
2020-08-17,1715,1496.7143
2020-08-18,2141,1479.0
2020-08-19,2022,1518.2857
2020-08-20,2393,1576.8571
2020-08-21,1998,1662.0
2020-08-22,645,1617.1429
2020-08-23,293,1601.0
2020-08-24,2027,1645.5714
2020-08-25,1955,1619.0
2020-08-26,1733,1577.7143
2020-08-27,1577,1461.1429
2020-08-28,1372,1371.7143
2020-08-29,925,1411.7143
2020-08-30,385,1424.8571
2020-08-31,1429,1339.4286
2020-09-01,1451,1267.4286
2020-09-02,1533,1238.8571
2020-09-03,1322,1202.4286
2020-09-04,1573,1231.1429
2020-09-05,774,1209.5714
2020-09-06,621,1243.2857
2020-09-07,301,1082.1429
2020-09-08,1248,1053.1429
2020-09-09,1253,1013.1429
2020-09-10,1367,1019.5714
2020-09-11,1227,970.1429
2020-09-12,721,962.5714
2020-09-13,430,935.2857
2020-09-14,1512,1108.2857
2020-09-15,1182,1098.8571
2020-09-16,958,1056.7143
2020-09-17,762,970.2857
2020-09-18,985,935.7143
2020-09-19,314,877.5714
2020-09-20,256,852.7143
2020-09-21,864,760.1429
2020-09-22,1382,788.7143
2020-09-23,1281,834.8571
2020-09-24,1322,914.8571
2020-09-25,1202,945.8571
2020-09-26,930,1033.8571
2020-09-27,312,1041.8571
2020-09-28,1107,1076.5714
2020-09-29,1274,1061.1429
2020-09-30,1294,1063.0
2020-10-01,1060,1025.5714
2020-10-02,999,996.5714
2020-10-03,231,896.7143
2020-10-04,96,865.8571
2020-10-05,755,815.5714
2020-10-06,1064,785.5714
2020-10-07,882,726.7143
2020-10-08,648,667.8571
2020-10-09,447,589.0
2020-10-10,13,557.8571
2020-10-11,20,547.0
2020-10-12,38,444.5714
2020-10-13,839,412.4286
2020-10-14,684,384.1429
2020-10-15,704,392.1429
2020-10-16,743,434.4286
2020-10-17,276,472.0
2020-10-18,20,472.0
2020-10-19,867,590.4286
2020-10-20,989,611.8571
2020-10-21,1111,672.8571
2020-10-22,1049,722.1429
2020-10-23,1327,805.5714
2020-10-24,783,878.0
2020-10-25,636,966.0
2020-10-26,1211,1015.1429
2020-10-27,1101,1031.1429
2020-10-28,956,1009.0
2020-10-29,1097,1015.8571
2020-10-30,530,902.0
2020-10-31,161,813.1429
2020-11-01,149,743.5714
2020-11-02,220,602.0
2020-11-03,935,578.2857
2020-11-04,985,582.4286
2020-11-05,770,535.7143
2020-11-06,759,568.4286
2020-11-07,272,584.2857
2020-11-08,202,591.8571
2020-11-09,939,694.5714
2020-11-10,878,686.4286
2020-11-11,869,669.8571
2020-11-12,1073,713.1429
2020-11-13,403,662.2857
2020-11-14,254,659.7143
2020-11-15,111,646.7143
2020-11-16,446,576.2857
2020-11-17,810,566.5714
2020-11-18,780,553.8571
2020-11-19,875,525.5714
2020-11-20,752,575.4286
2020-11-21,446,602.8571
2020-11-22,265,624.8571
2020-11-23,507,633.5714
2020-11-24,920,649.2857
2020-11-25,824,655.5714
2020-11-26,533,606.7143
2020-11-27,813,615.4286
2020-11-28,498,622.8571
2020-11-29,180,610.7143
2020-11-30,680,635.4286
2020-12-01,897,632.1429
2020-12-02,1001,657.4286
2020-12-03,627,670.8571
2020-12-04,792,667.8571
2020-12-05,504,668.7143
2020-12-06,502,714.7143
2020-12-07,670,713.2857
2020-12-08,799,699.2857
2020-12-09,1046,705.7143
2020-12-10,792,729.2857
2020-12-11,742,722.1429
2020-12-12,672,746.1429
2020-12-13,442,737.5714
2020-12-14,953,778.0
2020-12-15,1052,814.1429
2020-12-16,1120,824.7143
2020-12-17,935,845.1429
2020-12-18,858,861.7143
2020-12-19,498,836.8571
2020-12-20,486,843.1429
2020-12-21,919,838.2857
2020-12-22,930,820.8571
2020-12-23,883,787.0
2020-12-24,429,714.7143
2020-12-25,18,594.7143
2020-12-26,531,599.4286
2020-12-27,495,600.7143
2020-12-28,1086,624.5714
2020-12-29,805,606.7143
2020-12-30,828,598.8571
2020-12-31,262,575.0
2021-01-01,5,573.1429
2021-01-02,203,526.2857
2021-01-03,214,486.1429
2021-01-04,1215,504.5714
2021-01-05,1313,577.1429
2021-01-06,1222,633.4286
2021-01-07,1071,749.0
2021-01-08,1409,949.5714
2021-01-09,1047,1070.1429
2021-01-10,624,1128.7143
2021-01-11,1387,1153.2857
2021-01-12,1500,1180.0
2021-01-13,1017,1150.7143
2021-01-14,1491,1210.7143
2021-01-15,1416,1211.7143
2021-01-16,590,1146.4286
2021-01-17,290,1098.7143
2021-01-18,1247,1078.7143
2021-01-19,1569,1088.5714
2021-01-20,1487,1155.7143
2021-01-21,2057,1236.5714
2021-01-22,1700,1277.1429
2021-01-23,901,1321.5714
2021-01-24,768,1389.8571
2021-01-25,1349,1404.4286
2021-01-26,2396,1522.5714
2021-01-27,2272,1634.7143
2021-01-28,1719,1586.4286
2021-01-29,1519,1560.5714
2021-01-30,506,1504.1429
2021-01-31,180,1420.1429
2021-02-01,1677,1467.0
2021-02-02,1889,1394.5714
2021-02-03,1652,1306.0
2021-02-04,1749,1310.2857
2021-02-05,1594,1321.0
2021-02-06,623,1337.7143
2021-02-07,603,1398.1429
2021-02-08,1777,1412.4286
2021-02-09,1432,1347.1429
2021-02-10,1881,1379.8571
2021-02-11,1783,1384.7143
2021-02-12,1354,1350.4286
2021-02-13,463,1327.5714
2021-02-14,485,1310.7143
2021-02-15,1223,1231.5714
2021-02-16,667,1122.2857
2021-02-17,1134,1015.5714
2021-02-18,1564,984.2857
2021-02-19,1551,1012.4286
2021-02-20,541,1023.5714
2021-02-21,617,1042.4286
2021-02-22,1850,1132.0
2021-02-23,1694,1278.7143
2021-02-24,1340,1308.1429
2021-02-25,1859,1350.2857
2021-02-26,1428,1332.7143
2021-02-27,727,1359.2857
2021-02-28,768,1380.8571
2021-03-01,1202,1288.2857
2021-03-02,1697,1288.7143
2021-03-03,1570,1321.5714
2021-03-04,1347,1248.4286
2021-03-05,1261,1224.5714
2021-03-06,553,1199.7143
2021-03-07,602,1176.0
2021-03-08,1288,1188.2857
2021-03-09,2120,1248.7143
2021-03-10,2145,1330.8571
2021-03-11,1728,1385.2857
2021-03-12,1288,1389.1429
2021-03-13,660,1404.4286
2021-03-14,832,1437.2857
2021-03-15,1832,1515.0
2021-03-16,2424,1558.4286
2021-03-17,2914,1668.2857
2021-03-18,2801,1821.5714
2021-03-19,2627,2012.8571
2021-03-20,922,2050.2857
2021-03-21,605,2017.8571
2021-03-22,2694,2141.0
2021-03-23,2830,2199.0
2021-03-24,2697,2168.0
2021-03-25,2858,2176.1429
2021-03-26,2455,2151.5714
2021-03-27,759,2128.2857
2021-03-28,620,2130.4286
2021-03-29,2244,2066.1429
2021-03-30,2537,2024.2857
2021-03-31,2849,2046.0
2021-04-01,1594,1865.4286
2021-04-02,476,1582.7143
2021-04-03,553,1553.2857
2021-04-04,696,1564.1429
2021-04-05,2513,1602.5714
2021-04-06,2676,1622.4286
2021-04-07,2756,1609.1429
2021-04-08,2750,1774.2857
2021-04-09,2706,2092.8571
2021-04-10,713,2115.7143
2021-04-11,446,2080.0
2021-04-12,2699,2106.5714
2021-04-13,2241,2044.4286
2021-04-14,2673,2032.5714
2021-04-15,2392,1981.4286
2021-04-16,2021,1883.5714
2021-04-17,595,1866.7143
2021-04-18,320,1848.7143
2021-04-19,2787,1861.2857
2021-04-20,2649,1919.5714
2021-04-21,1333,1728.1429
2021-04-22,2345,1721.4286
2021-04-23,1988,1716.7143
2021-04-24,549,1710.1429
2021-04-25,133,1683.4286
2021-04-26,1092,1441.2857
2021-04-27,2826,1466.5714
2021-04-28,2630,1651.8571
2021-04-29,2035,1607.5714
2021-04-30,1427,1527.4286
2021-05-01,553,1528.0
2021-05-02,479,1577.4286
2021-05-03,1726,1668.0
2021-05-04,1999,1549.8571
2021-05-05,2386,1515.0
2021-05-06,1834,1486.2857
2021-05-07,1660,1519.5714
2021-05-08,1052,1590.8571
2021-05-09,288,1563.5714
2021-05-10,1647,1552.2857
2021-05-11,2358,1603.5714
2021-05-12,2778,1659.5714
2021-05-13,2582,1766.4286
2021-05-14,2596,1900.1429
2021-05-15,1584,1976.1429
2021-05-16,668,2030.4286
2021-05-17,2231,2113.8571
2021-05-18,1942,2054.4286
2021-05-19,1890,1927.5714
2021-05-20,1571,1783.1429
2021-05-21,1464,1621.4286
2021-05-22,174,1420.0
2021-05-23,278,1364.2857
2021-05-24,1200,1217.0
2021-05-25,1895,1210.2857
2021-05-26,1656,1176.8571
2021-05-27,1385,1150.2857
2021-05-28,1415,1143.2857
2021-05-29,284,1159.0
2021-05-30,53,1126.8571
2021-05-31,1388,1153.7143
2021-06-01,1932,1159.0
2021-06-02,1792,1178.4286
2021-06-03,328,1027.4286
2021-06-04,1009,969.4286
2021-06-05,376,982.5714
2021-06-06,163,998.2857
2021-06-07,2073,1096.1429
2021-06-08,2531,1181.7143
2021-06-09,2042,1217.4286
2021-06-10,1710,1414.8571
2021-06-11,1538,1490.4286
2021-06-12,448,1500.7143
2021-06-13,128,1495.7143
2021-06-14,1568,1423.5714
2021-06-15,1529,1280.4286
2021-06-16,1900,1260.1429
2021-06-17,1479,1227.1429
2021-06-18,1285,1191.0
2021-06-19,175,1152.0
2021-06-20,67,1143.2857
2021-06-21,1889,1189.1429
2021-06-22,1896,1241.5714
2021-06-23,1368,1165.5714
2021-06-24,1262,1134.5714
2021-06-25,861,1074.0
2021-06-26,177,1074.2857
2021-06-27,82,1076.4286
2021-06-28,1530,1025.1429
2021-06-29,1797,1011.0
2021-06-30,1744,1064.7143
2021-07-01,1150,1048.7143
2021-07-02,806,1040.8571
2021-07-03,30,1019.8571
2021-07-04,27,1012.0
2021-07-05,1014,938.2857
2021-07-06,1153,846.2857
