date,newCases,rollingAvg
2020-03-24,1,0.4286
2020-03-25,2,0.5714
2020-03-26,1,0.7143
2020-03-27,4,1.2857
2020-03-28,4,1.8571
2020-03-29,0,1.8571
2020-03-30,3,2.1429
2020-03-31,1,2.1429
2020-04-01,3,2.2857
2020-04-02,8,3.2857
2020-04-03,3,3.1429
2020-04-04,2,2.8571
2020-04-05,1,3.0
2020-04-06,1,2.7143
2020-04-07,5,3.2857
2020-04-08,14,4.8571
2020-04-09,24,7.1429
2020-04-10,6,7.5714
2020-04-11,16,9.5714
2020-04-12,10,10.8571
2020-04-13,25,14.2857
2020-04-14,16,15.8571
2020-04-15,13,15.7143
2020-04-16,30,16.5714
2020-04-17,10,17.1429
2020-04-18,31,19.2857
2020-04-19,9,19.1429
2020-04-20,18,18.1429
2020-04-21,38,21.2857
2020-04-22,44,25.7143
2020-04-23,41,27.2857
2020-04-24,61,34.5714
2020-04-25,52,37.5714
2020-04-26,44,42.5714
2020-04-27,90,52.8571
2020-04-28,65,56.7143
2020-04-29,116,67.0
2020-04-30,112,77.1429
2020-05-01,108,83.8571
2020-05-02,135,95.7143
2020-05-03,50,96.5714
2020-05-04,142,104.0
2020-05-05,132,113.5714
2020-05-06,164,120.4286
2020-05-07,192,131.8571
2020-05-08,182,142.4286
2020-05-09,125,141.0
2020-05-10,185,160.2857
2020-05-11,184,166.2857
2020-05-12,252,183.4286
2020-05-13,268,198.2857
2020-05-14,316,216.0
2020-05-15,378,244.0
2020-05-16,324,272.4286
2020-05-17,284,286.5714
2020-05-18,439,323.0
2020-05-19,514,360.4286
2020-05-20,538,399.0
2020-05-21,400,411.0
2020-05-22,644,449.0
2020-05-23,626,492.1429
2020-05-24,315,496.5714
2020-05-25,193,461.4286
2020-05-26,903,517.0
2020-05-27,1290,624.4286
2020-05-28,923,699.1429
2020-05-29,879,732.7143
2020-05-30,851,764.8571
2020-05-31,300,762.7143
2020-06-01,533,811.2857
2020-06-02,1164,848.5714
2020-06-03,1159,829.8571
2020-06-04,1561,921.0
2020-06-05,1000,938.2857
2020-06-06,1208,989.2857
2020-06-07,523,1021.1429
2020-06-08,641,1036.5714
2020-06-09,1501,1084.7143
2020-06-10,1580,1144.8571
2020-06-11,1338,1113.0
2020-06-12,1186,1139.5714
2020-06-13,898,1095.2857
2020-06-14,559,1100.4286
2020-06-15,655,1102.4286
2020-06-16,1460,1096.5714
2020-06-17,1584,1097.1429
2020-06-18,1670,1144.5714
2020-06-19,1716,1220.2857
2020-06-20,1428,1296.0
2020-06-21,263,1253.7143
2020-06-22,469,1227.1429
2020-06-23,1746,1268.0
2020-06-24,913,1172.1429
2020-06-25,912,1063.8571
2020-06-26,2008,1105.5714
2020-06-27,1410,1103.0
2020-06-28,437,1127.8571
2020-06-29,378,1114.8571
2020-06-30,1900,1136.8571
2020-07-01,1218,1180.4286
2020-07-02,1361,1244.5714
2020-07-03,1229,1133.2857
2020-07-04,1541,1152.0
2020-07-05,422,1149.8571
2020-07-06,418,1155.5714
2020-07-07,1656,1120.7143
2020-07-08,1542,1167.0
2020-07-09,1270,1154.0
2020-07-10,1504,1193.2857
2020-07-11,1303,1159.2857
2020-07-12,363,1150.8571
2020-07-13,324,1137.4286
2020-07-14,1354,1094.2857
2020-07-15,1477,1085.0
2020-07-16,1484,1115.5714
2020-07-17,924,1032.7143
2020-07-18,624,935.7143
2020-07-19,411,942.5714
2020-07-20,298,938.8571
2020-07-21,1159,911.0
2020-07-22,2128,1004.0
2020-07-23,2132,1096.5714
2020-07-24,1446,1171.1429
2020-07-25,1173,1249.5714
2020-07-26,430,1252.2857
2020-07-27,540,1286.8571
2020-07-28,1482,1333.0
2020-07-29,1723,1275.1429
2020-07-30,1210,1143.4286
2020-07-31,1686,1177.7143
2020-08-01,667,1105.4286
2020-08-02,547,1122.1429
2020-08-03,203,1074.0
2020-08-04,1549,1083.5714
2020-08-05,1311,1024.7143
2020-08-06,796,965.5714
2020-08-07,1250,903.2857
2020-08-08,776,918.8571
2020-08-09,189,867.7143
2020-08-10,284,879.2857
2020-08-11,1453,865.5714
2020-08-12,1078,832.2857
2020-08-13,897,846.7143
2020-08-14,866,791.8571
2020-08-15,928,813.5714
2020-08-16,445,850.1429
2020-08-17,190,836.7143
2020-08-18,1274,811.1429
2020-08-19,997,799.5714
2020-08-20,951,807.2857
2020-08-21,845,804.2857
2020-08-22,680,768.8571
2020-08-23,162,728.4286
2020-08-24,171,725.7143
2020-08-25,905,673.0
2020-08-26,1005,674.1429
2020-08-27,883,664.4286
2020-08-28,707,644.7143
2020-08-29,728,651.5714
2020-08-30,130,647.0
2020-08-31,117,639.2857
2020-09-01,827,628.1429
2020-09-02,779,595.8571
2020-09-03,798,583.7143
2020-09-04,743,588.8571
2020-09-05,605,571.2857
2020-09-06,143,573.1429
2020-09-07,33,561.1429
2020-09-08,154,465.0
2020-09-09,867,477.5714
2020-09-10,768,473.2857
2020-09-11,523,441.8571
2020-09-12,688,453.7143
2020-09-13,255,469.7143
2020-09-14,202,493.8571
2020-09-15,740,577.5714
2020-09-16,679,550.7143
2020-09-17,777,552.0
2020-09-18,607,564.0
2020-09-19,622,554.5714
2020-09-20,148,539.2857
2020-09-21,143,530.8571
2020-09-22,616,513.1429
2020-09-23,553,495.1429
2020-09-24,519,458.2857
2020-09-25,567,452.5714
2020-09-26,597,449.0
2020-09-27,52,435.2857
2020-09-28,204,444.0
2020-09-29,667,451.2857
2020-09-30,613,459.8571
2020-10-01,542,463.1429
2020-10-02,464,448.4286
2020-10-03,408,421.4286
2020-10-04,32,418.5714
2020-10-05,177,414.7143
2020-10-06,674,415.7143
2020-10-07,751,435.4286
2020-10-08,434,420.0
2020-10-09,536,430.2857
2020-10-10,428,433.1429
2020-10-11,164,452.0
2020-10-12,56,434.7143
2020-10-13,140,358.4286
2020-10-14,718,353.7143
2020-10-15,665,386.7143
2020-10-16,576,392.4286
2020-10-17,384,386.1429
2020-10-18,19,365.4286
2020-10-19,114,373.7143
2020-10-20,496,424.5714
2020-10-21,369,374.7143
2020-10-22,317,325.0
2020-10-23,494,313.2857
2020-10-24,433,320.2857
2020-10-25,123,335.1429
2020-10-26,135,338.1429
2020-10-27,519,341.4286
2020-10-28,544,366.4286
2020-10-29,252,357.1429
2020-10-30,499,357.8571
2020-10-31,419,355.8571
2020-11-01,71,348.4286
2020-11-02,66,338.5714
2020-11-03,93,277.7143
2020-11-04,579,282.7143
2020-11-05,339,295.1429
2020-11-06,544,301.5714
2020-11-07,484,310.8571
2020-11-08,192,328.1429
2020-11-09,87,331.1429
2020-11-10,425,378.5714
2020-11-11,611,383.1429
2020-11-12,834,453.8571
2020-11-13,468,443.0
2020-11-14,522,448.4286
2020-11-15,82,432.7143
2020-11-16,622,509.1429
2020-11-17,608,535.2857
2020-11-18,579,530.7143
2020-11-19,627,501.1429
2020-11-20,633,524.7143
2020-11-21,650,543.0
2020-11-22,192,558.7143
2020-11-23,131,488.5714
2020-11-24,310,446.0
2020-11-25,717,465.7143
2020-11-26,763,485.1429
2020-11-27,363,446.5714
2020-11-28,369,406.4286
2020-11-29,102,393.5714
2020-11-30,41,380.7143
2020-12-01,541,413.7143
2020-12-02,734,416.1429
2020-12-03,746,413.7143
2020-12-04,729,466.0
2020-12-05,709,514.5714
2020-12-06,673,596.1429
2020-12-07,604,676.5714
2020-12-08,586,683.0
2020-12-09,737,683.4286
2020-12-10,761,685.5714
2020-12-11,889,708.4286
2020-12-12,594,692.0
2020-12-13,93,609.1429
2020-12-14,268,561.1429
2020-12-15,817,594.1429
2020-12-16,1388,687.1429
