date,newCases,rollingAvg
2020-03-18,1,2.7143
2020-03-19,9,3.7143
2020-03-20,3,4.1429
2020-03-21,2,3.7143
2020-03-22,4,4.1429
2020-03-23,5,4.8571
2020-03-24,0,3.4286
2020-03-25,4,3.8571
2020-03-26,2,2.8571
2020-03-27,9,3.7143
2020-03-28,11,5.0
2020-03-29,5,5.1429
2020-03-30,5,5.1429
2020-03-31,9,6.4286
2020-04-01,8,7.0
2020-04-02,11,8.2857
2020-04-03,30,11.2857
2020-04-04,40,15.4286
2020-04-05,25,18.2857
2020-04-06,22,20.7143
2020-04-07,129,37.8571
2020-04-08,49,43.7143
2020-04-09,154,64.1429
2020-04-10,129,78.2857
2020-04-11,132,91.4286
2020-04-12,144,108.4286
2020-04-13,194,133.0
2020-04-14,130,133.1429
2020-04-15,200,154.7143
2020-04-16,199,161.1429
2020-04-17,323,188.8571
2020-04-18,187,196.7143
2020-04-19,266,214.1429
2020-04-20,231,219.4286
2020-04-21,218,232.0
2020-04-22,390,259.1429
2020-04-23,307,274.5714
2020-04-24,394,284.7143
2020-04-25,508,330.5714
2020-04-26,391,348.4286
2020-04-27,460,381.1429
2020-04-28,366,402.2857
2020-04-29,470,413.7143
2020-04-30,682,467.2857
2020-05-01,458,476.4286
2020-05-02,811,519.7143
2020-05-03,498,535.0
2020-05-04,220,500.7143
2020-05-05,462,514.4286
2020-05-06,556,526.7143
2020-05-07,943,564.0
2020-05-08,763,607.5714
2020-05-09,883,617.8571
2020-05-10,805,661.7143
2020-05-11,493,700.7143
2020-05-12,541,712.0
2020-05-13,592,717.1429
2020-05-14,687,680.5714
2020-05-15,621,660.2857
2020-05-16,2279,859.7143
2020-05-17,964,882.4286
2020-05-18,642,903.7143
2020-05-19,1148,990.4286
2020-05-20,1318,1094.1429
2020-05-21,1351,1189.0
2020-05-22,1849,1364.4286
2020-05-23,1026,1185.4286
2020-05-24,973,1186.7143
2020-05-25,607,1181.7143
2020-05-26,488,1087.4286
2020-05-27,1065,1051.2857
2020-05-28,794,971.7143
2020-05-29,1542,927.8571
2020-05-30,1172,948.7143
2020-05-31,1023,955.8571
2020-06-01,450,933.4286
2020-06-02,608,950.5714
2020-06-03,955,934.8571
2020-06-04,1044,970.5714
2020-06-05,1004,893.7143
2020-06-06,850,847.7143
2020-06-07,881,827.4286
2020-06-08,463,829.2857
2020-06-09,305,786.0
2020-06-10,925,781.7143
2020-06-11,1059,783.8571
2020-06-12,878,765.8571
2020-06-13,799,758.5714
2020-06-14,590,717.0
2020-06-15,246,686.0
2020-06-16,920,773.8571
2020-06-17,1019,787.2857
2020-06-18,1180,804.5714
2020-06-19,1094,835.4286
2020-06-20,1398,921.0
2020-06-21,995,978.8571
2020-06-22,381,998.1429
2020-06-23,337,914.8571
2020-06-24,1191,939.4286
2020-06-25,1114,930.0
2020-06-26,668,869.1429
2020-06-27,1285,853.0
2020-06-28,1018,856.2857
2020-06-29,369,854.5714
2020-06-30,382,861.0
2020-07-01,847,811.8571
2020-07-02,1414,854.7143
2020-07-03,1243,936.8571
2020-07-04,1095,909.7143
2020-07-05,1672,1003.1429
2020-07-06,513,1023.7143
2020-07-07,509,1041.8571
2020-07-08,1453,1128.4286
2020-07-09,1163,1092.5714
2020-07-10,1333,1105.4286
2020-07-11,1270,1130.4286
2020-07-12,1100,1048.7143
2020-07-13,431,1037.0
2020-07-14,675,1060.7143
2020-07-15,1384,1050.8571
2020-07-16,1131,1046.2857
2020-07-17,1332,1046.1429
2020-07-18,1086,1019.8571
2020-07-19,943,997.4286
2020-07-20,663,1030.5714
2020-07-21,326,980.7143
2020-07-22,941,917.4286
2020-07-23,1858,1021.2857
2020-07-24,1802,1088.4286
2020-07-25,1710,1177.5714
2020-07-26,1714,1287.7143
2020-07-27,666,1288.1429
2020-07-28,546,1319.5714
2020-07-29,1858,1450.5714
2020-07-30,1837,1447.5714
2020-07-31,1632,1423.2857
2020-08-01,1741,1427.7143
2020-08-02,1224,1357.7143
2020-08-03,431,1324.1429
2020-08-04,432,1307.8571
2020-08-05,1488,1255.0
2020-08-06,1074,1146.0
2020-08-07,1477,1123.8571
2020-08-08,1241,1052.4286
2020-08-09,1268,1058.7143
2020-08-10,0,997.1429
2020-08-11,601,1021.2857
2020-08-12,1393,1007.7143
2020-08-13,1467,1063.8571
2020-08-14,1567,1076.7143
2020-08-15,1364,1094.2857
2020-08-16,1185,1082.4286
2020-08-17,225,1114.5714
2020-08-18,605,1115.1429
2020-08-19,1429,1120.2857
2020-08-20,1142,1073.8571
2020-08-21,1072,1003.1429
2020-08-22,596,893.4286
2020-08-23,1113,883.1429
2020-08-24,217,882.0
2020-08-25,601,881.4286
2020-08-26,1120,837.2857
2020-08-27,1069,826.8571
2020-08-28,999,816.4286
2020-08-29,1005,874.8571
2020-08-30,943,850.5714
2020-08-31,445,883.1429
2020-09-01,1748,1047.0
2020-09-02,1437,1092.2857
2020-09-03,1475,1150.2857
2020-09-04,1031,1154.8571
2020-09-05,731,1115.7143
2020-09-06,191,1008.2857
2020-09-07,268,983.0
2020-09-08,170,757.5714
2020-09-09,989,693.5714
2020-09-10,1040,631.4286
2020-09-11,1024,630.4286
2020-09-12,770,636.0
2020-09-13,259,645.7143
2020-09-14,181,633.2857
2020-09-15,1016,754.1429
2020-09-16,699,712.7143
2020-09-17,757,672.2857
2020-09-18,910,656.0
2020-09-19,807,661.2857
2020-09-20,475,692.1429
2020-09-21,260,703.4286
2020-09-22,711,659.8571
2020-09-23,677,656.7143
2020-09-24,538,625.4286
2020-09-25,565,576.1429
2020-09-26,672,556.8571
2020-09-27,76,499.8571
2020-09-28,80,474.1429
2020-09-29,1229,548.1429
2020-09-30,846,572.2857
2020-10-01,701,595.5714
2020-10-02,865,638.4286
2020-10-03,612,629.8571
2020-10-04,68,628.7143
2020-10-05,37,622.5714
2020-10-06,763,556.0
2020-10-07,922,566.8571
2020-10-08,597,552.0
2020-10-09,678,525.2857
2020-10-10,584,521.2857
2020-10-11,146,532.4286
2020-10-12,78,538.2857
2020-10-13,77,440.2857
2020-10-14,742,414.5714
2020-10-15,825,447.1429
2020-10-16,654,443.7143
2020-10-17,403,417.8571
2020-10-18,106,412.1429
2020-10-19,101,415.4286
2020-10-20,664,499.2857
2020-10-21,624,482.4286
2020-10-22,359,415.8571
2020-10-23,719,425.1429
2020-10-24,724,471.0
2020-10-25,157,478.2857
