date,newCases,rollingAvg
2020-03-25,1,1.2857
2020-03-26,0,0.8571
2020-03-27,1,0.8571
2020-03-28,1,1.0
2020-03-29,5,1.4286
2020-03-30,2,1.7143
2020-03-31,0,1.4286
2020-04-01,1,1.4286
2020-04-02,0,1.4286
2020-04-03,3,1.7143
2020-04-04,2,1.8571
2020-04-05,0,1.1429
2020-04-06,2,1.1429
2020-04-07,5,1.8571
2020-04-08,7,2.7143
2020-04-09,2,3.0
2020-04-10,1,2.7143
2020-04-11,3,2.8571
2020-04-12,7,3.8571
2020-04-13,7,4.5714
2020-04-14,17,6.2857
2020-04-15,16,7.5714
2020-04-16,11,8.8571
2020-04-17,21,11.7143
2020-04-18,21,14.2857
2020-04-19,14,15.2857
2020-04-20,28,18.2857
2020-04-21,20,18.7143
2020-04-22,11,18.0
2020-04-23,39,22.0
2020-04-24,41,24.8571
2020-04-25,34,26.7143
2020-04-26,33,29.4286
2020-04-27,44,31.7143
2020-04-28,46,35.4286
2020-04-29,59,42.2857
2020-04-30,87,49.1429
2020-05-01,65,52.5714
2020-05-02,77,58.7143
2020-05-03,42,60.0
2020-05-04,91,66.7143
2020-05-05,74,70.7143
2020-05-06,102,76.8571
2020-05-07,80,75.8571
2020-05-08,102,81.1429
2020-05-09,45,76.5714
2020-05-10,54,78.2857
2020-05-11,111,81.1429
2020-05-12,169,94.7143
2020-05-13,172,104.7143
2020-05-14,121,110.5714
2020-05-15,180,121.7143
2020-05-16,167,139.1429
2020-05-17,35,136.4286
2020-05-18,153,142.4286
2020-05-19,197,146.4286
2020-05-20,215,152.5714
2020-05-21,222,167.0
2020-05-22,184,167.5714
2020-05-23,132,162.5714
2020-05-24,160,180.4286
2020-05-25,170,182.8571
2020-05-26,246,189.8571
2020-05-27,277,198.7143
2020-05-28,260,204.1429
2020-05-29,242,212.4286
2020-05-30,186,220.1429
2020-05-31,188,224.1429
2020-06-01,387,255.1429
2020-06-02,322,266.0
2020-06-03,236,260.1429
2020-06-04,653,316.2857
2020-06-05,388,337.1429
2020-06-06,373,363.8571
2020-06-07,143,357.4286
2020-06-08,306,345.8571
2020-06-09,432,361.5714
2020-06-10,464,394.1429
2020-06-11,514,374.2857
2020-06-12,488,388.5714
2020-06-13,328,382.1429
2020-06-14,204,390.8571
2020-06-15,524,422.0
2020-06-16,678,457.1429
2020-06-17,540,468.0
2020-06-18,468,461.4286
2020-06-19,1246,569.7143
2020-06-20,451,587.2857
2020-06-21,212,588.4286
2020-06-22,793,626.8571
2020-06-23,958,666.8571
2020-06-24,853,711.5714
2020-06-25,943,779.4286
2020-06-26,642,693.1429
2020-06-27,493,699.1429
2020-06-28,595,753.8571
2020-06-29,669,736.1429
2020-06-30,1637,833.1429
2020-07-01,1248,889.5714
2020-07-02,1069,907.5714
2020-07-03,1185,985.1429
2020-07-04,518,988.7143
2020-07-05,432,965.4286
2020-07-06,1003,1013.1429
2020-07-07,897,907.4286
2020-07-08,1334,919.7143
2020-07-09,1524,984.7143
2020-07-10,1196,986.2857
2020-07-11,498,983.4286
2020-07-12,396,978.2857
2020-07-13,797,948.8571
2020-07-14,1289,1004.8571
2020-07-15,1097,971.0
2020-07-16,515,826.8571
2020-07-17,1511,871.8571
2020-07-18,728,904.7143
2020-07-19,310,892.4286
2020-07-20,670,874.2857
2020-07-21,1539,910.0
2020-07-22,1364,948.1429
2020-07-23,1170,1041.7143
2020-07-24,1040,974.4286
2020-07-25,655,964.0
2020-07-26,540,996.8571
2020-07-27,967,1039.2857
2020-07-28,1411,1021.0
2020-07-29,1236,1002.7143
2020-07-30,1279,1018.2857
2020-07-31,981,1009.8571
2020-08-01,535,992.7143
2020-08-02,231,948.5714
2020-08-03,1219,984.5714
2020-08-04,1275,965.1429
2020-08-05,1382,986.0
2020-08-06,1290,987.5714
2020-08-07,1181,1016.1429
2020-08-08,411,998.4286
2020-08-09,196,993.4286
2020-08-10,966,957.2857
2020-08-11,1321,963.8571
2020-08-12,1197,937.4286
2020-08-13,933,886.4286
2020-08-14,1043,866.7143
2020-08-15,440,870.8571
2020-08-16,237,876.7143
2020-08-17,911,868.8571
2020-08-18,1249,858.5714
2020-08-19,1364,882.4286
2020-08-20,697,848.7143
2020-08-21,974,838.8571
2020-08-22,389,831.5714
2020-08-23,266,835.7143
2020-08-24,791,818.5714
2020-08-25,1140,803.0
2020-08-26,1064,760.1429
2020-08-27,873,785.2857
2020-08-28,883,772.2857
2020-08-29,489,786.5714
2020-08-30,0,748.5714
2020-08-31,454,700.4286
2020-09-01,1063,689.4286
2020-09-02,797,651.2857
2020-09-03,1907,799.0
2020-09-04,0,672.8571
2020-09-05,380,657.2857
2020-09-06,276,696.7143
2020-09-07,282,672.1429
2020-09-08,938,654.2857
2020-09-09,1006,684.1429
2020-09-10,717,514.1429
2020-09-11,860,637.0
2020-09-12,311,627.1429
2020-09-13,142,608.0
2020-09-14,675,664.1429
2020-09-15,746,636.7143
2020-09-16,712,594.7143
2020-09-17,772,602.5714
2020-09-18,618,568.0
2020-09-19,309,567.7143
2020-09-20,247,582.7143
2020-09-21,738,591.7143
2020-09-22,675,581.5714
2020-09-23,771,590.0
2020-09-24,598,565.1429
2020-09-25,780,588.2857
2020-09-26,361,595.7143
2020-09-27,193,588.0
2020-09-28,494,553.1429
2020-09-29,859,579.4286
2020-09-30,763,578.2857
2020-10-01,649,585.5714
2020-10-02,610,561.2857
2020-10-03,236,543.4286
2020-10-04,259,552.8571
2020-10-05,673,578.4286
2020-10-06,684,553.4286
2020-10-07,588,528.4286
2020-10-08,575,517.8571
2020-10-09,828,549.0
2020-10-10,317,560.5714
2020-10-11,232,556.7143
2020-10-12,313,505.2857
2020-10-13,648,500.1429
