date,newCases,rollingAvg
2020-03-18,3,2.1429
2020-03-19,9,2.5714
2020-03-20,13,4.4286
2020-03-21,7,5.4286
2020-03-22,10,6.8571
2020-03-23,6,7.7143
2020-03-24,10,8.2857
2020-03-25,27,11.7143
2020-03-26,9,11.7143
2020-03-27,19,12.5714
2020-03-28,12,13.2857
2020-03-29,15,14.0
2020-03-30,8,14.2857
2020-03-31,25,16.4286
2020-04-01,44,18.8571
2020-04-02,29,21.7143
2020-04-03,49,26.0
2020-04-04,94,37.7143
2020-04-05,44,41.8571
2020-04-06,21,43.7143
2020-04-07,45,46.5714
2020-04-08,39,45.8571
2020-04-09,71,51.8571
2020-04-10,34,49.7143
2020-04-11,33,41.0
2020-04-12,62,43.5714
2020-04-13,18,43.1429
2020-04-14,35,41.7143
2020-04-15,13,38.0
2020-04-16,29,32.0
2020-04-17,42,33.1429
2020-04-18,73,38.8571
2020-04-19,42,36.0
2020-04-20,20,36.2857
2020-04-21,17,33.7143
2020-04-22,38,37.2857
2020-04-23,19,35.8571
2020-04-24,37,35.1429
2020-04-25,22,27.8571
2020-04-26,16,24.1429
2020-04-27,30,25.5714
2020-04-28,85,35.2857
2020-04-29,78,41.0
2020-04-30,59,46.7143
2020-05-01,41,47.2857
2020-05-02,46,50.7143
2020-05-03,23,51.7143
2020-05-04,48,54.2857
2020-05-05,27,46.0
2020-05-06,39,40.4286
2020-05-07,31,36.4286
2020-05-08,56,38.5714
2020-05-09,75,42.7143
2020-05-10,50,46.5714
2020-05-11,14,41.7143
2020-05-12,57,46.0
2020-05-13,93,53.7143
2020-05-14,68,59.0
2020-05-15,76,61.8571
2020-05-16,105,66.1429
2020-05-17,44,65.2857
2020-05-18,74,73.8571
2020-05-19,129,84.1429
2020-05-20,137,90.4286
2020-05-21,199,109.1429
2020-05-22,130,116.8571
2020-05-23,162,125.0
2020-05-24,113,134.8571
2020-05-25,124,142.0
2020-05-26,183,149.7143
2020-05-27,201,158.8571
2020-05-28,273,169.4286
2020-05-29,259,187.8571
2020-05-30,238,198.7143
2020-05-31,214,213.1429
2020-06-01,148,216.5714
2020-06-02,335,238.2857
2020-06-03,332,257.0
2020-06-04,328,264.8571
2020-06-05,539,304.8571
2020-06-06,259,307.8571
2020-06-07,294,319.2857
2020-06-08,134,317.2857
2020-06-09,289,310.7143
2020-06-10,524,338.1429
2020-06-11,635,382.0
2020-06-12,249,340.5714
2020-06-13,535,380.0
2020-06-14,353,388.4286
2020-06-15,133,388.2857
2020-06-16,851,468.5714
2020-06-17,535,470.1429
2020-06-18,834,498.5714
2020-06-19,873,587.7143
2020-06-20,889,638.2857
2020-06-21,680,685.0
2020-06-22,623,755.0
2020-06-23,729,737.5714
2020-06-24,1110,819.7143
2020-06-25,859,823.2857
2020-06-26,850,820.0
2020-06-27,1147,856.8571
2020-06-28,923,891.5714
2020-06-29,584,886.0
2020-06-30,1551,1003.4286
2020-07-01,1348,1037.4286
2020-07-02,2079,1211.7143
2020-07-03,1863,1356.4286
2020-07-04,2404,1536.0
2020-07-05,889,1531.1429
2020-07-06,1310,1634.8571
2020-07-07,1539,1633.1429
2020-07-08,1406,1641.4286
2020-07-09,1709,1588.5714
2020-07-10,2088,1620.7143
2020-07-11,1285,1460.8571
2020-07-12,1740,1582.4286
2020-07-13,1045,1544.5714
2020-07-14,1781,1579.1429
2020-07-15,1761,1629.8571
2020-07-16,2281,1711.5714
2020-07-17,1916,1687.0
2020-07-18,2232,1822.2857
2020-07-19,1076,1727.4286
