date,newCases,rollingAvg
2020-03-11,5,1.8571
2020-03-12,3,2.1429
2020-03-13,0,2.0
2020-03-14,6,2.8571
2020-03-15,2,3.0
2020-03-16,7,4.0
2020-03-17,2,3.5714
2020-03-18,30,7.1429
2020-03-19,3,7.1429
2020-03-20,43,13.2857
2020-03-21,10,13.8571
2020-03-22,67,23.1429
2020-03-23,47,28.8571
2020-03-24,72,38.8571
2020-03-25,65,43.8571
2020-03-26,51,50.7143
2020-03-27,72,54.8571
2020-03-28,65,62.7143
2020-03-29,42,59.1429
2020-03-30,57,60.5714
2020-03-31,51,57.5714
2020-04-01,124,66.0
2020-04-02,160,81.5714
2020-04-03,82,83.0
2020-04-04,172,98.2857
2020-04-05,148,113.4286
2020-04-06,67,114.8571
2020-04-07,227,140.0
2020-04-08,250,158.0
2020-04-09,278,174.8571
2020-04-10,248,198.5714
2020-04-11,143,194.4286
2020-04-12,248,208.7143
2020-04-13,376,252.8571
2020-04-14,179,246.0
2020-04-15,333,257.8571
2020-04-16,201,246.8571
2020-04-17,405,269.2857
2020-04-18,194,276.5714
2020-04-19,222,272.8571
2020-04-20,134,238.2857
2020-04-21,407,270.8571
2020-04-22,246,258.4286
2020-04-23,620,318.2857
2020-04-24,110,276.1429
2020-04-25,546,326.4286
2020-04-26,283,335.1429
2020-04-27,833,435.0
2020-04-28,560,456.8571
2020-04-29,365,473.8571
2020-04-30,584,468.7143
2020-05-01,713,554.8571
2020-05-02,380,531.1429
2020-05-03,593,575.4286
2020-05-04,582,539.5714
2020-05-05,670,555.2857
2020-05-06,904,632.2857
2020-05-07,861,671.8571
2020-05-08,1585,796.4286
2020-05-09,1188,911.8571
2020-05-10,133,846.1429
2020-05-11,877,888.2857
2020-05-12,547,870.7143
2020-05-13,242,776.1429
2020-05-14,739,758.7143
2020-05-15,520,606.5714
2020-05-16,1614,667.4286
2020-05-17,637,739.4286
2020-05-18,4427,1246.5714
2020-05-19,1140,1331.2857
2020-05-20,2567,1663.4286
2020-05-21,1717,1803.1429
2020-05-22,1500,1943.1429
2020-05-23,944,1847.4286
2020-05-24,3379,2239.1429
2020-05-25,1386,1804.7143
2020-05-26,726,1745.5714
2020-05-27,2374,1718.0
2020-05-28,2488,1828.1429
2020-05-29,3067,2052.0
2020-05-30,4467,2555.2857
2020-05-31,968,2210.8571
2020-06-01,1142,2176.0
2020-06-02,2202,2386.8571
2020-06-03,2508,2406.0
2020-06-04,1692,2292.2857
2020-06-05,2134,2159.0
2020-06-06,1467,1730.4286
2020-06-07,3223,2052.5714
2020-06-08,1743,2138.4286
2020-06-09,3480,2321.0
2020-06-10,1394,2161.8571
2020-06-11,1402,2120.4286
2020-06-12,2009,2102.5714
2020-06-13,1052,2043.2857
2020-06-14,736,1688.0
2020-06-15,1374,1635.2857
2020-06-16,2397,1480.5714
2020-06-17,3620,1798.5714
2020-06-18,354,1648.8571
2020-06-19,6061,2227.7143
2020-06-20,2159,2385.8571
2020-06-21,596,2365.8571
2020-06-22,1439,2375.1429
2020-06-23,3297,2503.7143
2020-06-24,2624,2361.4286
2020-06-25,2404,2654.2857
2020-06-26,2600,2159.8571
2020-06-27,306,1895.1429
2020-06-28,2495,2166.4286
2020-06-29,585,2044.4286
2020-06-30,728,1677.4286
2020-07-01,2667,1683.5714
2020-07-02,1545,1560.8571
2020-07-03,2133,1494.1429
2020-07-04,1484,1662.4286
2020-07-05,852,1427.7143
2020-07-06,587,1428.0
2020-07-07,2207,1639.2857
2020-07-08,2243,1578.7143
2020-07-09,1995,1643.0
2020-07-10,1119,1498.1429
2020-07-11,232,1319.2857
2020-07-12,9,1198.8571
2020-07-13,2360,1452.1429
2020-07-14,778,1248.0
2020-07-15,1627,1160.0
2020-07-16,124,892.7143
2020-07-17,657,826.7143
2020-07-18,0,793.5714
2020-07-19,3294,1262.8571
2020-07-20,2481,1280.1429
2020-07-21,4116,1757.0
2020-07-22,3502,2024.8571
2020-07-23,2926,2425.1429
2020-07-24,3330,2807.0
2020-07-25,1414,3009.0
2020-07-26,32,2543.0
2020-07-27,1509,2404.1429
2020-07-28,1805,2074.0
2020-07-29,2008,1860.5714
2020-07-30,1995,1727.5714
2020-07-31,1853,1516.5714
2020-08-01,1718,1560.0
2020-08-02,12,1557.1429
2020-08-03,839,1461.4286
2020-08-04,847,1324.5714
2020-08-05,3768,1576.0
2020-08-06,1385,1488.8571
2020-08-07,1632,1457.2857
2020-08-08,2828,1615.8571
2020-08-09,326,1660.7143
2020-08-10,1166,1707.4286
2020-08-11,2547,1950.2857
2020-08-12,3047,1847.2857
2020-08-13,2475,2003.0
2020-08-14,1806,2027.8571
2020-08-15,723,1727.1429
2020-08-16,3665,2204.1429
2020-08-17,372,2090.7143
2020-08-18,4829,2416.7143
2020-08-19,3513,2483.2857
2020-08-20,2923,2547.2857
2020-08-21,1120,2449.2857
2020-08-22,3428,2835.7143
2020-08-23,484,2381.2857
2020-08-24,412,2387.0
2020-08-25,2643,2074.7143
2020-08-26,2672,1954.5714
2020-08-27,2523,1897.4286
2020-08-28,0,1737.4286
2020-08-29,3759,1784.7143
2020-08-30,345,1764.8571
2020-08-31,329,1753.0
2020-09-01,3169,1828.1429
2020-09-02,1532,1665.2857
2020-09-03,1939,1581.8571
2020-09-04,2218,1898.7143
2020-09-05,258,1398.5714
2020-09-06,71,1359.4286
2020-09-07,234,1345.8571
2020-09-08,321,939.0
2020-09-09,500,791.5714
2020-09-10,940,648.8571
2020-09-11,5640,1137.7143
2020-09-12,323,1147.0
2020-09-13,1715,1381.8571
2020-09-14,320,1394.1429
2020-09-15,1607,1577.8571
2020-09-16,1764,1758.4286
2020-09-17,661,1718.5714
2020-09-18,2955,1335.0
2020-09-19,1463,1497.8571
2020-09-20,648,1345.4286
2020-09-21,137,1319.2857
2020-09-22,1710,1334.0
2020-09-23,1129,1243.2857
2020-09-24,3100,1591.7143
2020-09-25,1503,1384.2857
2020-09-26,182,1201.2857
2020-09-27,2190,1421.5714
2020-09-28,146,1422.8571
2020-09-29,1693,1420.4286
2020-09-30,1084,1414.0
2020-10-01,1452,1178.5714
2020-10-02,4160,1558.1429
2020-10-03,1180,1700.7143
2020-10-04,126,1405.8571
2020-10-05,1637,1618.8571
2020-10-06,2077,1673.7143
2020-10-07,2024,1808.0
2020-10-08,2705,1987.0
2020-10-09,1936,1669.2857
2020-10-10,1327,1690.2857
2020-10-11,268,1710.5714
2020-10-12,183,1502.8571
2020-10-13,195,1234.0
2020-10-14,1152,1109.4286
2020-10-15,1077,876.8571
2020-10-16,3158,1051.4286
2020-10-17,129,880.2857
2020-10-18,1309,1029.0
2020-10-19,535,1079.2857
2020-10-20,1208,1224.0
2020-10-21,1319,1247.8571
2020-10-22,1081,1248.4286
2020-10-23,1776,1051.0
2020-10-24,2026,1322.0
2020-10-25,557,1214.5714
2020-10-26,3366,1619.0
2020-10-27,2160,1755.0
2020-10-28,1766,1818.8571
2020-10-29,1345,1856.5714
2020-10-30,1479,1814.1429
2020-10-31,481,1593.4286
2020-11-01,1037,1662.0
2020-11-02,294,1223.1429
2020-11-03,1781,1169.0
2020-11-04,0,916.7143
2020-11-05,754,832.2857
2020-11-06,966,759.0
2020-11-07,539,767.2857
2020-11-08,822,736.5714
2020-11-09,405,752.4286
2020-11-10,2378,837.7143
2020-11-11,1645,1072.7143
2020-11-12,1785,1220.0
2020-11-13,623,1171.0
2020-11-14,3639,1613.8571
2020-11-15,311,1540.8571
2020-11-16,499,1554.2857
2020-11-17,2554,1579.4286
2020-11-18,2387,1685.4286
2020-11-19,2118,1733.0
2020-11-20,2401,1987.0
2020-11-21,362,1518.8571
2020-11-22,926,1606.7143
2020-11-23,485,1604.7143
2020-11-24,2145,1546.2857
2020-11-25,3162,1657.0
2020-11-26,2029,1644.2857
2020-11-27,1324,1490.4286
2020-11-28,5412,2211.8571
2020-11-29,556,2159.0
2020-11-30,1038,2238.0
2020-12-01,3628,2449.8571
2020-12-02,3415,2486.0
2020-12-03,3788,2737.2857
2020-12-04,2456,2899.0
2020-12-05,2626,2501.0
2020-12-06,808,2537.0
2020-12-07,301,2431.7143
2020-12-08,3377,2395.8571
2020-12-09,3331,2383.8571
2020-12-10,3560,2351.2857
2020-12-11,3298,2471.5714
2020-12-12,3489,2594.8571
2020-12-13,694,2578.5714
