date,newCases,rollingAvg
2020-03-18,0,0.1429
2020-03-19,0,0.0
2020-03-20,5,0.7143
2020-03-21,3,1.1429
2020-03-22,4,1.7143
2020-03-23,0,1.7143
2020-03-24,1,1.8571
2020-03-25,0,1.8571
2020-03-26,5,2.5714
2020-03-27,9,3.1429
2020-03-28,40,8.4286
2020-03-29,0,7.8571
2020-03-30,9,9.1429
2020-03-31,5,9.7143
2020-04-01,10,11.1429
2020-04-02,14,12.4286
2020-04-03,70,21.1429
2020-04-04,39,21.0
2020-04-05,31,25.4286
2020-04-06,0,24.1429
2020-04-07,8,24.5714
2020-04-08,8,24.2857
2020-04-09,0,22.2857
2020-04-10,1,12.4286
2020-04-11,26,10.5714
2020-04-12,50,13.2857
2020-04-13,37,18.5714
2020-04-14,23,20.7143
2020-04-15,1,19.7143
2020-04-16,63,28.7143
2020-04-17,53,36.1429
2020-04-18,45,38.8571
2020-04-19,34,36.5714
2020-04-20,13,33.1429
2020-04-21,38,35.2857
2020-04-22,62,44.0
2020-04-23,46,41.5714
2020-04-24,27,37.8571
2020-04-25,44,37.7143
2020-04-26,7,33.8571
2020-04-27,25,35.5714
2020-04-28,229,62.8571
2020-04-29,91,67.0
2020-04-30,120,77.5714
2020-05-01,69,83.5714
2020-05-02,26,81.0
2020-05-03,29,84.1429
2020-05-04,115,97.0
2020-05-05,108,79.7143
2020-05-06,95,80.2857
2020-05-07,82,74.8571
2020-05-08,98,79.0
2020-05-09,0,75.2857
2020-05-10,11,72.7143
2020-05-11,103,71.0
2020-05-12,334,103.2857
2020-05-13,170,114.0
2020-05-14,249,137.8571
2020-05-15,0,123.8571
2020-05-16,218,155.0
2020-05-17,134,172.5714
2020-05-18,345,207.1429
2020-05-19,313,204.1429
2020-05-20,264,217.5714
2020-05-21,191,209.2857
2020-05-22,348,259.0
2020-05-23,0,227.8571
2020-05-24,175,233.7143
2020-05-25,698,284.1429
2020-05-26,158,262.0
2020-05-27,0,224.2857
2020-05-28,833,316.0
2020-05-29,939,400.4286
2020-05-30,0,400.4286
2020-05-31,649,468.1429
2020-06-01,182,394.4286
2020-06-02,916,502.7143
2020-06-03,133,521.7143
2020-06-04,151,424.2857
2020-06-05,16,292.4286
2020-06-06,0,292.4286
2020-06-07,1439,405.2857
2020-06-08,139,399.1429
2020-06-09,541,345.5714
2020-06-10,1666,564.5714
2020-06-11,310,587.2857
2020-06-12,245,620.0
2020-06-13,382,674.5714
2020-06-14,43,475.1429
2020-06-15,998,597.8571
2020-06-16,478,588.8571
2020-06-17,199,379.2857
2020-06-18,150,356.4286
2020-06-19,3167,773.8571
2020-06-20,84,731.2857
2020-06-21,667,820.4286
2020-06-22,118,694.7143
2020-06-23,1769,879.1429
2020-06-24,894,978.4286
2020-06-25,1068,1109.5714
2020-06-26,447,721.0
2020-06-27,48,715.8571
2020-06-28,5483,1403.8571
2020-06-29,568,1468.1429
2020-06-30,1612,1445.7143
2020-07-01,998,1460.5714
2020-07-02,525,1383.0
2020-07-03,835,1438.4286
2020-07-04,323,1477.7143
2020-07-05,411,753.1429
2020-07-06,841,792.1429
2020-07-07,690,660.4286
2020-07-08,550,596.4286
2020-07-09,1205,693.5714
2020-07-10,362,626.0
2020-07-11,717,682.2857
2020-07-12,487,693.1429
2020-07-13,547,651.1429
2020-07-14,312,597.1429
2020-07-15,329,565.5714
2020-07-16,328,440.2857
2020-07-17,2149,695.5714
2020-07-18,193,620.7143
2020-07-19,317,596.4286
2020-07-20,257,555.0
2020-07-21,973,649.4286
2020-07-22,874,727.2857
2020-07-23,627,770.0
2020-07-24,247,498.2857
2020-07-25,38,476.1429
2020-07-26,331,478.1429
2020-07-27,1085,596.4286
2020-07-28,679,554.4286
2020-07-29,618,517.8571
2020-07-30,751,535.5714
2020-07-31,1137,662.7143
2020-08-01,288,698.4286
2020-08-02,196,679.1429
2020-08-03,540,601.2857
2020-08-04,925,636.4286
2020-08-05,619,636.5714
2020-08-06,613,616.8571
2020-08-07,434,516.4286
2020-08-08,0,475.2857
2020-08-09,302,490.4286
2020-08-10,2515,772.5714
2020-08-11,-211,610.2857
2020-08-12,-649,429.1429
2020-08-13,392,397.5714
2020-08-14,196,363.5714
2020-08-15,0,363.5714
2020-08-16,235,354.0
2020-08-17,409,53.1429
2020-08-18,360,134.7143
2020-08-19,471,294.7143
2020-08-20,53,246.2857
2020-08-21,202,247.1429
2020-08-22,0,247.1429
2020-08-23,256,250.1429
2020-08-24,512,264.8571
2020-08-25,281,253.5714
2020-08-26,451,250.7143
2020-08-27,326,289.7143
2020-08-28,288,302.0
2020-08-29,0,302.0
2020-08-30,257,302.1429
2020-08-31,243,263.7143
2020-09-01,441,286.5714
2020-09-02,426,283.0
2020-09-03,436,298.7143
2020-09-04,405,315.4286
2020-09-05,0,315.4286
2020-09-06,117,295.4286
2020-09-07,68,270.4286
2020-09-08,257,244.1429
2020-09-09,386,238.4286
2020-09-10,359,227.4286
2020-09-11,167,193.4286
2020-09-12,255,229.8571
2020-09-13,63,222.1429
2020-09-14,289,253.7143
2020-09-15,286,257.8571
2020-09-16,392,258.7143
2020-09-17,333,255.0
2020-09-18,309,275.2857
2020-09-19,0,238.8571
2020-09-20,254,266.1429
2020-09-21,242,259.4286
