date,newCases,rollingAvg
2020-03-26,1,0.8571
2020-03-27,0,0.7143
2020-03-28,0,0.4286
2020-03-29,0,0.4286
2020-03-30,2,0.7143
2020-03-31,1,0.5714
2020-04-01,0,0.5714
2020-04-02,1,0.5714
2020-04-03,0,0.5714
2020-04-04,1,0.7143
2020-04-05,3,1.1429
2020-04-06,4,1.4286
2020-04-07,5,2.0
2020-04-08,3,2.4286
2020-04-09,2,2.5714
2020-04-10,4,3.1429
2020-04-11,2,3.2857
2020-04-12,8,4.0
2020-04-13,0,3.4286
2020-04-14,27,6.5714
2020-04-15,4,6.7143
2020-04-16,19,9.1429
2020-04-17,18,11.1429
2020-04-18,18,13.4286
2020-04-19,32,16.8571
2020-04-20,39,22.4286
2020-04-21,24,22.0
2020-04-22,0,21.4286
2020-04-23,27,22.5714
2020-04-24,40,25.7143
2020-04-25,38,28.5714
2020-04-26,36,29.1429
2020-04-27,29,27.7143
2020-04-28,20,27.1429
2020-04-29,20,30.0
2020-04-30,69,36.0
2020-05-01,83,42.1429
2020-05-02,69,46.5714
2020-05-03,51,48.7143
2020-05-04,51,51.8571
2020-05-05,105,64.0
2020-05-06,82,72.8571
2020-05-07,155,85.1429
2020-05-08,124,91.0
2020-05-09,41,87.0
2020-05-10,39,85.2857
2020-05-11,96,91.7143
2020-05-12,62,85.5714
2020-05-13,152,95.5714
2020-05-14,74,84.0
2020-05-15,108,81.7143
2020-05-16,125,93.7143
2020-05-17,44,94.4286
2020-05-18,80,92.1429
2020-05-19,370,136.1429
2020-05-20,86,126.7143
2020-05-21,160,139.0
2020-05-22,115,140.0
2020-05-23,335,170.0
2020-05-24,92,176.8571
2020-05-25,67,175.0
2020-05-26,225,154.2857
2020-05-27,369,194.7143
2020-05-28,390,227.5714
2020-05-29,250,246.8571
2020-05-30,241,233.4286
2020-05-31,199,248.7143
2020-06-01,230,272.0
2020-06-02,305,283.4286
2020-06-03,237,264.5714
2020-06-04,745,315.2857
2020-06-05,403,337.1429
2020-06-06,839,422.5714
2020-06-07,409,452.5714
2020-06-08,516,493.4286
2020-06-09,594,534.7143
2020-06-10,630,590.8571
2020-06-11,697,584.0
2020-06-12,677,623.1429
2020-06-13,486,572.7143
2020-06-14,155,536.4286
2020-06-15,315,507.7143
2020-06-16,830,541.4286
2020-06-17,557,531.0
2020-06-18,237,465.2857
2020-06-19,549,447.0
2020-06-20,599,463.1429
2020-06-21,229,473.7143
2020-06-22,646,521.0
2020-06-23,672,498.4286
2020-06-24,925,551.0
2020-06-25,749,624.1429
2020-06-26,1098,702.5714
2020-06-27,464,683.2857
2020-06-28,85,662.7143
2020-06-29,586,654.1429
2020-06-30,845,678.8571
2020-07-01,272,585.5714
2020-07-02,447,542.4286
2020-07-03,271,424.2857
2020-07-04,716,460.2857
2020-07-05,522,522.7143
2020-07-06,442,502.1429
2020-07-07,643,473.2857
2020-07-08,503,506.2857
2020-07-09,335,490.2857
2020-07-10,598,537.0
2020-07-11,496,505.5714
2020-07-12,232,464.1429
2020-07-13,322,447.0
2020-07-14,478,423.4286
2020-07-15,389,407.1429
2020-07-16,737,464.5714
2020-07-17,463,445.2857
2020-07-18,0,374.4286
2020-07-19,0,341.2857
2020-07-20,684,393.0
2020-07-21,841,444.8571
2020-07-22,2302,718.1429
2020-07-23,1136,775.1429
2020-07-24,793,822.2857
2020-07-25,700,922.2857
2020-07-26,237,956.1429
2020-07-27,338,906.7143
2020-07-28,701,886.7143
2020-07-29,785,670.0
2020-07-30,773,618.1429
2020-07-31,585,588.4286
2020-08-01,512,561.5714
2020-08-02,389,583.2857
2020-08-03,123,552.5714
2020-08-04,1223,627.1429
2020-08-05,782,626.7143
2020-08-06,704,616.8571
2020-08-07,665,628.2857
2020-08-08,476,623.1429
2020-08-09,144,588.1429
2020-08-10,362,622.2857
2020-08-11,1096,604.1429
2020-08-12,593,577.1429
2020-08-13,615,564.4286
2020-08-14,612,556.8571
2020-08-15,364,540.8571
2020-08-16,185,546.7143
2020-08-17,395,551.4286
2020-08-18,691,493.5714
2020-08-19,798,522.8571
2020-08-20,426,495.8571
2020-08-21,367,460.8571
2020-08-22,481,477.5714
2020-08-23,426,512.0
2020-08-24,370,508.4286
2020-08-25,723,513.0
2020-08-26,605,485.4286
2020-08-27,686,522.5714
2020-08-28,400,527.2857
2020-08-29,291,500.1429
2020-08-30,183,465.4286
2020-08-31,474,480.2857
2020-09-01,615,464.8571
2020-09-02,643,470.2857
2020-09-03,207,401.8571
2020-09-04,734,449.5714
2020-09-05,513,481.2857
2020-09-06,201,483.8571
2020-09-07,171,440.5714
2020-09-08,322,398.7143
2020-09-09,637,397.8571
2020-09-10,424,428.8571
2020-09-11,418,383.7143
2020-09-12,324,356.7143
2020-09-13,122,345.4286
2020-09-14,262,358.4286
2020-09-15,514,385.8571
2020-09-16,359,346.1429
2020-09-17,539,362.5714
2020-09-18,337,351.0
2020-09-19,202,333.5714
2020-09-20,166,339.8571
2020-09-21,404,360.1429
2020-09-22,514,360.1429
2020-09-23,525,383.8571
2020-09-24,175,331.8571
2020-09-25,251,319.5714
