date,newCases,rollingAvg
2020-03-27,2,1.7143
2020-03-28,4,2.0
2020-03-29,0,2.0
2020-03-30,0,2.0
2020-03-31,0,1.1429
2020-04-01,10,2.5714
2020-04-02,4,2.8571
2020-04-03,7,3.5714
2020-04-04,5,3.7143
2020-04-05,0,3.7143
2020-04-06,0,3.7143
2020-04-07,7,4.7143
2020-04-08,3,3.7143
2020-04-09,11,4.7143
2020-04-10,12,5.4286
2020-04-11,4,5.2857
2020-04-12,4,5.8571
2020-04-13,30,10.1429
2020-04-14,1,9.2857
2020-04-15,28,12.8571
2020-04-16,22,14.4286
2020-04-17,37,18.0
2020-04-18,21,20.4286
2020-04-19,22,23.0
2020-04-20,3,19.1429
2020-04-21,33,23.7143
2020-04-22,17,22.1429
2020-04-23,7,20.0
2020-04-24,41,20.5714
2020-04-25,56,25.5714
2020-04-26,6,23.2857
2020-04-27,18,25.4286
2020-04-28,0,20.7143
2020-04-29,27,22.1429
2020-04-30,67,30.7143
2020-05-01,83,36.7143
2020-05-02,66,38.1429
2020-05-03,72,47.5714
2020-05-04,66,54.4286
2020-05-05,63,63.4286
2020-05-06,63,68.5714
2020-05-07,88,71.5714
2020-05-08,104,74.5714
2020-05-09,78,76.2857
2020-05-10,88,78.5714
2020-05-11,5,69.8571
2020-05-12,116,77.4286
2020-05-13,0,68.4286
2020-05-14,89,68.5714
2020-05-15,89,66.4286
2020-05-16,117,72.0
2020-05-17,85,71.5714
2020-05-18,91,83.8571
2020-05-19,106,82.4286
2020-05-20,79,93.7143
2020-05-21,79,92.2857
2020-05-22,160,102.4286
2020-05-23,133,104.7143
2020-05-24,0,92.5714
2020-05-25,125,97.4286
2020-05-26,118,99.1429
2020-05-27,277,127.4286
2020-05-28,139,136.0
2020-05-29,201,141.8571
2020-05-30,176,148.0
2020-05-31,217,179.0
2020-06-01,158,183.7143
2020-06-02,293,208.7143
2020-06-03,0,169.1429
2020-06-04,688,247.5714
2020-06-05,407,277.0
2020-06-06,291,293.4286
2020-06-07,239,296.5714
2020-06-08,288,315.1429
2020-06-09,291,314.8571
2020-06-10,247,350.1429
2020-06-11,118,268.7143
2020-06-12,130,229.1429
2020-06-13,33,192.2857
2020-06-14,6,159.0
2020-06-15,54,125.5714
2020-06-16,215,114.7143
2020-06-17,271,118.1429
2020-06-18,229,134.0
2020-06-19,387,170.7143
2020-06-20,83,177.8571
2020-06-21,68,186.7143
2020-06-22,2152,486.4286
2020-06-23,463,521.8571
2020-06-24,1069,635.8571
2020-06-25,1039,751.5714
2020-06-26,167,720.1429
2020-06-27,1263,888.7143
2020-06-28,118,895.8571
2020-06-29,182,614.4286
2020-06-30,512,621.4286
2020-07-01,2430,815.8571
2020-07-02,740,773.1429
2020-07-03,446,813.0
2020-07-04,153,654.4286
2020-07-05,26,641.2857
2020-07-06,140,635.2857
2020-07-07,196,590.1429
2020-07-08,870,367.2857
2020-07-09,1066,413.8571
2020-07-10,629,440.0
2020-07-11,376,471.8571
2020-07-12,402,525.5714
2020-07-13,341,554.2857
2020-07-14,713,628.1429
2020-07-15,716,606.1429
2020-07-16,610,541.0
2020-07-17,366,503.4286
2020-07-18,94,463.1429
2020-07-19,219,437.0
2020-07-20,299,431.0
2020-07-21,969,467.5714
2020-07-22,978,505.0
2020-07-23,942,552.4286
2020-07-24,520,574.4286
2020-07-25,435,623.1429
2020-07-26,73,602.2857
2020-07-27,414,618.7143
2020-07-28,680,577.4286
2020-07-29,459,503.2857
2020-07-30,561,448.8571
2020-07-31,707,475.5714
2020-08-01,428,474.5714
2020-08-02,37,469.4286
2020-08-03,6,411.1429
2020-08-04,1102,471.4286
2020-08-05,633,496.2857
2020-08-06,611,503.4286
2020-08-07,393,458.5714
2020-08-08,454,462.2857
2020-08-09,62,465.8571
2020-08-10,557,544.5714
2020-08-11,573,469.0
2020-08-12,691,477.2857
2020-08-13,627,479.5714
2020-08-14,500,494.8571
2020-08-15,226,462.2857
2020-08-16,42,459.4286
2020-08-17,518,453.8571
2020-08-18,318,417.4286
2020-08-19,488,388.4286
2020-08-20,202,327.7143
2020-08-21,336,304.2857
2020-08-22,203,301.0
2020-08-23,40,300.7143
2020-08-24,274,265.8571
2020-08-25,315,265.4286
2020-08-26,331,243.0
2020-08-27,307,258.0
2020-08-28,302,253.1429
2020-08-29,171,248.5714
2020-08-30,48,249.7143
2020-08-31,189,237.5714
2020-09-01,329,239.5714
2020-09-02,298,234.8571
2020-09-03,331,238.2857
2020-09-04,310,239.4286
2020-09-05,162,238.1429
2020-09-06,116,247.8571
2020-09-07,49,227.8571
2020-09-08,203,209.8571
2020-09-09,350,217.2857
2020-09-10,247,205.2857
2020-09-11,246,196.1429
2020-09-12,130,191.5714
2020-09-13,67,184.5714
2020-09-14,303,220.8571
2020-09-15,316,237.0
2020-09-16,234,220.4286
2020-09-17,294,227.1429
2020-09-18,396,248.5714
2020-09-19,214,260.5714
2020-09-20,28,255.0
2020-09-21,212,242.0
2020-09-22,377,250.7143
2020-09-23,297,259.7143
2020-09-24,258,254.5714
2020-09-25,207,227.5714
2020-09-26,230,229.8571
2020-09-27,57,234.0
2020-09-28,217,234.7143
2020-09-29,264,218.5714
2020-09-30,232,209.2857
2020-10-01,332,219.8571
2020-10-02,285,231.0
2020-10-03,70,208.1429
2020-10-04,0,200.0
2020-10-05,82,180.7143
2020-10-06,185,169.4286
2020-10-07,244,171.1429
2020-10-08,252,159.7143
2020-10-09,309,163.1429
2020-10-10,197,181.2857
2020-10-11,22,184.4286
2020-10-12,42,178.7143
2020-10-13,147,173.2857
2020-10-14,505,210.5714
2020-10-15,373,227.8571
2020-10-16,293,225.5714
2020-10-17,162,220.5714
2020-10-18,45,223.8571
2020-10-19,233,251.1429
2020-10-20,217,261.1429
2020-10-21,229,221.7143
2020-10-22,364,220.4286
2020-10-23,344,227.7143
2020-10-24,249,240.1429
2020-10-25,89,246.4286
2020-10-26,231,246.1429
2020-10-27,287,256.1429
2020-10-28,264,261.1429
2020-10-29,269,247.5714
2020-10-30,282,238.7143
2020-10-31,123,220.7143
2020-11-01,81,219.5714
2020-11-02,136,206.0
2020-11-03,165,188.5714
2020-11-04,515,224.4286
2020-11-05,380,240.2857
2020-11-06,381,254.4286
2020-11-07,124,254.5714
2020-11-08,6,243.8571
2020-11-09,78,235.5714
2020-11-10,313,256.7143
2020-11-11,360,234.5714
2020-11-12,210,210.2857
2020-11-13,260,193.0
2020-11-14,119,192.2857
2020-11-15,44,197.7143
2020-11-16,211,216.7143
2020-11-17,211,202.1429
2020-11-18,244,185.5714
2020-11-19,308,199.5714
2020-11-20,191,189.7143
2020-11-21,94,186.1429
2020-11-22,177,205.1429
2020-11-23,124,192.7143
2020-11-24,275,201.8571
2020-11-25,189,194.0
2020-11-26,154,172.0
2020-11-27,59,153.1429
2020-11-28,418,199.4286
2020-11-29,88,186.7143
2020-11-30,250,204.7143
2020-12-01,327,212.1429
2020-12-02,275,224.4286
2020-12-03,143,222.8571
2020-12-04,368,267.0
2020-12-05,220,238.7143
2020-12-06,110,241.8571
2020-12-07,69,216.0
2020-12-08,134,188.4286
2020-12-09,377,203.0
2020-12-10,379,236.7143
2020-12-11,247,219.4286
2020-12-12,186,214.5714
2020-12-13,47,205.5714
2020-12-14,61,204.4286
2020-12-15,59,193.7143
2020-12-16,403,197.4286
2020-12-17,207,172.8571
2020-12-18,175,162.5714
2020-12-19,70,146.0
2020-12-20,102,153.8571
2020-12-21,155,167.2857
2020-12-22,223,190.7143
2020-12-23,198,161.4286
2020-12-24,88,144.4286
2020-12-25,42,125.4286
2020-12-26,27,119.2857
2020-12-27,31,109.1429
2020-12-28,68,96.7143
2020-12-29,146,85.7143
2020-12-30,180,83.1429
2020-12-31,21,73.5714
2021-01-01,148,88.7143
2021-01-02,17,87.2857
2021-01-03,72,93.1429
2021-01-04,82,95.1429
2021-01-05,151,95.8571
2021-01-06,146,91.0
2021-01-07,135,107.2857
2021-01-08,179,111.7143
2021-01-09,92,122.4286
2021-01-10,53,119.7143
2021-01-11,103,122.7143
2021-01-12,198,129.4286
2021-01-13,260,145.7143
2021-01-14,129,144.8571
2021-01-15,277,158.8571
2021-01-16,196,173.7143
2021-01-17,117,182.8571
2021-01-18,167,192.0
2021-01-19,219,195.0
2021-01-20,132,176.7143
2021-01-21,157,180.7143
2021-01-22,387,196.4286
2021-01-23,186,195.0
2021-01-24,149,199.5714
2021-01-25,194,203.4286
2021-01-26,265,210.0
2021-01-27,317,236.4286
2021-01-28,416,273.4286
2021-01-29,255,254.5714
2021-01-30,206,257.4286
2021-01-31,149,257.4286
2021-02-01,103,244.4286
2021-02-02,338,254.8571
2021-02-03,255,246.0
2021-02-04,328,233.4286
2021-02-05,204,226.1429
2021-02-06,220,228.1429
2021-02-07,108,222.2857
2021-02-08,223,239.4286
2021-02-09,284,231.7143
2021-02-10,309,239.4286
2021-02-11,337,240.7143
2021-02-12,228,244.1429
2021-02-13,259,249.7143
2021-02-14,71,244.4286
2021-02-15,166,236.2857
2021-02-16,371,248.7143
2021-02-17,326,251.1429
2021-02-18,428,264.1429
2021-02-19,622,320.4286
2021-02-20,162,306.5714
2021-02-21,212,326.7143
2021-02-22,279,342.8571
2021-02-23,375,343.4286
2021-02-24,451,361.2857
2021-02-25,358,351.2857
2021-02-26,495,333.1429
2021-02-27,273,349.0
2021-02-28,77,329.7143
2021-03-01,91,302.8571
2021-03-02,395,305.7143
2021-03-03,485,310.5714
2021-03-04,355,310.1429
2021-03-05,293,281.2857
2021-03-06,101,256.7143
2021-03-07,23,249.0
2021-03-08,0,236.0
2021-03-09,53,187.1429
2021-03-10,987,258.8571
2021-03-11,333,255.7143
2021-03-12,330,261.0
2021-03-13,195,274.4286
2021-03-14,89,283.8571
2021-03-15,166,307.5714
2021-03-16,360,351.4286
2021-03-17,301,253.4286
2021-03-18,349,255.7143
2021-03-19,322,254.5714
2021-03-20,200,255.2857
2021-03-21,95,256.1429
2021-03-22,217,263.4286
2021-03-23,291,253.5714
2021-03-24,301,253.5714
2021-03-25,249,239.2857
2021-03-26,273,232.2857
2021-03-27,136,223.1429
2021-03-28,48,216.4286
2021-03-29,0,185.4286
2021-03-30,361,195.4286
2021-03-31,328,199.2857
2021-04-01,256,200.2857
2021-04-02,167,185.1429
2021-04-03,74,176.2857
2021-04-04,21,172.4286
2021-04-05,211,202.5714
2021-04-06,183,177.1429
2021-04-07,271,169.0
2021-04-08,266,170.4286
2021-04-09,314,191.4286
2021-04-10,166,204.5714
2021-04-11,67,211.1429
2021-04-12,250,216.7143
2021-04-13,413,249.5714
2021-04-14,390,266.5714
2021-04-15,357,279.5714
2021-04-16,315,279.7143
2021-04-17,178,281.4286
2021-04-18,38,277.2857
2021-04-19,167,265.4286
2021-04-20,313,251.1429
2021-04-21,296,237.7143
2021-04-22,203,215.7143
2021-04-23,258,207.5714
2021-04-24,196,210.1429
2021-04-25,85,216.8571
2021-04-26,176,218.1429
2021-04-27,251,209.2857
2021-04-28,248,202.4286
2021-04-29,333,221.0
2021-04-30,260,221.2857
2021-05-01,156,215.5714
2021-05-02,39,209.0
2021-05-03,195,211.7143
2021-05-04,246,211.0
2021-05-05,328,222.4286
2021-05-06,373,228.1429
2021-05-07,239,225.1429
2021-05-08,191,230.1429
2021-05-09,29,228.7143
2021-05-10,203,229.8571
2021-05-11,300,237.5714
2021-05-12,280,230.7143
2021-05-13,304,220.8571
2021-05-14,309,230.8571
2021-05-15,232,236.7143
2021-05-16,84,244.5714
2021-05-17,170,239.8571
2021-05-18,446,260.7143
2021-05-19,304,264.1429
2021-05-20,394,277.0
2021-05-21,399,289.8571
2021-05-22,222,288.4286
2021-05-23,83,288.2857
2021-05-24,187,290.7143
2021-05-25,293,268.8571
2021-05-26,230,258.2857
2021-05-27,118,218.8571
2021-05-28,292,203.5714
2021-05-29,201,200.5714
2021-05-30,83,200.5714
2021-05-31,330,221.0
2021-06-01,346,228.5714
2021-06-02,322,241.7143
2021-06-03,84,236.8571
2021-06-04,444,258.5714
2021-06-05,198,258.1429
2021-06-06,143,266.7143
2021-06-07,52,227.0
2021-06-08,20,180.4286
2021-06-09,72,144.7143
2021-06-10,1378,329.5714
2021-06-11,453,330.8571
2021-06-12,222,334.2857
2021-06-13,76,324.7143
2021-06-14,226,349.5714
2021-06-15,486,416.1429
2021-06-16,346,455.2857
2021-06-17,390,314.1429
2021-06-18,350,299.4286
2021-06-19,206,297.1429
2021-06-20,52,293.7143
2021-06-21,22,264.5714
2021-06-22,57,203.2857
2021-06-23,1039,302.2857
2021-06-24,288,287.7143
2021-06-25,328,284.5714
2021-06-26,284,295.7143
2021-06-27,124,306.0
2021-06-28,14,304.8571
2021-06-29,275,336.0
2021-06-30,510,260.4286
2021-07-01,284,259.8571
2021-07-02,350,263.0
2021-07-03,222,254.1429
2021-07-04,69,246.2857
2021-07-05,190,271.4286
2021-07-06,0,232.1429
