date,newCases,rollingAvg
2020-03-16,2,1.1429
2020-03-17,2,1.2857
2020-03-18,9,2.4286
2020-03-19,12,3.8571
2020-03-20,12,5.5714
2020-03-21,26,9.0
2020-03-22,8,10.1429
2020-03-23,19,12.5714
2020-03-24,16,14.5714
2020-03-25,50,20.4286
2020-03-26,28,22.7143
2020-03-27,7,22.0
2020-03-28,3,18.7143
2020-03-29,30,21.8571
2020-03-30,24,22.5714
2020-03-31,51,27.5714
2020-04-01,11,22.0
2020-04-02,70,28.0
2020-04-03,24,30.4286
2020-04-04,8,31.1429
2020-04-05,50,34.0
2020-04-06,33,35.2857
2020-04-07,54,35.7143
2020-04-08,26,37.8571
2020-04-09,55,35.7143
2020-04-10,4,32.8571
2020-04-11,13,33.5714
2020-04-12,11,28.0
2020-04-13,21,26.2857
2020-04-14,35,23.5714
2020-04-15,42,25.8571
2020-04-16,30,22.2857
2020-04-17,39,27.2857
2020-04-18,23,28.7143
2020-04-19,15,29.2857
2020-04-20,35,31.2857
2020-04-21,14,28.2857
2020-04-22,52,29.7143
2020-04-23,69,35.2857
2020-04-24,57,37.8571
2020-04-25,70,44.5714
2020-04-26,42,48.4286
2020-04-27,48,50.2857
2020-04-28,94,61.7143
2020-04-29,70,64.2857
2020-04-30,109,70.0
2020-05-01,90,74.7143
2020-05-02,47,71.4286
2020-05-03,24,68.8571
2020-05-04,78,73.1429
2020-05-05,251,95.5714
2020-05-06,81,97.1429
2020-05-07,82,93.2857
2020-05-08,311,124.8571
2020-05-09,49,125.1429
2020-05-10,34,126.5714
2020-05-11,232,148.5714
2020-05-12,109,128.2857
2020-05-13,80,128.1429
2020-05-14,104,131.2857
2020-05-15,594,171.7143
2020-05-16,39,170.2857
2020-05-17,1,165.5714
2020-05-18,15,134.5714
2020-05-19,48,125.8571
2020-05-20,1175,282.2857
2020-05-21,500,338.8571
2020-05-22,445,317.5714
2020-05-23,418,371.7143
2020-05-24,134,390.7143
2020-05-25,89,401.2857
2020-05-26,226,426.7143
2020-05-27,263,296.4286
2020-05-28,1186,394.4286
2020-05-29,609,417.8571
2020-05-30,399,415.1429
2020-05-31,90,408.8571
2020-06-01,164,419.5714
2020-06-02,423,447.7143
2020-06-03,479,478.5714
2020-06-04,612,396.5714
2020-06-05,573,391.4286
2020-06-06,454,399.2857
2020-06-07,98,400.4286
2020-06-08,115,393.4286
2020-06-09,552,411.8571
2020-06-10,817,460.1429
2020-06-11,549,451.1429
2020-06-12,216,400.1429
2020-06-13,243,370.0
2020-06-14,34,360.8571
2020-06-15,777,455.4286
2020-06-16,1033,524.1429
2020-06-17,657,501.2857
2020-06-18,694,522.0
2020-06-19,765,600.4286
2020-06-20,551,644.4286
2020-06-21,210,669.5714
2020-06-22,362,610.2857
2020-06-23,1154,627.5714
2020-06-24,1145,697.2857
2020-06-25,1051,748.2857
2020-06-26,1054,789.5714
2020-06-27,886,837.4286
2020-06-28,243,842.1429
2020-06-29,416,849.8571
2020-06-30,1282,868.1429
2020-07-01,1230,880.2857
2020-07-02,1024,876.4286
2020-07-03,1176,893.8571
2020-07-04,1248,945.5714
2020-07-05,336,958.8571
2020-07-06,446,963.1429
2020-07-07,1399,979.8571
2020-07-08,1757,1055.1429
2020-07-09,877,1034.1429
2020-07-10,1056,1017.0
2020-07-11,1230,1014.4286
2020-07-12,520,1040.7143
2020-07-13,416,1036.4286
2020-07-14,1337,1027.5714
2020-07-15,1246,954.5714
2020-07-16,3105,1272.8571
2020-07-17,1366,1317.1429
2020-07-18,137,1161.0
2020-07-19,266,1124.7143
2020-07-20,336,1113.2857
2020-07-21,2391,1263.8571
2020-07-22,3233,1547.7143
2020-07-23,1768,1356.7143
2020-07-24,2166,1471.0
2020-07-25,2111,1753.0
2020-07-26,661,1809.4286
2020-07-27,265,1799.2857
2020-07-28,2303,1786.7143
2020-07-29,2149,1631.8571
2020-07-30,1977,1661.7143
2020-07-31,219,1383.5714
2020-08-01,3764,1619.7143
2020-08-02,584,1608.7143
2020-08-03,439,1633.5714
2020-08-04,2139,1610.1429
2020-08-05,2945,1723.8571
2020-08-06,2274,1766.2857
2020-08-07,189,1762.0
2020-08-08,4569,1877.0
2020-08-09,396,1850.1429
2020-08-10,43,1793.5714
2020-08-11,3381,1971.0
2020-08-12,2634,1926.5714
2020-08-13,2511,1960.4286
2020-08-14,2582,2302.2857
2020-08-15,2303,1978.5714
2020-08-16,432,1983.7143
2020-08-17,130,1996.1429
2020-08-18,3210,1971.7143
2020-08-19,2674,1977.4286
2020-08-20,177,1644.0
2020-08-21,267,1313.2857
2020-08-22,4504,1627.7143
2020-08-23,1034,1713.7143
2020-08-24,80,1706.5714
2020-08-25,2810,1649.4286
2020-08-26,3221,1727.5714
2020-08-27,2331,2035.2857
2020-08-28,2424,2343.4286
2020-08-29,3677,2225.2857
2020-08-30,66,2087.0
2020-08-31,1331,2265.7143
2020-09-01,1986,2148.0
2020-09-02,3662,2211.0
2020-09-03,3149,2327.8571
2020-09-04,2607,2354.0
2020-09-05,6268,2724.1429
2020-09-06,429,2776.0
2020-09-07,38,2591.2857
2020-09-08,550,2386.1429
2020-09-09,3074,2302.1429
2020-09-10,3816,2397.4286
2020-09-11,2083,2322.5714
2020-09-12,2789,1825.5714
2020-09-13,639,1855.5714
2020-09-14,1004,1993.5714
2020-09-15,3033,2348.2857
2020-09-16,3433,2399.5714
2020-09-17,3408,2341.2857
2020-09-18,2968,2467.7143
2020-09-19,3391,2553.7143
2020-09-20,637,2553.4286
2020-09-21,572,2491.7143
2020-09-22,2136,2363.5714
2020-09-23,1951,2151.8571
2020-09-24,1781,1919.4286
2020-09-25,1898,1766.5714
2020-09-26,2004,1568.4286
2020-09-27,397,1534.1429
2020-09-28,262,1489.8571
2020-09-29,2475,1538.2857
2020-09-30,2319,1590.8571
2020-10-01,6614,2281.2857
2020-10-02,3241,2473.1429
2020-10-03,2160,2495.4286
2020-10-04,132,2457.5714
2020-10-05,778,2531.2857
2020-10-06,1878,2446.0
2020-10-07,2331,2447.7143
2020-10-08,1917,1776.7143
2020-10-09,2150,1620.8571
2020-10-10,2009,1599.2857
2020-10-11,376,1634.1429
2020-10-12,426,1583.8571
2020-10-13,386,1370.7143
2020-10-14,1962,1318.0
2020-10-15,1903,1316.0
2020-10-16,1728,1255.7143
2020-10-17,2129,1272.8571
2020-10-18,324,1265.4286
2020-10-19,1004,1348.0
2020-10-20,1674,1532.0
2020-10-21,1769,1504.4286
2020-10-22,1299,1418.1429
2020-10-23,2182,1483.0
2020-10-24,3132,1626.2857
2020-10-25,0,1580.0
2020-10-26,1597,1664.7143
2020-10-27,2723,1814.5714
2020-10-28,2298,1890.1429
2020-10-29,2708,2091.4286
2020-10-30,2825,2183.2857
2020-10-31,1349,1928.5714
2020-11-01,906,2058.0
2020-11-02,955,1966.2857
2020-11-03,627,1666.8571
2020-11-04,3208,1796.8571
2020-11-05,1556,1632.2857
2020-11-06,2957,1651.1429
2020-11-07,2403,1801.7143
2020-11-08,710,1773.7143
2020-11-09,758,1745.5714
2020-11-10,2920,2073.1429
2020-11-11,3174,2068.2857
2020-11-12,3590,2358.8571
2020-11-13,3071,2375.1429
2020-11-14,3108,2475.8571
2020-11-15,1188,2544.1429
2020-11-16,1165,2602.2857
2020-11-17,3479,2682.1429
2020-11-18,3853,2779.1429
2020-11-19,2719,2654.7143
2020-11-20,3298,2687.1429
2020-11-21,3683,2769.2857
2020-11-22,923,2731.4286
2020-11-23,843,2685.4286
2020-11-24,3096,2630.7143
2020-11-25,4569,2733.0
2020-11-26,2312,2674.8571
2020-11-27,2476,2557.4286
2020-11-28,7813,3147.4286
2020-11-29,1842,3278.7143
2020-11-30,1280,3341.1429
2020-12-01,4367,3522.7143
2020-12-02,4854,3563.4286
2020-12-03,5724,4050.8571
2020-12-04,5032,4416.0
2020-12-05,4766,3980.7143
2020-12-06,2234,4036.7143
2020-12-07,1534,4073.0
2020-12-08,4114,4036.8571
2020-12-09,4861,4037.8571
2020-12-10,4435,3853.7143
2020-12-11,5163,3872.4286
2020-12-12,3557,3699.7143
2020-12-13,3891,3936.4286
2020-12-14,2303,4046.2857
2020-12-15,3358,3938.2857
2020-12-16,6453,4165.7143
2020-12-17,6112,4405.2857
2020-12-18,5721,4485.0
2020-12-19,5061,4699.8571
2020-12-20,2157,4452.1429
2020-12-21,2039,4414.4286
2020-12-22,6206,4821.2857
2020-12-23,98,3913.4286
2020-12-24,10433,4530.7143
2020-12-25,2102,4013.7143
2020-12-26,2147,3597.4286
2020-12-27,823,3406.8571
2020-12-28,638,3206.7143
2020-12-29,6217,3208.2857
2020-12-30,5754,4016.2857
2020-12-31,5462,3306.1429
2021-01-01,2238,3325.5714
2021-01-02,1008,3162.8571
2021-01-03,1837,3307.7143
2021-01-04,569,3297.8571
2021-01-05,5283,3164.4286
2021-01-06,4728,3017.8571
2021-01-07,4801,2923.4286
2021-01-08,4779,3286.4286
2021-01-09,3584,3654.4286
2021-01-10,1979,3674.7143
2021-01-11,1582,3819.4286
2021-01-12,3695,3592.5714
2021-01-13,5223,3663.2857
2021-01-14,4605,3635.2857
2021-01-15,5207,3696.4286
2021-01-16,4229,3788.5714
2021-01-17,1864,3772.1429
2021-01-18,1173,3713.7143
2021-01-19,4285,3798.0
2021-01-20,3945,3615.4286
2021-01-21,4025,3532.5714
2021-01-22,3054,3225.0
2021-01-23,3815,3165.8571
2021-01-24,863,3022.8571
2021-01-25,905,2984.5714
2021-01-26,3994,2943.0
2021-01-27,3802,2922.5714
2021-01-28,3411,2834.8571
2021-01-29,3342,2876.0
2021-01-30,3209,2789.4286
2021-01-31,574,2748.1429
2021-02-01,780,2730.2857
2021-02-02,3255,2624.7143
2021-02-03,3036,2515.2857
2021-02-04,2772,2424.0
2021-02-05,3415,2434.4286
2021-02-06,3166,2428.2857
2021-02-07,510,2419.1429
2021-02-08,493,2378.1429
2021-02-09,3707,2442.7143
2021-02-10,5596,2808.4286
2021-02-11,3333,2888.5714
2021-02-12,3173,2854.0
2021-02-13,3506,2902.5714
2021-02-14,1322,3018.5714
2021-02-15,969,3086.5714
2021-02-16,1897,2828.0
2021-02-17,1922,2303.1429
2021-02-18,4125,2416.2857
2021-02-19,4197,2562.5714
2021-02-20,4212,2663.4286
2021-02-21,1717,2719.8571
2021-02-22,2029,2871.2857
2021-02-23,5777,3425.5714
2021-02-24,7194,4178.7143
2021-02-25,5446,4367.4286
2021-02-26,7188,4794.7143
2021-02-27,6977,5189.7143
2021-02-28,1928,5219.8571
2021-03-01,2748,5322.5714
2021-03-02,6006,5355.2857
2021-03-03,7831,5446.2857
2021-03-04,9940,6088.2857
2021-03-05,9127,6365.2857
2021-03-06,9599,6739.8571
2021-03-07,2671,6846.0
2021-03-08,2559,6819.0
2021-03-09,11806,7647.5714
2021-03-10,10403,8015.0
2021-03-11,6847,7573.1429
2021-03-12,10017,7700.2857
2021-03-13,9281,7654.8571
2021-03-14,3107,7717.1429
2021-03-15,1978,7634.1429
2021-03-16,9331,7280.5714
2021-03-17,9619,7168.5714
2021-03-18,7206,7219.8571
2021-03-19,9186,7101.1429
2021-03-20,8518,6992.1429
2021-03-21,2515,6907.5714
2021-03-22,1789,6880.5714
2021-03-23,8491,6760.5714
2021-03-24,7540,6463.5714
2021-03-25,6133,6310.2857
2021-03-26,1103,5155.5714
2021-03-27,12122,5670.4286
2021-03-28,2233,5630.1429
2021-03-29,1377,5571.2857
2021-03-30,7063,5367.2857
2021-03-31,6310,5191.5714
2021-04-01,4840,5006.8571
2021-04-02,7780,5960.7143
2021-04-03,1253,4408.0
2021-04-04,883,4215.1429
2021-04-05,788,4131.0
2021-04-06,7666,4217.1429
2021-04-07,6860,4295.7143
2021-04-08,3813,4149.0
2021-04-09,6886,4021.2857
2021-04-10,4409,4472.1429
2021-04-11,996,4488.2857
2021-04-12,533,4451.8571
2021-04-13,6427,4274.8571
2021-04-14,6430,4213.4286
2021-04-15,5578,4465.5714
2021-04-16,5036,4201.2857
2021-04-17,4868,4266.8571
2021-04-18,1386,4322.5714
2021-04-19,738,4351.8571
2021-04-20,6252,4326.8571
2021-04-21,6168,4289.4286
2021-04-22,869,3616.7143
2021-04-23,6873,3879.1429
2021-04-24,5713,3999.8571
2021-04-25,533,3878.0
2021-04-26,1007,3916.4286
2021-04-27,6065,3889.7143
2021-04-28,6637,3956.7143
2021-04-29,4228,4436.5714
2021-04-30,8074,4608.1429
2021-05-01,4838,4483.1429
2021-05-02,605,4493.4286
2021-05-03,394,4405.8571
2021-05-04,5685,4351.5714
2021-05-05,5980,4257.7143
2021-05-06,3263,4119.8571
2021-05-07,7331,4013.7143
2021-05-08,4143,3914.4286
2021-05-09,687,3926.1429
2021-05-10,401,3927.1429
2021-05-11,5190,3856.4286
2021-05-12,5106,3731.5714
2021-05-13,3881,3819.8571
2021-05-14,4525,3419.0
2021-05-15,4241,3433.0
2021-05-16,641,3426.4286
2021-05-17,450,3433.4286
2021-05-18,5714,3508.2857
2021-05-19,5883,3619.2857
2021-05-20,5352,3829.4286
2021-05-21,4840,3874.4286
2021-05-22,4949,3975.5714
2021-05-23,922,4015.7143
2021-05-24,787,4063.8571
2021-05-25,5488,4031.5714
2021-05-26,5068,3915.1429
2021-05-27,3301,3622.1429
2021-05-28,187,2957.4286
2021-05-29,7925,3382.5714
