date,newCases,rollingAvg
2020-03-18,7,2.0
2020-03-19,7,2.7143
2020-03-20,19,5.2857
2020-03-21,17,7.4286
2020-03-22,11,8.8571
2020-03-23,18,11.2857
2020-03-24,23,14.5714
2020-03-25,13,15.4286
2020-03-26,27,18.2857
2020-03-27,14,17.5714
2020-03-28,21,18.1429
2020-03-29,13,18.4286
2020-03-30,22,19.0
2020-03-31,16,18.0
2020-04-01,12,17.8571
2020-04-02,34,18.8571
2020-04-03,20,19.7143
2020-04-04,55,24.5714
2020-04-05,23,26.0
2020-04-06,38,28.2857
2020-04-07,40,31.7143
2020-04-08,44,36.2857
2020-04-09,192,58.8571
2020-04-10,24,59.4286
2020-04-11,15,53.7143
2020-04-12,44,56.7143
2020-04-13,50,58.4286
2020-04-14,27,56.5714
2020-04-15,31,54.7143
2020-04-16,42,33.2857
2020-04-17,36,35.0
2020-04-18,13,34.7143
2020-04-19,50,35.5714
2020-04-20,38,33.8571
2020-04-21,28,34.0
2020-04-22,24,33.0
2020-04-23,55,34.8571
2020-04-24,39,35.2857
2020-04-25,26,37.1429
2020-04-26,102,44.5714
2020-04-27,139,59.0
2020-04-28,519,129.1429
2020-04-29,90,138.5714
2020-04-30,309,174.8571
2020-05-01,-290,127.8571
2020-05-02,242,158.7143
2020-05-03,173,168.8571
2020-05-04,104,163.8571
2020-05-05,172,114.2857
2020-05-06,122,118.8571
2020-05-07,165,98.2857
2020-05-08,123,157.2857
2020-05-09,167,146.5714
2020-05-10,57,130.0
2020-05-11,100,129.4286
2020-05-12,204,134.0
2020-05-13,95,130.1429
2020-05-14,504,178.5714
2020-05-15,230,193.8571
2020-05-16,116,186.5714
2020-05-17,98,192.4286
2020-05-18,399,235.1429
2020-05-19,238,240.0
2020-05-20,86,238.7143
2020-05-21,111,182.5714
2020-05-22,848,270.8571
2020-05-23,149,275.5714
2020-05-24,89,274.2857
2020-05-25,179,242.8571
2020-05-26,141,229.0
2020-05-27,356,267.5714
2020-05-28,628,341.4286
2020-05-29,530,296.0
2020-05-30,250,310.4286
2020-05-31,257,334.4286
2020-06-01,461,374.7143
2020-06-02,162,377.7143
2020-06-03,374,380.2857
2020-06-04,499,361.8571
2020-06-05,313,330.8571
2020-06-06,439,357.8571
2020-06-07,280,361.1429
2020-06-08,177,320.5714
2020-06-09,450,361.7143
2020-06-10,402,365.7143
2020-06-11,359,345.7143
2020-06-12,212,331.2857
2020-06-13,131,287.2857
2020-06-14,64,256.4286
