date,newCases,rollingAvg
2020-03-20,1,1.0
2020-03-21,3,1.2857
2020-03-22,0,1.2857
2020-03-23,0,0.7143
2020-03-24,5,1.4286
2020-03-25,1,1.4286
2020-03-26,0,1.4286
2020-03-27,0,1.2857
2020-03-28,0,0.8571
2020-03-29,0,0.8571
2020-03-30,2,1.1429
2020-03-31,1,0.5714
2020-04-01,3,0.8571
2020-04-02,2,1.1429
2020-04-03,3,1.5714
2020-04-04,5,2.2857
2020-04-05,0,2.2857
2020-04-06,0,2.0
2020-04-07,4,2.4286
2020-04-08,3,2.4286
2020-04-09,1,2.2857
2020-04-10,2,2.1429
2020-04-11,2,1.7143
2020-04-12,0,1.7143
2020-04-13,1,1.8571
2020-04-14,1,1.4286
2020-04-15,2,1.2857
2020-04-16,5,1.8571
2020-04-17,5,2.2857
2020-04-18,13,3.8571
2020-04-19,15,6.0
2020-04-20,6,6.7143
2020-04-21,25,10.1429
2020-04-22,1,10.0
2020-04-23,17,11.7143
2020-04-24,10,12.4286
2020-04-25,9,11.8571
2020-04-26,21,12.7143
2020-04-27,36,17.0
2020-04-28,69,23.2857
2020-04-29,57,31.2857
2020-04-30,116,45.4286
2020-05-01,64,53.1429
2020-05-02,84,63.8571
2020-05-03,129,79.2857
2020-05-04,42,80.1429
2020-05-05,126,88.2857
2020-05-06,100,94.4286
2020-05-07,216,108.7143
2020-05-08,224,131.5714
2020-05-09,150,141.0
2020-05-10,183,148.7143
2020-05-11,29,146.8571
2020-05-12,232,162.0
2020-05-13,236,181.4286
2020-05-14,226,182.8571
2020-05-15,374,204.2857
2020-05-16,267,221.0
2020-05-17,208,224.5714
2020-05-18,223,252.2857
2020-05-19,401,276.4286
2020-05-20,310,287.0
2020-05-21,457,320.0
2020-05-22,188,293.4286
2020-05-23,209,285.1429
2020-05-24,183,281.5714
2020-05-25,134,268.8571
2020-05-26,287,252.5714
2020-05-27,177,233.5714
2020-05-28,244,203.1429
2020-05-29,306,220.0
2020-05-30,343,239.1429
2020-05-31,194,240.7143
2020-06-01,234,255.0
2020-06-02,322,260.0
2020-06-03,434,296.7143
2020-06-04,211,292.0
2020-06-05,377,302.1429
2020-06-06,395,309.5714
2020-06-07,318,327.2857
2020-06-08,437,356.2857
2020-06-09,399,367.2857
2020-06-10,489,375.1429
2020-06-11,441,408.0
2020-06-12,478,422.4286
2020-06-13,1332,556.2857
2020-06-14,1102,668.2857
2020-06-15,1707,849.7143
2020-06-16,635,883.4286
2020-06-17,497,884.5714
2020-06-18,531,897.4286
2020-06-19,470,896.2857
2020-06-20,641,797.5714
2020-06-21,536,716.7143
2020-06-22,399,529.8571
2020-06-23,499,510.4286
2020-06-24,470,506.5714
2020-06-25,728,534.7143
2020-06-26,827,585.7143
2020-06-27,1411,695.7143
2020-06-28,1102,776.5714
2020-06-29,396,776.1429
2020-06-30,594,789.7143
2020-07-01,1201,894.1429
2020-07-02,0,790.1429
2020-07-03,1574,896.8571
2020-07-04,1575,920.2857
2020-07-05,456,828.0
2020-07-06,501,843.0
2020-07-07,922,889.8571
2020-07-08,850,839.7143
2020-07-09,926,972.0
2020-07-10,1297,932.4286
2020-07-11,1333,897.8571
2020-07-12,1585,1059.1429
2020-07-13,590,1071.8571
2020-07-14,946,1075.2857
2020-07-15,972,1092.7143
2020-07-16,1087,1115.7143
2020-07-17,662,1025.0
2020-07-18,1184,1003.7143
2020-07-19,2171,1087.4286
2020-07-20,816,1119.7143
2020-07-21,1051,1134.7143
2020-07-22,1030,1143.0
2020-07-23,1257,1167.2857
2020-07-24,1735,1320.5714
2020-07-25,1132,1313.1429
2020-07-26,339,1051.4286
2020-07-27,1009,1079.0
2020-07-28,1397,1128.4286
2020-07-29,1205,1153.4286
2020-07-30,1470,1183.8571
2020-07-31,1029,1083.0
2020-08-01,1011,1065.7143
2020-08-02,311,1061.7143
2020-08-03,444,981.0
2020-08-04,590,865.7143
2020-08-05,917,824.5714
2020-08-06,1742,863.4286
2020-08-07,0,716.4286
2020-08-08,543,649.5714
2020-08-09,422,665.4286
2020-08-10,281,642.1429
2020-08-11,481,626.5714
2020-08-12,410,554.1429
2020-08-13,945,440.2857
2020-08-14,415,499.5714
2020-08-15,476,490.0
2020-08-16,296,472.0
2020-08-17,316,477.0
2020-08-18,386,463.4286
2020-08-19,368,457.4286
2020-08-20,435,384.5714
2020-08-21,343,374.2857
2020-08-22,407,364.4286
2020-08-23,220,353.5714
2020-08-24,134,327.5714
2020-08-25,320,318.1429
2020-08-26,296,307.8571
2020-08-27,377,299.5714
2020-08-28,440,313.4286
2020-08-29,241,289.7143
2020-08-30,137,277.8571
2020-08-31,111,274.5714
2020-09-01,193,256.4286
2020-09-02,210,244.1429
2020-09-03,251,226.1429
2020-09-04,201,192.0
2020-09-05,248,193.0
2020-09-06,109,189.0
2020-09-07,106,188.2857
2020-09-08,125,178.5714
2020-09-09,150,170.0
2020-09-10,265,172.0
2020-09-11,259,180.2857
2020-09-12,120,162.0
2020-09-13,68,156.1429
2020-09-14,213,171.4286
2020-09-15,157,176.0
2020-09-16,139,174.4286
2020-09-17,218,167.7143
2020-09-18,104,145.5714
2020-09-19,108,143.8571
2020-09-20,101,148.5714
2020-09-21,200,146.7143
2020-09-22,120,141.4286
2020-09-23,160,144.4286
2020-09-24,250,149.0
2020-09-25,124,151.8571
2020-09-26,190,163.5714
2020-09-27,166,172.8571
2020-09-28,89,157.0
2020-09-29,108,155.2857
2020-09-30,160,155.2857
2020-10-01,195,147.4286
2020-10-02,144,150.2857
2020-10-03,223,155.0
2020-10-04,193,158.8571
2020-10-05,185,172.5714
2020-10-06,145,177.8571
2020-10-07,167,178.8571
2020-10-08,265,188.8571
2020-10-09,288,209.4286
2020-10-10,256,214.1429
2020-10-11,395,243.0
2020-10-12,79,227.8571
2020-10-13,259,244.1429
2020-10-14,193,247.8571
2020-10-15,306,253.7143
2020-10-16,192,240.0
2020-10-17,194,231.1429
2020-10-18,445,238.2857
2020-10-19,476,295.0
2020-10-20,261,295.2857
2020-10-21,525,342.7143
2020-10-22,313,343.7143
2020-10-23,268,354.5714
2020-10-24,239,361.0
2020-10-25,148,318.5714
2020-10-26,69,260.4286
2020-10-27,102,237.7143
2020-10-28,83,174.5714
2020-10-29,123,147.4286
2020-10-30,66,118.5714
2020-10-31,89,97.1429
2020-11-01,36,81.1429
2020-11-02,129,89.7143
2020-11-03,86,87.4286
2020-11-04,132,94.4286
2020-11-05,101,91.2857
2020-11-06,243,116.5714
2020-11-07,173,128.5714
2020-11-08,151,145.0
2020-11-09,100,140.8571
2020-11-10,97,142.4286
2020-11-11,69,133.4286
2020-11-12,161,142.0
2020-11-13,89,120.0
2020-11-14,87,107.7143
2020-11-15,65,95.4286
2020-11-16,101,95.5714
2020-11-17,127,99.8571
2020-11-18,88,102.5714
2020-11-19,251,115.4286
2020-11-20,235,136.2857
2020-11-21,242,158.4286
2020-11-22,159,171.8571
2020-11-23,229,190.1429
2020-11-24,323,218.1429
2020-11-25,300,248.4286
2020-11-26,561,292.7143
2020-11-27,338,307.4286
2020-11-28,508,345.4286
2020-11-29,491,392.8571
2020-11-30,150,381.5714
2020-12-01,238,369.4286
2020-12-02,534,402.8571
2020-12-03,798,436.7143
2020-12-04,75,399.1429
2020-12-05,61,335.2857
2020-12-06,2597,636.1429
2020-12-07,723,718.0
2020-12-08,319,729.5714
2020-12-09,853,775.1429
2020-12-10,644,753.1429
2020-12-11,572,824.1429
2020-12-12,910,945.4286
2020-12-13,679,671.4286
2020-12-14,602,654.1429
2020-12-15,618,696.8571
2020-12-16,777,686.0
2020-12-17,558,673.7143
2020-12-18,104,606.8571
2020-12-19,1232,652.8571
2020-12-20,913,686.2857
2020-12-21,471,667.5714
2020-12-22,592,663.8571
2020-12-23,655,646.4286
2020-12-24,1223,741.4286
2020-12-25,825,844.4286
