date,newCases,rollingAvg
2020-03-02,0,0.2857
2020-03-03,0,0.1429
2020-03-04,1,0.2857
2020-03-05,3,0.7143
2020-03-06,4,1.1429
2020-03-07,3,1.5714
2020-03-08,3,2.0
2020-03-09,0,2.0
2020-03-10,3,2.4286
2020-03-11,11,3.8571
2020-03-12,16,5.7143
2020-03-13,10,6.5714
2020-03-14,9,7.4286
2020-03-15,71,17.1429
2020-03-16,16,19.4286
2020-03-17,12,20.7143
2020-03-18,77,30.1429
2020-03-19,45,34.2857
2020-03-20,110,48.5714
2020-03-21,63,56.2857
2020-03-22,172,70.7143
2020-03-23,114,84.7143
2020-03-24,65,92.2857
2020-03-25,52,88.7143
2020-03-26,191,109.5714
2020-03-27,170,118.1429
2020-03-28,183,135.2857
2020-03-29,45,117.1429
2020-03-30,66,110.2857
2020-03-31,822,218.4286
2020-04-01,642,302.7143
2020-04-02,525,350.4286
2020-04-03,542,403.5714
2020-04-04,418,437.1429
2020-04-05,154,452.7143
2020-04-06,246,478.4286
2020-04-07,816,477.5714
2020-04-08,1026,532.4286
2020-04-09,772,567.7143
2020-04-10,736,595.4286
2020-04-11,203,564.7143
2020-04-12,336,590.7143
2020-04-13,140,575.5714
2020-04-14,476,527.0
2020-04-15,1672,619.2857
2020-04-16,525,584.0
2020-04-17,1273,660.7143
2020-04-18,1053,782.1429
2020-04-19,373,787.4286
2020-04-20,313,812.1429
2020-04-21,805,859.1429
2020-04-22,529,695.8571
2020-04-23,826,738.8571
2020-04-24,1086,712.1429
2020-04-25,2178,872.8571
2020-04-26,711,921.1429
2020-04-27,981,1016.5714
2020-04-28,2345,1236.5714
2020-04-29,2117,1463.4286
2020-04-30,2540,1708.2857
2020-05-01,1676,1792.5714
2020-05-02,800,1595.7143
2020-05-03,598,1579.5714
2020-05-04,415,1498.7143
2020-05-05,1866,1430.2857
2020-05-06,3800,1670.7143
2020-05-07,2075,1604.2857
2020-05-08,1902,1636.5714
2020-05-09,2581,1891.0
2020-05-10,1033,1953.1429
2020-05-11,687,1992.0
2020-05-12,1588,1952.2857
2020-05-13,3378,1892.0
2020-05-14,3189,2051.1429
2020-05-15,4092,2364.0
2020-05-16,2805,2396.0
2020-05-17,1162,2414.4286
2020-05-18,721,2419.2857
2020-05-19,2929,2610.8571
2020-05-20,3864,2680.2857
2020-05-21,3880,2779.0
2020-05-22,3132,2641.8571
2020-05-23,3687,2767.8571
2020-05-24,1603,2830.8571
2020-05-25,1464,2937.0
2020-05-26,2392,2860.2857
2020-05-27,3466,2803.4286
2020-05-28,6382,3160.8571
2020-05-29,5691,3526.4286
2020-05-30,5586,3797.7143
2020-05-31,2556,3933.8571
2020-06-01,1598,3953.0
2020-06-02,6999,4611.1429
2020-06-03,5188,4857.1429
2020-06-04,5717,4762.1429
2020-06-05,5365,4715.5714
2020-06-06,5984,4772.4286
2020-06-07,2524,4767.8571
2020-06-08,1520,4756.7143
2020-06-09,5545,4549.0
2020-06-10,6178,4690.4286
2020-06-11,6204,4760.0
2020-06-12,5380,4762.1429
2020-06-13,4975,4618.0
2020-06-14,5327,5018.4286
2020-06-15,3258,5266.7143
2020-06-16,8825,5735.2857
2020-06-17,1232,5028.7143
2020-06-18,1111,4301.1429
2020-06-19,19030,6251.1429
2020-06-20,4135,6131.1429
2020-06-21,3392,5854.7143
2020-06-22,2788,5787.5714
2020-06-23,7502,5598.5714
2020-06-24,9347,6757.8571
2020-06-25,9765,7994.1429
2020-06-26,9921,6692.8571
2020-06-27,7073,7112.5714
2020-06-28,6156,7507.4286
2020-06-29,3408,7596.0
2020-06-30,6235,7415.0
2020-07-01,8555,7301.8571
2020-07-02,12244,7656.0
2020-07-03,8523,7456.2857
2020-07-04,1828,6707.0
2020-07-05,7649,6920.2857
2020-07-06,2891,6846.4286
2020-07-07,9638,7332.5714
2020-07-08,8657,7347.1429
2020-07-09,8350,6790.8571
2020-07-10,9395,6915.4286
2020-07-11,7780,7765.7143
2020-07-12,5107,7402.5714
2020-07-13,2610,7362.4286
2020-07-14,12000,7699.8571
2020-07-15,6569,7401.5714
2020-07-16,8872,7476.1429
2020-07-17,5367,6900.7143
2020-07-18,4612,6448.1429
2020-07-19,3022,6150.2857
2020-07-20,1385,5975.2857
2020-07-21,6235,5151.7143
2020-07-22,16777,6610.0
2020-07-23,12561,7137.0
2020-07-24,11211,7971.8571
2020-07-25,16263,9636.2857
2020-07-26,4501,9847.5714
2020-07-27,3672,10174.2857
2020-07-28,12647,11090.2857
2020-07-29,13896,10678.7143
2020-07-30,14809,10999.8571
2020-07-31,13298,11298.0
2020-08-01,10014,10405.2857
2020-08-02,6367,10671.8571
2020-08-03,1533,10366.2857
2020-08-04,15371,10755.4286
2020-08-05,9676,10152.5714
2020-08-06,13405,9952.0
2020-08-07,9709,9439.2857
2020-08-08,13352,9916.1429
2020-08-09,5395,9777.2857
2020-08-10,1289,9742.4286
2020-08-11,11147,9139.0
2020-08-12,15619,9988.0
2020-08-13,19274,10826.4286
2020-08-14,11667,11106.1429
2020-08-15,11408,10828.4286
2020-08-16,1963,10338.1429
2020-08-17,3172,10607.1429
2020-08-18,8865,10281.1429
2020-08-19,9847,9456.5714
2020-08-20,9451,8053.2857
2020-08-21,5132,7119.7143
2020-08-22,13284,7387.7143
2020-08-23,4885,7805.1429
2020-08-24,2351,7687.8571
2020-08-25,9190,7734.2857
2020-08-26,10465,7822.5714
2020-08-27,8318,7660.7143
2020-08-28,11756,8607.0
2020-08-29,5213,7454.0
2020-08-30,1982,7039.2857
2020-08-31,938,6837.4286
2020-09-01,10033,6957.8571
2020-09-02,11956,7170.8571
2020-09-03,11647,7646.4286
2020-09-04,7038,6972.4286
2020-09-05,8069,7380.4286
2020-09-06,2637,7474.0
2020-09-07,1608,7569.7143
2020-09-08,1453,6344.0
2020-09-09,7793,5749.2857
2020-09-10,8178,5253.7143
2020-09-11,8055,5399.0
2020-09-12,7881,5372.1429
2020-09-13,1567,5219.2857
2020-09-14,1092,5145.5714
2020-09-15,7922,6069.7143
2020-09-16,8157,6121.7143
2020-09-17,7393,6009.5714
2020-09-18,7711,5960.4286
2020-09-19,7141,5854.7143
2020-09-20,3627,6149.0
2020-09-21,2032,6283.2857
2020-09-22,8090,6307.2857
2020-09-23,6551,6077.8571
2020-09-24,6267,5917.0
2020-09-25,6681,5769.8571
2020-09-26,5967,5602.1429
2020-09-27,1349,5276.7143
2020-09-28,905,5115.7143
2020-09-29,6377,4871.0
2020-09-30,6109,4807.8571
2020-10-01,6097,4783.5714
2020-10-02,5608,4630.2857
2020-10-03,6096,4648.7143
2020-10-04,473,4523.5714
2020-10-05,677,4491.0
2020-10-06,6260,4474.2857
2020-10-07,5916,4446.7143
2020-10-08,5649,4382.7143
2020-10-09,5786,4408.1429
2020-10-10,6626,4483.8571
2020-10-11,2844,4822.5714
2020-10-12,684,4823.5714
2020-10-13,685,4027.1429
2020-10-14,6031,4043.5714
2020-10-15,6553,4172.7143
2020-10-16,5627,4150.0
2020-10-17,5394,3974.0
2020-10-18,968,3706.0
2020-10-19,437,3670.7143
2020-10-20,4923,4276.1429
2020-10-21,4299,4028.7143
2020-10-22,3678,3618.0
2020-10-23,6702,3771.5714
2020-10-24,5614,3803.0
2020-10-25,2725,4054.0
2020-10-26,863,4114.8571
2020-10-27,5364,4177.8571
2020-10-28,5375,4331.5714
2020-10-29,5278,4560.1429
2020-10-30,4928,4306.7143
2020-10-31,2339,3838.8571
2020-11-01,1020,3595.2857
2020-11-02,648,3564.5714
2020-11-03,749,2905.2857
2020-11-04,4755,2816.7143
2020-11-05,2637,2439.4286
2020-11-06,0,1735.4286
2020-11-07,0,1401.2857
2020-11-08,0,1255.5714
2020-11-09,0,1163.0
2020-11-10,21515,4129.5714
2020-11-11,3421,3939.0
2020-11-12,5780,4388.0
2020-11-13,6130,5263.7143
2020-11-14,4640,5926.5714
2020-11-15,1218,6100.5714
2020-11-16,737,6205.8571
2020-11-17,8698,4374.8571
2020-11-18,6421,4803.4286
2020-11-19,6794,4948.2857
2020-11-20,9058,5366.5714
2020-11-21,5087,5430.4286
2020-11-22,4153,5849.7143
2020-11-23,1037,5892.5714
2020-11-24,5219,5395.5714
2020-11-25,8900,5749.7143
2020-11-26,4523,5425.2857
2020-11-27,4320,4748.4286
2020-11-28,4507,4665.5714
2020-11-29,2379,4412.1429
2020-11-30,1180,4432.5714
2020-12-01,8937,4963.7143
2020-12-02,9114,4994.2857
2020-12-03,8208,5520.7143
2020-12-04,8237,6080.2857
2020-12-05,8938,6713.2857
2020-12-06,2675,6755.5714
2020-12-07,1116,6746.4286
2020-12-08,7923,6601.5714
2020-12-09,9784,6697.2857
2020-12-10,9786,6922.7143
2020-12-11,8791,7001.8571
2020-12-12,8601,6953.7143
2020-12-13,940,6705.8571
2020-12-14,2313,6876.8571
2020-12-15,4412,6375.2857
2020-12-16,0,4977.5714
2020-12-17,20303,6480.0
2020-12-18,9922,6641.5714
2020-12-19,12447,7191.0
2020-12-20,0,7056.7143
2020-12-21,3943,7289.5714
2020-12-22,10714,8189.8571
2020-12-23,10383,9673.1429
2020-12-24,9351,8108.5714
2020-12-25,3596,7204.8571
2020-12-26,1253,5605.7143
2020-12-27,2836,6010.8571
2020-12-28,1576,5672.7143
2020-12-29,12477,5924.5714
2020-12-30,11849,6134.0
2020-12-31,10219,6258.0
2021-01-01,3894,6300.5714
2021-01-02,1762,6373.2857
2021-01-03,3469,6463.7143
2021-01-04,2248,6559.7143
2021-01-05,12881,6617.4286
2021-01-06,14534,7001.0
2021-01-07,14073,7551.5714
2021-01-08,13794,8965.8571
2021-01-09,11561,10365.7143
2021-01-10,5619,10672.8571
2021-01-11,3010,10781.7143
2021-01-12,12702,10756.1429
2021-01-13,15275,10862.0
2021-01-14,13710,10810.1429
2021-01-15,15016,10984.7143
2021-01-16,13774,11300.8571
2021-01-17,5720,11315.2857
2021-01-18,2933,11304.2857
2021-01-19,15953,11768.7143
2021-01-20,14411,11645.2857
2021-01-21,12118,11417.8571
2021-01-22,9005,10559.1429
2021-01-23,14596,10676.5714
2021-01-24,5072,10584.0
2021-01-25,2867,10574.5714
2021-01-26,12959,10146.8571
2021-01-27,16041,10379.7143
2021-01-28,14776,10759.4286
2021-01-29,13887,11456.8571
2021-01-30,13067,11238.4286
2021-01-31,4344,11134.4286
2021-02-01,2354,11061.1429
2021-02-02,14297,11252.2857
2021-02-03,12990,10816.4286
2021-02-04,13932,10695.8571
2021-02-05,12222,10458.0
2021-02-06,11923,10294.5714
2021-02-07,4248,10280.8571
2021-02-08,2442,10293.4286
2021-02-09,13201,10136.8571
2021-02-10,13825,10256.1429
2021-02-11,11167,9861.1429
2021-02-12,11605,9773.0
2021-02-13,9837,9475.0
2021-02-14,2187,9180.5714
2021-02-15,2316,9162.5714
2021-02-16,11496,8919.0
2021-02-17,11302,8558.5714
2021-02-18,10747,8498.5714
2021-02-19,11105,8427.1429
2021-02-20,10859,8573.1429
2021-02-21,4504,8904.1429
2021-02-22,2550,8937.5714
2021-02-23,12077,9020.5714
2021-02-24,12086,9132.5714
2021-02-25,11889,9295.7143
2021-02-26,11596,9365.8571
2021-02-27,11142,9406.2857
2021-02-28,4361,9385.8571
2021-03-01,3071,9460.2857
2021-03-02,10168,9187.5714
2021-03-03,13749,9425.1429
2021-03-04,12236,9474.7143
2021-03-05,13072,9685.5714
2021-03-06,13763,10060.0
2021-03-07,6051,10301.4286
