date,newCases,rollingAvg
2020-03-02,0,0.2857
2020-03-03,0,0.1429
2020-03-04,1,0.2857
2020-03-05,4,0.8571
2020-03-06,7,1.7143
2020-03-07,5,2.4286
2020-03-08,6,3.2857
2020-03-09,0,3.2857
2020-03-10,9,4.5714
2020-03-11,19,7.1429
2020-03-12,36,11.7143
2020-03-13,17,13.1429
2020-03-14,36,17.5714
2020-03-15,83,28.5714
2020-03-16,54,36.2857
2020-03-17,54,42.7143
2020-03-18,181,65.8571
2020-03-19,129,79.1429
2020-03-20,331,124.0
2020-03-21,224,150.8571
2020-03-22,396,195.5714
2020-03-23,358,239.0
2020-03-24,303,274.5714
2020-03-25,311,293.1429
2020-03-26,424,335.2857
2020-03-27,486,357.4286
2020-03-28,479,393.8571
2020-03-29,360,388.7143
2020-03-30,348,387.2857
2020-03-31,1161,509.8571
2020-04-01,1107,623.5714
2020-04-02,1169,730.0
2020-04-03,1112,819.4286
2020-04-04,1169,918.0
2020-04-05,1043,1015.5714
2020-04-06,838,1085.5714
2020-04-07,1821,1179.8571
2020-04-08,2175,1332.4286
2020-04-09,1937,1442.1429
2020-04-10,1742,1532.1429
2020-04-11,1055,1515.8571
2020-04-12,1464,1576.0
2020-04-13,1412,1658.0
2020-04-14,1909,1670.5714
2020-04-15,3242,1823.0
2020-04-16,2082,1843.7143
2020-04-17,3296,2065.7143
2020-04-18,2778,2311.8571
2020-04-19,2022,2391.5714
2020-04-20,1740,2438.4286
2020-04-21,2742,2557.4286
2020-04-22,2744,2486.2857
2020-04-23,3875,2742.4286
2020-04-24,3911,2830.2857
2020-04-25,5298,3190.2857
2020-04-26,3715,3432.1429
2020-04-27,4145,3775.7143
2020-04-28,6233,4274.4286
2020-04-29,6199,4768.0
2020-04-30,7327,5261.1429
2020-05-01,5539,5493.7143
2020-05-02,4915,5439.0
2020-05-03,4443,5543.0
2020-05-04,6982,5948.2857
2020-05-05,7408,6116.1429
2020-05-06,10544,6736.8571
2020-05-07,9732,7080.4286
2020-05-08,10407,7775.8571
2020-05-09,10155,8524.4286
2020-05-10,6259,8783.8571
2020-05-11,6223,8675.4286
2020-05-12,9613,8990.4286
2020-05-13,11694,9154.7143
2020-05-14,14133,9783.4286
2020-05-15,15460,10505.2857
2020-05-16,14048,11061.4286
2020-05-17,7663,11262.0
2020-05-18,14559,12452.8571
2020-05-19,17489,13578.0
2020-05-20,20232,14797.7143
2020-05-21,18137,15369.7143
2020-05-22,21807,16276.4286
2020-05-23,16997,16697.7143
2020-05-24,14468,17669.8571
2020-05-25,12807,17419.5714
2020-05-26,16327,17253.5714
2020-05-27,20199,17248.8571
2020-05-28,28337,18706.0
2020-05-29,26890,19432.1429
2020-05-30,32321,21621.2857
2020-05-31,13223,21443.4286
2020-06-01,15149,21778.0
2020-06-02,31677,23970.8571
2020-06-03,26085,24811.7143
2020-06-04,31954,25328.4286
2020-06-05,32101,26072.8571
2020-06-06,23790,24854.1429
2020-06-07,17988,25534.8571
2020-06-08,17338,25847.5714
2020-06-09,31698,25850.5714
2020-06-10,33790,26951.2857
2020-06-11,28692,26485.2857
2020-06-12,24282,25368.2857
2020-06-13,21230,25002.5714
2020-06-14,16794,24832.0
2020-06-15,24617,25871.8571
2020-06-16,36983,26626.8571
2020-06-17,30925,26217.5714
2020-06-18,25520,25764.4286
2020-06-19,56059,30304.0
2020-06-20,28857,31393.5714
2020-06-21,16567,31361.1429
2020-06-22,26495,31629.4286
2020-06-23,39527,31992.8571
2020-06-24,41033,33436.8571
2020-06-25,41464,35714.5714
2020-06-26,44884,34118.1429
2020-06-27,36920,35270.0
2020-06-28,32883,37600.8571
2020-06-29,21550,36894.4286
2020-06-30,39680,36916.2857
2020-07-01,46825,37743.7143
2020-07-02,44401,38163.2857
2020-07-03,43040,37899.8571
2020-07-04,33567,37420.8571
2020-07-05,25193,36322.2857
2020-07-06,24454,36737.1429
2020-07-07,46699,37739.8571
2020-07-08,45250,37514.8571
2020-07-09,42962,37309.2857
2020-07-10,44311,37490.8571
2020-07-11,34947,37688.0
2020-07-12,23658,37468.7143
2020-07-13,22893,37245.7143
2020-07-14,42922,36706.1429
2020-07-15,40142,35976.4286
2020-07-16,43683,36079.4286
2020-07-17,34618,34694.7143
2020-07-18,25753,33381.2857
2020-07-19,23412,33346.1429
2020-07-20,22753,33326.1429
2020-07-21,46927,33898.2857
2020-07-22,66150,37613.7143
2020-07-23,57326,39562.7143
2020-07-24,56903,42746.2857
2020-07-25,47535,45858.0
2020-07-26,22673,45752.4286
2020-07-27,28011,46503.5714
2020-07-28,54004,47514.5714
2020-07-29,55451,45986.1429
2020-07-30,58055,46090.2857
2020-07-31,53264,45570.4286
2020-08-01,41541,44714.1429
2020-08-02,24066,44913.1429
2020-08-03,20106,43783.8571
2020-08-04,56283,44109.4286
2020-08-05,56169,44212.0
2020-08-06,53989,43631.1429
2020-08-07,49403,43079.5714
2020-08-08,46389,43772.1429
2020-08-09,22730,43581.2857
2020-08-10,26506,44495.5714
2020-08-11,50520,43672.2857
2020-08-12,54954,43498.7143
2020-08-13,60713,44459.2857
2020-08-14,49407,44459.8571
2020-08-15,36881,43101.5714
2020-08-16,23006,43141.0
2020-08-17,24397,42839.7143
2020-08-18,49264,42660.2857
2020-08-19,48603,41753.0
2020-08-20,42974,39218.8571
2020-08-21,32326,36778.7143
2020-08-22,45908,38068.2857
2020-08-23,21873,37906.4286
2020-08-24,23513,37780.1429
2020-08-25,46307,37357.7143
2020-08-26,48152,37293.2857
2020-08-27,42260,37191.2857
2020-08-28,44088,38871.5714
2020-08-29,37291,37640.5714
2020-08-30,14534,36592.1429
2020-08-31,50225,40408.1429
2020-09-01,44329,40125.5714
2020-09-02,46453,39882.8571
2020-09-03,46809,40532.7143
2020-09-04,39539,39882.8571
2020-09-05,33857,39392.2857
2020-09-06,14672,39412.0
2020-09-07,9516,33596.4286
2020-09-08,18786,29947.4286
2020-09-09,37087,28609.4286
2020-09-10,40761,27745.4286
2020-09-11,41533,28030.2857
2020-09-12,30800,27593.5714
2020-09-13,14020,27500.4286
2020-09-14,20611,29085.4286
2020-09-15,34552,31337.7143
2020-09-16,37297,31367.7143
2020-09-17,36405,30745.4286
2020-09-18,39731,30488.0
2020-09-19,29558,30310.5714
2020-09-20,15442,30513.7143
2020-09-21,17635,30088.5714
2020-09-22,34967,30147.8571
2020-09-23,32726,29494.8571
2020-09-24,32015,28867.7143
2020-09-25,32310,27807.5714
2020-09-26,24718,27116.1429
2020-09-27,13787,26879.7143
2020-09-28,16871,26770.5714
2020-09-29,32848,26467.8571
2020-09-30,32901,26492.8571
2020-10-01,35783,27031.1429
2020-10-02,32818,27103.7143
2020-10-03,23008,26859.4286
2020-10-04,8715,26134.8571
2020-10-05,26053,27446.5714
2020-10-06,31526,27257.7143
2020-10-07,30938,26977.2857
2020-10-08,26830,25698.2857
2020-10-09,27733,24971.8571
2020-10-10,23744,25077.0
2020-10-11,12191,25573.5714
2020-10-12,8636,23085.4286
2020-10-13,13359,20490.1429
2020-10-14,27844,20048.1429
2020-10-15,30426,20561.8571
2020-10-16,28596,20685.1429
2020-10-17,20776,20261.1429
2020-10-18,12051,20241.1429
2020-10-19,16579,21375.8571
2020-10-20,23766,22862.5714
2020-10-21,25856,22578.5714
2020-10-22,24764,21769.7143
2020-10-23,30001,21970.4286
2020-10-24,24984,22571.5714
2020-10-25,12254,22600.5714
2020-10-26,18611,22890.8571
2020-10-27,29982,23778.8571
2020-10-28,28351,24135.2857
2020-10-29,26700,24411.8571
2020-10-30,24353,23605.0
2020-10-31,13170,21917.2857
2020-11-01,10188,21622.1429
2020-11-02,8249,20141.8571
2020-11-03,14582,17941.8571
2020-11-04,23316,17222.5714
2020-11-05,23845,16814.7143
2020-11-06,20200,16221.4286
2020-11-07,17744,16874.8571
2020-11-08,10502,16919.7143
2020-11-09,13414,17657.5714
2020-11-10,46424,22206.4286
2020-11-11,26247,22625.1429
2020-11-12,33919,24064.2857
2020-11-13,38718,26709.7143
2020-11-14,26278,27928.8571
2020-11-15,13906,28415.1429
2020-11-16,15744,28748.0
2020-11-17,35490,27186.0
2020-11-18,34752,28401.0
2020-11-19,35862,28678.5714
2020-11-20,38770,28686.0
2020-11-21,30222,29249.4286
2020-11-22,17926,29823.7143
2020-11-23,18158,30168.5714
2020-11-24,34533,30031.8571
2020-11-25,44628,31442.7143
2020-11-26,40885,32160.2857
2020-11-27,33508,31408.5714
2020-11-28,51485,34446.1429
2020-11-29,21012,34887.0
2020-11-30,23695,35678.0
2020-12-01,51985,38171.1429
2020-12-02,48475,38720.7143
2020-12-03,50139,40042.7143
2020-12-04,47671,42066.0
2020-12-05,40282,40465.5714
2020-12-06,26430,41239.5714
2020-12-07,27024,41715.1429
2020-12-08,47796,41116.7143
2020-12-09,54591,41990.4286
2020-12-10,53550,42477.7143
2020-12-11,52550,43174.7143
2020-12-12,42324,43466.4286
2020-12-13,22029,42837.7143
2020-12-14,27380,42888.5714
2020-12-15,48032,42922.2857
2020-12-16,66124,44569.8571
2020-12-17,68699,46734.0
2020-12-18,52853,46777.2857
2020-12-19,48242,47622.7143
2020-12-20,24484,47973.4286
2020-12-21,27645,48011.2857
2020-12-22,56665,49244.5714
2020-12-23,45679,46323.8571
2020-12-24,58211,44825.5714
2020-12-25,21183,40301.2857
2020-12-26,17533,35914.2857
2020-12-27,17614,34932.8571
2020-12-28,27437,34903.1429
2020-12-29,56371,34861.1429
2020-12-30,55600,36278.4286
2020-12-31,54469,35743.8571
2021-01-01,22939,35994.7143
2021-01-02,15353,35683.2857
2021-01-03,17190,35622.7143
2021-01-04,25039,35280.1429
2021-01-05,58083,35524.7143
2021-01-06,62507,36511.4286
2021-01-07,87969,41297.1429
2021-01-08,59586,46532.4286
2021-01-09,51393,51681.0
2021-01-10,29027,53372.0
2021-01-11,30747,54187.4286
2021-01-12,64424,55093.2857
2021-01-13,59827,54710.4286
2021-01-14,68329,51904.7143
2021-01-15,69097,53263.4286
2021-01-16,58445,54270.8571
2021-01-17,31416,54612.1429
2021-01-18,28933,54353.0
2021-01-19,62149,54028.0
2021-01-20,64477,54692.2857
2021-01-21,58950,53352.4286
2021-01-22,56605,51567.8571
2021-01-23,58298,51546.8571
2021-01-24,28519,51133.0
2021-01-25,30530,51361.1429
2021-01-26,61608,51283.8571
2021-01-27,64772,51326.0
2021-01-28,60760,51584.5714
2021-01-29,59503,51998.5714
2021-01-30,53114,51258.0
2021-01-31,27900,51169.5714
2021-02-01,28490,50878.1429
2021-02-02,56278,50116.7143
2021-02-03,54414,48637.0
2021-02-04,57107,48115.1429
2021-02-05,51690,46999.0
2021-02-06,46310,46027.0
2021-02-07,26162,45778.7143
2021-02-08,28586,45792.4286
2021-02-09,51217,45069.4286
2021-02-10,61108,46025.7143
2021-02-11,53604,45525.2857
2021-02-12,48942,45132.7143
2021-02-13,44856,44925.0
2021-02-14,30723,45576.5714
2021-02-15,25808,45179.7143
2021-02-16,65284,47189.2857
2021-02-17,47225,45206.0
2021-02-18,53479,45188.1429
2021-02-19,52157,45647.4286
2021-02-20,52371,46721.0
2021-02-21,29485,46544.1429
2021-02-22,31846,47406.7143
2021-02-23,63585,47164.0
2021-02-24,65386,49758.4286
2021-02-25,68279,51872.7143
2021-02-26,63395,53478.1429
2021-02-27,58418,54342.0
2021-02-28,33365,54896.2857
2021-03-01,40385,56116.1429
2021-03-02,59695,55560.4286
