date,newDeaths,rollingAvg
2020-03-14,0,0.0
2020-03-15,0,0.0
2020-03-16,0,0.0
2020-03-17,0,0.0
2020-03-18,0,0.0
2020-03-19,0,0.0
2020-03-20,0,0.0
2020-03-21,0,0.0
2020-03-22,0,0.0
2020-03-23,0,0.0
2020-03-24,0,0.0
2020-03-25,0,0.0
2020-03-26,0,0.0
2020-03-27,0,0.0
2020-03-28,0,0.0
2020-03-29,0,0.0
2020-03-30,0,0.0
2020-03-31,1,0.1429
2020-04-01,0,0.1429
2020-04-02,0,0.1429
2020-04-03,1,0.2857
2020-04-04,0,0.2857
2020-04-05,0,0.2857
2020-04-06,0,0.2857
2020-04-07,0,0.1429
2020-04-08,1,0.2857
2020-04-09,0,0.2857
2020-04-10,0,0.1429
2020-04-11,0,0.1429
2020-04-12,0,0.1429
2020-04-13,1,0.2857
2020-04-14,0,0.2857
2020-04-15,1,0.2857
2020-04-16,0,0.2857
2020-04-17,2,0.5714
2020-04-18,3,1.0
2020-04-19,5,1.7143
2020-04-20,3,2.0
2020-04-21,1,2.1429
2020-04-22,1,2.1429
2020-04-23,2,2.4286
2020-04-24,5,2.8571
2020-04-25,2,2.7143
2020-04-26,3,2.4286
2020-04-27,2,2.2857
2020-04-28,2,2.4286
2020-04-29,5,3.0
2020-04-30,6,3.5714
2020-05-01,6,3.7143
2020-05-02,5,4.1429
2020-05-03,6,4.5714
2020-05-04,8,5.4286
2020-05-05,8,6.2857
2020-05-06,9,6.8571
2020-05-07,9,7.2857
2020-05-08,10,7.8571
2020-05-09,6,8.0
2020-05-10,12,8.8571
2020-05-11,12,9.4286
2020-05-12,12,10.0
2020-05-13,14,10.7143
2020-05-14,13,11.2857
2020-05-15,10,11.2857
2020-05-16,12,12.1429
2020-05-17,11,12.0
2020-05-18,11,11.8571
2020-05-19,14,12.1429
2020-05-20,16,12.4286
2020-05-21,11,12.1429
2020-05-22,18,13.2857
2020-05-23,21,14.5714
2020-05-24,15,15.1429
2020-05-25,21,16.5714
2020-05-26,17,17.0
2020-05-27,14,16.7143
2020-05-28,17,17.5714
2020-05-29,21,18.0
2020-05-30,18,17.5714
2020-05-31,19,18.1429
2020-06-01,18,17.7143
2020-06-02,21,18.2857
2020-06-03,24,19.7143
2020-06-04,25,20.8571
2020-06-05,26,21.5714
2020-06-06,25,22.5714
2020-06-07,19,22.5714
2020-06-08,21,23.0
2020-06-09,18,22.5714
2020-06-10,20,22.0
2020-06-11,21,21.4286
2020-06-12,20,20.5714
2020-06-13,22,20.1429
2020-06-14,21,20.4286
2020-06-15,24,20.8571
2020-06-16,25,21.8571
2020-06-17,18,21.5714
2020-06-18,20,21.4286
2020-06-19,17,21.0
2020-06-20,18,20.4286
2020-06-21,18,20.0
2020-06-22,19,19.2857
2020-06-23,17,18.1429
2020-06-24,18,18.1429
2020-06-25,20,18.1429
2020-06-26,17,18.1429
2020-06-27,18,18.1429
2020-06-28,19,18.2857
2020-06-29,20,18.4286
2020-06-30,20,18.8571
2020-07-01,20,19.1429
2020-07-02,19,19.0
2020-07-03,22,19.7143
2020-07-04,21,20.1429
2020-07-05,19,20.1429
2020-07-06,19,20.0
2020-07-07,20,20.0
2020-07-08,21,20.1429
2020-07-09,17,19.8571
2020-07-10,16,19.0
2020-07-11,18,18.5714
2020-07-12,17,18.2857
2020-07-13,16,17.8571
2020-07-14,17,17.4286
2020-07-15,17,16.8571
2020-07-16,17,16.8571
2020-07-17,17,17.0
2020-07-18,16,16.7143
2020-07-19,16,16.5714
2020-07-20,16,16.5714
2020-07-21,15,16.2857
2020-07-22,15,16.0
2020-07-23,14,15.5714
2020-07-24,14,15.1429
2020-07-25,15,15.0
2020-07-26,14,14.7143
2020-07-27,14,14.4286
2020-07-28,13,14.1429
2020-07-29,13,13.8571
2020-07-30,14,13.8571
2020-07-31,13,13.7143
2020-08-01,14,13.5714
2020-08-02,13,13.4286
2020-08-03,13,13.2857
2020-08-04,14,13.4286
2020-08-05,12,13.2857
2020-08-06,10,12.7143
2020-08-07,11,12.4286
2020-08-08,11,12.0
2020-08-09,12,11.8571
2020-08-10,17,12.4286
2020-08-11,6,11.2857
2020-08-12,11,11.1429
2020-08-13,10,11.1429
2020-08-14,11,11.1429
2020-08-15,10,11.0
2020-08-16,11,10.8571
2020-08-17,10,9.8571
2020-08-18,11,10.5714
2020-08-19,10,10.4286
2020-08-20,9,10.2857
2020-08-21,9,10.0
2020-08-22,8,9.7143
2020-08-23,8,9.2857
2020-08-24,9,9.1429
2020-08-25,9,8.8571
2020-08-26,8,8.5714
2020-08-27,9,8.5714
2020-08-28,8,8.4286
2020-08-29,9,8.5714
2020-08-30,8,8.5714
2020-08-31,9,8.5714
2020-09-01,8,8.4286
2020-09-02,7,8.2857
2020-09-03,8,8.1429
2020-09-04,7,8.0
2020-09-05,7,7.7143
2020-09-06,6,7.4286
2020-09-07,6,7.0
2020-09-08,7,6.8571
2020-09-09,6,6.7143
2020-09-10,8,6.7143
2020-09-11,8,6.8571
2020-09-12,7,6.8571
2020-09-13,7,7.0
2020-09-14,6,7.0
2020-09-15,6,6.8571
2020-09-16,5,6.7143
2020-09-17,6,6.4286
2020-09-18,6,6.1429
2020-09-19,6,6.0
2020-09-20,5,5.7143
2020-09-21,5,5.5714
2020-09-22,5,5.4286
2020-09-23,5,5.4286
2020-09-24,6,5.4286
2020-09-25,6,5.4286
2020-09-26,6,5.4286
2020-09-27,5,5.4286
2020-09-28,5,5.4286
2020-09-29,5,5.4286
2020-09-30,5,5.4286
2020-10-01,6,5.4286
2020-10-02,7,5.5714
2020-10-03,6,5.5714
2020-10-04,6,5.7143
2020-10-05,6,5.8571
2020-10-06,6,6.0
2020-10-07,6,6.1429
2020-10-08,6,6.1429
2020-10-09,5,5.8571
2020-10-10,6,5.8571
2020-10-11,6,5.8571
2020-10-12,6,5.8571
2020-10-13,7,6.0
2020-10-14,6,6.0
2020-10-15,5,5.8571
2020-10-16,5,5.8571
2020-10-17,5,5.7143
2020-10-18,5,5.5714
2020-10-19,5,5.4286
2020-10-20,5,5.1429
2020-10-21,5,5.0
2020-10-22,4,4.8571
2020-10-23,5,4.8571
2020-10-24,5,4.8571
2020-10-25,5,4.8571
2020-10-26,5,4.8571
2020-10-27,5,4.8571
2020-10-28,5,4.8571
2020-10-29,4,4.8571
2020-10-30,4,4.7143
2020-10-31,4,4.5714
2020-11-01,4,4.4286
2020-11-02,4,4.2857
2020-11-03,4,4.1429
2020-11-04,4,4.0
2020-11-05,4,4.0
2020-11-06,4,4.0
2020-11-07,4,4.0
2020-11-08,4,4.0
2020-11-09,4,4.0
2020-11-10,4,4.0
2020-11-11,4,4.0
2020-11-12,3,3.8571
2020-11-13,3,3.7143
2020-11-14,3,3.5714
2020-11-15,4,3.5714
2020-11-16,3,3.4286
2020-11-17,3,3.2857
2020-11-18,3,3.1429
2020-11-19,4,3.2857
2020-11-20,3,3.2857
2020-11-21,3,3.2857
2020-11-22,3,3.1429
2020-11-23,4,3.2857
2020-11-24,3,3.2857
2020-11-25,2,3.1429
2020-11-26,3,3.0
2020-11-27,2,2.8571
2020-11-28,3,2.8571
2020-11-29,2,2.7143
2020-11-30,3,2.5714
2020-12-01,2,2.4286
2020-12-02,3,2.5714
2020-12-03,2,2.4286
2020-12-04,3,2.5714
2020-12-05,2,2.4286
2020-12-06,3,2.5714
2020-12-07,3,2.5714
2020-12-08,3,2.7143
2020-12-09,3,2.7143
2020-12-10,3,2.8571
2020-12-11,3,2.8571
2020-12-12,3,3.0
2020-12-13,4,3.1429
2020-12-14,4,3.2857
2020-12-15,4,3.4286
2020-12-16,5,3.7143
2020-12-17,5,4.0
2020-12-18,5,4.2857
2020-12-19,5,4.5714
2020-12-20,6,4.8571
2020-12-21,7,5.2857
2020-12-22,8,5.8571
2020-12-23,8,6.2857
2020-12-24,7,6.5714
2020-12-25,7,6.8571
2020-12-26,7,7.1429
2020-12-27,7,7.2857
2020-12-28,7,7.2857
2020-12-29,7,7.1429
2020-12-30,7,7.0
2020-12-31,7,7.0
2021-01-01,7,7.0
2021-01-02,6,6.8571
2021-01-03,7,6.8571
2021-01-04,6,6.7143
2021-01-05,6,6.5714
2021-01-06,8,6.7143
2021-01-07,8,6.8571
2021-01-08,8,7.0
2021-01-09,8,7.2857
2021-01-10,8,7.4286
2021-01-11,8,7.7143
2021-01-12,8,8.0
2021-01-13,8,8.0
