date,newDeaths,rollingAvg
2020-03-19,0,0.0
2020-03-20,0,0.0
2020-03-21,0,0.0
2020-03-22,0,0.0
2020-03-23,0,0.0
2020-03-24,1,0.1429
2020-03-25,0,0.1429
2020-03-26,0,0.1429
2020-03-27,0,0.1429
2020-03-28,0,0.1429
2020-03-29,0,0.1429
2020-03-30,1,0.2857
2020-03-31,1,0.2857
2020-04-01,0,0.2857
2020-04-02,0,0.2857
2020-04-03,4,0.8571
2020-04-04,5,1.5714
2020-04-05,3,2.0
2020-04-06,4,2.4286
2020-04-07,4,2.8571
2020-04-08,7,3.8571
2020-04-09,10,5.2857
2020-04-10,10,6.1429
2020-04-11,3,5.8571
2020-04-12,9,6.7143
2020-04-13,9,7.4286
2020-04-14,19,9.5714
2020-04-15,16,10.8571
2020-04-16,18,12.0
2020-04-17,21,13.5714
2020-04-18,16,15.4286
2020-04-19,21,17.1429
2020-04-20,3,16.2857
2020-04-21,8,14.7143
2020-04-22,14,14.4286
2020-04-23,27,15.7143
2020-04-24,21,15.7143
2020-04-25,32,18.0
2020-04-26,17,17.4286
2020-04-27,16,19.2857
2020-04-28,31,22.5714
2020-04-29,29,24.7143
2020-04-30,45,27.2857
2020-05-01,51,31.5714
2020-05-02,25,30.5714
2020-05-03,47,34.8571
2020-05-04,37,37.8571
2020-05-05,64,42.5714
2020-05-06,102,53.0
2020-05-07,55,54.4286
2020-05-08,68,56.8571
2020-05-09,88,65.8571
2020-05-10,42,65.1429
2020-05-11,31,64.2857
2020-05-12,63,64.1429
2020-05-13,62,58.4286
2020-05-14,75,61.2857
2020-05-15,96,65.2857
2020-05-16,44,59.0
2020-05-17,38,58.4286
2020-05-18,20,56.8571
2020-05-19,58,56.1429
2020-05-20,70,57.2857
2020-05-21,59,55.0
2020-05-22,49,48.2857
2020-05-23,75,52.7143
2020-05-24,14,49.2857
2020-05-25,23,49.7143
2020-05-26,71,51.5714
2020-05-27,39,47.1429
2020-05-28,73,49.1429
2020-05-29,47,48.8571
2020-05-30,36,43.2857
2020-05-31,5,42.0
2020-06-01,19,41.4286
2020-06-02,31,35.7143
2020-06-03,36,35.2857
2020-06-04,45,31.2857
2020-06-05,16,26.8571
2020-06-06,33,26.4286
2020-06-07,18,28.2857
2020-06-08,21,28.5714
2020-06-09,44,30.4286
2020-06-10,48,32.1429
2020-06-11,37,31.0
2020-06-12,29,32.8571
2020-06-13,36,33.2857
2020-06-14,27,34.5714
2020-06-15,20,34.4286
2020-06-16,38,33.5714
2020-06-17,29,30.8571
2020-06-18,26,29.2857
2020-06-19,19,27.8571
2020-06-20,26,26.4286
2020-06-21,7,23.5714
2020-06-22,14,22.7143
2020-06-23,15,19.4286
2020-06-24,24,18.7143
2020-06-25,21,18.0
2020-06-26,8,16.4286
2020-06-27,33,17.4286
2020-06-28,12,18.1429
2020-06-29,8,17.2857
2020-06-30,31,19.5714
2020-07-01,20,19.0
2020-07-02,19,18.7143
2020-07-03,25,21.1429
2020-07-04,31,20.8571
2020-07-05,11,20.7143
2020-07-06,9,20.8571
2020-07-07,14,18.4286
2020-07-08,15,17.7143
2020-07-09,18,17.5714
2020-07-10,23,17.2857
2020-07-11,15,15.0
2020-07-12,16,15.7143
2020-07-13,9,15.7143
2020-07-14,16,16.0
2020-07-15,16,16.1429
2020-07-16,15,15.7143
2020-07-17,23,15.7143
2020-07-18,11,15.1429
2020-07-19,20,15.7143
2020-07-20,-3,14.0
2020-07-21,23,15.0
2020-07-22,14,14.7143
2020-07-23,10,14.0
2020-07-24,6,11.5714
2020-07-25,11,11.5714
2020-07-26,7,9.7143
2020-07-27,7,11.1429
2020-07-28,12,9.5714
2020-07-29,10,9.0
2020-07-30,6,8.4286
2020-07-31,16,9.8571
2020-08-01,10,9.7143
2020-08-02,5,9.4286
2020-08-03,5,9.1429
2020-08-04,11,9.0
2020-08-05,18,10.1429
2020-08-06,18,11.8571
2020-08-07,10,11.0
2020-08-08,19,12.2857
2020-08-09,-5,10.8571
2020-08-10,25,13.7143
2020-08-11,21,15.1429
2020-08-12,12,14.2857
2020-08-13,18,14.2857
2020-08-14,20,15.7143
2020-08-15,8,14.1429
2020-08-16,20,17.7143
2020-08-17,22,17.2857
2020-08-18,19,17.0
2020-08-19,13,17.1429
2020-08-20,14,16.5714
2020-08-21,5,14.4286
2020-08-22,1,13.4286
2020-08-23,6,11.4286
2020-08-24,15,10.4286
2020-08-25,10,9.1429
2020-08-26,12,9.0
2020-08-27,16,9.2857
2020-08-28,13,10.4286
2020-08-29,5,11.0
2020-08-30,5,10.8571
2020-08-31,10,10.1429
2020-09-01,12,10.4286
2020-09-02,158,31.2857
2020-09-03,9,30.2857
2020-09-04,6,29.2857
2020-09-05,7,29.5714
2020-09-06,6,29.7143
2020-09-07,2,28.5714
2020-09-08,6,27.7143
2020-09-09,8,6.2857
2020-09-10,11,6.5714
2020-09-11,9,7.0
2020-09-12,5,6.7143
2020-09-13,4,6.4286
2020-09-14,6,7.0
2020-09-15,9,7.4286
2020-09-16,13,8.1429
2020-09-17,11,8.1429
2020-09-18,19,9.5714
2020-09-19,6,9.7143
2020-09-20,3,9.5714
2020-09-21,5,9.4286
2020-09-22,3,8.5714
2020-09-23,17,9.1429
2020-09-24,8,8.7143
2020-09-25,8,7.1429
2020-09-26,22,9.4286
2020-09-27,5,9.7143
2020-09-28,4,9.5714
2020-09-29,4,9.7143
2020-09-30,121,24.5714
2020-10-01,3,23.8571
2020-10-02,3,23.1429
2020-10-03,7,21.0
2020-10-04,7,21.2857
2020-10-05,9,22.0
2020-10-06,8,22.5714
2020-10-07,9,6.5714
2020-10-08,13,8.0
2020-10-09,8,8.7143
2020-10-10,12,9.4286
2020-10-11,4,9.0
2020-10-12,8,8.8571
2020-10-13,7,8.7143
2020-10-14,14,9.4286
2020-10-15,21,10.5714
2020-10-16,16,11.7143
2020-10-17,20,12.8571
2020-10-18,7,13.2857
2020-10-19,18,14.7143
2020-10-20,13,15.5714
2020-10-21,9,14.8571
2020-10-22,24,15.2857
2020-10-23,30,17.2857
2020-10-24,7,15.4286
2020-10-25,13,16.2857
2020-10-26,14,15.7143
2020-10-27,18,16.4286
2020-10-28,13,17.0
2020-10-29,25,17.1429
2020-10-30,12,14.5714
2020-10-31,15,15.7143
2020-11-01,12,15.5714
2020-11-02,10,15.0
2020-11-03,8,13.5714
2020-11-04,15,13.8571
2020-11-05,19,13.0
2020-11-06,0,11.2857
2020-11-07,15,11.2857
2020-11-08,3,10.0
2020-11-09,19,11.2857
2020-11-10,6,11.0
2020-11-11,5,9.5714
2020-11-12,26,10.5714
2020-11-13,2,10.8571
2020-11-14,10,10.1429
2020-11-15,4,10.2857
2020-11-16,3,8.0
2020-11-17,23,10.4286
2020-11-18,5,10.4286
2020-11-19,13,8.5714
2020-11-20,20,11.1429
2020-11-21,10,11.1429
2020-11-22,8,11.7143
2020-11-23,18,13.8571
2020-11-24,21,13.5714
2020-11-25,8,14.0
2020-11-26,30,16.4286
2020-11-27,13,15.4286
2020-11-28,7,15.0
2020-11-29,9,15.1429
2020-11-30,9,13.8571
2020-12-01,2,11.1429
2020-12-02,16,12.2857
2020-12-03,20,10.8571
2020-12-04,4,9.5714
2020-12-05,10,10.0
2020-12-06,5,9.4286
2020-12-07,13,10.0
2020-12-08,5,10.4286
2020-12-09,4,8.7143
2020-12-10,5,6.5714
2020-12-11,9,7.2857
2020-12-12,11,7.4286
2020-12-13,3,7.1429
2020-12-14,10,6.7143
2020-12-15,15,8.1429
2020-12-16,10,9.0
2020-12-17,13,10.1429
2020-12-18,13,10.7143
2020-12-19,14,11.1429
2020-12-20,9,12.0
2020-12-21,9,11.8571
2020-12-22,17,12.1429
2020-12-23,22,13.8571
2020-12-24,18,14.5714
2020-12-25,10,14.1429
2020-12-26,12,13.8571
2020-12-27,17,15.0
2020-12-28,16,16.0
2020-12-29,26,17.2857
2020-12-30,26,17.8571
2020-12-31,27,19.1429
2021-01-01,10,19.1429
2021-01-02,30,21.7143
2021-01-03,20,22.1429
2021-01-04,23,23.1429
2021-01-05,46,26.0
2021-01-06,86,34.5714
2021-01-07,46,37.2857
2021-01-08,69,45.7143
2021-01-09,54,49.1429
2021-01-10,32,50.8571
2021-01-11,55,55.4286
2021-01-12,54,56.5714
2021-01-13,69,54.1429
2021-01-14,51,54.8571
2021-01-15,113,61.1429
2021-01-16,80,64.8571
2021-01-17,68,70.0
2021-01-18,117,78.8571
2021-01-19,142,91.4286
2021-01-20,148,102.7143
2021-01-21,159,118.1429
2021-01-22,132,120.8571
2021-01-23,162,132.5714
2021-01-24,95,136.4286
2021-01-25,86,132.0
2021-01-26,192,139.1429
2021-01-27,136,137.4286
2021-01-28,113,130.8571
2021-01-29,120,129.1429
2021-01-30,225,138.1429
2021-01-31,99,138.7143
2021-02-01,149,147.7143
2021-02-02,148,141.4286
2021-02-03,150,143.4286
2021-02-04,152,149.0
2021-02-05,99,146.0
2021-02-06,119,130.8571
2021-02-07,69,126.5714
2021-02-08,113,121.4286
2021-02-09,169,124.4286
2021-02-10,167,126.8571
2021-02-11,167,129.0
2021-02-12,134,134.0
2021-02-13,66,126.4286
2021-02-14,53,124.1429
2021-02-15,120,125.1429
2021-02-16,108,116.4286
2021-02-17,81,104.1429
2021-02-18,105,95.2857
2021-02-19,73,86.5714
2021-02-20,50,84.2857
2021-02-21,53,84.2857
2021-02-22,60,75.7143
2021-02-23,51,67.5714
2021-02-24,69,65.8571
2021-02-25,86,63.1429
2021-02-26,56,60.7143
2021-02-27,47,60.2857
2021-02-28,29,56.8571
