date,newDeaths,rollingAvg
2020-03-26,0,0.0
2020-03-27,0,0.0
2020-03-28,0,0.0
2020-03-29,0,0.0
2020-03-30,0,0.0
2020-03-31,0,0.0
2020-04-01,0,0.0
2020-04-02,0,0.0
2020-04-03,0,0.0
2020-04-04,1,0.1429
2020-04-05,1,0.2857
2020-04-06,0,0.2857
2020-04-07,0,0.2857
2020-04-08,0,0.2857
2020-04-09,0,0.2857
2020-04-10,0,0.2857
2020-04-11,3,0.5714
2020-04-12,0,0.4286
2020-04-13,1,0.5714
2020-04-14,1,0.7143
2020-04-15,0,0.7143
2020-04-16,3,1.1429
2020-04-17,0,1.1429
2020-04-18,0,0.7143
2020-04-19,1,0.8571
2020-04-20,2,1.0
2020-04-21,0,0.8571
2020-04-22,1,1.0
2020-04-23,2,0.8571
2020-04-24,2,1.1429
2020-04-25,2,1.4286
2020-04-26,3,1.7143
2020-04-27,3,1.8571
2020-04-28,2,2.1429
2020-04-29,3,2.4286
2020-04-30,3,2.5714
2020-05-01,3,2.7143
2020-05-02,3,2.8571
2020-05-03,3,2.8571
2020-05-04,6,3.2857
2020-05-05,6,3.8571
2020-05-06,1,3.5714
2020-05-07,5,3.8571
2020-05-08,5,4.1429
2020-05-09,3,4.1429
2020-05-10,3,4.1429
2020-05-11,1,3.4286
2020-05-12,13,4.4286
2020-05-13,8,5.4286
2020-05-14,7,5.7143
2020-05-15,2,5.2857
2020-05-16,5,5.5714
2020-05-17,11,6.7143
2020-05-18,8,7.7143
2020-05-19,9,7.1429
2020-05-20,6,6.8571
2020-05-21,9,7.1429
2020-05-22,6,7.7143
2020-05-23,5,7.7143
2020-05-24,1,6.2857
2020-05-25,5,5.8571
2020-05-26,5,5.2857
2020-05-27,10,5.8571
2020-05-28,15,6.7143
2020-05-29,9,7.1429
2020-05-30,8,7.5714
2020-05-31,7,8.4286
2020-06-01,6,8.5714
2020-06-02,9,9.1429
2020-06-03,10,9.1429
2020-06-04,7,8.0
2020-06-05,6,7.5714
2020-06-06,9,7.7143
2020-06-07,3,7.1429
2020-06-08,6,7.1429
2020-06-09,7,6.8571
2020-06-10,4,6.0
2020-06-11,14,7.0
2020-06-12,9,7.4286
2020-06-13,7,7.1429
2020-06-14,5,7.4286
2020-06-15,5,7.2857
2020-06-16,8,7.4286
2020-06-17,1,7.0
2020-06-18,4,5.5714
2020-06-19,6,5.1429
2020-06-20,5,4.8571
2020-06-21,6,5.0
2020-06-22,13,6.1429
2020-06-23,8,6.1429
2020-06-24,7,7.0
2020-06-25,7,7.4286
2020-06-26,7,7.5714
2020-06-27,5,7.5714
2020-06-28,1,6.8571
2020-06-29,6,5.8571
2020-06-30,4,5.2857
2020-07-01,3,4.7143
2020-07-02,7,4.7143
2020-07-03,11,5.2857
2020-07-04,3,5.0
2020-07-05,1,5.0
2020-07-06,7,5.1429
2020-07-07,6,5.4286
2020-07-08,7,6.0
2020-07-09,5,5.7143
2020-07-10,3,4.5714
2020-07-11,3,4.5714
2020-07-12,1,4.5714
2020-07-13,4,4.1429
2020-07-14,5,4.0
2020-07-15,5,3.7143
2020-07-16,5,3.7143
2020-07-17,6,4.1429
2020-07-18,6,4.5714
2020-07-19,2,4.7143
2020-07-20,8,5.2857
2020-07-21,18,7.1429
2020-07-22,11,8.0
2020-07-23,4,7.8571
2020-07-24,4,7.5714
2020-07-25,2,7.0
2020-07-26,0,6.7143
2020-07-27,2,5.8571
2020-07-28,2,3.5714
2020-07-29,1,2.1429
2020-07-30,2,1.8571
2020-07-31,4,1.8571
2020-08-01,3,2.0
2020-08-02,3,2.4286
2020-08-03,5,2.8571
2020-08-04,5,3.2857
2020-08-05,7,4.1429
2020-08-06,6,4.7143
2020-08-07,5,4.8571
2020-08-08,2,4.7143
2020-08-09,1,4.4286
2020-08-10,1,3.8571
2020-08-11,1,3.2857
2020-08-12,2,2.5714
2020-08-13,3,2.1429
2020-08-14,3,1.8571
2020-08-15,1,1.7143
2020-08-16,0,1.5714
2020-08-17,4,2.0
2020-08-18,2,2.1429
2020-08-19,3,2.2857
2020-08-20,4,2.4286
2020-08-21,1,2.1429
2020-08-22,3,2.4286
2020-08-23,1,2.5714
2020-08-24,6,2.8571
2020-08-25,5,3.2857
2020-08-26,5,3.5714
2020-08-27,5,3.7143
2020-08-28,5,4.2857
2020-08-29,2,4.1429
