date,newDeaths,rollingAvg
2020-03-12,0,0.0
2020-03-13,0,0.0
2020-03-14,0,0.0
2020-03-15,0,0.0
2020-03-16,0,0.0
2020-03-17,0,0.0
2020-03-18,0,0.0
2020-03-19,0,0.0
2020-03-20,0,0.0
2020-03-21,0,0.0
2020-03-22,0,0.0
2020-03-23,0,0.0
2020-03-24,0,0.0
2020-03-25,0,0.0
2020-03-26,0,0.0
2020-03-27,0,0.0
2020-03-28,0,0.0
2020-03-29,1,0.1429
2020-03-30,1,0.2857
2020-03-31,0,0.2857
2020-04-01,0,0.2857
2020-04-02,1,0.4286
2020-04-03,3,0.8571
2020-04-04,1,1.0
2020-04-05,2,1.1429
2020-04-06,1,1.1429
2020-04-07,4,1.7143
2020-04-08,4,2.2857
2020-04-09,1,2.2857
2020-04-10,0,1.8571
2020-04-11,2,2.0
2020-04-12,0,1.7143
2020-04-13,1,1.7143
2020-04-14,4,1.7143
2020-04-15,2,1.4286
2020-04-16,6,2.1429
2020-04-17,2,2.4286
2020-04-18,4,2.7143
2020-04-19,5,3.4286
2020-04-20,2,3.5714
2020-04-21,1,3.1429
2020-04-22,5,3.5714
2020-04-23,9,4.0
2020-04-24,5,4.4286
2020-04-25,5,4.5714
2020-04-26,2,4.1429
2020-04-27,9,5.1429
2020-04-28,10,6.4286
2020-04-29,7,6.7143
2020-04-30,6,6.2857
2020-05-01,11,7.1429
2020-05-02,6,7.2857
2020-05-03,5,7.7143
2020-05-04,13,8.2857
2020-05-05,5,7.5714
2020-05-06,14,8.5714
2020-05-07,5,8.4286
2020-05-08,18,9.4286
2020-05-09,13,10.4286
2020-05-10,6,10.5714
2020-05-11,12,10.4286
2020-05-12,11,11.2857
2020-05-13,11,10.8571
2020-05-14,26,13.8571
2020-05-15,19,14.0
2020-05-16,5,12.8571
2020-05-17,9,13.2857
2020-05-18,17,14.0
2020-05-19,14,14.4286
2020-05-20,36,18.0
2020-05-21,14,16.2857
2020-05-22,23,16.8571
2020-05-23,14,18.1429
2020-05-24,47,23.5714
2020-05-25,17,23.5714
2020-05-26,18,24.1429
2020-05-27,36,24.1429
2020-05-28,39,27.7143
2020-05-29,39,30.0
2020-05-30,29,32.1429
2020-05-31,29,29.5714
2020-06-01,34,32.0
2020-06-02,35,34.4286
2020-06-03,26,33.0
2020-06-04,28,31.4286
2020-06-05,29,30.0
2020-06-06,27,29.7143
2020-06-07,33,30.2857
2020-06-08,31,29.8571
2020-06-09,27,28.7143
