date,newDeaths,rollingAvg
2020-03-22,0,0.0
2020-03-23,0,0.0
2020-03-24,0,0.0
2020-03-25,0,0.0
2020-03-26,3,0.4286
2020-03-27,0,0.4286
2020-03-28,1,0.5714
2020-03-29,1,0.7143
2020-03-30,0,0.7143
2020-03-31,2,1.0
2020-04-01,2,1.2857
2020-04-02,12,2.5714
2020-04-03,1,2.7143
2020-04-04,1,2.7143
2020-04-05,12,4.2857
2020-04-06,1,4.4286
2020-04-07,4,4.7143
2020-04-08,17,6.8571
2020-04-09,0,5.1429
2020-04-10,10,6.4286
2020-04-11,7,7.2857
2020-04-12,2,5.8571
2020-04-13,25,9.2857
2020-04-14,10,10.1429
2020-04-15,13,9.5714
2020-04-16,11,11.1429
2020-04-17,20,12.5714
2020-04-18,25,15.1429
2020-04-19,9,16.1429
2020-04-20,17,15.0
2020-04-21,15,15.7143
2020-04-22,18,16.4286
2020-04-23,32,19.4286
2020-04-24,22,19.7143
2020-04-25,33,20.8571
2020-04-26,50,26.7143
2020-04-27,21,27.2857
2020-04-28,20,28.0
2020-04-29,33,30.1429
2020-04-30,42,31.5714
2020-05-01,47,35.1429
2020-05-02,99,44.5714
2020-05-03,39,43.0
2020-05-04,35,45.0
2020-05-05,83,54.0
2020-05-06,54,57.0
2020-05-07,54,58.7143
2020-05-08,94,65.4286
2020-05-09,65,60.5714
2020-05-10,52,62.4286
2020-05-11,75,68.1429
2020-05-12,91,69.2857
2020-05-13,109,77.1429
2020-05-14,24,72.8571
2020-05-15,153,81.2857
2020-05-16,48,78.8571
2020-05-17,27,75.2857
2020-05-18,107,79.8571
2020-05-19,108,82.2857
2020-05-20,44,73.0
2020-05-21,261,106.8571
2020-05-22,90,97.8571
2020-05-23,57,99.1429
2020-05-24,16,97.5714
2020-05-25,169,106.4286
2020-05-26,110,106.7143
2020-05-27,68,110.1429
2020-05-28,62,81.7143
2020-05-29,126,86.8571
2020-05-30,97,92.5714
2020-05-31,54,98.0
2020-06-01,178,99.2857
2020-06-02,316,128.7143
2020-06-03,101,133.4286
2020-06-04,208,154.2857
2020-06-05,94,149.7143
2020-06-06,58,144.1429
2020-06-07,17,138.8571
2020-06-08,210,143.4286
2020-06-09,167,122.1429
2020-06-10,160,130.5714
2020-06-11,189,127.8571
2020-06-12,104,129.2857
2020-06-13,17,123.4286
2020-06-14,56,129.0
2020-06-15,156,121.2857
2020-06-16,151,119.0
2020-06-17,115,112.5714
2020-06-18,86,97.8571
2020-06-19,104,97.8571
2020-06-20,23,98.7143
2020-06-21,3,91.1429
2020-06-22,95,82.4286
2020-06-23,110,76.5714
2020-06-24,87,72.5714
2020-06-25,80,71.7143
2020-06-26,67,66.4286
2020-06-27,25,66.7143
2020-06-28,8,67.4286
2020-06-29,81,65.4286
2020-06-30,70,59.7143
2020-07-01,57,55.4286
