date,newDeaths,rollingAvg
2020-03-13,0,0.0
2020-03-14,0,0.0
2020-03-15,0,0.0
2020-03-16,0,0.0
2020-03-17,0,0.0
2020-03-18,0,0.0
2020-03-19,0,0.0
2020-03-20,0,0.0
2020-03-21,0,0.0
2020-03-22,0,0.0
2020-03-23,0,0.0
2020-03-24,0,0.0
2020-03-25,0,0.0
2020-03-26,0,0.0
2020-03-27,0,0.0
2020-03-28,0,0.0
2020-03-29,1,0.1429
2020-03-30,1,0.2857
2020-03-31,1,0.4286
2020-04-01,1,0.5714
2020-04-02,1,0.7143
2020-04-03,1,0.8571
2020-04-04,1,1.0
2020-04-05,0,0.8571
2020-04-06,3,1.1429
2020-04-07,2,1.2857
2020-04-08,0,1.1429
2020-04-09,1,1.1429
2020-04-10,1,1.1429
2020-04-11,0,1.0
2020-04-12,0,1.0
2020-04-13,1,0.7143
2020-04-14,2,0.7143
2020-04-15,0,0.7143
2020-04-16,3,1.0
2020-04-17,4,1.4286
2020-04-18,0,1.4286
2020-04-19,0,1.4286
2020-04-20,0,1.2857
2020-04-21,0,1.0
2020-04-22,1,1.1429
2020-04-23,1,0.8571
2020-04-24,0,0.2857
2020-04-25,1,0.4286
2020-04-26,0,0.4286
2020-04-27,1,0.5714
2020-04-28,0,0.5714
2020-04-29,0,0.4286
2020-04-30,2,0.5714
2020-05-01,1,0.7143
2020-05-02,1,0.7143
2020-05-03,1,0.8571
2020-05-04,0,0.7143
2020-05-05,1,0.8571
2020-05-06,1,1.0
2020-05-07,0,0.7143
2020-05-08,2,0.8571
2020-05-09,2,1.0
2020-05-10,3,1.2857
2020-05-11,2,1.5714
2020-05-12,2,1.7143
2020-05-13,2,1.8571
2020-05-14,3,2.2857
2020-05-15,4,2.5714
2020-05-16,1,2.4286
2020-05-17,3,2.4286
2020-05-18,7,3.1429
2020-05-19,6,3.7143
2020-05-20,6,4.2857
2020-05-21,6,4.7143
2020-05-22,6,5.0
2020-05-23,5,5.5714
2020-05-24,9,6.4286
2020-05-25,10,6.8571
2020-05-26,10,7.4286
2020-05-27,9,7.8571
2020-05-28,9,8.2857
2020-05-29,12,9.1429
2020-05-30,8,9.5714
2020-05-31,8,9.4286
2020-06-01,3,8.4286
2020-06-02,4,7.5714
2020-06-03,14,8.2857
2020-06-04,5,7.7143
2020-06-05,6,6.8571
2020-06-06,6,6.5714
2020-06-07,6,6.2857
2020-06-08,12,7.5714
2020-06-09,10,8.4286
2020-06-10,20,9.2857
2020-06-11,18,11.1429
2020-06-12,8,11.4286
2020-06-13,11,12.1429
2020-06-14,11,12.8571
2020-06-15,15,13.2857
2020-06-16,29,16.0
2020-06-17,17,15.5714
