date,newDeaths,rollingAvg
2020-03-12,0,0.0
2020-03-13,0,0.0
2020-03-14,0,0.0
2020-03-15,0,0.0
2020-03-16,0,0.0
2020-03-17,0,0.0
2020-03-18,0,0.0
2020-03-19,0,0.0
2020-03-20,0,0.0
2020-03-21,0,0.0
2020-03-22,0,0.0
2020-03-23,0,0.0
2020-03-24,0,0.0
2020-03-25,0,0.0
2020-03-26,0,0.0
2020-03-27,0,0.0
2020-03-28,0,0.0
2020-03-29,0,0.0
2020-03-30,0,0.0
2020-03-31,0,0.0
2020-04-01,0,0.0
2020-04-02,2,0.2857
2020-04-03,3,0.7143
2020-04-04,1,0.8571
2020-04-05,0,0.8571
2020-04-06,0,0.8571
2020-04-07,0,0.8571
2020-04-08,0,0.8571
2020-04-09,1,0.7143
2020-04-10,1,0.4286
2020-04-11,1,0.4286
2020-04-12,5,1.1429
2020-04-13,3,1.5714
2020-04-14,1,1.7143
2020-04-15,3,2.1429
2020-04-16,7,3.0
2020-04-17,0,2.8571
2020-04-18,2,3.0
2020-04-19,4,2.8571
2020-04-20,0,2.4286
2020-04-21,0,2.2857
2020-04-22,3,2.2857
2020-04-23,6,2.1429
2020-04-24,4,2.7143
2020-04-25,5,3.1429
2020-04-26,5,3.2857
2020-04-27,6,4.1429
2020-04-28,14,6.1429
2020-04-29,7,6.7143
2020-04-30,9,7.1429
2020-05-01,8,7.7143
2020-05-02,3,7.4286
2020-05-03,11,8.2857
2020-05-04,8,8.5714
2020-05-05,10,8.0
2020-05-06,13,8.8571
2020-05-07,11,9.1429
2020-05-08,8,9.1429
2020-05-09,7,9.7143
2020-05-10,9,9.4286
2020-05-11,15,10.4286
2020-05-12,16,11.2857
2020-05-13,21,12.4286
2020-05-14,16,13.1429
2020-05-15,11,13.5714
2020-05-16,11,14.1429
2020-05-17,14,14.8571
2020-05-18,17,15.1429
2020-05-19,23,16.1429
2020-05-20,21,16.1429
2020-05-21,17,16.2857
2020-05-22,34,19.5714
2020-05-23,20,20.8571
2020-05-24,30,23.1429
2020-05-25,18,23.2857
2020-05-26,22,23.1429
2020-05-27,24,23.5714
2020-05-28,27,25.0
2020-05-29,22,23.2857
2020-05-30,23,23.7143
2020-05-31,21,22.4286
2020-06-01,24,23.2857
2020-06-02,36,25.2857
2020-06-03,34,26.7143
2020-06-04,39,28.4286
2020-06-05,43,31.4286
2020-06-06,26,31.8571
2020-06-07,26,32.5714
2020-06-08,39,34.7143
2020-06-09,33,34.2857
