date,newDeaths,rollingAvg
2020-03-18,0,0.0
2020-03-19,0,0.0
2020-03-20,0,0.0
2020-03-21,0,0.0
2020-03-22,0,0.0
2020-03-23,0,0.0
2020-03-24,0,0.0
2020-03-25,0,0.0
2020-03-26,1,0.1429
2020-03-27,0,0.1429
2020-03-28,0,0.1429
2020-03-29,0,0.1429
2020-03-30,0,0.1429
2020-03-31,0,0.1429
2020-04-01,0,0.1429
2020-04-02,0,0.0
2020-04-03,1,0.1429
2020-04-04,0,0.1429
2020-04-05,1,0.2857
2020-04-06,2,0.5714
2020-04-07,0,0.5714
2020-04-08,2,0.8571
2020-04-09,0,0.8571
2020-04-10,1,0.8571
2020-04-11,2,1.1429
2020-04-12,4,1.5714
2020-04-13,1,1.4286
2020-04-14,0,1.4286
2020-04-15,0,1.1429
2020-04-16,1,1.2857
2020-04-17,0,1.1429
2020-04-18,2,1.1429
2020-04-19,0,0.5714
2020-04-20,1,0.5714
2020-04-21,0,0.5714
2020-04-22,2,0.8571
2020-04-23,2,1.0
2020-04-24,1,1.1429
2020-04-25,1,1.0
2020-04-26,0,1.0
2020-04-27,1,1.0
2020-04-28,1,1.1429
2020-04-29,0,0.8571
2020-04-30,2,0.8571
2020-05-01,0,0.7143
2020-05-02,1,0.7143
2020-05-03,0,0.7143
2020-05-04,0,0.5714
2020-05-05,8,1.5714
2020-05-06,7,2.5714
2020-05-07,-1,2.1429
2020-05-08,5,2.8571
2020-05-09,0,2.7143
2020-05-10,0,2.7143
2020-05-11,0,2.7143
2020-05-12,3,2.0
2020-05-13,9,2.2857
2020-05-14,6,3.2857
2020-05-15,0,2.5714
2020-05-16,2,2.8571
2020-05-17,1,3.0
2020-05-18,3,3.4286
2020-05-19,0,3.0
2020-05-20,5,2.4286
2020-05-21,7,2.5714
2020-05-22,10,4.0
2020-05-23,0,3.7143
2020-05-24,0,3.5714
2020-05-25,1,3.2857
2020-05-26,8,4.4286
2020-05-27,4,4.2857
2020-05-28,7,4.2857
2020-05-29,4,3.4286
2020-05-30,5,4.1429
2020-05-31,0,4.1429
2020-06-01,3,4.4286
2020-06-02,28,7.2857
2020-06-03,4,7.2857
2020-06-04,5,7.0
2020-06-05,3,6.8571
2020-06-06,5,6.8571
2020-06-07,1,7.0
2020-06-08,0,6.5714
2020-06-09,11,4.1429
2020-06-10,5,4.2857
2020-06-11,5,4.2857
2020-06-12,12,5.5714
2020-06-13,5,5.5714
2020-06-14,5,6.1429
2020-06-15,22,9.2857
2020-06-16,11,9.2857
2020-06-17,6,9.4286
2020-06-18,20,11.5714
2020-06-19,14,11.8571
2020-06-20,6,12.0
2020-06-21,11,12.8571
2020-06-22,18,12.2857
2020-06-23,31,15.1429
2020-06-24,20,17.1429
2020-06-25,9,15.5714
2020-06-26,41,19.4286
2020-06-27,9,19.8571
2020-06-28,2,18.5714
2020-06-29,31,20.4286
2020-06-30,24,19.4286
2020-07-01,30,20.8571
2020-07-02,51,26.8571
2020-07-03,30,25.2857
2020-07-04,19,26.7143
2020-07-05,0,26.4286
2020-07-06,33,26.7143
2020-07-07,72,33.5714
2020-07-08,22,32.4286
2020-07-09,47,31.8571
2020-07-10,40,33.2857
2020-07-11,12,32.2857
2020-07-12,4,32.8571
2020-07-13,29,32.2857
2020-07-14,30,26.2857
2020-07-15,49,30.1429
2020-07-16,59,31.8571
2020-07-17,33,30.8571
2020-07-18,35,34.1429
2020-07-19,20,36.4286
2020-07-20,39,37.8571
2020-07-21,33,38.2857
2020-07-22,59,39.7143
2020-07-23,58,39.5714
2020-07-24,58,43.1429
2020-07-25,27,42.0
2020-07-26,15,41.2857
2020-07-27,62,44.5714
2020-07-28,44,46.1429
2020-07-29,53,45.2857
2020-07-30,52,44.4286
2020-07-31,71,46.2857
2020-08-01,14,44.4286
2020-08-02,10,43.7143
2020-08-03,15,37.0
2020-08-04,101,45.1429
2020-08-05,71,47.7143
2020-08-06,36,45.4286
2020-08-07,50,42.4286
2020-08-08,43,46.5714
2020-08-09,3,45.5714
2020-08-10,52,50.8571
2020-08-11,50,43.5714
2020-08-12,60,42.0
2020-08-13,56,44.8571
2020-08-14,48,44.5714
2020-08-15,28,42.4286
2020-08-16,16,44.2857
2020-08-17,48,43.7143
2020-08-18,86,48.8571
2020-08-19,52,47.7143
2020-08-20,109,55.2857
2020-08-21,63,57.4286
2020-08-22,47,60.1429
2020-08-23,8,59.0
2020-08-24,61,60.8571
2020-08-25,58,56.8571
2020-08-26,71,59.5714
2020-08-27,54,51.7143
2020-08-28,57,50.8571
2020-08-29,22,47.2857
2020-08-30,23,49.4286
2020-08-31,70,50.7143
2020-09-01,83,54.2857
2020-09-02,81,55.7143
2020-09-03,62,56.8571
