date,newDeaths,rollingAvg
2020-03-26,0,0.0
2020-03-27,0,0.0
2020-03-28,0,0.0
2020-03-29,1,0.1429
2020-03-30,0,0.1429
2020-03-31,0,0.1429
2020-04-01,0,0.1429
2020-04-02,0,0.1429
2020-04-03,0,0.1429
2020-04-04,1,0.2857
2020-04-05,0,0.1429
2020-04-06,2,0.4286
2020-04-07,7,1.4286
2020-04-08,1,1.5714
2020-04-09,4,2.1429
2020-04-10,5,2.8571
2020-04-11,3,3.1429
2020-04-12,3,3.5714
2020-04-13,5,4.0
2020-04-14,2,3.2857
2020-04-15,3,3.5714
2020-04-16,3,3.4286
2020-04-17,4,3.2857
2020-04-18,4,3.4286
2020-04-19,6,3.8571
2020-04-20,6,4.0
2020-04-21,6,4.5714
2020-04-22,10,5.5714
2020-04-23,12,6.8571
2020-04-24,12,8.0
2020-04-25,12,9.1429
2020-04-26,13,10.1429
2020-04-27,20,12.1429
2020-04-28,21,14.2857
2020-04-29,18,15.4286
2020-04-30,20,16.5714
2020-05-01,20,17.7143
2020-05-02,13,17.8571
2020-05-03,12,17.7143
2020-05-04,22,18.0
2020-05-05,20,17.8571
2020-05-06,14,17.2857
2020-05-07,25,18.0
2020-05-08,25,18.7143
2020-05-09,24,20.2857
2020-05-10,20,21.4286
2020-05-11,24,21.7143
2020-05-12,21,21.8571
2020-05-13,26,23.5714
2020-05-14,26,23.7143
2020-05-15,28,24.1429
2020-05-16,25,24.2857
2020-05-17,27,25.2857
2020-05-18,28,25.8571
2020-05-19,30,27.1429
2020-05-20,29,27.5714
2020-05-21,30,28.1429
2020-05-22,29,28.2857
2020-05-23,32,29.2857
2020-05-24,30,29.7143
2020-05-25,33,30.4286
2020-05-26,36,31.2857
2020-05-27,34,32.0
2020-05-28,24,31.1429
2020-05-29,21,30.0
2020-05-30,23,28.7143
2020-05-31,21,27.4286
2020-06-01,21,25.7143
2020-06-02,31,25.0
2020-06-03,34,25.0
2020-06-04,33,26.2857
2020-06-05,37,28.5714
2020-06-06,38,30.7143
2020-06-07,38,33.1429
2020-06-08,39,35.7143
2020-06-09,38,36.7143
2020-06-10,37,37.1429
2020-06-11,38,37.8571
2020-06-12,39,38.1429
2020-06-13,37,38.0
2020-06-14,31,37.0
2020-06-15,32,36.0
2020-06-16,38,36.0
2020-06-17,33,35.4286
2020-06-18,37,35.2857
2020-06-19,38,35.1429
2020-06-20,39,35.4286
2020-06-21,37,36.2857
2020-06-22,39,37.2857
2020-06-23,37,37.1429
2020-06-24,39,38.0
2020-06-25,35,37.7143
2020-06-26,35,37.2857
2020-06-27,37,37.0
2020-06-28,39,37.2857
2020-06-29,30,36.0
2020-06-30,36,35.8571
2020-07-01,33,35.0
2020-07-02,38,35.4286
2020-07-03,34,35.2857
2020-07-04,32,34.5714
2020-07-05,34,33.8571
2020-07-06,31,34.0
2020-07-07,36,34.0
2020-07-08,38,34.7143
2020-07-09,33,34.0
2020-07-10,35,34.1429
2020-07-11,34,34.4286
2020-07-12,37,34.8571
2020-07-13,38,35.8571
2020-07-14,35,35.7143
2020-07-15,36,35.4286
2020-07-16,36,35.8571
2020-07-17,32,35.4286
2020-07-18,36,35.7143
2020-07-19,32,35.0
2020-07-20,32,34.1429
2020-07-21,38,34.5714
2020-07-22,32,34.0
2020-07-23,30,33.1429
2020-07-24,31,33.0
2020-07-25,27,31.7143
2020-07-26,25,30.7143
2020-07-27,20,29.0
2020-07-28,16,25.8571
2020-07-29,19,24.0
2020-07-30,18,22.2857
2020-07-31,17,20.2857
2020-08-01,19,19.1429
2020-08-02,18,18.1429
2020-08-03,19,18.0
2020-08-04,16,18.0
2020-08-05,18,17.8571
2020-08-06,17,17.7143
2020-08-07,18,17.8571
2020-08-08,16,17.4286
2020-08-09,15,17.0
2020-08-10,18,16.8571
2020-08-11,17,17.0
2020-08-12,11,16.0
2020-08-13,13,15.4286
2020-08-14,12,14.5714
2020-08-15,13,14.1429
2020-08-16,11,13.5714
2020-08-17,13,12.8571
2020-08-18,12,12.1429
2020-08-19,13,12.4286
2020-08-20,13,12.4286
2020-08-21,13,12.5714
2020-08-22,12,12.4286
2020-08-23,12,12.5714
2020-08-24,13,12.5714
2020-08-25,12,12.5714
2020-08-26,13,12.5714
2020-08-27,12,12.4286
2020-08-28,10,12.0
2020-08-29,12,12.0
2020-08-30,12,12.0
