date,newDeaths,rollingAvg
2020-03-14,0,0.0
2020-03-15,0,0.0
2020-03-16,0,0.0
2020-03-17,0,0.0
2020-03-18,0,0.0
2020-03-19,0,0.0
2020-03-20,0,0.0
2020-03-21,0,0.0
2020-03-22,0,0.0
2020-03-23,0,0.0
2020-03-24,0,0.0
2020-03-25,0,0.0
2020-03-26,0,0.0
2020-03-27,0,0.0
2020-03-28,0,0.0
2020-03-29,0,0.0
2020-03-30,1,0.1429
2020-03-31,1,0.2857
2020-04-01,1,0.4286
2020-04-02,1,0.5714
2020-04-03,2,0.8571
2020-04-04,0,0.8571
2020-04-05,0,0.8571
2020-04-06,3,1.1429
2020-04-07,2,1.2857
2020-04-08,3,1.5714
2020-04-09,1,1.5714
2020-04-10,2,1.5714
2020-04-11,0,1.5714
2020-04-12,3,2.0
2020-04-13,3,2.0
2020-04-14,4,2.2857
2020-04-15,3,2.2857
2020-04-16,3,2.5714
2020-04-17,2,2.5714
2020-04-18,4,3.1429
2020-04-19,0,2.7143
2020-04-20,2,2.5714
2020-04-21,3,2.4286
2020-04-22,3,2.4286
2020-04-23,4,2.5714
2020-04-24,3,2.7143
2020-04-25,4,2.7143
2020-04-26,3,3.1429
2020-04-27,1,3.0
2020-04-28,9,3.8571
2020-04-29,9,4.7143
2020-04-30,2,4.4286
2020-05-01,6,4.8571
2020-05-02,0,4.2857
2020-05-03,1,4.0
2020-05-04,1,4.0
2020-05-05,4,3.2857
2020-05-06,3,2.4286
2020-05-07,9,3.4286
2020-05-08,5,3.2857
2020-05-09,7,4.2857
2020-05-10,1,4.2857
2020-05-11,2,4.4286
2020-05-12,6,4.7143
2020-05-13,8,5.4286
2020-05-14,4,4.7143
2020-05-15,7,5.0
2020-05-16,4,4.5714
2020-05-17,6,5.2857
2020-05-18,5,5.7143
2020-05-19,6,5.7143
2020-05-20,10,6.0
2020-05-21,14,7.4286
2020-05-22,10,7.8571
2020-05-23,16,9.5714
2020-05-24,9,10.0
2020-05-25,4,9.8571
2020-05-26,4,9.5714
2020-05-27,6,9.0
2020-05-28,15,9.1429
2020-05-29,2,8.0
2020-05-30,6,6.5714
2020-05-31,8,6.4286
2020-06-01,7,6.8571
2020-06-02,11,7.8571
2020-06-03,17,9.4286
2020-06-04,17,9.7143
2020-06-05,21,12.4286
2020-06-06,24,15.0
2020-06-07,8,15.0
2020-06-08,4,14.5714
2020-06-09,19,15.7143
2020-06-10,10,14.7143
2020-06-11,22,15.4286
2020-06-12,15,14.5714
2020-06-13,8,12.2857
2020-06-14,21,14.1429
2020-06-15,6,14.4286
2020-06-16,21,14.7143
2020-06-17,35,18.2857
2020-06-18,33,19.8571
2020-06-19,30,22.0
2020-06-20,36,26.0
2020-06-21,25,26.5714
2020-06-22,27,29.5714
2020-06-23,32,31.1429
2020-06-24,51,33.4286
2020-06-25,35,33.7143
2020-06-26,27,33.2857
2020-06-27,49,35.1429
2020-06-28,17,34.0
2020-06-29,41,36.0
2020-06-30,25,35.0
2020-07-01,42,33.7143
2020-07-02,52,36.1429
2020-07-03,51,39.5714
2020-07-04,73,43.0
2020-07-05,18,43.1429
2020-07-06,29,41.4286
2020-07-07,52,45.2857
2020-07-08,73,49.7143
2020-07-09,90,55.1429
2020-07-10,59,56.2857
2020-07-11,46,52.4286
2020-07-12,26,53.5714
2020-07-13,39,55.0
2020-07-14,73,58.0
2020-07-15,64,56.7143
2020-07-16,82,55.5714
2020-07-17,70,57.1429
2020-07-18,60,59.1429
2020-07-19,18,58.0
2020-07-20,22,55.5714
2020-07-21,67,54.7143
2020-07-22,95,59.1429
2020-07-23,72,57.7143
2020-07-24,77,58.7143
2020-07-25,89,62.8571
2020-07-26,25,63.8571
2020-07-27,32,65.2857
2020-07-28,90,68.5714
2020-07-29,57,63.1429
2020-07-30,84,64.8571
2020-07-31,77,64.8571
2020-08-01,92,65.2857
2020-08-02,30,66.0
2020-08-03,3,61.8571
2020-08-04,149,70.2857
2020-08-05,152,83.8571
2020-08-06,109,87.4286
2020-08-07,77,87.4286
2020-08-08,68,84.0
2020-08-09,88,92.2857
2020-08-10,60,100.4286
2020-08-11,16,81.4286
2020-08-12,170,84.0
2020-08-13,63,77.4286
2020-08-14,97,80.2857
2020-08-15,101,85.0
2020-08-16,88,85.0
2020-08-17,91,89.4286
2020-08-18,83,99.0
2020-08-19,130,93.2857
2020-08-20,107,99.5714
2020-08-21,120,102.8571
2020-08-22,74,99.0
2020-08-23,53,94.0
2020-08-24,15,83.1429
2020-08-25,42,77.2857
2020-08-26,101,73.1429
2020-08-27,101,72.2857
2020-08-28,118,72.0
2020-08-29,103,76.1429
2020-08-30,56,76.5714
2020-08-31,9,75.7143
2020-09-01,29,73.8571
2020-09-02,141,79.5714
2020-09-03,86,77.4286
2020-09-04,117,77.2857
2020-09-05,0,62.5714
2020-09-06,129,73.0
2020-09-07,14,73.7143
2020-09-08,26,73.2857
2020-09-09,58,61.4286
2020-09-10,74,59.7143
2020-09-11,105,58.0
2020-09-12,86,70.2857
2020-09-13,76,62.7143
2020-09-14,10,62.1429
2020-09-15,42,64.4286
2020-09-16,91,69.1429
2020-09-17,81,70.1429
2020-09-18,74,65.7143
2020-09-19,82,65.1429
2020-09-20,58,62.5714
2020-09-21,13,63.0
2020-09-22,37,62.2857
2020-09-23,133,68.2857
2020-09-24,86,69.0
2020-09-25,73,68.8571
2020-09-26,125,75.0
2020-09-27,47,73.4286
2020-09-28,12,73.2857
2020-09-29,19,70.7143
2020-09-30,101,66.1429
2020-10-01,76,64.7143
2020-10-02,66,63.7143
2020-10-03,67,55.4286
2020-10-04,74,59.2857
2020-10-05,13,59.4286
2020-10-06,48,63.5714
2020-10-07,107,64.4286
2020-10-08,86,65.8571
2020-10-09,95,70.0
2020-10-10,69,70.2857
2020-10-11,66,69.1429
2020-10-12,3,67.7143
2020-10-13,15,63.0
2020-10-14,26,51.4286
2020-10-15,96,52.8571
2020-10-16,78,50.4286
2020-10-17,60,49.1429
2020-10-18,41,45.5714
2020-10-19,7,46.1429
2020-10-20,30,48.2857
2020-10-21,71,54.7143
2020-10-22,67,50.5714
2020-10-23,65,48.7143
2020-10-24,46,46.7143
2020-10-25,38,46.2857
2020-10-26,9,46.5714
2020-10-27,10,43.7143
2020-10-28,83,45.4286
2020-10-29,44,42.1429
2020-10-30,99,47.0
2020-10-31,0,40.4286
2020-11-01,23,38.2857
2020-11-02,9,38.2857
2020-11-03,3,37.2857
2020-11-04,19,28.1429
2020-11-05,59,30.2857
2020-11-06,71,26.2857
2020-11-07,5,27.0
2020-11-08,0,23.7143
2020-11-09,0,22.4286
2020-11-10,0,22.0
2020-11-11,0,19.2857
2020-11-12,55,18.7143
2020-11-13,146,29.4286
2020-11-14,99,42.8571
2020-11-15,3,43.2857
2020-11-16,10,44.7143
2020-11-17,14,46.7143
2020-11-18,74,57.2857
2020-11-19,43,55.5714
2020-11-20,40,40.4286
2020-11-21,44,32.5714
2020-11-22,45,38.5714
2020-11-23,17,39.5714
2020-11-24,10,39.0
2020-11-25,54,36.1429
2020-11-26,46,36.5714
2020-11-27,44,37.1429
2020-11-28,42,36.8571
2020-11-29,41,36.2857
2020-11-30,10,35.2857
2020-12-01,10,35.2857
2020-12-02,70,37.5714
2020-12-03,66,40.4286
2020-12-04,40,39.8571
2020-12-05,56,41.8571
2020-12-06,53,43.5714
2020-12-07,5,42.8571
2020-12-08,4,42.0
2020-12-09,84,44.0
2020-12-10,70,44.5714
2020-12-11,66,48.2857
2020-12-12,80,51.7143
2020-12-13,56,52.1429
2020-12-14,10,52.8571
2020-12-15,8,53.4286
2020-12-16,136,60.8571
2020-12-17,78,62.0
2020-12-18,76,63.4286
2020-12-19,84,64.0
2020-12-20,132,74.8571
2020-12-21,10,74.8571
2020-12-22,23,77.0
2020-12-23,97,71.4286
2020-12-24,120,77.4286
2020-12-25,87,79.0
2020-12-26,23,70.2857
2020-12-27,7,52.4286
2020-12-28,13,52.8571
2020-12-29,10,51.0
2020-12-30,169,61.2857
2020-12-31,118,61.0
2021-01-01,99,62.7143
2021-01-02,22,62.5714
2021-01-03,14,63.5714
2021-01-04,26,65.4286
2021-01-05,20,66.8571
2021-01-06,128,61.0
2021-01-07,155,66.2857
2021-01-08,103,66.8571
2021-01-09,125,81.5714
2021-01-10,115,96.0
2021-01-11,27,96.1429
2021-01-12,14,95.2857
2021-01-13,144,97.5714
