date,newDeaths,rollingAvg
2020-03-20,0,0.0
2020-03-21,0,0.0
2020-03-22,0,0.0
2020-03-23,0,0.0
2020-03-24,0,0.0
2020-03-25,0,0.0
2020-03-26,0,0.0
2020-03-27,0,0.0
2020-03-28,0,0.0
2020-03-29,0,0.0
2020-03-30,0,0.0
2020-03-31,1,0.1429
2020-04-01,0,0.1429
2020-04-02,0,0.1429
2020-04-03,0,0.1429
2020-04-04,0,0.1429
2020-04-05,0,0.1429
2020-04-06,0,0.1429
2020-04-07,1,0.1429
2020-04-08,0,0.1429
2020-04-09,0,0.1429
2020-04-10,0,0.1429
2020-04-11,0,0.1429
2020-04-12,0,0.1429
2020-04-13,2,0.4286
2020-04-14,0,0.2857
2020-04-15,0,0.2857
2020-04-16,1,0.4286
2020-04-17,0,0.4286
2020-04-18,0,0.4286
2020-04-19,0,0.4286
2020-04-20,0,0.1429
2020-04-21,1,0.2857
2020-04-22,0,0.2857
2020-04-23,1,0.2857
2020-04-24,0,0.2857
2020-04-25,0,0.2857
2020-04-26,0,0.2857
2020-04-27,2,0.5714
2020-04-28,0,0.4286
2020-04-29,0,0.4286
2020-04-30,0,0.2857
2020-05-01,0,0.2857
2020-05-02,0,0.2857
2020-05-03,1,0.4286
2020-05-04,0,0.1429
2020-05-05,0,0.1429
2020-05-06,0,0.1429
2020-05-07,0,0.1429
2020-05-08,1,0.2857
2020-05-09,0,0.2857
2020-05-10,0,0.1429
2020-05-11,0,0.1429
2020-05-12,1,0.2857
2020-05-13,1,0.4286
2020-05-14,1,0.5714
2020-05-15,0,0.4286
2020-05-16,1,0.5714
2020-05-17,0,0.5714
2020-05-18,1,0.7143
2020-05-19,0,0.5714
2020-05-20,1,0.5714
2020-05-21,0,0.4286
2020-05-22,0,0.4286
2020-05-23,0,0.2857
2020-05-24,0,0.2857
2020-05-25,0,0.1429
2020-05-26,1,0.2857
2020-05-27,0,0.1429
2020-05-28,0,0.1429
2020-05-29,1,0.2857
2020-05-30,1,0.4286
2020-05-31,0,0.4286
2020-06-01,0,0.4286
2020-06-02,0,0.2857
2020-06-03,0,0.2857
2020-06-04,1,0.4286
2020-06-05,0,0.2857
2020-06-06,0,0.1429
2020-06-07,1,0.2857
2020-06-08,0,0.2857
2020-06-09,2,0.5714
2020-06-10,1,0.7143
2020-06-11,3,1.0
2020-06-12,0,1.0
2020-06-13,3,1.4286
2020-06-14,2,1.5714
2020-06-15,3,2.0
2020-06-16,0,1.7143
2020-06-17,3,2.0
2020-06-18,1,1.7143
2020-06-19,3,2.1429
2020-06-20,2,2.0
2020-06-21,2,2.0
2020-06-22,8,2.7143
2020-06-23,1,2.8571
2020-06-24,5,3.1429
2020-06-25,4,3.5714
2020-06-26,3,3.5714
2020-06-27,4,3.8571
2020-06-28,3,4.0
2020-06-29,1,3.0
2020-06-30,9,4.1429
2020-07-01,6,4.2857
2020-07-02,16,6.0
2020-07-03,7,6.5714
2020-07-04,3,6.4286
2020-07-05,5,6.7143
2020-07-06,6,7.4286
2020-07-07,6,7.0
2020-07-08,2,6.4286
2020-07-09,10,5.5714
2020-07-10,7,5.5714
2020-07-11,8,6.2857
2020-07-12,6,6.4286
2020-07-13,10,7.0
2020-07-14,6,7.0
2020-07-15,8,7.8571
2020-07-16,12,8.1429
2020-07-17,13,9.0
2020-07-18,6,8.7143
2020-07-19,6,8.7143
2020-07-20,20,10.1429
2020-07-21,9,10.5714
2020-07-22,9,10.7143
2020-07-23,15,11.1429
2020-07-24,11,10.8571
2020-07-25,13,11.8571
2020-07-26,14,13.0
2020-07-27,9,11.4286
2020-07-28,14,12.1429
2020-07-29,15,13.0
2020-07-30,19,13.5714
2020-07-31,13,13.8571
2020-08-01,15,14.1429
2020-08-02,17,14.5714
2020-08-03,11,14.8571
2020-08-04,10,14.2857
2020-08-05,16,14.4286
2020-08-06,23,15.0
2020-08-07,11,14.7143
2020-08-08,17,15.0
2020-08-09,14,14.5714
2020-08-10,21,16.0
2020-08-11,14,16.5714
2020-08-12,12,16.0
2020-08-13,21,15.7143
2020-08-14,7,15.1429
2020-08-15,28,16.7143
2020-08-16,14,16.7143
2020-08-17,17,16.1429
2020-08-18,11,15.7143
2020-08-19,18,16.5714
2020-08-20,10,15.0
2020-08-21,26,17.7143
2020-08-22,16,16.0
2020-08-23,11,15.5714
2020-08-24,18,15.7143
2020-08-25,16,16.4286
2020-08-26,17,16.2857
2020-08-27,23,18.1429
2020-08-28,17,16.8571
2020-08-29,11,16.1429
2020-08-30,11,16.1429
2020-08-31,27,17.4286
2020-09-01,14,17.1429
2020-09-02,11,16.2857
2020-09-03,25,16.5714
2020-09-04,14,16.1429
2020-09-05,13,16.4286
2020-09-06,4,15.4286
2020-09-07,17,14.0
2020-09-08,20,14.8571
2020-09-09,17,15.7143
2020-09-10,11,13.7143
2020-09-11,20,14.5714
2020-09-12,10,14.1429
2020-09-13,20,16.4286
2020-09-14,21,17.0
2020-09-15,16,16.4286
2020-09-16,11,15.5714
2020-09-17,15,16.1429
2020-09-18,14,15.2857
2020-09-19,10,15.2857
2020-09-20,7,13.4286
2020-09-21,12,12.1429
2020-09-22,13,11.7143
2020-09-23,13,12.0
2020-09-24,17,12.2857
2020-09-25,15,12.4286
2020-09-26,14,13.0
2020-09-27,15,14.1429
2020-09-28,15,14.5714
2020-09-29,10,14.1429
2020-09-30,8,13.4286
2020-10-01,15,13.1429
2020-10-02,9,12.2857
2020-10-03,16,12.5714
2020-10-04,14,12.4286
2020-10-05,11,11.8571
2020-10-06,9,11.7143
2020-10-07,10,12.0
2020-10-08,14,11.8571
2020-10-09,16,12.8571
2020-10-10,8,11.7143
2020-10-11,7,10.7143
2020-10-12,9,10.4286
2020-10-13,15,11.2857
2020-10-14,5,10.5714
2020-10-15,9,9.8571
2020-10-16,8,8.7143
2020-10-17,7,8.5714
2020-10-18,4,8.1429
2020-10-19,15,9.0
2020-10-20,6,7.7143
2020-10-21,6,7.8571
2020-10-22,14,8.5714
2020-10-23,10,8.8571
2020-10-24,5,8.5714
2020-10-25,2,8.2857
2020-10-26,11,7.7143
2020-10-27,4,7.4286
2020-10-28,11,8.1429
2020-10-29,7,7.1429
2020-10-30,4,6.2857
2020-10-31,10,7.0
2020-11-01,7,7.7143
2020-11-02,3,6.5714
2020-11-03,10,7.4286
2020-11-04,7,6.8571
2020-11-05,5,6.5714
2020-11-06,0,6.0
2020-11-07,0,4.5714
2020-11-08,0,3.5714
2020-11-09,6,4.0
2020-11-10,5,3.2857
2020-11-11,29,6.4286
2020-11-12,9,7.0
2020-11-13,5,7.7143
2020-11-14,2,8.0
2020-11-15,3,8.4286
2020-11-16,4,8.1429
2020-11-17,2,7.7143
2020-11-18,6,4.4286
2020-11-19,8,4.2857
2020-11-20,5,4.2857
2020-11-21,4,4.5714
2020-11-22,5,4.8571
2020-11-23,11,5.8571
2020-11-24,4,6.1429
2020-11-25,6,6.1429
2020-11-26,6,5.8571
2020-11-27,3,5.5714
2020-11-28,9,6.2857
2020-11-29,3,6.0
2020-11-30,11,6.0
2020-12-01,13,7.2857
2020-12-02,11,8.0
2020-12-03,14,9.1429
2020-12-04,9,10.0
2020-12-05,6,9.5714
2020-12-06,8,10.2857
2020-12-07,11,10.2857
2020-12-08,18,11.0
2020-12-09,18,12.0
2020-12-10,9,11.2857
2020-12-11,16,12.2857
2020-12-12,18,14.0
2020-12-13,18,15.4286
2020-12-14,18,16.4286
2020-12-15,11,15.4286
2020-12-16,15,15.0
2020-12-17,16,16.0
2020-12-18,23,17.0
2020-12-19,19,17.1429
2020-12-20,26,18.2857
2020-12-21,31,20.1429
2020-12-22,22,21.7143
2020-12-23,30,23.8571
2020-12-24,23,24.8571
2020-12-25,24,25.0
2020-12-26,22,25.4286
2020-12-27,16,24.0
2020-12-28,25,23.1429
2020-12-29,30,24.2857
2020-12-30,29,24.1429
2020-12-31,18,23.4286
2021-01-01,13,21.8571
2021-01-02,12,20.4286
2021-01-03,26,21.8571
2021-01-04,33,23.0
2021-01-05,28,22.7143
2021-01-06,27,22.4286
2021-01-07,25,23.4286
2021-01-08,14,23.5714
2021-01-09,21,24.8571
2021-01-10,19,23.8571
2021-01-11,22,22.2857
2021-01-12,22,21.4286
2021-01-13,16,19.8571
2021-01-14,23,19.5714
2021-01-15,13,19.4286
2021-01-16,13,18.2857
2021-01-17,12,17.2857
2021-01-18,19,16.8571
2021-01-19,18,16.2857
2021-01-20,18,16.5714
2021-01-21,30,17.5714
2021-01-22,23,19.0
2021-01-23,18,19.7143
2021-01-24,7,19.0
2021-01-25,20,19.1429
2021-01-26,9,17.8571
2021-01-27,23,18.5714
2021-01-28,14,16.2857
2021-01-29,13,14.8571
2021-01-30,11,13.8571
2021-01-31,12,14.5714
2021-02-01,16,14.0
2021-02-02,21,15.7143
2021-02-03,14,14.4286
2021-02-04,11,14.0
2021-02-05,16,14.4286
2021-02-06,13,14.7143
2021-02-07,12,14.7143
2021-02-08,29,16.5714
2021-02-09,17,16.0
2021-02-10,20,16.8571
2021-02-11,10,16.7143
2021-02-12,15,16.5714
2021-02-13,15,16.8571
2021-02-14,12,16.8571
2021-02-15,18,15.2857
2021-02-16,6,13.7143
2021-02-17,12,12.5714
2021-02-18,8,12.2857
2021-02-19,12,11.8571
2021-02-20,6,10.5714
2021-02-21,20,11.7143
2021-02-22,17,11.5714
2021-02-23,5,11.4286
2021-02-24,24,13.1429
2021-02-25,23,15.2857
2021-02-26,13,15.4286
2021-02-27,13,16.4286
2021-02-28,11,15.1429
2021-03-01,20,15.5714
2021-03-02,24,18.2857
2021-03-03,19,17.5714
2021-03-04,23,17.5714
2021-03-05,15,17.8571
2021-03-06,13,17.8571
2021-03-07,25,19.8571
2021-03-08,22,20.1429
2021-03-09,25,20.2857
2021-03-10,21,20.5714
2021-03-11,26,21.0
2021-03-12,21,21.8571
2021-03-13,30,24.2857
2021-03-14,14,22.7143
2021-03-15,39,25.1429
2021-03-16,42,27.5714
2021-03-17,31,29.0
2021-03-18,35,30.2857
2021-03-19,24,30.7143
2021-03-20,27,30.2857
2021-03-21,28,32.2857
2021-03-22,41,32.5714
2021-03-23,20,29.4286
2021-03-24,60,33.5714
2021-03-25,70,38.5714
2021-03-26,33,39.8571
2021-03-27,45,42.4286
2021-03-28,41,44.2857
2021-03-29,56,46.4286
2021-03-30,57,51.7143
2021-03-31,57,51.2857
2021-04-01,42,47.2857
2021-04-02,48,49.4286
2021-04-03,57,51.1429
2021-04-04,32,49.8571
2021-04-05,58,50.1429
2021-04-06,59,50.4286
2021-04-07,87,54.7143
2021-04-08,52,56.1429
2021-04-09,52,56.7143
2021-04-10,49,55.5714
2021-04-11,37,56.2857
2021-04-12,33,52.7143
2021-04-13,65,53.5714
2021-04-14,50,48.2857
2021-04-15,44,47.1429
2021-04-16,57,47.8571
2021-04-17,37,46.1429
2021-04-18,31,45.2857
2021-04-19,58,48.8571
2021-04-20,53,47.1429
2021-04-21,39,45.5714
2021-04-22,48,46.1429
2021-04-23,39,43.5714
2021-04-24,53,45.8571
2021-04-25,28,45.4286
2021-04-26,39,42.7143
2021-04-27,63,44.1429
2021-04-28,42,44.5714
2021-04-29,32,42.2857
2021-04-30,41,42.5714
2021-05-01,23,38.2857
2021-05-02,30,38.5714
2021-05-03,40,38.7143
2021-05-04,46,36.2857
2021-05-05,39,35.8571
2021-05-06,24,34.7143
2021-05-07,29,33.0
2021-05-08,38,35.1429
2021-05-09,16,33.1429
2021-05-10,25,31.0
2021-05-11,37,29.7143
2021-05-12,17,26.5714
2021-05-13,40,28.8571
2021-05-14,31,29.1429
2021-05-15,8,24.8571
2021-05-16,28,26.5714
2021-05-17,50,30.1429
2021-05-18,30,29.1429
2021-05-19,40,32.4286
2021-05-20,32,31.2857
2021-05-21,48,33.7143
2021-05-22,31,37.0
2021-05-23,31,37.4286
2021-05-24,51,37.5714
2021-05-25,29,37.4286
2021-05-26,55,39.5714
2021-05-27,56,43.0
2021-05-28,58,44.4286
2021-05-29,50,47.1429
2021-05-30,24,46.1429
2021-05-31,52,46.2857
2021-06-01,50,49.2857
2021-06-02,59,49.8571
2021-06-03,56,49.8571
2021-06-04,40,47.2857
2021-06-05,50,47.2857
2021-06-06,63,52.8571
2021-06-07,25,49.0
2021-06-08,58,50.1429
2021-06-09,52,49.1429
2021-06-10,46,47.7143
2021-06-11,73,52.4286
2021-06-12,38,50.7143
2021-06-13,40,47.4286
2021-06-14,52,51.2857
2021-06-15,67,52.5714
2021-06-16,35,50.1429
2021-06-17,48,50.4286
2021-06-18,48,46.8571
2021-06-19,38,46.8571
2021-06-20,21,44.1429
2021-06-21,38,42.1429
2021-06-22,51,39.8571
2021-06-23,38,40.2857
2021-06-24,40,39.1429
2021-06-25,51,39.5714
2021-06-26,45,40.5714
2021-06-27,34,42.4286
2021-06-28,30,41.2857
2021-06-29,51,41.2857
2021-06-30,27,39.7143
2021-07-01,38,39.4286
2021-07-02,33,36.8571
2021-07-03,29,34.5714
2021-07-04,34,34.5714
2021-07-05,35,35.2857
2021-07-06,0,28.0
