date,newDeaths,rollingAvg
2020-03-26,0,0.0
2020-03-27,0,0.0
2020-03-28,0,0.0
2020-03-29,0,0.0
2020-03-30,0,0.0
2020-03-31,0,0.0
2020-04-01,0,0.0
2020-04-02,0,0.0
2020-04-03,1,0.1429
2020-04-04,0,0.1429
2020-04-05,0,0.1429
2020-04-06,0,0.1429
2020-04-07,0,0.1429
2020-04-08,0,0.1429
2020-04-09,1,0.2857
2020-04-10,0,0.1429
2020-04-11,1,0.2857
2020-04-12,0,0.2857
2020-04-13,1,0.4286
2020-04-14,0,0.4286
2020-04-15,0,0.4286
2020-04-16,1,0.4286
2020-04-17,0,0.4286
2020-04-18,0,0.2857
2020-04-19,0,0.2857
2020-04-20,1,0.2857
2020-04-21,0,0.2857
2020-04-22,0,0.2857
2020-04-23,1,0.2857
2020-04-24,1,0.4286
2020-04-25,1,0.5714
2020-04-26,0,0.5714
2020-04-27,1,0.5714
2020-04-28,1,0.7143
2020-04-29,0,0.7143
2020-04-30,0,0.5714
2020-05-01,0,0.4286
2020-05-02,1,0.4286
2020-05-03,0,0.4286
2020-05-04,1,0.4286
2020-05-05,0,0.2857
2020-05-06,0,0.2857
2020-05-07,1,0.4286
2020-05-08,1,0.5714
2020-05-09,1,0.5714
2020-05-10,2,0.8571
2020-05-11,1,0.8571
2020-05-12,1,1.0
2020-05-13,1,1.1429
2020-05-14,3,1.4286
2020-05-15,2,1.5714
2020-05-16,1,1.5714
2020-05-17,0,1.2857
2020-05-18,3,1.5714
2020-05-19,2,1.7143
2020-05-20,0,1.5714
2020-05-21,2,1.4286
2020-05-22,3,1.5714
2020-05-23,0,1.4286
2020-05-24,3,1.8571
2020-05-25,2,1.7143
2020-05-26,1,1.5714
2020-05-27,4,2.1429
2020-05-28,7,2.8571
2020-05-29,3,2.8571
2020-05-30,1,3.0
2020-05-31,5,3.2857
2020-06-01,4,3.5714
2020-06-02,8,4.5714
2020-06-03,4,4.5714
2020-06-04,5,4.2857
2020-06-05,7,4.8571
2020-06-06,10,6.1429
2020-06-07,12,7.1429
2020-06-08,13,8.4286
2020-06-09,14,9.2857
2020-06-10,13,10.5714
2020-06-11,10,11.2857
2020-06-12,18,12.8571
2020-06-13,18,14.0
2020-06-14,14,14.2857
2020-06-15,10,13.8571
2020-06-16,27,15.7143
2020-06-17,22,17.0
2020-06-18,23,18.8571
2020-06-19,27,20.1429
2020-06-20,19,20.2857
2020-06-21,29,22.4286
2020-06-22,24,24.4286
2020-06-23,29,24.7143
2020-06-24,22,24.7143
2020-06-25,31,25.8571
2020-06-26,28,26.0
2020-06-27,29,27.4286
2020-06-28,30,27.5714
2020-06-29,27,28.0
2020-06-30,39,29.4286
2020-07-01,36,31.4286
2020-07-02,41,32.8571
2020-07-03,35,33.8571
2020-07-04,45,36.1429
2020-07-05,35,36.8571
2020-07-06,36,38.1429
2020-07-07,39,38.1429
2020-07-08,25,36.5714
2020-07-09,40,36.4286
2020-07-10,65,40.7143
2020-07-11,21,37.2857
2020-07-12,30,36.5714
2020-07-13,28,35.4286
2020-07-14,52,37.2857
2020-07-15,39,39.2857
2020-07-16,39,39.1429
2020-07-17,56,37.8571
2020-07-18,21,37.8571
2020-07-19,36,38.7143
2020-07-20,38,40.1429
2020-07-21,46,39.2857
2020-07-22,42,39.7143
2020-07-23,24,37.5714
2020-07-24,58,37.8571
2020-07-25,24,38.2857
2020-07-26,36,38.2857
2020-07-27,48,39.7143
2020-07-28,36,38.2857
2020-07-29,52,39.7143
2020-07-30,42,42.2857
2020-07-31,48,40.8571
2020-08-01,34,42.2857
2020-08-02,26,40.8571
2020-08-03,25,37.5714
2020-08-04,70,42.4286
2020-08-05,16,37.2857
2020-08-06,38,36.7143
2020-08-07,50,37.0
2020-08-08,24,35.5714
2020-08-09,22,35.0
2020-08-10,57,39.5714
2020-08-11,35,34.5714
2020-08-12,25,35.8571
2020-08-13,38,35.8571
2020-08-14,34,33.5714
2020-08-15,27,34.0
2020-08-16,14,32.8571
2020-08-17,39,30.2857
2020-08-18,21,28.2857
2020-08-19,44,31.0
2020-08-20,37,30.8571
2020-08-21,22,29.1429
2020-08-22,18,27.8571
2020-08-23,14,27.8571
2020-08-24,42,28.2857
2020-08-25,39,30.8571
2020-08-26,15,26.7143
2020-08-27,39,27.0
2020-08-28,32,28.4286
2020-08-29,17,28.2857
