date,newDeaths,rollingAvg
2020-03-24,0,0.0
2020-03-25,0,0.0
2020-03-26,0,0.0
2020-03-27,0,0.0
2020-03-28,0,0.0
2020-03-29,0,0.0
2020-03-30,0,0.0
2020-03-31,0,0.0
2020-04-01,1,0.1429
2020-04-02,0,0.1429
2020-04-03,0,0.1429
2020-04-04,0,0.1429
2020-04-05,0,0.1429
2020-04-06,4,0.7143
2020-04-07,0,0.7143
2020-04-08,1,0.7143
2020-04-09,1,0.8571
2020-04-10,2,1.1429
2020-04-11,2,1.4286
2020-04-12,3,1.8571
2020-04-13,1,1.4286
2020-04-14,6,2.2857
2020-04-15,0,2.1429
2020-04-16,5,2.7143
2020-04-17,6,3.2857
2020-04-18,1,3.1429
2020-04-19,1,2.8571
2020-04-20,1,2.8571
2020-04-21,3,2.4286
2020-04-22,5,3.1429
2020-04-23,10,3.8571
2020-04-24,33,7.7143
2020-04-25,9,8.8571
2020-04-26,19,11.4286
2020-04-27,8,12.4286
2020-04-28,10,13.4286
2020-04-29,24,16.1429
2020-04-30,68,24.4286
2020-05-01,39,25.2857
2020-05-02,43,30.1429
2020-05-03,11,29.0
2020-05-04,27,31.7143
2020-05-05,31,34.7143
2020-05-06,35,36.2857
2020-05-07,78,37.7143
2020-05-08,86,44.4286
2020-05-09,36,43.4286
2020-05-10,62,50.7143
2020-05-11,140,66.8571
2020-05-12,102,77.0
2020-05-13,108,87.4286
2020-05-14,73,86.7143
2020-05-15,80,85.8571
2020-05-16,48,87.5714
2020-05-17,57,86.8571
2020-05-18,112,82.8571
2020-05-19,162,91.4286
2020-05-20,224,108.0
2020-05-21,115,114.0
2020-05-22,110,118.2857
2020-05-23,147,132.4286
2020-05-24,140,144.2857
2020-05-25,141,148.4286
2020-05-26,91,138.2857
2020-05-27,83,118.1429
2020-05-28,180,127.4286
2020-05-29,115,128.1429
2020-05-30,20,110.0
2020-05-31,3,90.4286
2020-06-01,96,84.0
2020-06-02,125,88.8571
2020-06-03,101,91.4286
