date,newDeaths,rollingAvg
2020-03-24,0,0.0
2020-03-25,0,0.0
2020-03-26,0,0.0
2020-03-27,0,0.0
2020-03-28,0,0.0
2020-03-29,0,0.0
2020-03-30,0,0.0
2020-03-31,1,0.1429
2020-04-01,0,0.1429
2020-04-02,0,0.1429
2020-04-03,0,0.1429
2020-04-04,2,0.4286
2020-04-05,1,0.5714
2020-04-06,0,0.5714
2020-04-07,0,0.4286
2020-04-08,3,0.8571
2020-04-09,4,1.4286
2020-04-10,0,1.4286
2020-04-11,2,1.4286
2020-04-12,0,1.2857
2020-04-13,3,1.7143
2020-04-14,5,2.4286
2020-04-15,3,2.4286
2020-04-16,2,2.1429
2020-04-17,2,2.4286
2020-04-18,1,2.2857
2020-04-19,3,2.7143
2020-04-20,1,2.4286
2020-04-21,6,2.5714
2020-04-22,1,2.2857
2020-04-23,4,2.5714
2020-04-24,2,2.5714
2020-04-25,3,2.8571
2020-04-26,1,2.5714
2020-04-27,3,2.8571
2020-04-28,4,2.5714
2020-04-29,5,3.1429
2020-04-30,5,3.2857
2020-05-01,7,4.0
2020-05-02,2,3.8571
2020-05-03,3,4.1429
2020-05-04,6,4.5714
2020-05-05,7,5.0
2020-05-06,9,5.5714
2020-05-07,10,6.2857
2020-05-08,3,5.7143
2020-05-09,10,6.8571
2020-05-10,11,8.0
2020-05-11,4,7.7143
2020-05-12,15,8.8571
2020-05-13,3,8.0
2020-05-14,3,7.0
2020-05-15,10,8.0
2020-05-16,13,8.4286
2020-05-17,11,8.4286
2020-05-18,13,9.7143
2020-05-19,12,9.2857
2020-05-20,11,10.4286
2020-05-21,15,12.1429
2020-05-22,3,11.1429
2020-05-23,10,10.7143
2020-05-24,14,11.1429
2020-05-25,7,10.2857
2020-05-26,7,9.5714
2020-05-27,12,9.7143
2020-05-28,20,10.4286
2020-05-29,9,11.2857
2020-05-30,20,12.7143
2020-05-31,13,12.5714
2020-06-01,10,13.0
2020-06-02,9,13.2857
2020-06-03,35,16.5714
