date,newDeaths,rollingAvg
2020-03-18,0,0.0
2020-03-19,0,0.0
2020-03-20,0,0.0
2020-03-21,0,0.0
2020-03-22,0,0.0
2020-03-23,0,0.0
2020-03-24,0,0.0
2020-03-25,1,0.1429
2020-03-26,2,0.4286
2020-03-27,1,0.5714
2020-03-28,1,0.7143
2020-03-29,0,0.7143
2020-03-30,1,0.8571
2020-03-31,0,0.8571
2020-04-01,2,1.0
2020-04-02,1,0.8571
2020-04-03,1,0.8571
2020-04-04,4,1.2857
2020-04-05,7,2.2857
2020-04-06,9,3.4286
2020-04-07,4,4.0
2020-04-08,12,5.4286
2020-04-09,10,6.7143
2020-04-10,9,7.8571
2020-04-11,7,8.2857
2020-04-12,13,9.1429
2020-04-13,17,10.2857
2020-04-14,13,11.5714
2020-04-15,28,13.8571
2020-04-16,17,14.8571
2020-04-17,26,17.2857
2020-04-18,19,19.0
2020-04-19,11,18.7143
2020-04-20,18,18.8571
2020-04-21,26,20.7143
2020-04-22,22,19.8571
2020-04-23,30,21.7143
2020-04-24,40,23.7143
2020-04-25,29,25.1429
2020-04-26,34,28.4286
2020-04-27,35,30.8571
2020-04-28,58,35.4286
2020-04-29,30,36.5714
2020-04-30,27,36.1429
2020-05-01,38,35.8571
2020-05-02,25,35.2857
2020-05-03,24,33.8571
2020-05-04,39,34.4286
2020-05-05,58,34.4286
2020-05-06,54,37.8571
2020-05-07,42,40.0
2020-05-08,82,46.2857
2020-05-09,45,49.1429
2020-05-10,75,56.4286
2020-05-11,40,56.5714
2020-05-12,70,58.2857
2020-05-13,67,60.1429
2020-05-14,74,64.7143
2020-05-15,83,64.8571
2020-05-16,80,69.8571
2020-05-17,55,67.0
2020-05-18,124,79.0
2020-05-19,101,83.4286
2020-05-20,93,87.1429
2020-05-21,91,89.5714
2020-05-22,132,96.5714
2020-05-23,87,97.5714
2020-05-24,56,97.7143
2020-05-25,48,86.8571
2020-05-26,80,83.8571
2020-05-27,140,90.5714
2020-05-28,98,91.5714
2020-05-29,103,87.4286
2020-05-30,71,85.1429
2020-05-31,67,86.7143
2020-06-01,68,89.5714
2020-06-02,58,86.4286
2020-06-03,79,77.7143
2020-06-04,122,81.1429
2020-06-05,71,76.5714
2020-06-06,65,75.7143
2020-06-07,35,71.1429
2020-06-08,45,67.8571
2020-06-09,103,74.2857
2020-06-10,78,74.1429
2020-06-11,102,71.2857
2020-06-12,61,69.8571
2020-06-13,90,73.4286
2020-06-14,71,78.5714
2020-06-15,31,76.5714
2020-06-16,73,72.2857
2020-06-17,50,68.2857
2020-06-18,48,60.5714
2020-06-19,45,58.2857
2020-06-20,46,52.0
2020-06-21,86,54.1429
2020-06-22,18,52.2857
2020-06-23,87,54.2857
2020-06-24,86,59.4286
2020-06-25,63,61.5714
2020-06-26,122,72.5714
2020-06-27,98,80.0
2020-06-28,43,73.8571
2020-06-29,31,75.7143
2020-06-30,47,70.0
2020-07-01,65,67.0
2020-07-02,74,68.5714
2020-07-03,100,65.4286
2020-07-04,48,58.2857
2020-07-05,27,56.0
2020-07-06,20,54.4286
2020-07-07,71,57.8571
2020-07-08,89,61.2857
2020-07-09,86,63.0
2020-07-10,73,59.1429
2020-07-11,74,62.8571
2020-07-12,39,64.5714
2020-07-13,57,69.8571
2020-07-14,63,68.7143
2020-07-15,57,64.1429
2020-07-16,64,61.0
2020-07-17,33,55.2857
2020-07-18,59,53.1429
2020-07-19,56,55.5714
2020-07-20,52,54.8571
2020-07-21,53,53.4286
2020-07-22,63,54.2857
2020-07-23,59,53.5714
2020-07-24,26,52.5714
2020-07-25,62,53.0
2020-07-26,53,52.5714
2020-07-27,24,48.5714
2020-07-28,45,47.4286
2020-07-29,63,47.4286
2020-07-30,42,45.0
2020-07-31,31,45.7143
2020-08-01,40,42.5714
2020-08-02,37,40.2857
2020-08-03,35,41.8571
2020-08-04,48,42.2857
2020-08-05,41,39.1429
2020-08-06,70,43.1429
2020-08-07,39,44.2857
2020-08-08,53,46.1429
2020-08-09,50,48.0
2020-08-10,0,43.0
2020-08-11,38,41.5714
2020-08-12,41,41.5714
2020-08-13,35,36.5714
2020-08-14,27,34.8571
2020-08-15,45,33.7143
2020-08-16,32,31.1429
2020-08-17,22,34.2857
2020-08-18,42,34.8571
2020-08-19,28,33.0
2020-08-20,23,31.2857
2020-08-21,32,32.0
2020-08-22,29,29.7143
2020-08-23,26,28.8571
2020-08-24,9,27.0
2020-08-25,26,24.7143
2020-08-26,35,25.7143
2020-08-27,20,25.2857
2020-08-28,32,25.2857
2020-08-29,35,26.1429
2020-08-30,27,26.2857
2020-08-31,19,27.7143
2020-09-01,21,27.0
2020-09-02,42,28.0
2020-09-03,-37,19.8571
2020-09-04,26,19.0
