date,newDeaths,rollingAvg
2020-03-25,0,0.0
2020-03-26,0,0.0
2020-03-27,1,0.1429
2020-03-28,0,0.1429
2020-03-29,2,0.4286
2020-03-30,1,0.5714
2020-03-31,0,0.5714
2020-04-01,0,0.5714
2020-04-02,0,0.5714
2020-04-03,0,0.4286
2020-04-04,0,0.4286
2020-04-05,0,0.1429
2020-04-06,0,0.0
2020-04-07,1,0.1429
2020-04-08,1,0.2857
2020-04-09,1,0.4286
2020-04-10,0,0.4286
2020-04-11,0,0.4286
2020-04-12,0,0.4286
2020-04-13,1,0.5714
2020-04-14,0,0.4286
2020-04-15,0,0.2857
2020-04-16,0,0.1429
2020-04-17,1,0.2857
2020-04-18,1,0.4286
2020-04-19,2,0.7143
2020-04-20,2,0.8571
2020-04-21,1,1.0
2020-04-22,0,1.0
2020-04-23,1,1.1429
2020-04-24,1,1.1429
2020-04-25,1,1.1429
2020-04-26,2,1.1429
2020-04-27,1,1.0
2020-04-28,3,1.2857
2020-04-29,0,1.2857
2020-04-30,0,1.1429
2020-05-01,2,1.2857
2020-05-02,2,1.4286
2020-05-03,0,1.1429
2020-05-04,1,1.1429
2020-05-05,1,0.8571
2020-05-06,5,1.5714
2020-05-07,2,1.8571
2020-05-08,1,1.7143
2020-05-09,4,2.0
2020-05-10,3,2.4286
2020-05-11,4,2.8571
2020-05-12,8,3.8571
2020-05-13,3,3.5714
2020-05-14,0,3.2857
2020-05-15,5,3.8571
2020-05-16,7,4.2857
2020-05-17,8,5.0
2020-05-18,5,5.1429
2020-05-19,2,4.2857
2020-05-20,4,4.4286
2020-05-21,2,4.7143
2020-05-22,6,4.8571
2020-05-23,8,5.0
2020-05-24,3,4.2857
2020-05-25,9,4.8571
2020-05-26,15,6.7143
2020-05-27,4,6.7143
2020-05-28,8,7.5714
2020-05-29,11,8.2857
2020-05-30,4,7.7143
2020-05-31,7,8.2857
2020-06-01,12,8.7143
2020-06-02,12,8.2857
2020-06-03,10,9.1429
2020-06-04,15,10.1429
2020-06-05,7,9.5714
2020-06-06,15,11.1429
2020-06-07,15,12.2857
2020-06-08,11,12.1429
2020-06-09,18,13.0
2020-06-10,16,13.8571
2020-06-11,18,14.2857
2020-06-12,18,15.8571
2020-06-13,25,17.2857
2020-06-14,14,17.1429
2020-06-15,19,18.2857
2020-06-16,5,16.4286
2020-06-17,23,17.4286
2020-06-18,14,16.8571
2020-06-19,24,17.7143
2020-06-20,26,17.8571
2020-06-21,17,18.2857
2020-06-22,15,17.7143
2020-06-23,17,19.4286
2020-06-24,12,17.8571
2020-06-25,28,19.8571
2020-06-26,18,19.0
2020-06-27,23,18.5714
2020-06-28,28,20.1429
2020-06-29,20,20.8571
2020-06-30,23,21.7143
2020-07-01,11,21.5714
2020-07-02,29,21.7143
2020-07-03,36,24.2857
2020-07-04,22,24.1429
2020-07-05,25,23.7143
2020-07-06,25,24.4286
2020-07-07,24,24.5714
2020-07-08,26,26.7143
2020-07-09,12,24.2857
2020-07-10,18,21.7143
2020-07-11,22,21.7143
2020-07-12,24,21.5714
2020-07-13,32,22.5714
2020-07-14,27,23.0
2020-07-15,24,22.7143
2020-07-16,22,24.1429
2020-07-17,18,24.1429
2020-07-18,17,23.4286
2020-07-19,18,22.5714
2020-07-20,22,21.1429
2020-07-21,18,19.8571
2020-07-22,26,20.1429
2020-07-23,31,21.4286
2020-07-24,13,20.7143
2020-07-25,15,20.4286
2020-07-26,16,20.1429
2020-07-27,19,19.7143
2020-07-28,14,19.1429
2020-07-29,12,17.1429
2020-07-30,25,16.2857
2020-07-31,25,18.0
2020-08-01,15,18.0
2020-08-02,16,18.0
2020-08-03,16,17.5714
2020-08-04,15,17.7143
2020-08-05,20,18.8571
2020-08-06,16,17.5714
2020-08-07,17,16.4286
2020-08-08,11,15.8571
2020-08-09,23,16.8571
2020-08-10,23,17.8571
2020-08-11,22,18.8571
2020-08-12,18,18.5714
2020-08-13,15,18.4286
2020-08-14,13,17.8571
2020-08-15,14,18.2857
2020-08-16,11,16.5714
2020-08-17,18,15.8571
2020-08-18,16,15.0
2020-08-19,7,13.4286
2020-08-20,12,13.0
2020-08-21,29,15.2857
2020-08-22,13,15.1429
2020-08-23,10,15.0
2020-08-24,17,14.8571
2020-08-25,13,14.4286
2020-08-26,11,15.0
2020-08-27,20,16.1429
2020-08-28,19,14.7143
2020-08-29,21,15.8571
2020-08-30,0,14.4286
2020-08-31,18,14.5714
2020-09-01,3,13.1429
2020-09-02,9,12.8571
2020-09-03,29,14.1429
2020-09-04,0,11.4286
2020-09-05,9,9.7143
2020-09-06,8,10.8571
2020-09-07,14,10.2857
2020-09-08,9,11.1429
2020-09-09,7,10.8571
2020-09-10,16,9.0
2020-09-11,11,10.5714
2020-09-12,9,10.5714
2020-09-13,6,10.2857
2020-09-14,15,10.4286
2020-09-15,8,10.2857
2020-09-16,11,10.8571
2020-09-17,5,9.2857
2020-09-18,13,9.5714
2020-09-19,12,10.0
2020-09-20,1,9.2857
2020-09-21,13,9.0
2020-09-22,10,9.2857
2020-09-23,12,9.4286
2020-09-24,12,10.4286
2020-09-25,6,9.4286
2020-09-26,4,8.2857
2020-09-27,6,9.0
2020-09-28,6,8.0
2020-09-29,15,8.7143
2020-09-30,5,7.7143
2020-10-01,5,6.7143
2020-10-02,12,7.5714
2020-10-03,5,7.7143
2020-10-04,7,7.8571
2020-10-05,13,8.8571
2020-10-06,11,8.2857
2020-10-07,8,8.7143
2020-10-08,9,9.2857
2020-10-09,9,8.8571
2020-10-10,11,9.7143
2020-10-11,13,10.5714
2020-10-12,7,9.7143
2020-10-13,12,9.8571
2020-10-14,12,10.4286
2020-10-15,8,10.2857
2020-10-16,9,10.2857
2020-10-17,8,9.8571
2020-10-18,9,9.2857
2020-10-19,9,9.5714
