date,newDeaths,rollingAvg
2020-03-18,0,0.0
2020-03-19,0,0.0
2020-03-20,0,0.0
2020-03-21,0,0.0
2020-03-22,0,0.0
2020-03-23,0,0.0
2020-03-24,0,0.0
2020-03-25,0,0.0
2020-03-26,0,0.0
2020-03-27,2,0.2857
2020-03-28,0,0.2857
2020-03-29,0,0.2857
2020-03-30,1,0.4286
2020-03-31,0,0.4286
2020-04-01,0,0.4286
2020-04-02,1,0.5714
2020-04-03,1,0.4286
2020-04-04,2,0.7143
2020-04-05,3,1.1429
2020-04-06,4,1.5714
2020-04-07,1,1.7143
2020-04-08,2,2.0
2020-04-09,7,2.8571
2020-04-10,2,3.0
2020-04-11,1,2.8571
2020-04-12,4,3.0
2020-04-13,2,2.7143
2020-04-14,6,3.4286
2020-04-15,2,3.4286
2020-04-16,2,2.7143
2020-04-17,1,2.5714
2020-04-18,5,3.1429
2020-04-19,3,3.0
2020-04-20,1,2.8571
2020-04-21,2,2.2857
2020-04-22,5,2.7143
2020-04-23,2,2.7143
2020-04-24,5,3.2857
2020-04-25,4,3.1429
2020-04-26,4,3.2857
2020-04-27,2,3.4286
2020-04-28,2,3.4286
2020-04-29,5,3.4286
2020-04-30,4,3.7143
2020-05-01,4,3.5714
2020-05-02,1,3.1429
2020-05-03,3,3.0
2020-05-04,1,2.8571
2020-05-05,5,3.2857
2020-05-06,2,2.8571
2020-05-07,3,2.7143
2020-05-08,2,2.4286
2020-05-09,1,2.4286
2020-05-10,2,2.2857
2020-05-11,2,2.4286
2020-05-12,2,2.0
2020-05-13,4,2.2857
2020-05-14,2,2.1429
2020-05-15,2,2.1429
2020-05-16,2,2.2857
2020-05-17,1,2.1429
2020-05-18,3,2.2857
2020-05-19,3,2.4286
2020-05-20,7,2.8571
2020-05-21,4,3.1429
2020-05-22,5,3.5714
2020-05-23,4,3.8571
2020-05-24,3,4.1429
2020-05-25,4,4.2857
2020-05-26,4,4.4286
2020-05-27,3,3.8571
2020-05-28,7,4.2857
2020-05-29,4,4.1429
2020-05-30,8,4.7143
2020-05-31,1,4.4286
2020-06-01,8,5.0
2020-06-02,9,5.7143
2020-06-03,6,6.1429
2020-06-04,10,6.5714
2020-06-05,13,7.8571
2020-06-06,6,7.5714
2020-06-07,5,8.1429
2020-06-08,6,7.8571
2020-06-09,10,8.0
2020-06-10,22,10.2857
2020-06-11,6,9.7143
2020-06-12,14,9.8571
2020-06-13,18,11.5714
2020-06-14,14,12.8571
2020-06-15,8,13.1429
2020-06-16,30,16.0
2020-06-17,22,16.0
2020-06-18,21,18.1429
2020-06-19,13,18.0
2020-06-20,9,16.7143
2020-06-21,14,16.7143
2020-06-22,18,18.1429
2020-06-23,29,18.0
2020-06-24,23,18.1429
2020-06-25,18,17.7143
2020-06-26,25,19.4286
2020-06-27,11,19.7143
2020-06-28,24,21.1429
2020-06-29,14,20.5714
2020-06-30,36,21.5714
2020-07-01,14,20.2857
2020-07-02,43,23.8571
2020-07-03,22,23.4286
2020-07-04,35,26.8571
2020-07-05,32,28.0
2020-07-06,25,29.5714
2020-07-07,31,28.8571
2020-07-08,44,33.1429
2020-07-09,36,32.1429
2020-07-10,47,35.7143
2020-07-11,38,36.1429
2020-07-12,29,35.7143
2020-07-13,44,38.4286
2020-07-14,57,42.1429
2020-07-15,54,43.5714
2020-07-16,46,45.0
2020-07-17,46,44.8571
2020-07-18,16,41.7143
2020-07-19,19,40.2857
2020-07-20,30,38.2857
2020-07-21,58,38.4286
2020-07-22,71,40.8571
2020-07-23,59,42.7143
2020-07-24,53,43.7143
2020-07-25,55,49.2857
2020-07-26,18,49.1429
2020-07-27,32,49.4286
2020-07-28,40,46.8571
2020-07-29,71,46.8571
2020-07-30,47,45.1429
2020-07-31,59,46.0
2020-08-01,55,46.0
2020-08-02,30,47.7143
2020-08-03,45,49.5714
2020-08-04,78,55.0
2020-08-05,36,50.0
2020-08-06,60,51.8571
2020-08-07,121,60.7143
2020-08-08,-26,49.1429
2020-08-09,26,48.5714
2020-08-10,53,49.7143
2020-08-11,47,45.2857
2020-08-12,71,50.2857
2020-08-13,60,50.2857
2020-08-14,36,38.1429
2020-08-15,53,49.4286
2020-08-16,26,49.4286
2020-08-17,42,47.8571
2020-08-18,48,48.0
2020-08-19,27,41.7143
2020-08-20,83,45.0
2020-08-21,37,45.1429
2020-08-22,33,42.2857
2020-08-23,16,40.8571
2020-08-24,33,39.5714
2020-08-25,52,40.1429
2020-08-26,40,42.0
2020-08-27,51,37.4286
2020-08-28,41,38.0
2020-08-29,40,39.0
2020-08-30,17,39.1429
2020-08-31,39,40.0
2020-09-01,55,40.4286
2020-09-02,54,42.4286
2020-09-03,50,42.2857
2020-09-04,56,44.4286
