date,newDeaths,rollingAvg
2020-03-11,0,0.0
2020-03-12,0,0.0
2020-03-13,0,0.0
2020-03-14,0,0.0
2020-03-15,0,0.0
2020-03-16,0,0.0
2020-03-17,0,0.0
2020-03-18,0,0.0
2020-03-19,2,0.2857
2020-03-20,0,0.2857
2020-03-21,1,0.4286
2020-03-22,0,0.4286
2020-03-23,1,0.5714
2020-03-24,2,0.8571
2020-03-25,2,1.1429
2020-03-26,1,1.0
2020-03-27,1,1.1429
2020-03-28,3,1.4286
2020-03-29,4,2.0
2020-03-30,1,2.0
2020-03-31,5,2.4286
2020-04-01,5,2.8571
2020-04-02,13,4.5714
2020-04-03,6,5.2857
2020-04-04,11,6.4286
2020-04-05,6,6.7143
2020-04-06,7,7.5714
2020-04-07,18,9.4286
2020-04-08,17,11.1429
2020-04-09,16,11.5714
2020-04-10,25,14.2857
2020-04-11,8,13.8571
2020-04-12,15,15.1429
2020-04-13,18,16.7143
2020-04-14,36,19.2857
2020-04-15,41,22.7143
2020-04-16,36,25.5714
2020-04-17,40,27.7143
2020-04-18,46,33.1429
2020-04-19,15,33.1429
2020-04-20,20,33.4286
2020-04-21,39,33.8571
2020-04-22,29,32.1429
2020-04-23,40,32.7143
2020-04-24,40,32.7143
2020-04-25,45,32.5714
2020-04-26,30,34.7143
2020-04-27,32,36.4286
2020-04-28,61,39.5714
2020-04-29,56,43.4286
2020-04-30,60,46.2857
2020-05-01,67,50.1429
2020-05-02,50,50.8571
2020-05-03,48,53.4286
2020-05-04,46,55.4286
2020-05-05,58,55.0
2020-05-06,82,58.7143
2020-05-07,189,77.1429
2020-05-08,109,83.1429
2020-05-09,150,97.4286
2020-05-10,61,99.2857
2020-05-11,56,100.7143
2020-05-12,158,115.0
2020-05-13,122,120.7143
2020-05-14,197,121.8571
2020-05-15,191,133.5714
2020-05-16,176,137.2857
2020-05-17,101,143.0
2020-05-18,137,154.5714
2020-05-19,227,164.4286
2020-05-20,158,169.5714
2020-05-21,175,166.4286
2020-05-22,245,174.1429
2020-05-23,248,184.4286
2020-05-24,88,182.5714
2020-05-25,112,179.0
2020-05-26,256,183.1429
2020-05-27,244,195.4286
2020-05-28,251,206.2857
2020-05-29,223,203.1429
2020-05-30,198,196.0
2020-05-31,67,193.0
2020-06-01,118,193.8571
2020-06-02,224,189.2857
2020-06-03,324,200.7143
2020-06-04,317,210.1429
2020-06-05,146,199.1429
2020-06-06,166,194.5714
2020-06-07,68,194.7143
2020-06-08,74,188.4286
2020-06-09,147,177.4286
2020-06-10,210,161.1429
2020-06-11,225,148.0
2020-06-12,54,134.8571
2020-06-13,175,136.1429
2020-06-14,80,137.8571
2020-06-15,56,135.2857
2020-06-16,239,148.4286
2020-06-17,171,142.8571
2020-06-18,274,149.8571
2020-06-19,183,168.2857
2020-06-20,229,176.0
2020-06-21,51,171.8571
2020-06-22,58,172.1429
2020-06-23,220,169.4286
2020-06-24,142,165.2857
2020-06-25,155,148.2857
2020-06-26,137,141.7143
2020-06-27,202,137.8571
2020-06-28,30,134.8571
2020-06-29,29,130.7143
2020-06-30,232,132.4286
2020-07-01,118,129.0
2020-07-02,134,126.0
2020-07-03,168,130.4286
2020-07-04,124,119.2857
2020-07-05,43,121.1429
2020-07-06,31,121.4286
2020-07-07,183,114.4286
2020-07-08,89,110.2857
2020-07-09,145,111.8571
2020-07-10,165,111.4286
2020-07-11,126,111.7143
2020-07-12,9,106.8571
2020-07-13,59,110.8571
2020-07-14,150,106.1429
2020-07-15,133,112.4286
2020-07-16,92,104.8571
2020-07-17,70,91.2857
2020-07-18,0,73.2857
2020-07-19,195,99.8571
2020-07-20,47,98.1429
2020-07-21,132,95.5714
2020-07-22,150,98.0
2020-07-23,92,98.0
2020-07-24,119,105.0
2020-07-25,154,127.0
2020-07-26,27,103.0
2020-07-27,41,102.1429
2020-07-28,157,105.7143
2020-07-29,165,107.8571
2020-07-30,150,116.1429
2020-07-31,129,117.5714
2020-08-01,79,106.8571
2020-08-02,16,105.2857
2020-08-03,32,104.0
2020-08-04,111,97.4286
2020-08-05,140,93.8571
2020-08-06,86,84.7143
2020-08-07,87,78.7143
2020-08-08,42,73.4286
2020-08-09,10,72.5714
2020-08-10,28,72.0
2020-08-11,104,71.0
2020-08-12,83,62.8571
2020-08-13,117,67.2857
2020-08-14,95,68.4286
2020-08-15,19,65.1429
2020-08-16,36,68.8571
2020-08-17,4,65.4286
2020-08-18,162,73.7143
2020-08-19,185,88.2857
2020-08-20,161,94.5714
2020-08-21,128,99.2857
2020-08-22,65,105.8571
2020-08-23,25,104.2857
2020-08-24,100,118.0
2020-08-25,168,118.8571
2020-08-26,140,112.4286
2020-08-27,159,112.1429
2020-08-28,0,93.8571
2020-08-29,157,107.0
2020-08-30,11,105.0
2020-08-31,38,96.1429
2020-09-01,152,93.8571
2020-09-02,98,87.8571
2020-09-03,79,76.4286
2020-09-04,73,86.8571
2020-09-05,59,72.8571
2020-09-06,42,77.2857
2020-09-07,25,75.4286
2020-09-08,53,61.2857
2020-09-09,124,65.0
2020-09-10,101,68.1429
2020-09-11,12,59.4286
2020-09-12,102,65.5714
2020-09-13,5,60.2857
2020-09-14,13,58.5714
2020-09-15,177,76.2857
2020-09-16,162,81.7143
2020-09-17,111,83.1429
2020-09-18,122,98.8571
2020-09-19,59,92.7143
2020-09-20,43,98.1429
2020-09-21,50,103.4286
2020-09-22,71,88.2857
2020-09-23,113,81.2857
2020-09-24,126,83.4286
2020-09-25,129,84.4286
2020-09-26,81,87.5714
2020-09-27,31,85.8571
2020-09-28,13,80.5714
2020-09-29,97,84.2857
2020-09-30,99,82.2857
2020-10-01,80,75.7143
2020-10-02,98,71.2857
2020-10-03,84,71.7143
2020-10-04,20,70.1429
2020-10-05,11,69.8571
2020-10-06,103,70.7143
2020-10-07,86,68.8571
2020-10-08,141,77.5714
2020-10-09,112,79.5714
2020-10-10,62,76.4286
2020-10-11,24,77.0
2020-10-12,4,76.0
2020-10-13,24,64.7143
2020-10-14,104,67.2857
2020-10-15,115,63.5714
2020-10-16,99,61.7143
2020-10-17,61,61.5714
2020-10-18,50,65.2857
2020-10-19,5,65.4286
2020-10-20,66,71.4286
2020-10-21,109,72.1429
2020-10-22,76,66.5714
2020-10-23,94,65.8571
2020-10-24,56,65.1429
2020-10-25,32,62.5714
2020-10-26,10,63.2857
2020-10-27,79,65.1429
2020-10-28,84,61.5714
2020-10-29,86,63.0
2020-10-30,103,64.2857
2020-10-31,35,61.2857
2020-11-01,11,58.2857
2020-11-02,25,60.4286
2020-11-03,15,51.2857
2020-11-04,108,54.7143
2020-11-05,90,55.2857
2020-11-06,0,40.5714
2020-11-07,56,43.5714
2020-11-08,0,42.0
2020-11-09,0,38.4286
