date,newDeaths,rollingAvg
2020-03-18,0,0.0
2020-03-19,0,0.0
2020-03-20,0,0.0
2020-03-21,0,0.0
2020-03-22,0,0.0
2020-03-23,0,0.0
2020-03-24,0,0.0
2020-03-25,0,0.0
2020-03-26,0,0.0
2020-03-27,0,0.0
2020-03-28,1,0.1429
2020-03-29,0,0.1429
2020-03-30,0,0.1429
2020-03-31,0,0.1429
2020-04-01,1,0.2857
2020-04-02,0,0.2857
2020-04-03,2,0.5714
2020-04-04,2,0.7143
2020-04-05,1,0.8571
2020-04-06,0,0.8571
2020-04-07,1,1.0
2020-04-08,3,1.2857
2020-04-09,0,1.2857
2020-04-10,0,1.0
2020-04-11,2,1.0
2020-04-12,4,1.4286
2020-04-13,1,1.5714
2020-04-14,1,1.5714
2020-04-15,1,1.2857
2020-04-16,3,1.7143
2020-04-17,1,1.8571
2020-04-18,2,1.8571
2020-04-19,1,1.4286
2020-04-20,1,1.4286
2020-04-21,1,1.4286
2020-04-22,5,2.0
2020-04-23,4,2.1429
2020-04-24,2,2.2857
2020-04-25,4,2.5714
2020-04-26,1,2.5714
2020-04-27,3,2.8571
2020-04-28,6,3.5714
2020-04-29,2,3.1429
2020-04-30,0,2.5714
2020-05-01,3,2.7143
2020-05-02,2,2.4286
2020-05-03,1,2.4286
2020-05-04,6,2.8571
2020-05-05,4,2.5714
2020-05-06,4,2.8571
2020-05-07,5,3.5714
2020-05-08,6,4.0
2020-05-09,0,3.7143
2020-05-10,1,3.7143
2020-05-11,5,3.5714
2020-05-12,12,4.7143
2020-05-13,12,5.8571
2020-05-14,5,5.8571
2020-05-15,0,5.0
2020-05-16,14,7.0
2020-05-17,3,7.2857
2020-05-18,21,9.5714
2020-05-19,10,9.2857
2020-05-20,8,8.7143
2020-05-21,3,8.4286
2020-05-22,3,8.8571
2020-05-23,0,6.8571
2020-05-24,28,10.4286
2020-05-25,8,8.5714
2020-05-26,22,10.2857
2020-05-27,0,9.1429
2020-05-28,26,12.4286
2020-05-29,37,17.2857
2020-05-30,0,17.2857
2020-05-31,18,15.8571
2020-06-01,18,17.2857
2020-06-02,26,17.8571
2020-06-03,11,19.4286
2020-06-04,9,17.0
2020-06-05,23,15.0
2020-06-06,0,15.0
2020-06-07,21,15.4286
2020-06-08,28,16.8571
2020-06-09,28,17.1429
2020-06-10,9,16.8571
2020-06-11,19,18.2857
2020-06-12,18,17.5714
2020-06-13,1,17.7143
2020-06-14,19,17.4286
2020-06-15,32,18.0
2020-06-16,41,19.8571
2020-06-17,29,22.7143
2020-06-18,38,25.4286
2020-06-19,4,23.4286
2020-06-20,0,23.2857
2020-06-21,33,25.2857
2020-06-22,20,23.5714
2020-06-23,64,26.8571
2020-06-24,51,30.0
2020-06-25,31,29.0
2020-06-26,13,30.2857
2020-06-27,28,34.2857
2020-06-28,62,38.4286
2020-06-29,40,41.2857
2020-06-30,33,36.8571
2020-07-01,36,34.7143
2020-07-02,69,40.1429
2020-07-03,28,42.2857
2020-07-04,8,39.4286
2020-07-05,41,36.4286
2020-07-06,43,36.8571
2020-07-07,35,37.1429
2020-07-08,19,34.7143
2020-07-09,11,26.4286
2020-07-10,24,25.8571
2020-07-11,8,25.8571
2020-07-12,16,22.2857
2020-07-13,39,21.7143
2020-07-14,30,21.0
2020-07-15,28,22.2857
2020-07-16,25,24.2857
2020-07-17,45,27.2857
2020-07-18,0,26.1429
2020-07-19,13,25.7143
2020-07-20,38,25.5714
2020-07-21,14,23.2857
2020-07-22,14,21.2857
2020-07-23,16,20.0
2020-07-24,6,14.4286
2020-07-25,0,14.4286
2020-07-26,25,16.1429
2020-07-27,17,13.1429
2020-07-28,21,14.1429
2020-07-29,16,14.4286
2020-07-30,26,15.8571
2020-07-31,102,29.5714
2020-08-01,4,30.1429
2020-08-02,11,28.1429
2020-08-03,32,30.2857
2020-08-04,7,28.2857
2020-08-05,21,29.0
2020-08-06,11,26.8571
2020-08-07,5,13.0
2020-08-08,0,12.4286
2020-08-09,7,11.8571
2020-08-10,36,12.4286
2020-08-11,6,12.2857
2020-08-12,17,11.7143
2020-08-13,5,10.8571
2020-08-14,21,13.1429
2020-08-15,0,13.1429
2020-08-16,19,14.8571
2020-08-17,21,12.7143
2020-08-18,24,15.2857
2020-08-19,7,13.8571
2020-08-20,21,16.1429
2020-08-21,11,14.7143
2020-08-22,0,14.7143
2020-08-23,8,13.1429
2020-08-24,19,12.8571
2020-08-25,23,12.7143
2020-08-26,4,12.2857
2020-08-27,15,11.4286
2020-08-28,8,11.0
2020-08-29,0,11.0
2020-08-30,16,12.1429
2020-08-31,9,10.7143
2020-09-01,10,8.8571
2020-09-02,3,8.7143
2020-09-03,3,7.0
2020-09-04,4,6.4286
