date,newDeaths,rollingAvg
2020-03-26,0,0.0
2020-03-27,0,0.0
2020-03-28,0,0.0
2020-03-29,0,0.0
2020-03-30,1,0.1429
2020-03-31,0,0.1429
2020-04-01,0,0.1429
2020-04-02,0,0.1429
2020-04-03,0,0.1429
2020-04-04,0,0.1429
2020-04-05,0,0.1429
2020-04-06,0,0.0
2020-04-07,0,0.0
2020-04-08,0,0.0
2020-04-09,1,0.1429
2020-04-10,0,0.1429
2020-04-11,0,0.1429
2020-04-12,0,0.1429
2020-04-13,0,0.1429
2020-04-14,0,0.1429
2020-04-15,0,0.1429
2020-04-16,1,0.1429
2020-04-17,0,0.1429
2020-04-18,1,0.2857
2020-04-19,0,0.2857
2020-04-20,0,0.2857
2020-04-21,1,0.4286
2020-04-22,0,0.4286
2020-04-23,0,0.2857
2020-04-24,1,0.4286
2020-04-25,1,0.4286
2020-04-26,3,0.8571
2020-04-27,0,0.8571
2020-04-28,1,0.8571
2020-04-29,4,1.4286
2020-04-30,1,1.5714
2020-05-01,2,1.7143
2020-05-02,5,2.2857
2020-05-03,1,2.0
2020-05-04,1,2.1429
2020-05-05,4,2.5714
2020-05-06,4,2.5714
2020-05-07,4,3.0
2020-05-08,2,3.0
2020-05-09,2,2.5714
2020-05-10,2,2.7143
2020-05-11,4,3.1429
2020-05-12,3,3.0
2020-05-13,0,2.4286
2020-05-14,6,2.7143
2020-05-15,6,3.2857
2020-05-16,7,4.0
2020-05-17,5,4.4286
2020-05-18,9,5.1429
2020-05-19,5,5.4286
2020-05-20,2,5.7143
2020-05-21,11,6.4286
2020-05-22,5,6.2857
2020-05-23,9,6.5714
2020-05-24,6,6.7143
2020-05-25,0,5.4286
2020-05-26,12,6.4286
2020-05-27,4,6.7143
2020-05-28,5,5.8571
2020-05-29,3,5.5714
2020-05-30,6,5.1429
2020-05-31,5,5.0
2020-06-01,3,5.4286
2020-06-02,13,5.5714
2020-06-03,8,6.1429
2020-06-04,14,7.4286
2020-06-05,19,9.7143
2020-06-06,15,11.0
2020-06-07,7,11.2857
2020-06-08,10,12.2857
2020-06-09,10,11.8571
2020-06-10,12,12.4286
2020-06-11,26,14.1429
2020-06-12,3,11.8571
2020-06-13,13,11.5714
2020-06-14,15,12.7143
2020-06-15,8,12.4286
2020-06-16,14,13.0
2020-06-17,15,13.4286
2020-06-18,13,11.5714
2020-06-19,17,13.5714
2020-06-20,18,14.2857
2020-06-21,8,13.2857
2020-06-22,15,14.2857
2020-06-23,12,14.0
2020-06-24,11,13.4286
2020-06-25,12,13.2857
2020-06-26,9,12.1429
2020-06-27,5,10.2857
2020-06-28,5,9.8571
2020-06-29,14,9.7143
2020-06-30,18,10.5714
2020-07-01,5,9.7143
2020-07-02,7,9.0
2020-07-03,3,8.1429
2020-07-04,15,9.5714
2020-07-05,7,9.8571
2020-07-06,3,8.2857
2020-07-07,19,8.4286
2020-07-08,8,8.8571
2020-07-09,4,8.4286
2020-07-10,17,10.4286
2020-07-11,11,9.8571
2020-07-12,11,10.4286
2020-07-13,19,12.7143
2020-07-14,16,12.2857
2020-07-15,5,11.8571
2020-07-16,9,12.5714
2020-07-17,9,11.4286
2020-07-18,0,9.8571
2020-07-19,0,8.2857
2020-07-20,24,9.0
2020-07-21,17,9.1429
2020-07-22,31,12.8571
2020-07-23,26,15.2857
2020-07-24,17,16.4286
2020-07-25,9,17.7143
2020-07-26,4,18.2857
2020-07-27,16,17.1429
2020-07-28,10,16.1429
2020-07-29,15,13.8571
2020-07-30,9,11.4286
2020-07-31,8,10.1429
2020-08-01,9,10.1429
2020-08-02,3,10.0
2020-08-03,4,8.2857
2020-08-04,10,8.2857
2020-08-05,20,9.0
2020-08-06,5,8.4286
2020-08-07,11,8.8571
2020-08-08,6,8.4286
2020-08-09,3,8.4286
2020-08-10,1,8.0
2020-08-11,22,9.7143
2020-08-12,15,9.0
2020-08-13,12,10.0
2020-08-14,8,9.5714
2020-08-15,11,10.2857
2020-08-16,1,10.0
2020-08-17,4,10.4286
2020-08-18,9,8.5714
2020-08-19,11,8.0
2020-08-20,8,7.4286
2020-08-21,5,7.0
2020-08-22,11,7.0
2020-08-23,4,7.4286
2020-08-24,8,8.0
2020-08-25,14,8.7143
2020-08-26,13,9.0
2020-08-27,9,9.1429
2020-08-28,5,9.1429
2020-08-29,11,9.1429
2020-08-30,4,9.1429
