date,newDeaths,rollingAvg
2020-03-27,0,0.0
2020-03-28,0,0.0
2020-03-29,0,0.0
2020-03-30,0,0.0
2020-03-31,0,0.0
2020-04-01,0,0.0
2020-04-02,0,0.0
2020-04-03,1,0.1429
2020-04-04,0,0.1429
2020-04-05,0,0.1429
2020-04-06,0,0.1429
2020-04-07,0,0.1429
2020-04-08,0,0.1429
2020-04-09,1,0.2857
2020-04-10,1,0.2857
2020-04-11,0,0.2857
2020-04-12,0,0.2857
2020-04-13,0,0.2857
2020-04-14,0,0.2857
2020-04-15,0,0.2857
2020-04-16,0,0.1429
2020-04-17,0,0.0
2020-04-18,0,0.0
2020-04-19,0,0.0
2020-04-20,0,0.0
2020-04-21,0,0.0
2020-04-22,0,0.0
2020-04-23,0,0.0
2020-04-24,0,0.0
2020-04-25,1,0.1429
2020-04-26,0,0.1429
2020-04-27,0,0.1429
2020-04-28,2,0.4286
2020-04-29,0,0.4286
2020-04-30,1,0.5714
2020-05-01,1,0.7143
2020-05-02,1,0.7143
2020-05-03,2,1.0
2020-05-04,0,1.0
2020-05-05,0,0.7143
2020-05-06,2,1.0
2020-05-07,1,1.0
2020-05-08,2,1.1429
2020-05-09,2,1.2857
2020-05-10,3,1.4286
2020-05-11,3,1.8571
2020-05-12,4,2.4286
2020-05-13,1,2.2857
2020-05-14,8,3.2857
2020-05-15,3,3.4286
2020-05-16,9,4.4286
2020-05-17,2,4.2857
2020-05-18,9,5.1429
2020-05-19,4,5.1429
2020-05-20,0,5.0
2020-05-21,8,5.0
2020-05-22,11,6.1429
2020-05-23,-2,4.5714
2020-05-24,3,4.7143
2020-05-25,2,3.7143
2020-05-26,16,5.4286
2020-05-27,0,5.4286
2020-05-28,6,5.1429
2020-05-29,2,3.8571
2020-05-30,6,5.0
2020-05-31,0,4.5714
2020-06-01,4,4.8571
2020-06-02,4,3.1429
2020-06-03,0,3.1429
2020-06-04,15,4.4286
2020-06-05,0,4.1429
2020-06-06,3,3.7143
2020-06-07,3,4.1429
2020-06-08,23,6.8571
2020-06-09,14,8.2857
2020-06-10,6,9.1429
2020-06-11,4,7.5714
2020-06-12,5,8.2857
2020-06-13,3,8.2857
2020-06-14,3,8.2857
2020-06-15,13,6.8571
2020-06-16,8,6.0
2020-06-17,0,5.1429
2020-06-18,15,6.7143
2020-06-19,6,6.8571
2020-06-20,6,7.2857
2020-06-21,0,6.8571
2020-06-22,0,5.0
2020-06-23,8,5.0
2020-06-24,12,6.7143
2020-06-25,2,4.8571
2020-06-26,8,5.1429
2020-06-27,0,4.2857
2020-06-28,0,4.2857
2020-06-29,2,4.5714
2020-06-30,31,7.8571
2020-07-01,40,11.8571
2020-07-02,4,12.1429
2020-07-03,6,11.8571
2020-07-04,4,12.4286
2020-07-05,3,12.8571
2020-07-06,5,13.2857
2020-07-07,10,10.2857
2020-07-08,7,5.5714
2020-07-09,0,5.0
2020-07-10,3,4.5714
2020-07-11,0,4.0
2020-07-12,1,3.7143
2020-07-13,1,3.1429
2020-07-14,5,2.4286
2020-07-15,12,3.1429
2020-07-16,10,4.5714
2020-07-17,4,4.7143
2020-07-18,0,4.7143
2020-07-19,2,4.8571
2020-07-20,4,5.2857
2020-07-21,16,6.8571
2020-07-22,7,6.1429
2020-07-23,7,5.7143
2020-07-24,8,6.2857
2020-07-25,0,6.2857
2020-07-26,1,6.1429
2020-07-27,5,6.2857
2020-07-28,14,6.0
2020-07-29,8,6.1429
2020-07-30,4,5.7143
2020-07-31,8,5.7143
2020-08-01,0,5.7143
2020-08-02,0,5.5714
2020-08-03,15,7.0
2020-08-04,4,5.5714
2020-08-05,6,5.2857
2020-08-06,6,5.5714
2020-08-07,3,4.8571
2020-08-08,0,4.8571
2020-08-09,0,4.8571
2020-08-10,4,3.2857
2020-08-11,4,3.2857
2020-08-12,6,3.2857
2020-08-13,4,3.0
2020-08-14,3,3.0
2020-08-15,0,3.0
2020-08-16,0,3.0
2020-08-17,6,3.2857
2020-08-18,1,2.8571
2020-08-19,1,2.1429
2020-08-20,0,1.5714
2020-08-21,3,1.5714
2020-08-22,0,1.5714
2020-08-23,0,1.5714
2020-08-24,3,1.1429
2020-08-25,0,1.0
2020-08-26,4,1.4286
2020-08-27,1,1.5714
2020-08-28,0,1.1429
2020-08-29,0,1.1429
2020-08-30,0,1.1429
2020-08-31,6,1.5714
2020-09-01,2,1.8571
2020-09-02,1,1.4286
2020-09-03,2,1.5714
2020-09-04,0,1.5714
2020-09-05,0,1.5714
2020-09-06,0,1.5714
2020-09-07,0,0.7143
2020-09-08,7,1.4286
2020-09-09,2,1.5714
2020-09-10,2,1.5714
2020-09-11,1,1.7143
2020-09-12,0,1.7143
2020-09-13,0,1.7143
2020-09-14,1,1.8571
2020-09-15,0,0.8571
2020-09-16,0,0.5714
2020-09-17,2,0.5714
2020-09-18,0,0.4286
2020-09-19,0,0.4286
2020-09-20,0,0.4286
2020-09-21,3,0.7143
2020-09-22,0,0.7143
2020-09-23,19,3.4286
2020-09-24,2,3.4286
2020-09-25,0,3.4286
2020-09-26,0,3.4286
2020-09-27,0,3.4286
2020-09-28,4,3.5714
2020-09-29,7,4.5714
2020-09-30,6,2.7143
2020-10-01,5,3.1429
2020-10-02,2,3.4286
2020-10-03,0,3.4286
2020-10-04,0,3.4286
2020-10-05,0,2.8571
2020-10-06,5,2.5714
2020-10-07,0,1.7143
2020-10-08,4,1.5714
2020-10-09,0,1.2857
2020-10-10,0,1.2857
2020-10-11,0,1.2857
2020-10-12,0,1.2857
2020-10-13,6,1.4286
2020-10-14,1,1.5714
2020-10-15,3,1.4286
2020-10-16,1,1.5714
2020-10-17,0,1.5714
2020-10-18,0,1.5714
2020-10-19,5,2.2857
2020-10-20,3,1.8571
2020-10-21,1,1.8571
2020-10-22,1,1.5714
2020-10-23,0,1.4286
2020-10-24,0,1.4286
2020-10-25,0,1.4286
2020-10-26,0,0.7143
2020-10-27,1,0.4286
2020-10-28,0,0.2857
2020-10-29,0,0.1429
2020-10-30,0,0.1429
2020-10-31,0,0.1429
2020-11-01,0,0.1429
2020-11-02,0,0.1429
2020-11-03,1,0.1429
2020-11-04,2,0.4286
2020-11-05,0,0.4286
2020-11-06,0,0.4286
2020-11-07,0,0.4286
2020-11-08,0,0.4286
2020-11-09,0,0.4286
2020-11-10,6,1.1429
2020-11-11,4,1.4286
2020-11-12,0,1.4286
2020-11-13,1,1.5714
2020-11-14,0,1.5714
2020-11-15,0,1.5714
2020-11-16,3,2.0
2020-11-17,0,1.1429
2020-11-18,2,0.8571
2020-11-19,9,2.1429
2020-11-20,0,2.0
2020-11-21,0,2.0
2020-11-22,0,2.0
2020-11-23,1,1.7143
2020-11-24,1,1.8571
2020-11-25,1,1.7143
2020-11-26,1,0.5714
2020-11-27,3,1.0
2020-11-28,0,1.0
2020-11-29,0,1.0
2020-11-30,1,1.0
2020-12-01,6,1.7143
2020-12-02,5,2.2857
2020-12-03,1,2.2857
2020-12-04,4,2.4286
2020-12-05,0,2.4286
2020-12-06,0,2.4286
2020-12-07,0,2.2857
2020-12-08,1,1.5714
2020-12-09,4,1.4286
2020-12-10,4,1.8571
2020-12-11,2,1.5714
2020-12-12,0,1.5714
2020-12-13,0,1.5714
2020-12-14,6,2.4286
2020-12-15,3,2.7143
2020-12-16,2,2.4286
2020-12-17,3,2.2857
2020-12-18,3,2.4286
2020-12-19,0,2.4286
2020-12-20,0,2.4286
2020-12-21,0,1.5714
2020-12-22,0,1.1429
2020-12-23,1,1.0
2020-12-24,0,0.5714
2020-12-25,0,0.1429
2020-12-26,0,0.1429
2020-12-27,0,0.1429
2020-12-28,0,0.1429
2020-12-29,0,0.1429
2020-12-30,8,1.1429
2020-12-31,6,2.0
2021-01-01,0,2.0
2021-01-02,0,2.0
2021-01-03,0,2.0
2021-01-04,2,2.2857
2021-01-05,0,2.2857
2021-01-06,4,1.7143
2021-01-07,0,0.8571
2021-01-08,0,0.8571
2021-01-09,0,0.8571
2021-01-10,0,0.8571
2021-01-11,2,0.8571
2021-01-12,5,1.5714
2021-01-13,0,1.0
2021-01-14,5,1.7143
2021-01-15,6,2.5714
2021-01-16,0,2.5714
2021-01-17,0,2.5714
2021-01-18,5,3.0
2021-01-19,0,2.2857
2021-01-20,3,2.7143
2021-01-21,0,2.0
2021-01-22,2,1.4286
2021-01-23,0,1.4286
2021-01-24,0,1.4286
2021-01-25,14,2.7143
2021-01-26,2,3.0
2021-01-27,6,3.4286
2021-01-28,6,4.2857
2021-01-29,7,5.0
2021-01-30,0,5.0
2021-01-31,0,5.0
2021-02-01,1,3.1429
2021-02-02,14,4.8571
2021-02-03,9,5.2857
2021-02-04,6,5.2857
2021-02-05,10,5.7143
2021-02-06,0,5.7143
2021-02-07,0,5.7143
2021-02-08,0,5.5714
2021-02-09,28,7.5714
2021-02-10,13,8.1429
2021-02-11,25,10.8571
2021-02-12,14,11.4286
2021-02-13,0,11.4286
2021-02-14,0,11.4286
2021-02-15,19,14.1429
2021-02-16,0,10.1429
2021-02-17,29,12.4286
2021-02-18,4,9.4286
2021-02-19,9,8.7143
2021-02-20,0,8.7143
2021-02-21,0,8.7143
2021-02-22,24,9.4286
2021-02-23,13,11.2857
2021-02-24,9,8.4286
2021-02-25,9,9.1429
2021-02-26,8,9.0
2021-02-27,0,9.0
2021-02-28,0,9.0
2021-03-01,14,7.5714
2021-03-02,3,6.1429
2021-03-03,26,8.5714
2021-03-04,17,9.7143
2021-03-05,7,9.5714
2021-03-06,0,9.5714
2021-03-07,0,9.5714
2021-03-08,24,11.0
2021-03-09,12,12.2857
2021-03-10,13,10.4286
2021-03-11,10,9.4286
2021-03-12,6,9.2857
2021-03-13,0,9.2857
2021-03-14,0,9.2857
2021-03-15,18,8.4286
2021-03-16,11,8.2857
2021-03-17,8,7.5714
2021-03-18,5,6.8571
2021-03-19,7,7.0
2021-03-20,0,7.0
2021-03-21,0,7.0
2021-03-22,9,5.7143
2021-03-23,11,5.7143
2021-03-24,2,4.8571
2021-03-25,15,6.2857
2021-03-26,2,5.5714
2021-03-27,0,5.5714
2021-03-28,0,5.5714
2021-03-29,0,4.2857
2021-03-30,21,5.7143
2021-03-31,5,6.1429
2021-04-01,6,4.8571
2021-04-02,0,4.5714
2021-04-03,0,4.5714
2021-04-04,0,4.5714
2021-04-05,10,6.0
2021-04-06,5,3.7143
2021-04-07,17,5.4286
2021-04-08,3,5.0
2021-04-09,6,5.8571
2021-04-10,0,5.8571
2021-04-11,0,5.8571
2021-04-12,15,6.5714
2021-04-13,9,7.1429
2021-04-14,5,5.4286
2021-04-15,13,6.8571
2021-04-16,10,7.4286
2021-04-17,0,7.4286
2021-04-18,0,7.4286
2021-04-19,6,6.1429
2021-04-20,15,7.0
2021-04-21,0,6.2857
2021-04-22,6,5.2857
2021-04-23,0,3.8571
2021-04-24,0,3.8571
2021-04-25,0,3.8571
2021-04-26,22,6.1429
2021-04-27,0,4.0
2021-04-28,9,5.2857
2021-04-29,5,5.1429
2021-04-30,5,5.8571
2021-05-01,0,5.8571
2021-05-02,0,5.8571
2021-05-03,1,2.8571
2021-05-04,15,5.0
2021-05-05,4,4.2857
2021-05-06,1,3.7143
2021-05-07,12,4.7143
2021-05-08,0,4.7143
2021-05-09,0,4.7143
2021-05-10,3,5.0
2021-05-11,10,4.2857
