date,newDeaths,rollingAvg
2020-03-16,0,0.0
2020-03-17,0,0.0
2020-03-18,0,0.0
2020-03-19,0,0.0
2020-03-20,0,0.0
2020-03-21,0,0.0
2020-03-22,0,0.0
2020-03-23,0,0.0
2020-03-24,0,0.0
2020-03-25,1,0.1429
2020-03-26,0,0.1429
2020-03-27,1,0.2857
2020-03-28,0,0.2857
2020-03-29,0,0.2857
2020-03-30,2,0.5714
2020-03-31,0,0.5714
2020-04-01,1,0.5714
2020-04-02,0,0.5714
2020-04-03,1,0.5714
2020-04-04,1,0.7143
2020-04-05,0,0.7143
2020-04-06,1,0.5714
2020-04-07,0,0.5714
2020-04-08,2,0.7143
2020-04-09,4,1.2857
2020-04-10,1,1.2857
2020-04-11,1,1.2857
2020-04-12,0,1.2857
2020-04-13,1,1.2857
2020-04-14,1,1.4286
2020-04-15,1,1.2857
2020-04-16,2,1.0
2020-04-17,3,1.2857
2020-04-18,0,1.1429
2020-04-19,2,1.4286
2020-04-20,1,1.4286
2020-04-21,0,1.2857
2020-04-22,1,1.2857
2020-04-23,1,1.1429
2020-04-24,5,1.4286
2020-04-25,1,1.5714
2020-04-26,3,1.7143
2020-04-27,7,2.5714
2020-04-28,4,3.1429
2020-04-29,2,3.2857
2020-04-30,7,4.1429
2020-05-01,4,4.0
2020-05-02,3,4.2857
2020-05-03,2,4.1429
2020-05-04,9,4.4286
2020-05-05,7,4.8571
2020-05-06,7,5.5714
2020-05-07,1,4.7143
2020-05-08,4,4.7143
2020-05-09,2,4.5714
2020-05-10,3,4.7143
2020-05-11,5,4.1429
2020-05-12,6,4.0
2020-05-13,9,4.2857
2020-05-14,6,5.0
2020-05-15,6,5.2857
2020-05-16,6,5.8571
2020-05-17,6,6.2857
2020-05-18,7,6.5714
2020-05-19,9,7.0
2020-05-20,1,5.8571
2020-05-21,5,5.7143
2020-05-22,6,5.7143
2020-05-23,4,5.4286
2020-05-24,4,5.1429
2020-05-25,17,6.5714
2020-05-26,6,6.1429
2020-05-27,6,6.8571
2020-05-28,4,6.7143
2020-05-29,3,6.2857
2020-05-30,2,6.0
2020-05-31,6,6.2857
2020-06-01,8,5.0
2020-06-02,13,6.0
2020-06-03,13,7.0
2020-06-04,7,7.4286
2020-06-05,11,8.5714
2020-06-06,7,9.2857
2020-06-07,3,8.8571
2020-06-08,5,8.4286
2020-06-09,11,8.1429
2020-06-10,14,8.2857
2020-06-11,7,8.2857
2020-06-12,14,8.7143
2020-06-13,7,8.7143
2020-06-14,6,9.1429
2020-06-15,10,9.8571
2020-06-16,14,10.2857
2020-06-17,13,10.1429
2020-06-18,19,11.8571
2020-06-19,17,12.2857
2020-06-20,7,12.2857
2020-06-21,4,12.0
2020-06-22,24,14.0
2020-06-23,19,14.7143
2020-06-24,23,16.1429
2020-06-25,0,13.4286
2020-06-26,40,16.7143
2020-06-27,14,17.7143
2020-06-28,5,17.8571
2020-06-29,23,17.7143
2020-06-30,32,19.5714
2020-07-01,22,19.4286
2020-07-02,27,23.2857
2020-07-03,27,21.4286
2020-07-04,25,23.0
2020-07-05,12,24.0
2020-07-06,32,25.2857
2020-07-07,34,25.5714
2020-07-08,32,27.0
2020-07-09,45,29.5714
2020-07-10,49,32.7143
2020-07-11,24,32.5714
2020-07-12,19,33.5714
2020-07-13,33,33.7143
2020-07-14,65,38.1429
2020-07-15,41,39.4286
2020-07-16,40,38.7143
2020-07-17,33,36.4286
2020-07-18,55,40.8571
2020-07-19,23,41.4286
2020-07-20,33,41.4286
2020-07-21,64,41.2857
2020-07-22,48,42.2857
2020-07-23,59,45.0
2020-07-24,38,45.7143
2020-07-25,60,46.4286
2020-07-26,17,45.5714
2020-07-27,40,46.5714
2020-07-28,69,47.2857
2020-07-29,70,50.4286
2020-07-30,75,52.7143
2020-07-31,51,54.5714
2020-08-01,71,56.1429
2020-08-02,27,57.5714
2020-08-03,42,57.8571
2020-08-04,83,59.8571
2020-08-05,64,59.0
2020-08-06,68,58.0
2020-08-07,51,58.0
2020-08-08,64,57.0
2020-08-09,14,55.1429
2020-08-10,57,57.2857
2020-08-11,55,53.2857
2020-08-12,68,53.8571
2020-08-13,44,50.4286
2020-08-14,47,49.8571
2020-08-15,16,43.0
2020-08-16,42,47.0
2020-08-17,55,46.7143
2020-08-18,78,50.0
2020-08-19,59,48.7143
2020-08-20,67,52.0
2020-08-21,45,51.7143
2020-08-22,53,57.0
2020-08-23,16,53.2857
2020-08-24,40,51.1429
2020-08-25,59,48.4286
2020-08-26,74,50.5714
2020-08-27,40,46.7143
2020-08-28,48,47.1429
2020-08-29,62,48.4286
2020-08-30,10,47.5714
2020-08-31,40,47.5714
2020-09-01,66,48.5714
2020-09-02,42,44.0
2020-09-03,47,45.0
2020-09-04,60,46.7143
2020-09-05,64,47.0
2020-09-06,25,49.1429
2020-09-07,17,45.8571
2020-09-08,44,42.7143
2020-09-09,82,48.4286
2020-09-10,47,48.4286
2020-09-11,68,49.5714
2020-09-12,42,46.4286
2020-09-13,16,45.1429
2020-09-14,25,46.2857
2020-09-15,94,53.4286
2020-09-16,42,47.7143
2020-09-17,52,48.4286
2020-09-18,50,45.8571
2020-09-19,53,47.4286
2020-09-20,13,47.0
2020-09-21,25,47.0
2020-09-22,63,42.5714
2020-09-23,43,42.7143
2020-09-24,29,39.4286
2020-09-25,30,36.5714
2020-09-26,41,34.8571
2020-09-27,12,34.7143
2020-09-28,21,34.1429
2020-09-29,76,36.0
2020-09-30,58,38.1429
2020-10-01,33,38.7143
2020-10-02,37,39.7143
