date,newDeaths,rollingAvg
2020-03-18,0,0.0
2020-03-19,0,0.0
2020-03-20,0,0.0
2020-03-21,0,0.0
2020-03-22,0,0.0
2020-03-23,0,0.0
2020-03-24,0,0.0
2020-03-25,0,0.0
2020-03-26,1,0.1429
2020-03-27,0,0.1429
2020-03-28,0,0.1429
2020-03-29,0,0.1429
2020-03-30,1,0.2857
2020-03-31,0,0.2857
2020-04-01,0,0.2857
2020-04-02,3,0.5714
2020-04-03,0,0.5714
2020-04-04,5,1.2857
2020-04-05,0,1.2857
2020-04-06,1,1.2857
2020-04-07,4,1.8571
2020-04-08,2,2.1429
2020-04-09,1,1.8571
2020-04-10,0,1.8571
2020-04-11,3,1.5714
2020-04-12,3,2.0
2020-04-13,2,2.1429
2020-04-14,2,1.8571
2020-04-15,1,1.7143
2020-04-16,1,1.7143
2020-04-17,1,1.8571
2020-04-18,1,1.5714
2020-04-19,3,1.5714
2020-04-20,0,1.2857
2020-04-21,2,1.2857
2020-04-22,2,1.4286
2020-04-23,3,1.7143
2020-04-24,0,1.5714
2020-04-25,0,1.4286
2020-04-26,1,1.1429
2020-04-27,1,1.2857
2020-04-28,0,1.0
2020-04-29,2,1.0
2020-04-30,2,0.8571
2020-05-01,2,1.1429
2020-05-02,2,1.4286
2020-05-03,0,1.2857
2020-05-04,3,1.5714
2020-05-05,3,2.0
2020-05-06,1,1.8571
2020-05-07,4,2.1429
2020-05-08,0,1.8571
2020-05-09,1,1.7143
2020-05-10,1,1.8571
2020-05-11,4,2.0
2020-05-12,4,2.1429
2020-05-13,0,2.0
2020-05-14,5,2.1429
2020-05-15,1,2.2857
2020-05-16,2,2.4286
2020-05-17,2,2.5714
2020-05-18,2,2.2857
2020-05-19,6,2.5714
2020-05-20,3,3.0
2020-05-21,4,2.8571
2020-05-22,2,3.0
2020-05-23,3,3.1429
2020-05-24,2,3.1429
2020-05-25,4,3.4286
2020-05-26,12,4.2857
2020-05-27,5,4.5714
2020-05-28,5,4.7143
2020-05-29,3,4.8571
2020-05-30,2,4.7143
2020-05-31,7,5.4286
2020-06-01,3,5.2857
2020-06-02,2,3.8571
2020-06-03,4,3.7143
2020-06-04,4,3.5714
2020-06-05,3,3.5714
2020-06-06,7,4.2857
2020-06-07,5,4.0
2020-06-08,6,4.4286
2020-06-09,2,4.4286
2020-06-10,5,4.5714
2020-06-11,2,4.2857
2020-06-12,5,4.5714
2020-06-13,2,3.8571
2020-06-14,2,3.4286
2020-06-15,4,3.1429
2020-06-16,13,4.7143
2020-06-17,4,4.5714
2020-06-18,6,5.1429
2020-06-19,12,6.1429
2020-06-20,3,6.2857
2020-06-21,9,7.2857
2020-06-22,10,8.1429
2020-06-23,7,7.2857
2020-06-24,16,9.0
2020-06-25,10,9.5714
2020-06-26,9,9.1429
2020-06-27,6,9.5714
2020-06-28,8,9.4286
2020-06-29,12,9.7143
2020-06-30,17,11.1429
2020-07-01,6,9.7143
2020-07-02,15,10.4286
2020-07-03,14,11.1429
2020-07-04,7,11.2857
2020-07-05,10,11.5714
2020-07-06,13,11.7143
2020-07-07,14,11.2857
2020-07-08,12,12.1429
2020-07-09,15,12.1429
2020-07-10,12,11.8571
2020-07-11,26,14.5714
2020-07-12,12,14.8571
2020-07-13,20,15.8571
2020-07-14,17,16.2857
2020-07-15,35,19.5714
2020-07-16,19,20.1429
2020-07-17,58,26.7143
2020-07-18,16,25.2857
2020-07-19,23,26.8571
2020-07-20,9,25.2857
2020-07-21,44,29.1429
2020-07-22,27,28.0
2020-07-23,47,32.0
2020-07-24,32,28.2857
2020-07-25,36,31.1429
2020-07-26,27,31.7143
2020-07-27,17,32.8571
2020-07-28,36,31.7143
2020-07-29,42,33.8571
2020-07-30,41,33.0
2020-07-31,59,36.8571
2020-08-01,52,39.1429
2020-08-02,21,38.2857
2020-08-03,21,38.8571
2020-08-04,39,39.2857
2020-08-05,71,43.4286
2020-08-06,51,44.8571
2020-08-07,43,42.5714
2020-08-08,19,37.8571
2020-08-09,26,38.5714
2020-08-10,96,49.2857
2020-08-11,78,54.8571
2020-08-12,18,47.2857
2020-08-13,59,48.4286
2020-08-14,46,48.8571
2020-08-15,25,49.7143
2020-08-16,30,50.2857
2020-08-17,42,42.5714
2020-08-18,44,37.7143
2020-08-19,35,40.1429
2020-08-20,42,37.7143
2020-08-21,35,36.1429
2020-08-22,32,37.1429
2020-08-23,15,35.0
2020-08-24,24,32.4286
2020-08-25,50,33.2857
2020-08-26,26,32.0
2020-08-27,28,30.0
2020-08-28,23,28.2857
2020-08-29,25,27.2857
2020-08-30,17,27.5714
2020-08-31,25,27.7143
2020-09-01,41,26.4286
2020-09-02,24,26.1429
2020-09-03,27,26.0
2020-09-04,24,26.1429
