date,newDeaths,rollingAvg
2020-03-20,0,0.0
2020-03-21,0,0.0
2020-03-22,0,0.0
2020-03-23,0,0.0
2020-03-24,0,0.0
2020-03-25,0,0.0
2020-03-26,0,0.0
2020-03-27,0,0.0
2020-03-28,0,0.0
2020-03-29,0,0.0
2020-03-30,0,0.0
2020-03-31,0,0.0
2020-04-01,0,0.0
2020-04-02,2,0.2857
2020-04-03,0,0.2857
2020-04-04,1,0.4286
2020-04-05,0,0.4286
2020-04-06,1,0.5714
2020-04-07,0,0.5714
2020-04-08,0,0.5714
2020-04-09,0,0.2857
2020-04-10,0,0.2857
2020-04-11,0,0.1429
2020-04-12,0,0.1429
2020-04-13,0,0.0
2020-04-14,0,0.0
2020-04-15,0,0.0
2020-04-16,0,0.0
2020-04-17,0,0.0
2020-04-18,1,0.1429
2020-04-19,0,0.1429
2020-04-20,0,0.1429
2020-04-21,2,0.4286
2020-04-22,0,0.4286
2020-04-23,1,0.5714
2020-04-24,0,0.5714
2020-04-25,1,0.5714
2020-04-26,0,0.5714
2020-04-27,2,0.8571
2020-04-28,0,0.5714
2020-04-29,1,0.7143
2020-04-30,2,0.8571
2020-05-01,0,0.8571
2020-05-02,0,0.7143
2020-05-03,0,0.7143
2020-05-04,3,0.8571
2020-05-05,4,1.4286
2020-05-06,2,1.5714
2020-05-07,2,1.5714
2020-05-08,3,2.0
2020-05-09,5,2.7143
2020-05-10,1,2.8571
2020-05-11,3,2.8571
2020-05-12,0,2.2857
2020-05-13,5,2.7143
2020-05-14,5,3.1429
2020-05-15,3,3.1429
2020-05-16,3,2.8571
2020-05-17,4,3.2857
2020-05-18,2,3.1429
2020-05-19,4,3.7143
2020-05-20,6,3.8571
2020-05-21,7,4.1429
2020-05-22,6,4.5714
2020-05-23,4,4.7143
2020-05-24,7,5.1429
2020-05-25,10,6.2857
2020-05-26,13,7.5714
2020-05-27,11,8.2857
2020-05-28,8,8.4286
2020-05-29,7,8.5714
2020-05-30,7,9.0
2020-05-31,9,9.2857
2020-06-01,8,9.0
2020-06-02,6,8.0
2020-06-03,8,7.5714
2020-06-04,6,7.2857
2020-06-05,12,8.0
2020-06-06,10,8.4286
2020-06-07,9,8.4286
2020-06-08,17,9.7143
2020-06-09,18,11.4286
2020-06-10,12,12.0
2020-06-11,19,13.8571
2020-06-12,22,15.2857
2020-06-13,11,15.4286
2020-06-14,14,16.1429
2020-06-15,22,16.8571
2020-06-16,12,16.0
2020-06-17,19,17.0
2020-06-18,17,16.7143
2020-06-19,26,17.2857
2020-06-20,22,18.8571
2020-06-21,14,18.8571
2020-06-22,29,19.8571
2020-06-23,20,21.0
2020-06-24,13,20.1429
2020-06-25,30,22.0
2020-06-26,25,21.8571
2020-06-27,26,22.4286
2020-06-28,15,22.5714
2020-06-29,33,23.1429
2020-06-30,23,23.5714
2020-07-01,49,28.7143
2020-07-02,0,24.4286
2020-07-03,39,26.4286
2020-07-04,19,25.4286
2020-07-05,15,25.4286
2020-07-06,28,24.7143
2020-07-07,25,25.0
2020-07-08,24,21.4286
2020-07-09,26,25.1429
2020-07-10,30,23.8571
2020-07-11,23,24.4286
2020-07-12,30,26.5714
2020-07-13,28,26.5714
2020-07-14,21,26.0
2020-07-15,21,25.5714
2020-07-16,17,24.2857
2020-07-17,17,22.4286
2020-07-18,23,22.4286
2020-07-19,14,20.1429
2020-07-20,31,20.5714
2020-07-21,26,21.2857
2020-07-22,29,22.4286
2020-07-23,36,25.1429
2020-07-24,37,28.0
2020-07-25,19,27.4286
2020-07-26,11,27.0
2020-07-27,26,26.2857
2020-07-28,19,25.2857
2020-07-29,31,25.5714
2020-07-30,18,23.0
2020-07-31,26,21.4286
2020-08-01,14,20.7143
2020-08-02,17,21.5714
2020-08-03,24,21.2857
2020-08-04,20,21.4286
2020-08-05,16,19.2857
2020-08-06,33,21.4286
2020-08-07,0,17.7143
2020-08-08,19,18.4286
2020-08-09,12,17.7143
2020-08-10,25,17.8571
2020-08-11,19,17.7143
2020-08-12,20,18.2857
2020-08-13,17,16.0
2020-08-14,14,18.0
2020-08-15,12,17.0
2020-08-16,9,16.5714
2020-08-17,12,14.7143
2020-08-18,12,13.7143
2020-08-19,16,13.1429
2020-08-20,12,12.4286
2020-08-21,4,11.0
2020-08-22,10,10.7143
2020-08-23,11,11.0
2020-08-24,11,10.8571
2020-08-25,15,11.2857
2020-08-26,14,11.0
2020-08-27,8,10.4286
2020-08-28,7,10.8571
2020-08-29,2,9.7143
2020-08-30,5,8.8571
2020-08-31,13,9.1429
2020-09-01,10,8.4286
2020-09-02,6,7.2857
2020-09-03,4,6.7143
2020-09-04,3,6.1429
2020-09-05,5,6.5714
2020-09-06,8,7.0
2020-09-07,5,5.8571
2020-09-08,11,6.0
2020-09-09,11,6.7143
2020-09-10,13,8.0
2020-09-11,6,8.4286
2020-09-12,6,8.5714
2020-09-13,4,8.0
2020-09-14,7,8.2857
2020-09-15,6,7.5714
2020-09-16,3,6.4286
2020-09-17,3,5.0
2020-09-18,4,4.7143
2020-09-19,4,4.4286
2020-09-20,5,4.5714
2020-09-21,6,4.4286
2020-09-22,6,4.4286
2020-09-23,6,4.8571
2020-09-24,5,5.1429
2020-09-25,6,5.4286
2020-09-26,5,5.5714
2020-09-27,4,5.4286
2020-09-28,6,5.4286
2020-09-29,6,5.4286
2020-09-30,5,5.2857
2020-10-01,4,5.1429
2020-10-02,5,5.0
2020-10-03,6,5.1429
2020-10-04,4,5.1429
2020-10-05,6,5.1429
2020-10-06,6,5.1429
2020-10-07,5,5.1429
2020-10-08,6,5.4286
2020-10-09,5,5.4286
2020-10-10,6,5.4286
2020-10-11,6,5.7143
2020-10-12,7,5.8571
2020-10-13,5,5.7143
2020-10-14,6,5.8571
2020-10-15,5,5.7143
2020-10-16,6,5.8571
2020-10-17,5,5.7143
2020-10-18,5,5.5714
2020-10-19,5,5.2857
2020-10-20,6,5.4286
2020-10-21,6,5.4286
2020-10-22,6,5.5714
2020-10-23,6,5.5714
2020-10-24,5,5.5714
2020-10-25,4,5.4286
2020-10-26,6,5.5714
2020-10-27,6,5.5714
2020-10-28,6,5.5714
2020-10-29,5,5.4286
2020-10-30,6,5.4286
2020-10-31,5,5.4286
2020-11-01,5,5.5714
2020-11-02,6,5.5714
2020-11-03,6,5.5714
2020-11-04,5,5.4286
2020-11-05,3,5.1429
2020-11-06,4,4.8571
2020-11-07,4,4.7143
2020-11-08,4,4.5714
2020-11-09,1,3.8571
2020-11-10,2,3.2857
2020-11-11,1,2.7143
2020-11-12,3,2.7143
2020-11-13,4,2.7143
2020-11-14,3,2.5714
2020-11-15,2,2.2857
2020-11-16,1,2.2857
2020-11-17,3,2.4286
2020-11-18,3,2.7143
2020-11-19,4,2.8571
2020-11-20,4,2.8571
2020-11-21,0,2.4286
2020-11-22,1,2.2857
2020-11-23,4,2.7143
2020-11-24,4,2.8571
2020-11-25,5,3.1429
2020-11-26,4,3.1429
2020-11-27,4,3.1429
2020-11-28,4,3.7143
2020-11-29,4,4.1429
2020-11-30,4,4.1429
2020-12-01,4,4.1429
2020-12-02,4,4.0
2020-12-03,4,4.0
2020-12-04,4,4.0
2020-12-05,5,4.1429
2020-12-06,4,4.1429
2020-12-07,4,4.1429
2020-12-08,4,4.1429
2020-12-09,5,4.2857
2020-12-10,5,4.4286
2020-12-11,5,4.5714
2020-12-12,5,4.5714
2020-12-13,4,4.5714
2020-12-14,5,4.7143
2020-12-15,4,4.7143
2020-12-16,7,5.0
2020-12-17,6,5.1429
2020-12-18,7,5.4286
2020-12-19,7,5.7143
2020-12-20,6,6.0
2020-12-21,6,6.1429
2020-12-22,7,6.5714
2020-12-23,7,6.5714
2020-12-24,7,6.7143
2020-12-25,7,6.7143
2020-12-26,7,6.7143
2020-12-27,6,6.7143
2020-12-28,7,6.8571
2020-12-29,7,6.8571
2020-12-30,8,7.0
2020-12-31,8,7.1429
2021-01-01,8,7.2857
2021-01-02,8,7.4286
2021-01-03,8,7.7143
2021-01-04,8,7.8571
2021-01-05,8,8.0
2021-01-06,8,8.0
2021-01-07,12,8.5714
2021-01-08,10,8.8571
2021-01-09,9,9.0
2021-01-10,11,9.4286
2021-01-11,11,9.8571
2021-01-12,10,10.1429
2021-01-13,12,10.7143
2021-01-14,10,10.4286
2021-01-15,12,10.7143
2021-01-16,11,11.0
2021-01-17,12,11.1429
2021-01-18,10,11.0
2021-01-19,12,11.2857
2021-01-20,11,11.1429
2021-01-21,12,11.4286
2021-01-22,13,11.5714
2021-01-23,9,11.2857
2021-01-24,8,10.7143
2021-01-25,9,10.5714
2021-01-26,10,10.2857
2021-01-27,9,10.0
2021-01-28,5,9.0
2021-01-29,6,8.0
2021-01-30,7,7.7143
2021-01-31,5,7.2857
2021-02-01,8,7.1429
2021-02-02,8,6.8571
2021-02-03,7,6.5714
2021-02-04,8,7.0
2021-02-05,9,7.4286
2021-02-06,8,7.5714
2021-02-07,1,7.0
2021-02-08,7,6.8571
2021-02-09,8,6.8571
2021-02-10,7,6.8571
2021-02-11,6,6.5714
2021-02-12,6,6.1429
2021-02-13,8,6.1429
2021-02-14,7,7.0
2021-02-15,5,6.7143
2021-02-16,5,6.2857
2021-02-17,7,6.2857
2021-02-18,3,5.8571
2021-02-19,5,5.7143
2021-02-20,5,5.2857
2021-02-21,3,4.7143
2021-02-22,5,4.7143
2021-02-23,7,5.0
2021-02-24,9,5.2857
2021-02-25,10,6.2857
2021-02-26,7,6.5714
2021-02-27,8,7.0
2021-02-28,6,7.4286
2021-03-01,8,7.8571
2021-03-02,7,7.8571
2021-03-03,8,7.7143
2021-03-04,9,7.5714
2021-03-05,10,8.0
2021-03-06,10,8.2857
2021-03-07,10,8.8571
2021-03-08,9,9.0
2021-03-09,11,9.5714
2021-03-10,14,10.4286
2021-03-11,15,11.2857
2021-03-12,16,12.1429
2021-03-13,17,13.1429
2021-03-14,18,14.2857
2021-03-15,18,15.5714
2021-03-16,22,17.1429
2021-03-17,24,18.5714
2021-03-18,23,19.7143
2021-03-19,24,20.8571
2021-03-20,23,21.7143
2021-03-21,19,21.8571
2021-03-22,22,22.4286
2021-03-23,24,22.7143
2021-03-24,25,22.8571
2021-03-25,21,22.5714
2021-03-26,21,22.1429
2021-03-27,22,22.0
2021-03-28,21,22.2857
2021-03-29,24,22.5714
2021-03-30,22,22.2857
2021-03-31,23,22.0
2021-04-01,24,22.4286
2021-04-02,25,23.0
2021-04-03,22,23.0
2021-04-04,20,22.8571
2021-04-05,25,23.0
2021-04-06,25,23.4286
2021-04-07,26,23.8571
2021-04-08,25,24.0
2021-04-09,26,24.1429
2021-04-10,25,24.5714
2021-04-11,26,25.4286
2021-04-12,26,25.5714
2021-04-13,26,25.7143
2021-04-14,27,25.8571
2021-04-15,27,26.1429
2021-04-16,27,26.2857
2021-04-17,26,26.4286
2021-04-18,26,26.4286
2021-04-19,27,26.5714
2021-04-20,27,26.7143
2021-04-21,25,26.4286
2021-04-22,27,26.4286
2021-04-23,27,26.4286
2021-04-24,27,26.5714
2021-04-25,22,26.0
2021-04-26,28,26.1429
2021-04-27,27,26.1429
2021-04-28,26,26.2857
2021-04-29,28,26.4286
2021-04-30,28,26.5714
2021-05-01,28,26.7143
2021-05-02,27,27.4286
2021-05-03,28,27.4286
2021-05-04,27,27.4286
2021-05-05,28,27.7143
2021-05-06,29,27.8571
2021-05-07,28,27.8571
2021-05-08,29,28.0
2021-05-09,28,28.1429
2021-05-10,28,28.1429
2021-05-11,29,28.4286
2021-05-12,29,28.5714
2021-05-13,28,28.4286
2021-05-14,29,28.5714
2021-05-15,27,28.2857
2021-05-16,22,27.4286
2021-05-17,28,27.4286
2021-05-18,28,27.2857
2021-05-19,28,27.1429
2021-05-20,29,27.2857
2021-05-21,28,27.1429
2021-05-22,28,27.2857
2021-05-23,15,26.2857
2021-05-24,25,25.8571
2021-05-25,26,25.5714
2021-05-26,27,25.4286
2021-05-27,24,24.7143
2021-05-28,28,24.7143
2021-05-29,22,23.8571
2021-05-30,17,24.1429
2021-05-31,20,23.4286
2021-06-01,23,23.0
2021-06-02,24,22.5714
2021-06-03,22,22.2857
2021-06-04,20,21.1429
2021-06-05,20,20.8571
2021-06-06,20,21.2857
2021-06-07,26,22.1429
2021-06-08,24,22.2857
2021-06-09,25,22.4286
2021-06-10,24,22.7143
2021-06-11,25,23.4286
2021-06-12,21,23.5714
2021-06-13,16,23.0
2021-06-14,24,22.7143
2021-06-15,24,22.7143
2021-06-16,24,22.5714
2021-06-17,25,22.7143
2021-06-18,25,22.7143
2021-06-19,24,23.1429
2021-06-20,21,23.8571
2021-06-21,14,22.4286
2021-06-22,21,22.0
2021-06-23,21,21.5714
2021-06-24,13,19.8571
2021-06-25,17,18.7143
2021-06-26,12,17.0
2021-06-27,6,14.8571
2021-06-28,12,14.5714
2021-06-29,17,14.0
2021-06-30,17,13.4286
2021-07-01,16,13.8571
2021-07-02,18,14.0
2021-07-03,11,13.8571
2021-07-04,13,14.8571
2021-07-05,9,14.4286
2021-07-06,8,13.1429
