date,newDeaths,rollingAvg
2020-03-02,0,0.0
2020-03-03,0,0.0
2020-03-04,0,0.0
2020-03-05,0,0.0
2020-03-06,0,0.0
2020-03-07,0,0.0
2020-03-08,0,0.0
2020-03-09,0,0.0
2020-03-10,0,0.0
2020-03-11,0,0.0
2020-03-12,0,0.0
2020-03-13,0,0.0
2020-03-14,0,0.0
2020-03-15,0,0.0
2020-03-16,0,0.0
2020-03-17,1,0.1429
2020-03-18,3,0.5714
2020-03-19,1,0.7143
2020-03-20,4,1.2857
2020-03-21,6,2.1429
2020-03-22,7,3.1429
2020-03-23,8,4.2857
2020-03-24,10,5.5714
2020-03-25,8,6.2857
2020-03-26,10,7.5714
2020-03-27,10,8.4286
2020-03-28,16,9.8571
2020-03-29,14,10.8571
2020-03-30,15,11.8571
2020-03-31,23,13.7143
2020-04-01,28,16.5714
2020-04-02,24,18.5714
2020-04-03,31,21.5714
2020-04-04,41,25.1429
2020-04-05,15,25.2857
2020-04-06,29,27.2857
2020-04-07,67,33.5714
2020-04-08,57,37.7143
2020-04-09,68,44.0
2020-04-10,44,45.8571
2020-04-11,20,42.8571
2020-04-12,28,44.7143
2020-04-13,20,43.4286
2020-04-14,87,46.2857
2020-04-15,83,50.0
2020-04-16,75,51.0
2020-04-17,75,55.4286
2020-04-18,63,61.5714
2020-04-19,24,61.0
2020-04-20,22,61.2857
2020-04-21,56,56.8571
2020-04-22,41,50.8571
2020-04-23,211,70.2857
2020-04-24,167,83.4286
2020-04-25,155,96.5714
2020-04-26,33,97.8571
2020-04-27,125,112.5714
2020-04-28,224,136.5714
2020-04-29,198,159.0
2020-04-30,128,147.1429
2020-05-01,136,142.7143
2020-05-02,75,131.2857
2020-05-03,41,132.4286
2020-05-04,27,118.4286
2020-05-05,197,114.5714
2020-05-06,194,114.0
2020-05-07,161,118.7143
2020-05-08,210,129.2857
2020-05-09,192,146.0
2020-05-10,101,154.5714
2020-05-11,34,155.5714
2020-05-12,206,156.8571
2020-05-13,169,153.2857
2020-05-14,197,158.4286
2020-05-15,186,155.0
2020-05-16,187,154.2857
2020-05-17,94,153.2857
2020-05-18,41,154.2857
2020-05-19,324,171.1429
2020-05-20,216,177.8571
2020-05-21,195,177.5714
2020-05-22,215,181.7143
2020-05-23,272,193.8571
2020-05-24,118,197.2857
