date,newDeaths,rollingAvg
2020-03-02,0,0.0
2020-03-03,0,0.0
2020-03-04,0,0.0
2020-03-05,0,0.0
2020-03-06,0,0.0
2020-03-07,0,0.0
2020-03-08,0,0.0
2020-03-09,0,0.0
2020-03-10,0,0.0
2020-03-11,0,0.0
2020-03-12,0,0.0
2020-03-13,0,0.0
2020-03-14,0,0.0
2020-03-15,0,0.0
2020-03-16,0,0.0
2020-03-17,1,0.1429
2020-03-18,3,0.5714
2020-03-19,3,1.0
2020-03-20,4,1.5714
2020-03-21,7,2.5714
2020-03-22,7,3.5714
2020-03-23,9,4.8571
2020-03-24,13,6.5714
2020-03-25,12,7.8571
2020-03-26,18,10.0
2020-03-27,16,11.7143
2020-03-28,22,13.8571
2020-03-29,24,16.2857
2020-03-30,27,18.8571
2020-03-31,36,22.1429
2020-04-01,42,26.4286
2020-04-02,61,32.5714
2020-04-03,60,38.8571
2020-04-04,80,47.1429
2020-04-05,52,51.1429
2020-04-06,73,57.7143
2020-04-07,121,69.8571
2020-04-08,135,83.1429
2020-04-09,133,93.4286
2020-04-10,114,101.1429
2020-04-11,68,99.4286
2020-04-12,96,105.7143
2020-04-13,120,112.4286
2020-04-14,200,123.7143
2020-04-15,203,133.4286
2020-04-16,202,143.2857
2020-04-17,211,157.1429
2020-04-18,202,176.2857
2020-04-19,116,179.1429
2020-04-20,107,177.2857
2020-04-21,174,173.5714
2020-04-22,169,168.7143
2020-04-23,408,198.1429
2020-04-24,373,221.2857
2020-04-25,352,242.7143
2020-04-26,227,258.5714
2020-04-27,305,286.8571
2020-04-28,488,331.7143
2020-04-29,443,370.8571
2020-04-30,443,375.8571
2020-05-01,459,388.1429
2020-05-02,371,390.8571
2020-05-03,267,396.5714
2020-05-04,304,396.4286
2020-05-05,591,411.1429
2020-05-06,625,437.1429
2020-05-07,676,470.4286
2020-05-08,754,512.5714
2020-05-09,670,555.2857
2020-05-10,478,585.4286
2020-05-11,485,611.2857
2020-05-12,843,647.2857
2020-05-13,778,669.1429
2020-05-14,789,685.2857
2020-05-15,913,708.0
2020-05-16,719,715.0
2020-05-17,500,718.1429
2020-05-18,723,752.1429
2020-05-19,1149,795.8571
2020-05-20,985,825.4286
2020-05-21,1069,865.4286
2020-05-22,1031,882.2857
2020-05-23,1046,929.0
