day,AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO
2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2857,0
2020-03-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1429,0
2020-03-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2857,0
2020-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7143,0
2020-03-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1429,0
2020-03-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5714,0
2020-03-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0
2020-03-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0
2020-03-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4286,0
2020-03-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8571,0,0,0,0,0,0,3.8571,0
2020-03-12,0,0,0,0,0.4286,0,0,0.1429,0,0,0,0,0,0,0,0,0,0,2.1429,0,0,0,0,0,0,5.7143,0
2020-03-13,0,0,0,0,0.8571,0,0.2857,0.0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,6.5714,0
2020-03-14,0,0.1429,0,0,0.7143,0,1.0,0.0,0,0,0.5714,0,0,0,0,0,0,0,2.8571,0,0,0,0,0,0,7.4286,0
2020-03-15,0,0.0,0,0,1.0,0,1.8571,0.0,0,0,0.4286,0,0,0,0,0,0,0,3.0,0,0,0,0,0,0,17.1429,0
2020-03-16,0,0.0,0,0,1.1429,0,2.5714,0.0,0,0,0.7143,0,0,0,0,0,0,0,4.0,0,0,0,1.1429,0,0,19.4286,0
2020-03-17,0,0.0,0,0,1.7143,0,3.0,0.0,0,0,1.8571,0,0,0,0,0,0,0,3.5714,0,0,0,1.2857,0,0,20.7143,0
2020-03-18,0,0.0,0,0,3.4286,0,4.5714,1.1429,1.7143,0,2.5714,0,0,0,0,2.7143,0,2.1429,7.1429,0.1429,0,0,2.4286,2.0,0,30.1429,0
2020-03-19,0,0.4286,0.4286,0,4.0,0,5.7143,1.7143,1.7143,0,3.8571,0,0,0,0,3.7143,0,2.5714,7.1429,0.0,0,0,3.8571,2.7143,0,34.2857,0
2020-03-20,0,0.7143,0.7143,0,3.8571,0,12.1429,2.1429,2.1429,0,5.1429,1.7143,0,0,0,4.1429,0,4.4286,13.2857,0.7143,0,0,5.5714,5.2857,1.0,48.5714,0
2020-03-21,0,0.8571,1.2857,0,4.8571,0,14.2857,3.5714,2.2857,0,7.2857,2.0,0,0,0,3.7143,0,5.4286,13.8571,1.1429,0,0,9.0,7.4286,1.2857,56.2857,0
2020-03-22,0,0.8571,3.4286,0,6.5714,17.8571,14.7143,3.5714,2.4286,0,11.2857,2.7143,0,0,0,4.1429,0,6.8571,23.1429,1.7143,0,0,10.1429,8.8571,1.2857,70.7143,0
2020-03-23,2.4286,1.0,4.2857,0,7.5714,22.1429,17.0,4.5714,2.0,0,17.4286,2.4286,0,0,0,4.8571,0,7.7143,28.8571,1.7143,0,0,12.5714,11.2857,0.7143,84.7143,0
2020-03-24,2.5714,1.2857,6.4286,0,9.2857,25.0,19.8571,5.5714,2.7143,0,16.5714,2.5714,0,0.7143,0.4286,3.4286,0,8.2857,38.8571,1.8571,0,0,14.5714,14.5714,1.4286,92.2857,1.0
2020-03-25,2.8571,1.4286,7.4286,0,9.1429,27.4286,23.0,4.4286,3.2857,0,16.2857,2.4286,0,0.8571,0.5714,3.8571,1.2857,11.7143,43.8571,1.8571,0,0,20.4286,15.4286,1.4286,88.7143,0.8571
2020-03-26,2.8571,1.0,9.1429,0.2857,11.0,30.4286,22.7143,5.0,3.4286,1.4286,17.7143,2.2857,1.5714,1.7143,0.7143,2.8571,0.8571,11.7143,50.7143,2.5714,0.8571,0,22.7143,18.2857,1.4286,109.5714,1.0
2020-03-27,2.5714,0.8571,10.5714,0.2857,12.7143,30.5714,22.0,5.4286,4.4286,1.7143,21.5714,2.2857,1.4286,2.0,1.2857,3.7143,0.8571,12.5714,54.8571,3.1429,0.7143,1.7143,22.0,17.5714,1.2857,118.1429,1.1429
2020-03-28,2.0,1.0,14.2857,0.4286,12.2857,34.0,21.7143,5.0,5.1429,1.8571,21.4286,2.1429,1.5714,2.2857,1.8571,5.0,1.0,13.2857,62.7143,8.4286,0.4286,2.0,18.7143,18.1429,0.8571,135.2857,1.0
2020-03-29,3.2857,1.4286,16.2857,1.0,14.4286,33.4286,25.8571,6.5714,5.2857,2.7143,21.1429,2.1429,2.0,2.2857,1.8571,5.1429,1.4286,14.0,59.1429,7.8571,0.4286,2.0,21.8571,18.4286,0.8571,117.1429,0.7143
