day,MG,SP,AM,CE,PR,MA
2020-02-25,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0
2020-03-17,0,1,0,0,0,0
2020-03-18,0,3,0,0,0,0
2020-03-19,0,1,0,0,0,0
2020-03-20,0,4,0,0,0,0
2020-03-21,0,6,0,0,0,0
2020-03-22,0,7,0,0,0,0
2020-03-23,0,8,0,0,0,0
2020-03-24,0,10,1,0,0,0
2020-03-25,0,8,0,0,0,0
2020-03-26,0,10,0,3,0,0
2020-03-27,0,10,0,0,2,0
2020-03-28,0,16,0,1,0,0
2020-03-29,0,14,0,1,0,1
2020-03-30,1,15,1,0,1,0
2020-03-31,1,23,1,2,0,0
2020-04-01,1,28,0,2,0,0
2020-04-02,1,24,0,12,1,0
2020-04-03,2,31,4,1,1,0
2020-04-04,0,41,5,1,2,1
2020-04-05,0,15,3,12,3,0
2020-04-06,3,29,4,1,4,2
2020-04-07,2,67,4,4,1,7
2020-04-08,3,57,7,17,2,1
2020-04-09,1,68,10,0,7,4
2020-04-10,2,44,10,10,2,5
2020-04-11,0,20,3,7,1,3
2020-04-12,3,28,9,2,4,3
2020-04-13,3,20,9,25,2,5
2020-04-14,4,87,19,10,6,2
2020-04-15,3,83,16,13,2,3
2020-04-16,3,75,18,11,2,3
2020-04-17,2,75,21,20,1,4
2020-04-18,4,63,16,25,5,4
2020-04-19,0,24,21,9,3,6
2020-04-20,2,22,3,17,1,6
2020-04-21,3,56,8,15,2,6
2020-04-22,3,41,14,18,5,10
2020-04-23,4,211,27,32,2,12
2020-04-24,3,167,21,22,5,12
2020-04-25,4,155,32,33,4,12
2020-04-26,3,33,17,50,4,13
2020-04-27,1,125,16,21,2,20
2020-04-28,9,224,31,20,2,21
2020-04-29,9,198,29,33,5,18
2020-04-30,2,128,45,42,4,20
2020-05-01,6,136,51,47,4,20
2020-05-02,0,75,25,99,1,13
2020-05-03,1,41,47,39,3,12
2020-05-04,1,27,37,35,1,22
2020-05-05,4,197,64,83,5,20
2020-05-06,3,194,102,54,2,14
2020-05-07,9,161,55,54,3,25
2020-05-08,5,210,68,94,2,25
2020-05-09,7,192,88,65,1,24
2020-05-10,1,101,42,52,2,20
2020-05-11,2,34,31,75,2,24
2020-05-12,6,206,63,91,2,21
2020-05-13,8,169,62,109,4,26
2020-05-14,4,197,75,24,2,26
2020-05-15,7,186,96,153,2,28
2020-05-16,4,187,44,48,2,25
2020-05-17,6,94,38,27,1,27
2020-05-18,5,41,20,107,3,28
2020-05-19,6,324,58,108,3,30
2020-05-20,10,216,70,44,7,29
2020-05-21,14,195,59,261,4,30
2020-05-22,10,215,49,90,5,29
2020-05-23,16,272,75,57,4,32
2020-05-24,9,118,14,16,3,30
2020-05-25,4,57,23,169,4,33
2020-05-26,4,203,71,110,4,36
2020-05-27,6,289,39,68,3,34
2020-05-28,15,268,73,62,7,24
2020-05-29,2,295,47,126,4,21
2020-05-30,6,257,36,97,8,23
2020-05-31,8,83,5,54,1,21
2020-06-01,7,52,19,178,8,21
