day,MG,SP,AM,CE,PR,MA
2020-02-25,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0
2020-03-02,0,0.0,0,0,0,0
2020-03-03,0,0.0,0,0,0,0
2020-03-04,0,0.0,0,0,0,0
2020-03-05,0,0.0,0,0,0,0
2020-03-06,0,0.0,0,0,0,0
2020-03-07,0,0.0,0,0,0,0
2020-03-08,0,0.0,0,0,0,0
2020-03-09,0,0.0,0,0,0,0
2020-03-10,0,0.0,0,0,0,0
2020-03-11,0,0.0,0,0,0,0
2020-03-12,0,0.0,0,0,0,0
2020-03-13,0,0.0,0,0,0,0
2020-03-14,0.0,0.0,0,0,0,0
2020-03-15,0.0,0.0,0,0,0,0
2020-03-16,0.0,0.0,0,0,0,0
2020-03-17,0.0,0.1429,0,0,0,0
2020-03-18,0.0,0.5714,0,0,0.0,0
2020-03-19,0.0,0.7143,0.0,0,0.0,0
2020-03-20,0.0,1.2857,0.0,0,0.0,0
2020-03-21,0.0,2.1429,0.0,0,0.0,0
2020-03-22,0.0,3.1429,0.0,0.0,0.0,0
2020-03-23,0.0,4.2857,0.0,0.0,0.0,0
2020-03-24,0.0,5.5714,0.1429,0.0,0.0,0
2020-03-25,0.0,6.2857,0.1429,0.0,0.0,0
2020-03-26,0.0,7.5714,0.1429,0.4286,0.0,0.0
2020-03-27,0.0,8.4286,0.1429,0.4286,0.2857,0.0
2020-03-28,0.0,9.8571,0.1429,0.5714,0.2857,0.0
2020-03-29,0.0,10.8571,0.1429,0.7143,0.2857,0.1429
2020-03-30,0.1429,11.8571,0.2857,0.7143,0.4286,0.1429
2020-03-31,0.2857,13.7143,0.2857,1.0,0.4286,0.1429
2020-04-01,0.4286,16.5714,0.2857,1.2857,0.4286,0.1429
2020-04-02,0.5714,18.5714,0.2857,2.5714,0.5714,0.1429
2020-04-03,0.8571,21.5714,0.8571,2.7143,0.4286,0.1429
2020-04-04,0.8571,25.1429,1.5714,2.7143,0.7143,0.2857
2020-04-05,0.8571,25.2857,2.0,4.2857,1.1429,0.1429
2020-04-06,1.1429,27.2857,2.4286,4.4286,1.5714,0.4286
2020-04-07,1.2857,33.5714,2.8571,4.7143,1.7143,1.4286
2020-04-08,1.5714,37.7143,3.8571,6.8571,2.0,1.5714
2020-04-09,1.5714,44.0,5.2857,5.1429,2.8571,2.1429
2020-04-10,1.5714,45.8571,6.1429,6.4286,3.0,2.8571
2020-04-11,1.5714,42.8571,5.8571,7.2857,2.8571,3.1429
2020-04-12,2.0,44.7143,6.7143,5.8571,3.0,3.5714
2020-04-13,2.0,43.4286,7.4286,9.2857,2.7143,4.0
2020-04-14,2.2857,46.2857,9.5714,10.1429,3.4286,3.2857
2020-04-15,2.2857,50.0,10.8571,9.5714,3.4286,3.5714
2020-04-16,2.5714,51.0,12.0,11.1429,2.7143,3.4286
2020-04-17,2.5714,55.4286,13.5714,12.5714,2.5714,3.2857
2020-04-18,3.1429,61.5714,15.4286,15.1429,3.1429,3.4286
2020-04-19,2.7143,61.0,17.1429,16.1429,3.0,3.8571
2020-04-20,2.5714,61.2857,16.2857,15.0,2.8571,4.0
2020-04-21,2.4286,56.8571,14.7143,15.7143,2.2857,4.5714
2020-04-22,2.4286,50.8571,14.4286,16.4286,2.7143,5.5714
2020-04-23,2.5714,70.2857,15.7143,19.4286,2.7143,6.8571
2020-04-24,2.7143,83.4286,15.7143,19.7143,3.2857,8.0
2020-04-25,2.7143,96.5714,18.0,20.8571,3.1429,9.1429
2020-04-26,3.1429,97.8571,17.4286,26.7143,3.2857,10.1429
