date,newCases,newDeaths,vaccinated_per_100_inhabitants,vaccinated_second_per_100_inhabitants,newCasesRolling,newDeathsRolling
2020-03-24,4,0,0.0,0.0,2.5714,0.0
2020-03-25,2,0,0.0,0.0,2.8571,0.0
2020-03-26,1,0,0.0,0.0,2.8571,0.0
2020-03-27,1,0,0.0,0.0,2.5714,0.0
2020-03-28,0,0,0.0,0.0,2.0,0.0
2020-03-29,9,0,0.0,0.0,3.2857,0.0
2020-03-30,8,0,0.0,0.0,3.5714,0.0
2020-03-31,0,0,0.0,0.0,3.0,0.0
2020-04-01,1,0,0.0,0.0,2.8571,0.0
2020-04-02,2,0,0.0,0.0,3.0,0.0
2020-04-03,1,0,0.0,0.0,3.0,0.0
2020-04-04,0,0,0.0,0.0,3.0,0.0
2020-04-05,2,0,0.0,0.0,2.0,0.0
2020-04-06,2,1,0.0,0.0,1.1429,0.1429
2020-04-07,0,1,0.0,0.0,1.1429,0.2857
2020-04-08,8,0,0.0,0.0,2.1429,0.2857
2020-04-09,4,0,0.0,0.0,2.4286,0.2857
2020-04-10,8,0,0.0,0.0,3.4286,0.2857
2020-04-11,2,0,0.0,0.0,3.7143,0.2857
2020-04-12,5,0,0.0,0.0,4.1429,0.2857
2020-04-13,13,1,0.0,0.0,5.7143,0.2857
2020-04-14,9,0,0.0,0.0,7.0,0.1429
2020-04-15,2,1,0.0,0.0,6.1429,0.2857
2020-04-16,14,1,0.0,0.0,7.5714,0.4286
2020-04-17,20,0,0.0,0.0,9.2857,0.4286
2020-04-18,7,1,0.0,0.0,10.0,0.5714
2020-04-19,21,0,0.0,0.0,12.2857,0.5714
2020-04-20,13,2,0.0,0.0,12.2857,0.7143
2020-04-21,19,0,0.0,0.0,13.7143,0.7143
2020-04-22,19,0,0.0,0.0,16.1429,0.5714
2020-04-23,13,2,0.0,0.0,16.0,0.7143
2020-04-24,7,1,0.0,0.0,14.1429,0.8571
2020-04-25,24,0,0.0,0.0,16.5714,0.7143
2020-04-26,21,0,0.0,0.0,16.5714,0.7143
2020-04-27,22,3,0.0,0.0,17.8571,0.8571
2020-04-28,16,2,0.0,0.0,17.4286,1.1429
2020-04-29,37,2,0.0,0.0,20.0,1.4286
2020-04-30,50,1,0.0,0.0,25.2857,1.2857
2020-05-01,83,0,0.0,0.0,36.1429,1.1429
2020-05-02,66,3,0.0,0.0,42.1429,1.5714
2020-05-03,105,3,0.0,0.0,54.1429,2.0
2020-05-04,75,3,0.0,0.0,61.7143,2.0
2020-05-05,84,1,0.0,0.0,71.4286,1.8571
2020-05-06,126,6,0.0,0.0,84.1429,2.4286
2020-05-07,71,1,0.0,0.0,87.1429,2.4286
2020-05-08,163,2,0.0,0.0,98.5714,2.7143
2020-05-09,158,2,0.0,0.0,111.7143,2.5714
2020-05-10,112,1,0.0,0.0,112.7143,2.2857
2020-05-11,13,4,0.0,0.0,103.8571,2.4286
2020-05-12,130,6,0.0,0.0,110.4286,3.1429
2020-05-13,104,1,0.0,0.0,107.2857,2.4286
2020-05-14,46,3,0.0,0.0,103.7143,2.7143
2020-05-15,45,2,0.0,0.0,86.8571,2.7143
2020-05-16,82,2,0.0,0.0,76.0,2.7143
2020-05-17,130,3,0.0,0.0,78.5714,3.0
2020-05-18,237,5,0.0,0.0,110.5714,3.1429
2020-05-19,248,6,0.0,0.0,127.4286,3.1429
2020-05-20,335,3,0.0,0.0,160.4286,3.4286
2020-05-21,286,2,0.0,0.0,194.7143,3.2857
2020-05-22,240,2,0.0,0.0,222.5714,3.2857
2020-05-23,524,7,0.0,0.0,285.7143,4.0
2020-05-24,293,5,0.0,0.0,309.0,4.2857
2020-05-25,341,5,0.0,0.0,323.8571,4.2857
2020-05-26,280,8,0.0,0.0,328.4286,4.5714
2020-05-27,470,8,0.0,0.0,347.7143,5.2857
2020-05-28,349,9,0.0,0.0,356.7143,6.2857
2020-05-29,241,13,0.0,0.0,356.8571,7.8571
2020-05-30,231,7,0.0,0.0,315.0,7.8571
2020-05-31,147,6,0.0,0.0,294.1429,8.0
2020-06-01,107,13,0.0,0.0,260.7143,9.1429
2020-06-02,139,4,0.0,0.0,240.5714,8.5714
2020-06-03,214,6,0.0,0.0,204.0,8.2857
2020-06-04,342,10,0.0,0.0,203.0,8.4286
2020-06-05,263,9,0.0,0.0,206.1429,7.8571
2020-06-06,241,11,0.0,0.0,207.5714,8.4286
2020-06-07,458,6,0.0,0.0,252.0,8.4286
2020-06-08,145,4,0.0,0.0,257.4286,7.1429
2020-06-09,329,12,0.0,0.0,284.5714,8.2857
2020-06-10,289,14,0.0,0.0,295.2857,9.4286
2020-06-11,345,8,0.0,0.0,295.7143,9.1429
2020-06-12,204,9,0.0,0.0,287.2857,9.1429
2020-06-13,239,2,0.0,0.0,287.0,7.8571
2020-06-14,108,3,0.0,0.0,237.0,7.4286
2020-06-15,129,6,0.0,0.0,234.7143,7.7143
2020-06-16,232,6,0.0,0.0,220.8571,6.8571
2020-06-17,336,10,0.0,0.0,227.5714,6.2857
2020-06-18,325,6,0.0,0.0,224.7143,6.0
2020-06-19,323,5,0.0,0.0,241.7143,5.4286
2020-06-20,276,5,0.0,0.0,247.0,5.8571
2020-06-21,118,3,0.0,0.0,248.4286,5.8571
2020-06-22,158,5,0.0,0.0,252.5714,5.7143
2020-06-23,271,16,0.0,0.0,258.1429,7.1429
2020-06-24,212,5,0.0,0.0,240.4286,6.4286
2020-06-25,282,9,0.0,0.0,234.2857,6.8571
2020-06-26,340,8,0.0,0.0,236.7143,7.2857
2020-06-27,269,8,0.0,0.0,235.7143,7.7143
2020-06-28,145,2,0.0,0.0,239.5714,7.5714
2020-06-29,88,8,0.0,0.0,229.5714,8.0
2020-06-30,107,4,0.0,0.0,206.1429,6.2857
2020-07-01,462,5,0.0,0.0,241.8571,6.2857
2020-07-02,333,8,0.0,0.0,249.1429,6.1429
2020-07-03,64,9,0.0,0.0,209.7143,6.2857
2020-07-04,375,4,0.0,0.0,224.8571,5.7143
2020-07-05,135,0,0.0,0.0,223.4286,5.4286
2020-07-06,66,3,0.0,0.0,220.2857,4.7143
2020-07-07,253,5,0.0,0.0,241.1429,4.8571
2020-07-08,226,5,0.0,0.0,207.4286,4.8571
2020-07-09,298,7,0.0,0.0,202.4286,4.7143
2020-07-10,303,6,0.0,0.0,236.5714,4.2857
