date,newCases,newDeaths,vaccinated_per_100_inhabitants,vaccinated_second_per_100_inhabitants,newCasesRolling,newDeathsRolling
2020-03-15,0,0,0.0,0.0,0.0,0.0
2020-03-16,0,0,0.0,0.0,0.0,0.0
2020-03-17,0,0,0.0,0.0,0.0,0.0
2020-03-18,0,0,0.0,0.0,0.0,0.0
2020-03-19,3,0,0.0,0.0,0.4286,0.0
2020-03-20,2,0,0.0,0.0,0.7143,0.0
2020-03-21,1,0,0.0,0.0,0.8571,0.0
2020-03-22,0,0,0.0,0.0,0.8571,0.0
2020-03-23,1,0,0.0,0.0,1.0,0.0
2020-03-24,2,0,0.0,0.0,1.2857,0.0
2020-03-25,1,0,0.0,0.0,1.4286,0.0
2020-03-26,0,0,0.0,0.0,1.0,0.0
2020-03-27,1,0,0.0,0.0,0.8571,0.0
2020-03-28,2,0,0.0,0.0,1.0,0.0
2020-03-29,3,0,0.0,0.0,1.4286,0.0
2020-03-30,0,0,0.0,0.0,1.2857,0.0
2020-03-31,1,1,0.0,0.0,1.1429,0.1429
2020-04-01,0,0,0.0,0.0,1.0,0.1429
2020-04-02,0,0,0.0,0.0,1.0,0.1429
2020-04-03,5,1,0.0,0.0,1.5714,0.2857
2020-04-04,0,0,0.0,0.0,1.2857,0.2857
2020-04-05,5,0,0.0,0.0,1.5714,0.2857
2020-04-06,3,0,0.0,0.0,2.0,0.2857
2020-04-07,3,0,0.0,0.0,2.2857,0.1429
2020-04-08,3,1,0.0,0.0,2.7143,0.2857
2020-04-09,0,0,0.0,0.0,2.7143,0.2857
2020-04-10,8,0,0.0,0.0,3.1429,0.1429
2020-04-11,3,0,0.0,0.0,3.5714,0.1429
2020-04-12,0,0,0.0,0.0,2.8571,0.1429
2020-04-13,10,1,0.0,0.0,3.8571,0.2857
2020-04-14,14,0,0.0,0.0,5.4286,0.2857
2020-04-15,11,1,0.0,0.0,6.5714,0.2857
2020-04-16,6,0,0.0,0.0,7.4286,0.2857
2020-04-17,21,2,0.0,0.0,9.2857,0.5714
2020-04-18,22,3,0.0,0.0,12.0,1.0
2020-04-19,27,5,0.0,0.0,15.8571,1.7143
2020-04-20,12,3,0.0,0.0,16.1429,2.0
2020-04-21,39,1,0.0,0.0,19.7143,2.1429
2020-04-22,33,1,0.0,0.0,22.8571,2.1429
2020-04-23,81,2,0.0,0.0,33.5714,2.4286
2020-04-24,89,5,0.0,0.0,43.2857,2.8571
2020-04-25,88,2,0.0,0.0,52.7143,2.7143
2020-04-26,59,3,0.0,0.0,57.2857,2.4286
2020-04-27,83,2,0.0,0.0,67.4286,2.2857
2020-04-28,134,2,0.0,0.0,81.0,2.4286
2020-04-29,180,5,0.0,0.0,102.0,3.0
2020-04-30,88,6,0.0,0.0,103.0,3.5714
2020-05-01,181,6,0.0,0.0,116.1429,3.7143
2020-05-02,146,5,0.0,0.0,124.4286,4.1429
2020-05-03,69,6,0.0,0.0,125.8571,4.5714
2020-05-04,97,8,0.0,0.0,127.8571,5.4286
2020-05-05,68,8,0.0,0.0,118.4286,6.2857
2020-05-06,97,9,0.0,0.0,106.5714,6.8571
2020-05-07,164,9,0.0,0.0,117.4286,7.2857
2020-05-08,166,10,0.0,0.0,115.2857,7.8571
2020-05-09,139,6,0.0,0.0,114.2857,8.0
2020-05-10,86,12,0.0,0.0,116.7143,8.8571
2020-05-11,85,12,0.0,0.0,115.0,9.4286
2020-05-12,237,12,0.0,0.0,139.1429,10.0
2020-05-13,181,14,0.0,0.0,151.1429,10.7143
2020-05-14,211,13,0.0,0.0,157.8571,11.2857
2020-05-15,240,10,0.0,0.0,168.4286,11.2857
2020-05-16,381,12,0.0,0.0,203.0,12.1429
2020-05-17,223,11,0.0,0.0,222.5714,12.0
2020-05-18,215,11,0.0,0.0,241.1429,11.8571
2020-05-19,288,14,0.0,0.0,248.4286,12.1429
2020-05-20,118,16,0.0,0.0,239.4286,12.4286
