date,newCases,newDeaths,vaccinated_per_100_inhabitants,vaccinated_second_per_100_inhabitants,newCasesRolling,newDeathsRolling
2020-03-20,4,0,0.0,0.0,0.7143,0.0
2020-03-21,4,0,0.0,0.0,1.2857,0.0
2020-03-22,15,0,0.0,0.0,3.4286,0.0
2020-03-23,6,0,0.0,0.0,4.2857,0.0
2020-03-24,15,1,0.0,0.0,6.4286,0.1429
2020-03-25,7,0,0.0,0.0,7.4286,0.1429
2020-03-26,13,0,0.0,0.0,9.1429,0.1429
2020-03-27,14,0,0.0,0.0,10.5714,0.1429
2020-03-28,30,0,0.0,0.0,14.2857,0.1429
2020-03-29,29,0,0.0,0.0,16.2857,0.1429
2020-03-30,11,1,0.0,0.0,17.0,0.2857
2020-03-31,24,1,0.0,0.0,18.2857,0.2857
2020-04-01,25,0,0.0,0.0,20.8571,0.2857
2020-04-02,29,0,0.0,0.0,23.1429,0.2857
2020-04-03,31,4,0.0,0.0,25.5714,0.8571
2020-04-04,51,5,0.0,0.0,28.5714,1.5714
2020-04-05,106,3,0.0,0.0,39.5714,2.0
2020-04-06,115,4,0.0,0.0,54.4286,2.4286
2020-04-07,104,4,0.0,0.0,65.8571,2.8571
2020-04-08,168,7,0.0,0.0,86.2857,3.8571
2020-04-09,95,10,0.0,0.0,95.7143,5.2857
2020-04-10,82,10,0.0,0.0,103.0,6.1429
2020-04-11,69,3,0.0,0.0,105.5714,5.8571
2020-04-12,156,9,0.0,0.0,112.7143,6.7143
2020-04-13,69,9,0.0,0.0,106.1429,7.4286
2020-04-14,209,19,0.0,0.0,121.1429,9.5714
2020-04-15,70,16,0.0,0.0,107.1429,10.8571
2020-04-16,165,18,0.0,0.0,117.1429,12.0
2020-04-17,90,21,0.0,0.0,118.2857,13.5714
2020-04-18,88,16,0.0,0.0,121.0,15.4286
2020-04-19,147,21,0.0,0.0,119.7143,17.1429
2020-04-20,116,3,0.0,0.0,126.4286,16.2857
2020-04-21,110,8,0.0,0.0,112.2857,14.7143
2020-04-22,209,14,0.0,0.0,132.1429,14.4286
2020-04-23,409,27,0.0,0.0,167.0,15.7143
2020-04-24,306,21,0.0,0.0,197.8571,15.7143
2020-04-25,441,32,0.0,0.0,248.2857,18.0
2020-04-26,198,17,0.0,0.0,255.5714,17.4286
2020-04-27,95,16,0.0,0.0,252.5714,19.2857
2020-04-28,409,31,0.0,0.0,295.2857,22.5714
2020-04-29,464,29,0.0,0.0,331.7143,24.7143
2020-04-30,453,45,0.0,0.0,338.0,27.2857
2020-05-01,469,51,0.0,0.0,361.2857,31.5714
2020-05-02,339,25,0.0,0.0,346.7143,30.5714
2020-05-03,621,47,0.0,0.0,407.1429,34.8571
2020-05-04,630,37,0.0,0.0,483.5714,37.8571
2020-05-05,796,64,0.0,0.0,538.8571,42.5714
2020-05-06,1134,102,0.0,0.0,634.5714,53.0
2020-05-07,856,55,0.0,0.0,692.1429,54.4286
2020-05-08,628,68,0.0,0.0,714.8571,56.8571
2020-05-09,1198,88,0.0,0.0,837.5714,65.8571
2020-05-10,674,42,0.0,0.0,845.1429,65.1429
2020-05-11,320,31,0.0,0.0,800.8571,64.2857
2020-05-12,1249,63,0.0,0.0,865.5714,64.1429
2020-05-13,1648,62,0.0,0.0,939.0,58.4286
2020-05-14,1365,75,0.0,0.0,1011.7143,61.2857
2020-05-15,1211,96,0.0,0.0,1095.0,65.2857
2020-05-16,1285,44,0.0,0.0,1107.4286,59.0
2020-05-17,651,38,0.0,0.0,1104.1429,58.4286
2020-05-18,585,20,0.0,0.0,1142.0,56.8571
2020-05-19,1219,58,0.0,0.0,1137.7143,56.1429
2020-05-20,1572,70,0.0,0.0,1126.8571,57.2857
2020-05-21,1663,59,0.0,0.0,1169.4286,55.0
2020-05-22,1671,49,0.0,0.0,1235.1429,48.2857
2020-05-23,1764,75,0.0,0.0,1303.5714,52.7143
2020-05-24,1065,14,0.0,0.0,1362.7143,49.2857
2020-05-25,415,23,0.0,0.0,1338.4286,49.7143
2020-05-26,1667,71,0.0,0.0,1402.4286,51.5714
2020-05-27,1559,39,0.0,0.0,1400.5714,47.1429
2020-05-28,2638,73,0.0,0.0,1539.8571,49.1429
2020-05-29,2763,47,0.0,0.0,1695.8571,48.8571
2020-05-30,1651,36,0.0,0.0,1679.7143,43.2857
2020-05-31,818,5,0.0,0.0,1644.4286,42.0
2020-06-01,396,19,0.0,0.0,1641.7143,41.4286
2020-06-02,1421,31,0.0,0.0,1606.5714,35.7143
2020-06-03,1152,36,0.0,0.0,1548.4286,35.2857
2020-06-04,2126,45,0.0,0.0,1475.2857,31.2857
2020-06-05,1193,16,0.0,0.0,1251.0,26.8571
2020-06-06,1119,33,0.0,0.0,1175.0,26.4286
2020-06-07,484,18,0.0,0.0,1127.2857,28.2857
2020-06-08,548,21,0.0,0.0,1149.0,28.5714
2020-06-09,1417,44,0.0,0.0,1148.4286,30.4286
2020-06-10,1615,48,0.0,0.0,1214.5714,32.1429
2020-06-11,1140,37,0.0,0.0,1073.7143,31.0
2020-06-12,1122,29,0.0,0.0,1063.5714,32.8571
2020-06-13,915,36,0.0,0.0,1034.4286,33.2857
2020-06-14,480,27,0.0,0.0,1033.8571,34.5714
2020-06-15,271,20,0.0,0.0,994.2857,34.4286
2020-06-16,1241,38,0.0,0.0,969.1429,33.5714
2020-06-17,1529,29,0.0,0.0,956.8571,30.8571
2020-06-18,1189,26,0.0,0.0,963.8571,29.2857
2020-06-19,947,19,0.0,0.0,938.8571,27.8571
2020-06-20,1219,26,0.0,0.0,982.2857,26.4286
2020-06-21,508,7,0.0,0.0,986.2857,23.5714
2020-06-22,321,14,0.0,0.0,993.4286,22.7143
2020-06-23,1342,15,0.0,0.0,1007.8571,19.4286
2020-06-24,1691,24,0.0,0.0,1031.0,18.7143
2020-06-25,503,21,0.0,0.0,933.0,18.0
2020-06-26,953,8,0.0,0.0,933.8571,16.4286
2020-06-27,802,33,0.0,0.0,874.2857,17.4286
2020-06-28,627,12,0.0,0.0,891.2857,18.1429
2020-06-29,244,8,0.0,0.0,880.2857,17.2857
2020-06-30,930,31,0.0,0.0,821.4286,19.5714
2020-07-01,1461,20,0.0,0.0,788.5714,19.0
2020-07-02,1246,19,0.0,0.0,894.7143,18.7143
2020-07-03,1007,25,0.0,0.0,902.4286,21.1429
2020-07-04,1408,31,0.0,0.0,989.0,20.8571
2020-07-05,69,11,0.0,0.0,909.2857,20.7143
2020-07-06,413,9,0.0,0.0,933.4286,20.8571
2020-07-07,2740,14,0.0,0.0,1192.0,18.4286
2020-07-08,915,15,0.0,0.0,1114.0,17.7143
2020-07-09,1236,18,0.0,0.0,1112.5714,17.5714
2020-07-10,1189,23,0.0,0.0,1138.5714,17.2857
2020-07-11,723,15,0.0,0.0,1040.7143,15.0
2020-07-12,296,16,0.0,0.0,1073.1429,15.7143
2020-07-13,886,9,0.0,0.0,1140.7143,15.7143
2020-07-14,1388,16,0.0,0.0,947.5714,16.0
2020-07-15,1144,16,0.0,0.0,980.2857,16.1429
2020-07-16,1081,15,0.0,0.0,958.1429,15.7143
2020-07-17,797,23,0.0,0.0,902.1429,15.7143
2020-07-18,1712,11,0.0,0.0,1043.4286,15.1429
2020-07-19,379,20,0.0,0.0,1055.2857,15.7143
2020-07-20,476,-3,0.0,0.0,996.7143,14.0
2020-07-21,775,23,0.0,0.0,909.1429,15.0
2020-07-22,557,14,0.0,0.0,825.2857,14.7143
2020-07-23,1498,10,0.0,0.0,884.8571,14.0
2020-07-24,1205,6,0.0,0.0,943.1429,11.5714
2020-07-25,670,11,0.0,0.0,794.2857,11.5714
2020-07-26,369,7,0.0,0.0,792.8571,9.7143
2020-07-27,616,7,0.0,0.0,812.8571,11.1429
2020-07-28,1039,12,0.0,0.0,850.5714,9.5714
2020-07-29,975,10,0.0,0.0,910.2857,9.0
2020-07-30,1047,6,0.0,0.0,845.8571,8.4286
2020-07-31,800,16,0.0,0.0,788.0,9.8571
2020-08-01,837,10,0.0,0.0,811.8571,9.7143
2020-08-02,347,5,0.0,0.0,808.7143,9.4286
2020-08-03,262,5,0.0,0.0,758.1429,9.1429
2020-08-04,883,11,0.0,0.0,735.8571,9.0
2020-08-05,981,18,0.0,0.0,736.7143,10.1429
2020-08-06,804,18,0.0,0.0,702.0,11.8571
2020-08-07,803,10,0.0,0.0,702.4286,11.0
2020-08-08,571,19,0.0,0.0,664.4286,12.2857
2020-08-09,522,-5,0.0,0.0,689.4286,10.8571
2020-08-10,247,25,0.0,0.0,687.2857,13.7143
2020-08-11,908,21,0.0,0.0,690.8571,15.1429
2020-08-12,815,12,0.0,0.0,667.1429,14.2857
2020-08-13,882,18,0.0,0.0,678.2857,14.2857
2020-08-14,975,20,0.0,0.0,702.8571,15.7143
2020-08-15,464,8,0.0,0.0,687.5714,14.1429
2020-08-16,671,20,0.0,0.0,708.8571,17.7143
2020-08-17,351,22,0.0,0.0,723.7143,17.2857
2020-08-18,618,19,0.0,0.0,682.2857,17.0
2020-08-19,711,13,0.0,0.0,667.4286,17.1429
2020-08-20,743,14,0.0,0.0,647.5714,16.5714
2020-08-21,457,5,0.0,0.0,573.5714,14.4286
2020-08-22,577,1,0.0,0.0,589.7143,13.4286
2020-08-23,246,6,0.0,0.0,529.0,11.4286
2020-08-24,177,15,0.0,0.0,504.1429,10.4286
2020-08-25,787,10,0.0,0.0,528.2857,9.1429
2020-08-26,833,12,0.0,0.0,545.7143,9.0
2020-08-27,671,16,0.0,0.0,535.4286,9.2857
2020-08-28,761,13,0.0,0.0,578.8571,10.4286
2020-08-29,1015,5,0.0,0.0,641.4286,11.0
2020-08-30,201,5,0.0,0.0,635.0,10.8571
2020-08-31,236,10,0.0,0.0,643.4286,10.1429
2020-09-01,623,12,0.0,0.0,620.0,10.4286
2020-09-02,874,158,0.0,0.0,625.8571,31.2857
2020-09-03,727,9,0.0,0.0,633.8571,30.2857
2020-09-04,667,6,0.0,0.0,620.4286,29.2857
2020-09-05,539,7,0.0,0.0,552.4286,29.5714
2020-09-06,85,6,0.0,0.0,535.8571,29.7143
2020-09-07,94,2,0.0,0.0,515.5714,28.5714
2020-09-08,318,6,0.0,0.0,472.0,27.7143
2020-09-09,736,8,0.0,0.0,452.2857,6.2857
2020-09-10,701,11,0.0,0.0,448.5714,6.5714
2020-09-11,763,9,0.0,0.0,462.2857,7.0
2020-09-12,516,5,0.0,0.0,459.0,6.7143
2020-09-13,193,4,0.0,0.0,474.4286,6.4286
2020-09-14,275,6,0.0,0.0,500.2857,7.0
2020-09-15,743,9,0.0,0.0,561.0,7.4286
2020-09-16,701,13,0.0,0.0,556.0,8.1429
2020-09-17,650,11,0.0,0.0,548.7143,8.1429
2020-09-18,858,19,0.0,0.0,562.2857,9.5714
2020-09-19,1214,6,0.0,0.0,662.0,9.7143
2020-09-20,184,3,0.0,0.0,660.7143,9.5714
2020-09-21,163,5,0.0,0.0,644.7143,9.4286
2020-09-22,767,3,0.0,0.0,648.1429,8.5714
2020-09-23,726,17,0.0,0.0,651.7143,9.1429
2020-09-24,876,8,0.0,0.0,684.0,8.7143
2020-09-25,916,8,0.0,0.0,692.2857,7.1429
2020-09-26,964,22,0.0,0.0,656.5714,9.4286
2020-09-27,247,5,0.0,0.0,665.5714,9.7143
2020-09-28,292,4,0.0,0.0,684.0,9.5714
2020-09-29,1256,4,0.0,0.0,753.8571,9.7143
2020-09-30,1362,121,0.0,0.0,844.7143,24.5714
2020-10-01,914,3,0.0,0.0,850.1429,23.8571
2020-10-02,959,3,0.0,0.0,856.2857,23.1429
2020-10-03,938,7,0.0,0.0,852.5714,21.0
2020-10-04,245,7,0.0,0.0,852.2857,21.2857
2020-10-05,191,9,0.0,0.0,837.8571,22.0
2020-10-06,998,8,0.0,0.0,801.0,22.5714
2020-10-07,921,9,0.0,0.0,738.0,6.5714
2020-10-08,875,13,0.0,0.0,732.4286,8.0
2020-10-09,866,8,0.0,0.0,719.1429,8.7143
2020-10-10,805,12,0.0,0.0,700.1429,9.4286
2020-10-11,419,4,0.0,0.0,725.0,9.0
2020-10-12,8,8,0.0,0.0,698.8571,8.8571
2020-10-13,399,7,0.0,0.0,613.2857,8.7143
2020-10-14,654,14,0.0,0.0,575.1429,9.4286
2020-10-15,848,21,0.0,0.0,571.2857,10.5714
2020-10-16,418,16,0.0,0.0,507.2857,11.7143
2020-10-17,1402,20,0.0,0.0,592.5714,12.8571
2020-10-18,411,7,0.0,0.0,591.4286,13.2857
2020-10-19,261,18,0.0,0.0,627.5714,14.7143
2020-10-20,938,13,0.0,0.0,704.5714,15.5714
2020-10-21,1669,9,0.0,0.0,849.5714,14.8571
2020-10-22,765,24,0.0,0.0,837.7143,15.2857
2020-10-23,966,30,0.0,0.0,916.0,17.2857
2020-10-24,779,7,0.0,0.0,827.0,15.4286
2020-10-25,349,13,0.0,0.0,818.1429,16.2857
2020-10-26,344,14,0.0,0.0,830.0,15.7143
2020-10-27,1050,18,0.0,0.0,846.0,16.4286
2020-10-28,865,13,0.0,0.0,731.1429,17.0
2020-10-29,1013,25,0.0,0.0,766.5714,17.1429
2020-10-30,838,12,0.0,0.0,748.2857,14.5714
2020-10-31,249,15,0.0,0.0,672.5714,15.7143
2020-11-01,291,12,0.0,0.0,664.2857,15.5714
2020-11-02,165,10,0.0,0.0,638.7143,15.0
2020-11-03,421,8,0.0,0.0,548.8571,13.5714
2020-11-04,839,15,0.0,0.0,545.1429,13.8571
2020-11-05,671,19,0.0,0.0,496.2857,13.0
2020-11-06,0,0,0.0,0.0,376.5714,11.2857
2020-11-07,1324,15,0.0,0.0,530.1429,11.2857
2020-11-08,270,3,0.0,0.0,527.1429,10.0
2020-11-09,305,19,0.0,0.0,547.1429,11.2857
2020-11-10,802,6,0.0,0.0,601.5714,11.0
2020-11-11,715,5,0.0,0.0,583.8571,9.5714
2020-11-12,603,26,0.0,0.0,574.1429,10.5714
2020-11-13,507,2,0.0,0.0,646.5714,10.8571
2020-11-14,569,10,0.0,0.0,538.7143,10.1429
2020-11-15,168,4,0.0,0.0,524.1429,10.2857
2020-11-16,219,3,0.0,0.0,511.8571,8.0
2020-11-17,906,23,0.0,0.0,526.7143,10.4286
2020-11-18,703,5,0.0,0.0,525.0,10.4286
2020-11-19,957,13,0.0,0.0,575.5714,8.5714
2020-11-20,740,20,0.0,0.0,608.8571,11.1429
2020-11-21,488,10,0.0,0.0,597.2857,11.1429
2020-11-22,131,8,0.0,0.0,592.0,11.7143
2020-11-23,303,18,0.0,0.0,604.0,13.8571
2020-11-24,799,21,0.0,0.0,588.7143,13.5714
2020-11-25,719,8,0.0,0.0,591.0,14.0
2020-11-26,916,30,0.0,0.0,585.1429,16.4286
2020-11-27,928,13,0.0,0.0,612.0,15.4286
