date,newCases,newDeaths,vaccinated_per_100_inhabitants,vaccinated_second_per_100_inhabitants,newCasesRolling,newDeathsRolling
2020-03-27,1,0,0.0,0.0,0.2857,0.0
2020-03-28,1,0,0.0,0.0,0.4286,0.0
2020-03-29,4,0,0.0,0.0,1.0,0.0
2020-03-30,0,0,0.0,0.0,1.0,0.0
2020-03-31,2,0,0.0,0.0,1.2857,0.0
2020-04-01,1,0,0.0,0.0,1.2857,0.0
2020-04-02,1,0,0.0,0.0,1.4286,0.0
2020-04-03,7,0,0.0,0.0,2.2857,0.0
2020-04-04,10,1,0.0,0.0,3.5714,0.1429
2020-04-05,3,1,0.0,0.0,3.4286,0.2857
2020-04-06,7,0,0.0,0.0,4.4286,0.2857
2020-04-07,12,0,0.0,0.0,5.8571,0.2857
2020-04-08,56,0,0.0,0.0,13.7143,0.2857
2020-04-09,21,0,0.0,0.0,16.5714,0.2857
2020-04-10,38,0,0.0,0.0,21.0,0.2857
2020-04-11,27,3,0.0,0.0,23.4286,0.5714
2020-04-12,44,0,0.0,0.0,29.2857,0.4286
2020-04-13,7,1,0.0,0.0,29.2857,0.5714
2020-04-14,64,1,0.0,0.0,36.7143,0.7143
2020-04-15,34,0,0.0,0.0,33.5714,0.7143
2020-04-16,20,3,0.0,0.0,33.4286,1.1429
2020-04-17,13,0,0.0,0.0,29.8571,1.1429
2020-04-18,25,0,0.0,0.0,29.5714,0.7143
2020-04-19,16,1,0.0,0.0,25.5714,0.8571
2020-04-20,19,2,0.0,0.0,27.2857,1.0
2020-04-21,31,0,0.0,0.0,22.5714,0.8571
2020-04-22,26,1,0.0,0.0,21.4286,1.0
2020-04-23,63,2,0.0,0.0,27.5714,0.8571
2020-04-24,93,2,0.0,0.0,39.0,1.1429
2020-04-25,41,2,0.0,0.0,41.2857,1.4286
2020-04-26,132,3,0.0,0.0,57.8571,1.7143
2020-04-27,21,3,0.0,0.0,58.1429,1.8571
2020-04-28,76,2,0.0,0.0,64.5714,2.1429
2020-04-29,98,3,0.0,0.0,74.8571,2.4286
2020-04-30,64,3,0.0,0.0,75.0,2.5714
2020-05-01,41,3,0.0,0.0,67.5714,2.7143
2020-05-02,66,3,0.0,0.0,71.1429,2.8571
2020-05-03,295,3,0.0,0.0,94.4286,2.8571
2020-05-04,251,6,0.0,0.0,127.2857,3.2857
2020-05-05,198,6,0.0,0.0,144.7143,3.8571
2020-05-06,115,1,0.0,0.0,147.1429,3.5714
2020-05-07,153,5,0.0,0.0,159.8571,3.8571
2020-05-08,123,5,0.0,0.0,171.5714,4.1429
2020-05-09,171,3,0.0,0.0,186.5714,4.1429
2020-05-10,120,3,0.0,0.0,161.5714,4.1429
2020-05-11,58,1,0.0,0.0,134.0,3.4286
2020-05-12,239,13,0.0,0.0,139.8571,4.4286
2020-05-13,95,8,0.0,0.0,137.0,5.4286
2020-05-14,423,7,0.0,0.0,175.5714,5.7143
2020-05-15,202,2,0.0,0.0,186.8571,5.2857
2020-05-16,204,5,0.0,0.0,191.5714,5.5714
2020-05-17,118,11,0.0,0.0,191.2857,6.7143
2020-05-18,71,8,0.0,0.0,193.1429,7.7143
2020-05-19,287,9,0.0,0.0,200.0,7.1429
2020-05-20,239,6,0.0,0.0,220.5714,6.8571
2020-05-21,639,9,0.0,0.0,251.4286,7.1429
2020-05-22,467,6,0.0,0.0,289.2857,7.7143
2020-05-23,436,5,0.0,0.0,322.4286,7.7143
2020-05-24,262,1,0.0,0.0,343.0,6.2857
2020-05-25,231,5,0.0,0.0,365.8571,5.8571
2020-05-26,383,5,0.0,0.0,379.5714,5.2857
2020-05-27,652,10,0.0,0.0,438.5714,5.8571
2020-05-28,533,15,0.0,0.0,423.4286,6.7143
2020-05-29,317,9,0.0,0.0,402.0,7.1429
2020-05-30,844,8,0.0,0.0,460.2857,7.5714
2020-05-31,289,7,0.0,0.0,464.1429,8.4286
2020-06-01,288,6,0.0,0.0,472.2857,8.5714
2020-06-02,621,9,0.0,0.0,506.2857,9.1429
2020-06-03,596,10,0.0,0.0,498.2857,9.1429
2020-06-04,444,7,0.0,0.0,485.5714,8.0
2020-06-05,776,6,0.0,0.0,551.1429,7.5714
2020-06-06,446,9,0.0,0.0,494.2857,7.7143
2020-06-07,272,3,0.0,0.0,491.8571,7.1429
2020-06-08,249,6,0.0,0.0,486.2857,7.1429
2020-06-09,477,7,0.0,0.0,465.7143,6.8571
2020-06-10,852,4,0.0,0.0,502.2857,6.0
2020-06-11,543,14,0.0,0.0,516.4286,7.0
2020-06-12,517,9,0.0,0.0,479.4286,7.4286
2020-06-13,639,7,0.0,0.0,507.0,7.1429
2020-06-14,190,5,0.0,0.0,495.2857,7.4286
2020-06-15,301,5,0.0,0.0,502.7143,7.2857
2020-06-16,1211,8,0.0,0.0,607.5714,7.4286
2020-06-17,594,1,0.0,0.0,570.7143,7.0
2020-06-18,769,4,0.0,0.0,603.0,5.5714
2020-06-19,535,6,0.0,0.0,605.5714,5.1429
2020-06-20,1652,5,0.0,0.0,750.2857,4.8571
2020-06-21,266,6,0.0,0.0,761.1429,5.0
2020-06-22,3022,13,0.0,0.0,1149.8571,6.1429
2020-06-23,1575,8,0.0,0.0,1201.8571,6.1429
2020-06-24,482,7,0.0,0.0,1185.8571,7.0
2020-06-25,496,7,0.0,0.0,1146.8571,7.4286
2020-06-26,247,7,0.0,0.0,1105.7143,7.5714
2020-06-27,239,5,0.0,0.0,903.8571,7.5714
2020-06-28,84,1,0.0,0.0,877.8571,6.8571
2020-06-29,268,6,0.0,0.0,484.4286,5.8571
2020-06-30,239,4,0.0,0.0,293.5714,5.2857
2020-07-01,435,3,0.0,0.0,286.8571,4.7143
2020-07-02,226,7,0.0,0.0,248.2857,4.7143
2020-07-03,421,11,0.0,0.0,273.1429,5.2857
2020-07-04,235,3,0.0,0.0,272.5714,5.0
2020-07-05,74,1,0.0,0.0,271.1429,5.0
2020-07-06,121,7,0.0,0.0,250.1429,5.1429
2020-07-07,290,6,0.0,0.0,257.4286,5.4286
2020-07-08,230,7,0.0,0.0,228.1429,6.0
2020-07-09,239,5,0.0,0.0,230.0,5.7143
2020-07-10,317,3,0.0,0.0,215.1429,4.5714
2020-07-11,199,3,0.0,0.0,210.0,4.5714
2020-07-12,85,1,0.0,0.0,211.5714,4.5714
2020-07-13,188,4,0.0,0.0,221.1429,4.1429
2020-07-14,333,5,0.0,0.0,227.2857,4.0
2020-07-15,523,5,0.0,0.0,269.1429,3.7143
2020-07-16,596,5,0.0,0.0,320.1429,3.7143
2020-07-17,432,6,0.0,0.0,336.5714,4.1429
2020-07-18,149,6,0.0,0.0,329.4286,4.5714
2020-07-19,120,2,0.0,0.0,334.4286,4.7143
2020-07-20,440,8,0.0,0.0,370.4286,5.2857
2020-07-21,260,18,0.0,0.0,360.0,7.1429
2020-07-22,255,11,0.0,0.0,321.7143,8.0
2020-07-23,178,4,0.0,0.0,262.0,7.8571
2020-07-24,188,4,0.0,0.0,227.1429,7.5714
2020-07-25,136,2,0.0,0.0,225.2857,7.0
2020-07-26,58,0,0.0,0.0,216.4286,6.7143
2020-07-27,144,2,0.0,0.0,174.1429,5.8571
2020-07-28,333,2,0.0,0.0,184.5714,3.5714
2020-07-29,276,1,0.0,0.0,187.5714,2.1429
2020-07-30,299,2,0.0,0.0,204.8571,1.8571
2020-07-31,196,4,0.0,0.0,206.0,1.8571
2020-08-01,127,3,0.0,0.0,204.7143,2.0
2020-08-02,44,3,0.0,0.0,202.7143,2.4286
2020-08-03,165,5,0.0,0.0,205.7143,2.8571
2020-08-04,195,5,0.0,0.0,186.0,3.2857
2020-08-05,319,7,0.0,0.0,192.1429,4.1429
2020-08-06,417,6,0.0,0.0,209.0,4.7143
2020-08-07,229,5,0.0,0.0,213.7143,4.8571
2020-08-08,175,2,0.0,0.0,220.5714,4.7143
2020-08-09,69,1,0.0,0.0,224.1429,4.4286
2020-08-10,191,1,0.0,0.0,227.8571,3.8571
2020-08-11,237,1,0.0,0.0,233.8571,3.2857
2020-08-12,165,2,0.0,0.0,211.8571,2.5714
2020-08-13,214,3,0.0,0.0,182.8571,2.1429
2020-08-14,229,3,0.0,0.0,182.8571,1.8571
2020-08-15,187,1,0.0,0.0,184.5714,1.7143
2020-08-16,87,0,0.0,0.0,187.1429,1.5714
2020-08-17,185,4,0.0,0.0,186.2857,2.0
2020-08-18,254,2,0.0,0.0,188.7143,2.1429
2020-08-19,254,3,0.0,0.0,201.4286,2.2857
2020-08-20,392,4,0.0,0.0,226.8571,2.4286
2020-08-21,272,1,0.0,0.0,233.0,2.1429
2020-08-22,156,3,0.0,0.0,228.5714,2.4286
2020-08-23,89,1,0.0,0.0,228.8571,2.5714
2020-08-24,134,6,0.0,0.0,221.5714,2.8571
2020-08-25,299,5,0.0,0.0,228.0,3.2857
2020-08-26,428,5,0.0,0.0,252.8571,3.5714
2020-08-27,304,5,0.0,0.0,240.2857,3.7143
2020-08-28,340,5,0.0,0.0,250.0,4.2857
2020-08-29,146,2,0.0,0.0,248.5714,4.1429
2020-08-30,121,1,0.0,0.0,253.1429,4.1429
2020-08-31,301,1,0.0,0.0,277.0,3.4286
2020-09-01,321,2,0.0,0.0,280.1429,3.0
2020-09-02,286,5,0.0,0.0,259.8571,3.0
2020-09-03,264,1,0.0,0.0,254.1429,2.4286
2020-09-04,390,1,0.0,0.0,261.2857,1.8571
2020-09-05,228,1,0.0,0.0,273.0,1.7143
2020-09-06,88,1,0.0,0.0,268.2857,1.7143
2020-09-07,93,1,0.0,0.0,238.5714,1.7143
2020-09-08,136,2,0.0,0.0,212.1429,1.7143
2020-09-09,252,0,0.0,0.0,207.2857,1.0
2020-09-10,278,1,0.0,0.0,209.2857,1.0
2020-09-11,136,1,0.0,0.0,173.0,1.0
2020-09-12,124,1,0.0,0.0,158.1429,1.0
2020-09-13,64,0,0.0,0.0,154.7143,0.8571
2020-09-14,102,2,0.0,0.0,156.0,1.0
2020-09-15,162,2,0.0,0.0,159.7143,1.0
2020-09-16,149,3,0.0,0.0,145.0,1.4286
2020-09-17,106,3,0.0,0.0,120.4286,1.7143
2020-09-18,229,2,0.0,0.0,133.7143,1.8571
2020-09-19,137,1,0.0,0.0,135.5714,1.8571
2020-09-20,125,0,0.0,0.0,144.2857,1.8571
2020-09-21,83,2,0.0,0.0,141.5714,1.8571
2020-09-22,189,2,0.0,0.0,145.4286,1.8571
2020-09-23,229,2,0.0,0.0,156.8571,1.7143
2020-09-24,152,1,0.0,0.0,163.4286,1.4286
2020-09-25,141,1,0.0,0.0,150.8571,1.2857
2020-09-26,88,3,0.0,0.0,143.8571,1.5714
2020-09-27,50,0,0.0,0.0,133.1429,1.5714
2020-09-28,140,2,0.0,0.0,141.2857,1.5714
2020-09-29,119,1,0.0,0.0,131.2857,1.4286
2020-09-30,200,4,0.0,0.0,127.1429,1.7143
2020-10-01,131,3,0.0,0.0,124.1429,2.0
2020-10-02,144,1,0.0,0.0,124.5714,2.0
2020-10-03,73,2,0.0,0.0,122.4286,1.8571
2020-10-04,26,1,0.0,0.0,119.0,2.0
2020-10-05,73,2,0.0,0.0,109.4286,2.0
2020-10-06,113,3,0.0,0.0,108.5714,2.2857
2020-10-07,149,1,0.0,0.0,101.2857,1.8571
2020-10-08,122,2,0.0,0.0,100.0,1.7143
2020-10-09,130,1,0.0,0.0,98.0,1.7143
2020-10-10,88,0,0.0,0.0,100.1429,1.4286
2020-10-11,83,0,0.0,0.0,108.2857,1.2857
2020-10-12,38,1,0.0,0.0,103.2857,1.1429
2020-10-13,169,1,0.0,0.0,111.2857,0.8571
2020-10-14,152,1,0.0,0.0,111.7143,0.8571
