date,newCases,newDeaths,vaccinated_per_100_inhabitants,vaccinated_second_per_100_inhabitants,newCasesRolling,newDeathsRolling
2020-03-13,4,0,0.0,0.0,0.8571,0.0
2020-03-14,0,0,0.0,0.0,0.7143,0.0
2020-03-15,2,0,0.0,0.0,1.0,0.0
2020-03-16,1,0,0.0,0.0,1.1429,0.0
2020-03-17,4,0,0.0,0.0,1.7143,0.0
2020-03-18,13,0,0.0,0.0,3.4286,0.0
2020-03-19,4,0,0.0,0.0,4.0,0.0
2020-03-20,3,0,0.0,0.0,3.8571,0.0
2020-03-21,7,0,0.0,0.0,4.8571,0.0
2020-03-22,14,0,0.0,0.0,6.5714,0.0
2020-03-23,8,0,0.0,0.0,7.5714,0.0
2020-03-24,16,0,0.0,0.0,9.2857,0.0
2020-03-25,12,0,0.0,0.0,9.1429,0.0
2020-03-26,17,0,0.0,0.0,11.0,0.0
2020-03-27,15,0,0.0,0.0,12.7143,0.0
2020-03-28,4,0,0.0,0.0,12.2857,0.0
2020-03-29,29,1,0.0,0.0,14.4286,0.1429
2020-03-30,20,1,0.0,0.0,16.1429,0.2857
2020-03-31,41,0,0.0,0.0,19.7143,0.2857
2020-04-01,29,0,0.0,0.0,22.1429,0.2857
2020-04-02,21,1,0.0,0.0,22.7143,0.4286
2020-04-03,23,3,0.0,0.0,23.8571,0.8571
2020-04-04,46,1,0.0,0.0,29.8571,1.0
2020-04-05,65,2,0.0,0.0,35.0,1.1429
2020-04-06,36,1,0.0,0.0,37.2857,1.1429
2020-04-07,25,4,0.0,0.0,35.0,1.7143
2020-04-08,53,4,0.0,0.0,38.4286,2.2857
2020-04-09,53,1,0.0,0.0,43.0,2.2857
2020-04-10,48,0,0.0,0.0,46.5714,1.8571
2020-04-11,24,2,0.0,0.0,43.4286,2.0
2020-04-12,34,0,0.0,0.0,39.0,1.7143
2020-04-13,49,1,0.0,0.0,40.8571,1.7143
2020-04-14,53,4,0.0,0.0,44.8571,1.7143
2020-04-15,108,2,0.0,0.0,52.7143,1.4286
2020-04-16,83,6,0.0,0.0,57.0,2.1429
2020-04-17,97,2,0.0,0.0,64.0,2.4286
2020-04-18,136,4,0.0,0.0,80.0,2.7143
2020-04-19,49,5,0.0,0.0,82.1429,3.4286
2020-04-20,128,2,0.0,0.0,93.4286,3.5714
2020-04-21,127,1,0.0,0.0,104.0,3.1429
2020-04-22,141,5,0.0,0.0,108.7143,3.5714
2020-04-23,200,9,0.0,0.0,125.4286,4.0
2020-04-24,134,5,0.0,0.0,130.7143,4.4286
2020-04-25,137,5,0.0,0.0,130.8571,4.5714
2020-04-26,132,2,0.0,0.0,142.7143,4.1429
2020-04-27,108,9,0.0,0.0,139.8571,5.1429
2020-04-28,208,10,0.0,0.0,151.4286,6.4286
2020-04-29,112,7,0.0,0.0,147.2857,6.7143
2020-04-30,191,6,0.0,0.0,146.0,6.2857
2020-05-01,273,11,0.0,0.0,165.8571,7.1429
