date,newCases,newDeaths,vaccinated_per_100_inhabitants,vaccinated_second_per_100_inhabitants,newCasesRolling,newDeathsRolling
2020-03-23,39,0,0.0,0.0,22.1429,0.0
2020-03-24,21,0,0.0,0.0,25.0,0.0
2020-03-25,26,0,0.0,0.0,27.4286,0.0
2020-03-26,26,3,0.0,0.0,30.4286,0.4286
2020-03-27,45,0,0.0,0.0,30.5714,0.4286
2020-03-28,40,1,0.0,0.0,34.0,0.5714
2020-03-29,37,1,0.0,0.0,33.4286,0.7143
2020-03-30,23,0,0.0,0.0,31.1429,0.7143
2020-03-31,19,2,0.0,0.0,30.8571,1.0
2020-04-01,44,2,0.0,0.0,33.4286,1.2857
2020-04-02,120,12,0.0,0.0,46.8571,2.5714
2020-04-03,93,1,0.0,0.0,53.7143,2.7143
2020-04-04,87,1,0.0,0.0,60.4286,2.7143
2020-04-05,218,12,0.0,0.0,86.2857,4.2857
2020-04-06,83,1,0.0,0.0,94.8571,4.4286
2020-04-07,143,4,0.0,0.0,112.5714,4.7143
2020-04-08,205,17,0.0,0.0,135.5714,6.8571
2020-04-09,51,0,0.0,0.0,125.7143,5.1429
2020-04-10,113,10,0.0,0.0,128.5714,6.4286
2020-04-11,110,7,0.0,0.0,131.8571,7.2857
2020-04-12,79,2,0.0,0.0,112.0,5.8571
2020-04-13,189,25,0.0,0.0,127.1429,9.2857
2020-04-14,136,10,0.0,0.0,126.1429,10.1429
2020-04-15,220,13,0.0,0.0,128.2857,9.5714
2020-04-16,120,11,0.0,0.0,138.1429,11.1429
2020-04-17,335,20,0.0,0.0,169.8571,12.5714
2020-04-18,315,25,0.0,0.0,199.1429,15.1429
2020-04-19,246,9,0.0,0.0,223.0,16.1429
2020-04-20,179,17,0.0,0.0,221.5714,15.0
2020-04-21,229,15,0.0,0.0,234.8571,15.7143
2020-04-22,400,18,0.0,0.0,260.5714,16.4286
2020-04-23,586,32,0.0,0.0,327.1429,19.4286
2020-04-24,419,22,0.0,0.0,339.1429,19.7143
2020-04-25,546,33,0.0,0.0,372.1429,20.8571
2020-04-26,593,50,0.0,0.0,421.7143,26.7143
2020-04-27,523,21,0.0,0.0,470.8571,27.2857
2020-04-28,202,20,0.0,0.0,467.0,28.0
2020-04-29,426,33,0.0,0.0,470.7143,30.1429
2020-04-30,450,42,0.0,0.0,451.2857,31.5714
2020-05-01,139,47,0.0,0.0,411.2857,35.1429
2020-05-02,309,99,0.0,0.0,377.4286,44.5714
2020-05-03,70,39,0.0,0.0,302.7143,43.0
2020-05-04,2661,35,0.0,0.0,608.1429,45.0
2020-05-05,430,83,0.0,0.0,640.7143,54.0
2020-05-06,840,54,0.0,0.0,699.8571,57.0
2020-05-07,1578,54,0.0,0.0,861.0,58.7143
2020-05-08,1246,94,0.0,0.0,1019.1429,65.4286
2020-05-09,745,65,0.0,0.0,1081.4286,60.5714
2020-05-10,813,52,0.0,0.0,1187.5714,62.4286
2020-05-11,907,75,0.0,0.0,937.0,68.1429
2020-05-12,813,91,0.0,0.0,991.7143,69.2857
2020-05-13,744,109,0.0,0.0,978.0,77.1429
2020-05-14,1921,24,0.0,0.0,1027.0,72.8571
2020-05-15,1982,153,0.0,0.0,1132.1429,81.2857
2020-05-16,736,48,0.0,0.0,1130.8571,78.8571
2020-05-17,460,27,0.0,0.0,1080.4286,75.2857
2020-05-18,2108,107,0.0,0.0,1252.0,79.8571
2020-05-19,1749,108,0.0,0.0,1385.7143,82.2857
2020-05-20,2448,44,0.0,0.0,1629.1429,73.0
2020-05-21,853,261,0.0,0.0,1476.5714,106.8571
2020-05-22,3160,90,0.0,0.0,1644.8571,97.8571
2020-05-23,549,57,0.0,0.0,1618.1429,99.1429
2020-05-24,473,16,0.0,0.0,1620.0,97.5714
2020-05-25,590,169,0.0,0.0,1403.1429,106.4286
2020-05-26,836,110,0.0,0.0,1272.7143,106.7143
2020-05-27,254,68,0.0,0.0,959.2857,110.1429
2020-05-28,546,62,0.0,0.0,915.4286,81.7143
2020-05-29,574,126,0.0,0.0,546.0,86.8571
2020-05-30,9427,97,0.0,0.0,1814.2857,92.5714
2020-05-31,667,54,0.0,0.0,1842.0,98.0
2020-06-01,2015,178,0.0,0.0,2045.5714,99.2857
2020-06-02,4179,316,0.0,0.0,2523.1429,128.7143
