date,newCases,newDeaths,vaccinated_per_100_inhabitants,vaccinated_second_per_100_inhabitants,newCasesRolling,newDeathsRolling
2020-03-14,6,0,0.0,0.0,1.0,0.0
2020-03-15,6,0,0.0,0.0,1.8571,0.0
2020-03-16,5,0,0.0,0.0,2.5714,0.0
2020-03-17,3,0,0.0,0.0,3.0,0.0
2020-03-18,12,0,0.0,0.0,4.5714,0.0
2020-03-19,8,0,0.0,0.0,5.7143,0.0
2020-03-20,45,0,0.0,0.0,12.1429,0.0
2020-03-21,21,0,0.0,0.0,14.2857,0.0
2020-03-22,9,0,0.0,0.0,14.7143,0.0
2020-03-23,21,0,0.0,0.0,17.0,0.0
2020-03-24,23,0,0.0,0.0,19.8571,0.0
2020-03-25,34,0,0.0,0.0,23.0,0.0
2020-03-26,6,0,0.0,0.0,22.7143,0.0
2020-03-27,40,0,0.0,0.0,22.0,0.0
2020-03-28,19,0,0.0,0.0,21.7143,0.0
2020-03-29,38,1,0.0,0.0,25.8571,0.1429
2020-03-30,14,1,0.0,0.0,24.8571,0.2857
2020-03-31,21,1,0.0,0.0,24.5714,0.4286
2020-04-01,37,1,0.0,0.0,25.0,0.5714
2020-04-02,30,1,0.0,0.0,28.4286,0.7143
2020-04-03,19,1,0.0,0.0,25.4286,0.8571
2020-04-04,37,1,0.0,0.0,28.0,1.0
2020-04-05,12,0,0.0,0.0,24.2857,0.8571
2020-04-06,17,3,0.0,0.0,24.7143,1.1429
2020-04-07,18,2,0.0,0.0,24.2857,1.2857
2020-04-08,6,0,0.0,0.0,19.8571,1.1429
2020-04-09,18,1,0.0,0.0,18.1429,1.1429
2020-04-10,29,1,0.0,0.0,19.5714,1.1429
2020-04-11,36,0,0.0,0.0,19.4286,1.0
2020-04-12,26,0,0.0,0.0,21.4286,1.0
2020-04-13,23,1,0.0,0.0,22.2857,0.7143
2020-04-14,10,2,0.0,0.0,21.1429,0.7143
2020-04-15,37,0,0.0,0.0,25.5714,0.7143
2020-04-16,39,3,0.0,0.0,28.5714,1.0
2020-04-17,29,4,0.0,0.0,28.5714,1.4286
2020-04-18,40,0,0.0,0.0,29.1429,1.4286
2020-04-19,64,0,0.0,0.0,34.5714,1.4286
2020-04-20,15,0,0.0,0.0,33.4286,1.2857
2020-04-21,38,0,0.0,0.0,37.4286,1.0
2020-04-22,46,1,0.0,0.0,38.7143,1.1429
2020-04-23,9,1,0.0,0.0,34.4286,0.8571
2020-04-24,44,0,0.0,0.0,36.5714,0.2857
2020-04-25,8,1,0.0,0.0,32.0,0.4286
2020-04-26,105,0,0.0,0.0,37.8571,0.4286
2020-04-27,64,1,0.0,0.0,44.8571,0.5714
2020-04-28,41,0,0.0,0.0,45.2857,0.5714
2020-04-29,83,0,0.0,0.0,50.5714,0.4286
2020-04-30,110,2,0.0,0.0,65.0,0.5714
2020-05-01,123,1,0.0,0.0,76.2857,0.7143
2020-05-02,59,1,0.0,0.0,83.5714,0.7143
2020-05-03,115,1,0.0,0.0,85.0,0.8571
2020-05-04,73,0,0.0,0.0,86.2857,0.7143
2020-05-05,44,1,0.0,0.0,86.7143,0.8571
2020-05-06,209,1,0.0,0.0,104.7143,1.0
2020-05-07,212,0,0.0,0.0,119.2857,0.7143
2020-05-08,184,2,0.0,0.0,128.0,0.8571
2020-05-09,134,2,0.0,0.0,138.7143,1.0
2020-05-10,106,3,0.0,0.0,137.4286,1.2857
2020-05-11,117,2,0.0,0.0,143.7143,1.5714
2020-05-12,180,2,0.0,0.0,163.1429,1.7143
2020-05-13,213,2,0.0,0.0,163.7143,1.8571
2020-05-14,224,3,0.0,0.0,165.4286,2.2857
2020-05-15,371,4,0.0,0.0,192.1429,2.5714
2020-05-16,353,1,0.0,0.0,223.4286,2.4286
2020-05-17,228,3,0.0,0.0,240.8571,2.4286
2020-05-18,251,7,0.0,0.0,260.0,3.1429
2020-05-19,234,6,0.0,0.0,267.7143,3.7143
2020-05-20,418,6,0.0,0.0,297.0,4.2857
2020-05-21,271,6,0.0,0.0,303.7143,4.7143
2020-05-22,406,6,0.0,0.0,308.7143,5.0
2020-05-23,303,5,0.0,0.0,301.5714,5.5714
2020-05-24,387,9,0.0,0.0,324.2857,6.4286
2020-05-25,292,10,0.0,0.0,330.1429,6.8571
2020-05-26,280,10,0.0,0.0,336.7143,7.4286
2020-05-27,551,9,0.0,0.0,355.7143,7.8571
2020-05-28,539,9,0.0,0.0,394.0,8.2857
2020-05-29,422,12,0.0,0.0,396.2857,9.1429
2020-05-30,752,8,0.0,0.0,460.4286,9.5714
2020-05-31,306,8,0.0,0.0,448.8571,9.4286
2020-06-01,730,3,0.0,0.0,511.4286,8.4286
2020-06-02,746,4,0.0,0.0,578.0,7.5714
2020-06-03,764,14,0.0,0.0,608.4286,8.2857
2020-06-04,903,5,0.0,0.0,660.4286,7.7143
2020-06-05,1285,6,0.0,0.0,783.7143,6.8571
2020-06-06,1642,6,0.0,0.0,910.8571,6.5714
2020-06-07,773,6,0.0,0.0,977.5714,6.2857
2020-06-08,325,12,0.0,0.0,919.7143,7.5714
2020-06-09,1142,10,0.0,0.0,976.2857,8.4286
2020-06-10,1343,20,0.0,0.0,1059.0,9.2857
2020-06-11,1074,18,0.0,0.0,1083.4286,11.1429
2020-06-12,889,8,0.0,0.0,1026.8571,11.4286
2020-06-13,563,11,0.0,0.0,872.7143,12.1429
2020-06-14,912,11,0.0,0.0,892.5714,12.8571
2020-06-15,813,15,0.0,0.0,962.2857,13.2857
2020-06-16,1696,29,0.0,0.0,1041.4286,16.0
2020-06-17,1760,17,0.0,0.0,1101.0,15.5714
2020-06-18,1381,14,0.0,0.0,1144.8571,15.0
2020-06-19,2381,17,0.0,0.0,1358.0,16.2857
2020-06-20,1336,9,0.0,0.0,1468.4286,16.0
2020-06-21,989,18,0.0,0.0,1479.4286,17.0
2020-06-22,921,26,0.0,0.0,1494.8571,18.5714
2020-06-23,1220,26,0.0,0.0,1426.8571,18.1429
2020-06-24,1886,20,0.0,0.0,1444.8571,18.5714
2020-06-25,1617,14,0.0,0.0,1478.5714,18.5714
2020-06-26,2455,23,0.0,0.0,1489.1429,19.4286
2020-06-27,1440,5,0.0,0.0,1504.0,18.8571
2020-06-28,2139,11,0.0,0.0,1668.2857,17.8571
2020-06-29,2166,11,0.0,0.0,1846.1429,15.7143
2020-06-30,2147,28,0.0,0.0,1978.5714,16.0
2020-07-01,1458,33,0.0,0.0,1917.4286,17.8571
2020-07-02,1605,11,0.0,0.0,1915.7143,17.4286
2020-07-03,1715,12,0.0,0.0,1810.0,15.8571
2020-07-04,1764,28,0.0,0.0,1856.2857,19.1429
2020-07-05,2094,28,0.0,0.0,1849.8571,21.5714
2020-07-06,2529,27,0.0,0.0,1901.7143,23.8571
2020-07-07,2311,41,0.0,0.0,1925.1429,25.7143
2020-07-08,1620,34,0.0,0.0,1948.2857,25.8571
2020-07-09,1363,22,0.0,0.0,1913.7143,27.4286
2020-07-10,1620,33,0.0,0.0,1900.1429,30.4286
2020-07-11,1109,15,0.0,0.0,1806.5714,28.5714
2020-07-12,2306,31,0.0,0.0,1836.8571,29.0
2020-07-13,1572,28,0.0,0.0,1700.1429,29.1429
2020-07-14,1370,30,0.0,0.0,1565.7143,27.5714
2020-07-15,1725,41,0.0,0.0,1580.7143,28.5714
2020-07-16,2242,36,0.0,0.0,1706.2857,30.5714
2020-07-17,1779,23,0.0,0.0,1729.0,29.1429
2020-07-18,1763,15,0.0,0.0,1822.4286,29.1429
2020-07-19,1249,10,0.0,0.0,1671.4286,26.1429
2020-07-20,1875,27,0.0,0.0,1714.7143,26.0
