date,newCases,newDeaths,vaccinated_per_100_inhabitants,vaccinated_second_per_100_inhabitants,newCasesRolling,newDeathsRolling
2020-03-13,0,0,0.0,0.0,0.0,0.0
2020-03-14,0,0,0.0,0.0,0.0,0.0
2020-03-15,0,0,0.0,0.0,0.0,0.0
2020-03-16,0,0,0.0,0.0,0.0,0.0
2020-03-17,0,0,0.0,0.0,0.0,0.0
2020-03-18,8,0,0.0,0.0,1.1429,0.0
2020-03-19,4,0,0.0,0.0,1.7143,0.0
2020-03-20,3,0,0.0,0.0,2.1429,0.0
2020-03-21,10,0,0.0,0.0,3.5714,0.0
2020-03-22,0,0,0.0,0.0,3.5714,0.0
2020-03-23,7,0,0.0,0.0,4.5714,0.0
2020-03-24,7,0,0.0,0.0,5.5714,0.0
2020-03-25,0,0,0.0,0.0,4.4286,0.0
2020-03-26,8,0,0.0,0.0,5.0,0.0
2020-03-27,6,0,0.0,0.0,5.4286,0.0
2020-03-28,7,0,0.0,0.0,5.0,0.0
2020-03-29,11,0,0.0,0.0,6.5714,0.0
2020-03-30,13,0,0.0,0.0,7.4286,0.0
2020-03-31,12,0,0.0,0.0,8.1429,0.0
2020-04-01,23,0,0.0,0.0,11.4286,0.0
2020-04-02,19,2,0.0,0.0,13.0,0.2857
2020-04-03,14,3,0.0,0.0,14.1429,0.7143
2020-04-04,13,1,0.0,0.0,15.0,0.8571
2020-04-05,28,0,0.0,0.0,17.4286,0.8571
2020-04-06,15,0,0.0,0.0,17.7143,0.8571
2020-04-07,18,0,0.0,0.0,18.5714,0.8571
2020-04-08,46,0,0.0,0.0,21.8571,0.8571
2020-04-09,27,1,0.0,0.0,23.0,0.7143
2020-04-10,49,1,0.0,0.0,28.0,0.4286
2020-04-11,34,1,0.0,0.0,31.0,0.4286
2020-04-12,47,5,0.0,0.0,33.7143,1.1429
2020-04-13,33,3,0.0,0.0,36.2857,1.5714
2020-04-14,94,1,0.0,0.0,47.1429,1.7143
2020-04-15,177,3,0.0,0.0,65.8571,2.1429
2020-04-16,201,7,0.0,0.0,90.7143,3.0
2020-04-17,17,0,0.0,0.0,86.1429,2.8571
2020-04-18,147,2,0.0,0.0,102.2857,3.0
2020-04-19,96,4,0.0,0.0,109.2857,2.8571
2020-04-20,17,0,0.0,0.0,107.0,2.4286
2020-04-21,101,0,0.0,0.0,108.0,2.2857
2020-04-22,38,3,0.0,0.0,88.1429,2.2857
